<<<<<<< HEAD
id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"166761110","West Midlands","Retail Property (high street)","74-76 High Street, Kings Heath, Birmingham, B14","£1,350,000","Guide Price","","","The property is located with frontage to High Street, Kings Heath a busy Birmingham suburb. Rear servicing is via York Road. Situated opposite Asda, nearby occupiers include Superdrug, HSBC and The West Brom Building Society.","https://www.rightmove.co.uk/properties/166761110#/?channel=COM_BUY","2025-09-09T11:16:18Z","","new","Marketed by Johnson Fellows, Birmingham","","52.43575","-1.89302","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281186/166761110/281186_KingsHeath75-76HighStreetFH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281186/166761110/281186_KingsHeath75-76HighStreetFH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281186/166761110/281186_KingsHeath75-76HighStreetFH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281186/166761110/281186_KingsHeath75-76HighStreetFH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281186/166761110/281186_KingsHeath75-76HighStreetFH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281186/166761110/281186_KingsHeath75-76HighStreetFH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281186/166761110/281186_KingsHeath75-76HighStreetFH_IMG_03_0000_max_476x317.jpeg"
"169952180","West Midlands","Land","Land At Pipes Meadow, Bilston, West Midlands, WV14","£180,000","","","","Erection of three and two storey building containing eight apartments of 530 sq ft (50 m2) with associated landscaping | Site Adjacent To Bilston Post Office Hall Street Pipes Meadow Wolverhampton West Midlands Planning reference - 20/01426/FUL","https://www.rightmove.co.uk/properties/169952180#/?channel=COM_BUY","2025-12-03T11:38:26Z","","new","Marketed by Your Move, Wednesfield","","52.565397","-2.073292","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46449/169952180/46449_WEL250531_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46449/169952180/46449_WEL250531_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/47k/46449/169952180/46449_WEL250531_IMG_02_0000_max_476x317.jpeg"
"169949981","West Midlands","Land","Land at 9 Knight Avenue, Coventry CV1 2AY","£2,000","Guide Price","","","Register - auctionhouse.co.uk/southyorkshire","https://www.rightmove.co.uk/properties/169949981#/?channel=COM_BUY","2025-12-03T11:05:32Z","","new","Marketed by Auction House, South Yorkshire","","52.40237","-1.495031","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218234/169949981/218234_202512030948sq_8kia_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218234/169949981/218234_202512030948sq_8kia_IMG_01_0000_max_476x317.jpeg"
"169948451","West Midlands","Takeaway","Station Road, Birmingham, B23","£180,000","Offers Over","2","3","** FOR SALE - FANTASTIC INVESTMENT OPPORTUNITY **Vacant Takeaway Premises for Sale -Station Road, ErdingtonA great opportunity to acquire vacant takeaway premises located on the busy and highly visible Station Road in Erdington. ","https://www.rightmove.co.uk/properties/169948451#/?channel=COM_BUY","2025-12-03T10:59:03Z","","new","Marketed by House Hunt, Birmingham","","52.52784","-1.84091","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95446/169948451/95446_38S2_IMG_14_0000_max_476x317.jpeg"
"169947998","West Midlands","Warehouse","Cameron Robb Ltd, Cheapside, Digbeth, Birmingham, B12 0QH","POA","","","","A Rare Opportunity to Acquire a Substantial Industrial Facility in Digbeth, Birmingham for Existing Use or Redevelopment - STPP","https://www.rightmove.co.uk/properties/169947998#/?channel=COM_BUY","2025-12-03T10:33:02Z","","new","Marketed by Siddall Jones Ltd, Birmingham","","52.471551","-1.886351","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169947998/103822_344743-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169947998/103822_344743-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169947998/103822_344743-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169947998/103822_344743-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169947998/103822_344743-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169947998/103822_344743-1_IMG_05_0000_max_476x317.jpeg"
"169933637","West Midlands","Land","Land Adjacent to 15 Goscote Road, Pelsall WS3 4LE","£70,000","","",""," Set in a popular location within easy reach of the local amenities within Pelsall Village, Paul Carr Land and New Homes are pleased to offer for sale a plot of land for which planning permission has been granted for the erection of one, four bedroom detached house to the side of 15 Goscote Road...","https://www.rightmove.co.uk/properties/169933637#/?channel=COM_BUY","2025-12-02T17:26:50Z","","new","Marketed by Paul Carr Land & New Homes, Aldridge","","52.619598","-1.970194","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35100/169933637/35100_12794951_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35100/169933637/35100_12794951_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35100/169933637/35100_12794951_IMG_02_0000_max_476x317.jpeg"
"169922336","West Midlands","Retail Property (high street)","1-3 Garretts Green Lane and 232-234 Barrows Lane, Birmingham, B26 1RL","£320,000","Offers in Excess of","","","Fully-Let Retail Parade","https://www.rightmove.co.uk/properties/169922336#/?channel=COM_BUY","2025-12-02T14:42:19Z","","new","Marketed by Siddall Jones Ltd, Birmingham","","52.465301","-1.79616","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169922336/103822_344787-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169922336/103822_344787-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169922336/103822_344787-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169922336/103822_344787-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169922336/103822_344787-1_IMG_04_0000_max_476x317.jpeg"
"169912418","West Midlands","Takeaway","Leasehold Fish & Chip Takeaway, Coventry, West Midlands, ","£285,000","Leasehold","1","","Leasehold Fish & Chip Takeaway Located In Coventry. One Bedroom Flat Above. High Turnover. No Deliveries. 5 Star Food Hygiene Rating. Great Reputation & Online Reviews.Confidential Sale. No Approaches Are To Be Made Direct.","https://www.rightmove.co.uk/properties/169912418#/?channel=COM_BUY","2025-12-02T12:06:17Z","","new","Marketed by VERITAS BUSINESS SALES LTD, Midlands","","52.44485","-1.51003","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156764/169912418/156764_3201_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156764/169912418/156764_3201_IMG_01_0000_max_476x317.png"
"169885109","West Midlands","Warehouse","Clow Business Park, Garratts Lane, Cradley Heath, B64 5RG","£1,500,000","Offers in Region of","","","Multi-Let Industrial Investment","https://www.rightmove.co.uk/properties/169885109#/?channel=COM_BUY","2025-12-01T15:37:56Z","","size_change","Marketed by Siddall Jones Ltd, Birmingham","","52.478879","-2.060521","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169885109/103822_331302-1_IMG_10_0000_max_476x317.jpeg"
"166228841","West Midlands","Plot","Red Lane, Burton Green, Kenilworth","£425,000","","","","* CALLING ALL SELF-BUILDERS! A Plot With Full Planning Permission For a Residential Dwelling In Desirable Location* A substantial plot of land on offer with planning permission GRANTED for a single residential dwelling and double garage. The plot size totals 1.09 acres with approximatel...","https://www.rightmove.co.uk/properties/166228841#/?channel=COM_BUY","2025-08-26T15:57:20Z","","price_reduced","Marketed by Sheldon Bosley Knight, Land & New Homes, Warwickshire","","52.376327","-1.603347","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156785/166228841/156785_33496363_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156785/166228841/156785_33496363_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156785/166228841/156785_33496363_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156785/166228841/156785_33496363_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156785/166228841/156785_33496363_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156785/166228841/156785_33496363_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156785/166228841/156785_33496363_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156785/166228841/156785_33496363_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/157k/156785/166228841/156785_33496363_IMG_09_0000_max_476x317.jpeg"
