id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"155170571","Aberdeenshire","Office","Pilgrim House, Old Ford Road, Aberdeen, AB11 5RL","POA","","","","High Specification Building Available for Lease within Close Proximity to Aberdeen City Centre & Harbour Pilgrim House has been designed to provide open plan accommodation of a high specification arranged over three floors and generous reception area at ground floor level. The first and second f...","https://www.rightmove.co.uk/properties/155170571#/?channel=COM_LET","2024-11-20T11:40:13Z","","size_change","Marketed by Knight Frank, Aberdeen - Commercial","","57.1394","-2.0965","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/155170571/155486_ABC012438883_IMG_17_0001_max_476x317.jpeg"
"169955192","Aberdeenshire","Office","Venture Drive, Westhill, Aberdeenshire, AB32","£8,025 pcm","","","","Self Contained Modern Office Space ","https://www.rightmove.co.uk/properties/169955192#/?channel=COM_LET","2025-12-03T12:28:10Z","","new","Marketed by F.G. BURNETT LIMITED, Aberdeen","","57.1464","-2.27217","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f4b522a03/169955192/f4b522a031423b9702437c258efa99a1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/13e84de22/169955192/13e84de2242a7a3bab91a85d82751423_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f3ea5e2a2/169955192/f3ea5e2a250b1e39684d4926af79cfe4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d9fb1bf15/169955192/d9fb1bf15a164366db030f8adf388517_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b99ba8e6d/169955192/b99ba8e6d97e876136bd25234e66a6b7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/58673cb06/169955192/58673cb06bd72dff885350e63ceab455_max_476x317.jpeg"
"169823774","Aberdeenshire","Light Industrial","Unit 5 Lochinch Business Park, Aberdeen, AB12","£3,125 pcm","Fixed Price","","","Lochinch Business Park is an established and strategically positioned commercial location to the south of Aberdeen City Centre, benefitting from immediate access onto the A90 dual carriageway (AWPR) at the Charleston junction. This provides direct routes north to Aberdeen City Centre (approximate...","https://www.rightmove.co.uk/properties/169823774#/?channel=COM_LET","2025-11-28T14:35:48Z","","new","Marketed by DM Hall, Aberdeen","","57.099393","-2.111452","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146201/169823774/146201_ACA1923_IMG_00_0000_max_476x317.jpeg"
"169688102","Aberdeenshire","Business Park","Vanta, Prospect Road, Arnhall Business Park, Westhill, Aberdeenshire, AB32","POA","","","","Fully refurbished CAT A, ""Plug and Play"" office suites from 5,672 sq to 23,290 sq ft Vanta will offer contemporary fully refurbished flexible office space. Confident and modern, the fit-out design is pushing the boundaries for modern office workspace offering a mix of working environ...","https://www.rightmove.co.uk/properties/169688102#/?channel=COM_LET","2025-11-25T11:55:41Z","","new","Marketed by Knight Frank, Aberdeen - Commercial","","57.14479","-2.27766","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169688102/155486_ABC012547162-L_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169688102/155486_ABC012547162-L_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169688102/155486_ABC012547162-L_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169688102/155486_ABC012547162-L_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169688102/155486_ABC012547162-L_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169688102/155486_ABC012547162-L_IMG_05_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169688102/155486_ABC012547162-L_IMG_06_0002_max_476x317.jpeg"
"169684247","Aberdeenshire","Retail Property (high street)","9 St Andrew Street, Aberdeen, AB25 1BQ","£1,000 pcm","","","","Prominent City Centre Retail Unit located on the north side of St Andrew Street, directly opposite the former John Lewis Department Store and close to the junction with George Street","https://www.rightmove.co.uk/properties/169684247#/?channel=COM_LET","2025-11-25T11:08:21Z","","new","Marketed by Ryden LLP, Aberdeen","","57.150555","-2.101298","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169684247/288002_10209LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169684247/288002_10209LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169684247/288002_10209LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169684247/288002_10209LH_IMG_03_0000_max_476x317.jpeg"
"169697567","Aberdeenshire","Office","33 Albyn Place, Aberdeen","POA","","","","Open plan office, with fit out, within a prestigious West End location","https://www.rightmove.co.uk/properties/169697567#/?channel=COM_LET","2025-11-25T14:23:22Z","","new","Marketed by Ryden LLP, Aberdeen","","57.142708","-2.121642","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169697567/288002_6405LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169697567/288002_6405LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169697567/288002_6405LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169697567/288002_6405LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169697567/288002_6405LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169697567/288002_6405LH_IMG_10_0000_max_476x317.jpeg"
"169660043","Aberdeenshire","Land","Yard Souterhead Road, Altens Industrial Estate, Altens, Aberdeen,  AB12","£0 pcm","","","","Secure yard in Altens Industrial Estate Per sq ft £0.93 per sq ft The property comprises a secure yard extending to 21,383 sqft (0.49 acres) The site is secured by palisade fencing and suitable for industrial open storage. The yard is located on Souter Head Road. one of...","https://www.rightmove.co.uk/properties/169660043#/?channel=COM_LET","2025-11-24T15:33:54Z","","new","Marketed by Knight Frank, Aberdeen - Commercial","","57.109","-2.079","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169660043/155486_ABC012532589_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169660043/155486_ABC012532589_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169660043/155486_ABC012532589_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155486/169660043/155486_ABC012532589_IMG_03_0000_max_476x317.jpeg"
"169646486","Aberdeenshire","Retail Property (Shopping Centre)","Guild Square, Aberdeen, Aberdeenshire, AB11","£4,167 pcm","","","","Mall unit in one of Scotland's premier retail and leisure destinations","https://www.rightmove.co.uk/properties/169646486#/?channel=COM_LET","2025-11-24T12:01:35Z","","new","Marketed by F.G. BURNETT LIMITED, Aberdeen","","57.14432","-2.09616","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/169646486/71499_UnitFS11UnionSquare_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/169646486/71499_UnitFS11UnionSquare_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/169646486/71499_UnitFS11UnionSquare_IMG_02_0000_max_476x317.jpeg"
"169519226","Aberdeenshire","Retail Property (high street)","Back Wynd, Aberdeen, Aberdeenshire, AB10","£2,083 pcm","","","","City Centre Retail Unit ","https://www.rightmove.co.uk/properties/169519226#/?channel=COM_LET","2025-11-20T10:04:11Z","","new","Marketed by F.G. BURNETT LIMITED, Aberdeen","","57.14692","-2.1003","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/169519226/71499_14BackWynd_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/169519226/71499_14BackWynd_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/169519226/71499_14BackWynd_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/169519226/71499_14BackWynd_IMG_03_0000_max_476x317.jpeg"
"169431788","Aberdeenshire","Office","1 Albyn Place, Aberdeen, AB10 1YE","POA","","","","High quality refurbished office with fit out located at an extremely prominent and high profile location on the south side of Albyn Place close to Holburn Junction within the West End office area of the City.","https://www.rightmove.co.uk/properties/169431788#/?channel=COM_LET","2025-11-18T09:35:22Z","","new","Marketed by Ryden LLP, Aberdeen","","57.142567","-2.114496","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169431788/288002_7835LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169431788/288002_7835LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169431788/288002_7835LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169431788/288002_7835LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169431788/288002_7835LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169431788/288002_7835LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169431788/288002_7835LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/169431788/288002_7835LH_IMG_07_0000_max_476x317.jpeg"
