id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169877414","Argyll & Bute","Office","Camas House, European Marine Science Park, Dunstaffnage, Oban, Argyll And Bute, PA37 1SZ","POA","","","","Opening in early 2026, Camas House is the next step in supporting marine sector growth at the European Marine Science Park (EMSP). EMSP is a landmark marine science facility situated in Argyll, on Scotland's west coast. Set into a stunning natural environment, the EMSP is the ideal place in Scot...","https://www.rightmove.co.uk/properties/169877414#/?channel=COM_LET","2025-12-01T13:31:44Z","","new","Marketed by Ryden LLP, Glasgow","","56.451321","-5.443237","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169877414/287999_18671LH_IMG_08_0000_max_476x317.jpeg"
"169862147","Argyll & Bute","Science Park","Malin House, Suite 11, European Marine Science Park, Dunstaffnage, Oban, Argyll And Bute, PA37 1SZ","POA","","","","To Let laboratory space with write-up/offices situated on the ground floor of Malin House by Oban. Further information on the fit out and equipment can be provided on application","https://www.rightmove.co.uk/properties/169862147#/?channel=COM_LET","2025-12-01T11:02:15Z","","new","Marketed by Ryden LLP, Glasgow","","56.451321","-5.443237","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169862147/287999_18668LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169862147/287999_18668LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169862147/287999_18668LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169862147/287999_18668LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169862147/287999_18668LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169862147/287999_18668LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169862147/287999_18668LH_IMG_06_0000_max_476x317.jpeg"
"169452290","Argyll & Bute","Commercial Property","Sandbank Business Park, Dunoon","£129 pcm","From","","1","New industrial units 2025 For rent - Sandbank Business Park, Dunoon, PA23 8PB. Overview: Fully gated and fenced compound CCTV Floodlights Off street parking Dedicated space for advertising signage boards Electricity, water, waste water connections","https://www.rightmove.co.uk/properties/169452290#/?channel=COM_LET","2025-11-18T15:15:25Z","","new","Marketed by Rojoe Properties, Greenock","","55.974969","-4.93808","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/169452290/287054_629_HFIN_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/169452290/287054_629_HFIN_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/169452290/287054_629_HFIN_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/169452290/287054_629_HFIN_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/169452290/287054_629_HFIN_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287054/169452290/287054_629_HFIN_IMG_05_0000_max_476x317.jpeg"
"169338194","Argyll & Bute","Industrial Park","The Rankin Site, Highland Avenue, Sandbank Industrial Estate, Dunoon, PA23 8RP","POA","","","","The subjects comprise an individual platformed development site of conventional shape measuring 0.69 hectares / 1.70 acres or thereby. The site is bordered on three sides by mature trees which provide natural screening whilst the south western boundary is relatively open and sits adjacent to a pu...","https://www.rightmove.co.uk/properties/169338194#/?channel=COM_LET","2025-11-14T11:33:15Z","","new","Marketed by Ryden LLP, Glasgow","","55.974941","-4.940862","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338194/287999_18605LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338194/287999_18605LH_IMG_01_0000_max_476x317.jpeg"
"169338176","Argyll & Bute","Office","Malin House, Suite 6, European Marine Science Park, Dunstaffnage, Oban, Argyll And Bute, PA37 1SZ","POA","","","","Malin House provides high quality laboratory and office accommodation within the European Marine Science Park, an established location for Marine Science just 3 miles to the North of Oban. The creation of a marine business cluster with world renowned expertise at EMSP, provides an entrepreneuria...","https://www.rightmove.co.uk/properties/169338176#/?channel=COM_LET","2025-11-14T11:33:03Z","","size_change","Marketed by Ryden LLP, Glasgow","","56.451321","-5.443237","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338176/287999_18608LH_IMG_11_0000_max_476x317.jpeg"
"169338146","Argyll & Bute","Office","Malin House, Suite 12, The European Marine Science Park, Dunstaffnage, Oban, Argyll And Bute, PA37 1SZ","POA","","","","Malin House provides high quality laboratory and office accommodation in an established location for Marine Science. The subject suite is situated on the ground floor which was fitted out in 2021. It comprises high spec office and laboratory space including a fume hood with integrated sink. Furth...","https://www.rightmove.co.uk/properties/169338146#/?channel=COM_LET","2025-11-14T11:32:51Z","","size_change","Marketed by Ryden LLP, Glasgow","","56.451321","-5.443237","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338146/287999_18607LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338146/287999_18607LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338146/287999_18607LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338146/287999_18607LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338146/287999_18607LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338146/287999_18607LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338146/287999_18607LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338146/287999_18607LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338146/287999_18607LH_IMG_01_0000_max_476x317.jpeg"
"169338122","Argyll & Bute","Office","Malin House, The Moorings Suite, European Marine Science Park, Dunstaffnage, Oban, PA37 1SZ","POA","","","","The Moorings Suite, within Malin House, has a bespoke fit out to meet a range of flexible working options, and shares a location with a well-established marine science research, teaching and business community at Dunstaffnage.","https://www.rightmove.co.uk/properties/169338122#/?channel=COM_LET","2025-11-14T11:32:41Z","","new","Marketed by Ryden LLP, Glasgow","","56.451321","-5.443237","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338122/287999_18606LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338122/287999_18606LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338122/287999_18606LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169338122/287999_18606LH_IMG_03_0000_max_476x317.jpeg"
"167466929","Argyll & Bute","Hotel","Kingarth Hotel, Kingarth, Isle of Bute","£95,000 pcm","Offers in Region of","7","","CCL Property are delighted to present the Kingarth Hotel, a charming country inn in the scenic village of Kingarth, Isle of Bute. Available on a leasehold basis, the opportunity includes an initial premium of £95,000 to acquire the business, with a new lease at £36,000 per annum. Set within a tra...","https://www.rightmove.co.uk/properties/167466929#/?channel=COM_LET","2025-09-26T10:55:02Z","","new","Marketed by CCL Property, Elgin","","55.762961","-5.04011","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/167466929/64164_SPY-91909775_IMG_42_0000_max_476x317.jpeg"
"167325176","Argyll & Bute","Shop","West Clyde Street, Helensburgh, Dunbartonshire, G84","£750 pcm","","","","Helensburgh is a town on the north side of the Firth of Clyde within the Argyll and Bute council area. Helensburgh is situated 25 miles northwest of Glasgow and faces south over the Firth of Clyde.","https://www.rightmove.co.uk/properties/167325176#/?channel=COM_LET","2025-09-23T17:15:02Z","","new","Marketed by Lapsley McManus Property Consultants LTD, Glasgow","","56.00349","-4.73688","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9eed6f659/167325176/9eed6f65936d9d62ac36566879d026ec_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/32ebcfc5a/167325176/32ebcfc5a03cf7bb7b58d7b5e40ca133_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/906d3c357/167325176/906d3c35729dec915b3dcf951a52e4b1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9a82f8915/167325176/9a82f89159b2c467247e5d426941781d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f2e75a5c2/167325176/f2e75a5c2664a154ce94f45c252b5ae2_max_476x317.jpeg"
"164939189","Argyll & Bute","Workshop","Sandbank Industrial Estate, Highland Avenue, Dunoon, Argyll, PA23","£250 pcm","","","","Prime Industrial Units To Let - Dunoon","https://www.rightmove.co.uk/properties/164939189#/?channel=COM_LET","2025-07-25T10:44:17Z","","new","Marketed by Falconer Property Consultants Limited, Scotland","","55.97427","-4.93779","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/164939189/70314_SandbankIndustrialEstate_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/164939189/70314_SandbankIndustrialEstate_IMG_01_0000_max_476x317.jpeg"
