id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150246842","Ayrshire","Warehouse","Cumnock Business Park, Cumnock, Ayrshire, KA18","POA","","","","20,000–75,000 sq. ft.","20000","75000","1858","6968","Industrial Units on a secure 13 acre site. Previous bonded warehouse, amongst other features includes water supply from own borehole. Excellent road newtwork.","https://www.rightmove.co.uk/properties/150246842#/?channel=COM_LET","2024-07-15T12:16:24Z","","new","Marketed by GF1 Investments Limited, Kelloholm","","55.44012","-4.25439","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_07_0000_max_476x317.png"
"120147941","Ayrshire","Serviced Office","Ayr Business Centre, 2 Beresford Terrace, Ayr, KA7 2EG","£150 pcm","From","","","57 sq. ft.","57","57","5","5","AYR BUSINESS CENTRE comprises MODERN REFURBISHED OFFICE SPACE providing a range of suites to suit occupiers. The space is offered on an ALL INCLUSIVE package which includes SUPERFAST BROADBAND / WiFi, ALL FURNITURE, HEATING, UTILITIES, 24/7 ACCESS. There is NO VAT payable on the rent.","https://www.rightmove.co.uk/properties/120147941#/?channel=COM_LET","2022-02-18T10:01:27Z","","size_change","Marketed by Thomson Property Consultants, Glasgow","","55.45708","-4.6296","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99610/120147941/99610_Ayr_IMG_03_0000_max_476x317.jpeg"
"168992945","Ayrshire","Office","Avenue Street, Stewarton, Kilmarnock, Ayrshire, KA3 5AB","£595 pcm","Fixed Price","","","","","","","","Tenure: LEASEHOLD /FOR RENT  ****3D WALK THROUGH VIDEO AVAILABLE **** The ground floor office / retail unit shop is part of a one and half storey commercial property with residential flats on the upper location. The building is of brick and stone construction with a pitched tiled roof.  ...","https://www.rightmove.co.uk/properties/168992945#/?channel=COM_LET","2025-11-04T20:46:12Z","","price_reduced","Marketed by Mitchells Sales and Letting, Glasgow","","55.68097","-4.5148","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_12_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_13_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_14_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_15_0000_max_476x317.png"
"169750988","Ayrshire","Office","17 Portland Road, Kilmarnock, KA1","£1,450 pcm","","","","700 sq. ft.","700","700","65","65","Portland Road is an established and one of the most desirable office locations in Kilmarnock town centre, located a short distance from Kilmarnock railway station with regular services to Glasgow and the main bus terminal, serving all of Ayrshire and beyond. The building occupies a prominent posi...","https://www.rightmove.co.uk/properties/169750988#/?channel=COM_LET","2025-11-26T16:58:11Z","","new","Marketed by DM Hall, Glasgow","","55.607913","-4.50199","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/af1fb6d7f/169750988/af1fb6d7f7e959a659cc045f0ac4a8e5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cf0231162/169750988/cf02311629d091a8f3a17ba43fa25447_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f70a288ba/169750988/f70a288ba2cd7ed9b943960df41935ea_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a55f40e3d/169750988/a55f40e3daa92de313dbff7f3b0edb7b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/00ce358af/169750988/00ce358afb1d312036757e66da575b30_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/111c799ba/169750988/111c799ba1c7ff330c63ddaac46c6948_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a4154902e/169750988/a4154902eb0085d75cda8521e9741cfc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cc1a37861/169750988/cc1a37861ec24fe7fb419b5e84cddd47_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ae6b3aec3/169750988/ae6b3aec3c99dd0a3af4eb62903d5780_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3e841447d/169750988/3e841447d2b68cd52add0382679b715b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9c1e269c0/169750988/9c1e269c03998e3422e948353b43367b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/32267e63b/169750988/32267e63b7b15bb1a91d76264b0435bf_max_476x317.jpeg"
"167608544","Ayrshire","Mixed Use","High Glencairn Street, Kilmarnock, Ayrshire, KA1","£450 pcm","","","","445 sq. ft.","445","445","41","41","Flexible, all-inclusive treatment space ideal for health, wellness, or consulting professionals. Secure private entrance and strong footfall from the on-site gym and yoga studio.","https://www.rightmove.co.uk/properties/167608544#/?channel=COM_LET","2025-09-30T13:01:19Z","","price_reduced","Marketed by Lindsay Trading Limited, Irvine","","55.6026","-4.49683","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295157/167608544/295157_KS1002_IMG_00_0001_max_476x317.jpeg"
"721600970922641","Ayrshire","Light Industrial","5  6 Arkwright Way, North Newmoor Industrial Estate, Irvine, KA11 4JU","£4,167 pcm","","","","12,491 sq. ft.","12491","12491","1160","1160","Under refurbishment - end terraced industrial premises with secure yard currently","https://www.rightmove.co.uk/properties/721600970922641#/?channel=COM_LET","2025-11-26T11:40:06Z","","new","Marketed by G M Brown, Glasgow","","55.6158","-4.641865","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_05_0000_max_476x317.jpeg"
"721601285426065","Ayrshire","Light Industrial","Riccarton Road, Hurlford, Kilmarnock, KA1 5LQ","POA","","","","10,000–300,000 sq. ft.","10000","300000","929","27871","Industrial design and build opportunities available on a to let / for sale basis","https://www.rightmove.co.uk/properties/721601285426065#/?channel=COM_LET","2025-11-26T11:46:04Z","","new","Marketed by G M Brown, Glasgow","","55.595209","-4.465585","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601285426065/243653_335219-2_IMG_00_0000_max_476x317.jpeg"
"169685750","Ayrshire","Serviced Office","Caledonian House, High Street, Irvine, Ayrshire, KA12","£425 pcm","","","","130 sq. ft.","130","130","12","12","All-inclusive office or wellness space in a restored historic property. Flexible layout - ideal for therapists, consultants or creative professionals.","https://www.rightmove.co.uk/properties/169685750#/?channel=COM_LET","2025-11-25T11:37:47Z","","new","Marketed by Lindsay Trading Limited, Irvine","","55.6145","-4.66586","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/153b0c808/169685750/153b0c8086e8d83bca5ba7bd59cdc32e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0bd401266/169685750/0bd401266bc5c9b2bfa4739cb0e08b29_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9051fff6a/169685750/9051fff6a42986eae2f0d1073893ecd9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d3eb2d5d9/169685750/d3eb2d5d98973d5e8124168eb3e5f899_max_476x317.jpeg"
"100313996","Ayrshire","Office","Arthur Street, Ayr, Ayrshire, KA7","POA","","","","170–4,500 sq. ft.","170","4500","16","418","FULLY REFURBISHED OFFICES WITH LIFT ACCESS IN AYR TOWN CENTRE, EXCELLENT LOCATION NEXT TO TOWN CENTRE SHOPPING, PUBLIC TRANSPORT LINKS AND CAR PARKING, VARIOUS SUITES AVAILABLE FROM 170 SQFT TO 4,500 SQFT, HIGHLY COMPETITIVE RENTS & FLEXIBLE TERMS, VIEWING RECOMMENDED","https://www.rightmove.co.uk/properties/100313996#/?channel=COM_LET","2020-11-24T11:59:15Z","","new","Marketed by DM Hall, Glasgow","","55.46198","-4.63167","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/100313996/145094_wsa1126_IMG_18_0000_max_476x317.jpeg"
"169503815","Ayrshire","Commercial Property","1 Boat Vennal, Ayr, KA7","POA","","","","8,331 sq. ft.","8331","8331","774","774","?Loudoun Hall? is located on Boat Vennal, in the heart of Ayr town centre a short distance from its junction with the north end of High Street, New Bridge Street and Sandgate. There is public car parking adjacent to the property, accessed off South Harbour Street with partial outlook on to River ...","https://www.rightmove.co.uk/properties/169503815#/?channel=COM_LET","2025-11-19T17:07:29Z","","new","Marketed by DM Hall, Glasgow","","55.465035","-4.632768","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fbfdeff74/169503815/fbfdeff74f852284ec777489c822b6cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fbfdeff74/169503815/fbfdeff74f852284ec777489c822b6cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6cfb5898f/169503815/6cfb5898f49a6a4b7776a932df5c6f3b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d3151bffd/169503815/d3151bffd3038c7729dcd31c90f6f811_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3bf78c6fe/169503815/3bf78c6fed2e97fa06bbd7eece4ac4c6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/72d01db99/169503815/72d01db99d7c762dee3606885aa9bc86_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6cf1e6337/169503815/6cf1e6337a16037f51d6d3386ea107c9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/db441ab9a/169503815/db441ab9ae9325ecb982572ace8fe8d4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2e485d7ad/169503815/2e485d7ad4818f51fb4ffc4eba346d6f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fd4b9c5b8/169503815/fd4b9c5b83bd52ebcebc17f281ce2d38_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2326497c0/169503815/2326497c082ef60e5154ff36953e8947_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ea9a0dbb9/169503815/ea9a0dbb98bd7d7eb4bac3ccf18ad1d1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/20939575c/169503815/20939575cb83684050a16043cc8ccff2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5b0c01712/169503815/5b0c01712b27c343c14b472f43d064ab_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/368b6cd10/169503815/368b6cd1082d6c35c87b3e6df4dc0065_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/50145238e/169503815/50145238e64997f3ba9d3a357cd2790e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8ecedce5d/169503815/8ecedce5d38848aa2281687ce946a80e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e5e777d88/169503815/e5e777d882a0a5021bc121c6780eccec_max_476x317.jpeg"
