id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"151754849","Banffshire","Serviced Office","Oldmarket Place, Banff, Banffshire, AB45 1GE","£95 pcm","From","","4","108–2,680 sq. ft.","108","2680","10","249","Flexible coworking in HQ Banff, 1 Old Market Place. Work surrounded by green space, with sleek interiors and a collaborative business vibe.","https://www.rightmove.co.uk/properties/151754849#/?channel=COM_LET","2024-08-27T11:47:06Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","57.66448","-2.51847","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_07_0000_max_476x317.jpeg"
"167841761","Banffshire","Retail Property (high street)","High Street, Banff, Banffshire, AB45","£1,375 pcm","","","","2,427 sq. ft.","2427","2427","225","225","Retail unit within Banff town centre ","https://www.rightmove.co.uk/properties/167841761#/?channel=COM_LET","2025-10-06T10:57:58Z","","new","Marketed by F.G. BURNETT LIMITED, Aberdeen","","57.66382","-2.52309","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/167841761/71499_24HighStreet_IMG_00_0000_max_476x317.png"
"151754849","Banffshire","Serviced Office","Oldmarket Place, Banff, Banffshire, AB45 1GE","£95 pcm","From","","4","108–2,680 sq. ft.","108","2680","10","249","Flexible coworking in HQ Banff, 1 Old Market Place. Work surrounded by green space, with sleek interiors and a collaborative business vibe.","https://www.rightmove.co.uk/properties/151754849#/?channel=COM_LET","2024-08-27T11:47:06Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","57.66448","-2.51847","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151754849/129853_UKcw8294_IMG_07_0000_max_476x317.jpeg"
"151755536","Banffshire","Serviced Office","Oldmarket Place, Banff, Banffshire, AB45 1GE","£429 pcm","From","","4","162–2,680 sq. ft.","162","2680","15","249","Private workspace for up to 3 in Banff, 1 Old Market Place. Fully flexible, with ergonomic furniture and fast Wi-Fi included.","https://www.rightmove.co.uk/properties/151755536#/?channel=COM_LET","2024-08-27T11:59:11Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","57.66448","-2.51847","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755536/129853_UK3ws8294_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755536/129853_UK3ws8294_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755536/129853_UK3ws8294_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755536/129853_UK3ws8294_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755536/129853_UK3ws8294_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755536/129853_UK3ws8294_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755536/129853_UK3ws8294_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755536/129853_UK3ws8294_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755536/129853_UK3ws8294_IMG_10_0000_max_476x317.jpeg"
"154757240","Banffshire","Serviced Office","Aberdeenshire, Banff, Banff Business Centre, 8 Low Street, AB45 1AS","£85 pcm","From","","4","108–2,800 sq. ft.","108","2800","10","260","Flexible coworking in HQ Banff, Business Centre. Work surrounded by green space, with sleek interiors and a collaborative business vibe.","https://www.rightmove.co.uk/properties/154757240#/?channel=COM_LET","2024-11-08T12:11:46Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","57.66356","-2.52141","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/154757240/129853_UKcw8059_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/154757240/129853_UKcw8059_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/154757240/129853_UKcw8059_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/154757240/129853_UKcw8059_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/154757240/129853_UKcw8059_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/154757240/129853_UKcw8059_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/154757240/129853_UKcw8059_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/154757240/129853_UKcw8059_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/154757240/129853_UKcw8059_IMG_07_0000_max_476x317.jpeg"
"148445204","Banffshire","Serviced Office","Aberdeenshire, Banff, Banff Business Centre, 8 Low Street, AB45 1AS","£349 pcm","From","","4","162–2,800 sq. ft.","162","2800","15","260","Private workspace for up to 3 in Banff, Business Centre. Fully flexible, with ergonomic furniture and fast Wi-Fi included.","https://www.rightmove.co.uk/properties/148445204#/?channel=COM_LET","2024-05-28T08:45:43Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","57.66356","-2.52141","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/148445204/129853_UK3ws8059_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/148445204/129853_UK3ws8059_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/148445204/129853_UK3ws8059_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/148445204/129853_UK3ws8059_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/148445204/129853_UK3ws8059_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/148445204/129853_UK3ws8059_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/148445204/129853_UK3ws8059_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/148445204/129853_UK3ws8059_IMG_09_0000_max_476x317.jpeg"
"160341188","Banffshire","Industrial Park","Tarlair Business Park, Old Gamrie Road, Macduff, AB44 1RU","POA","","","","21,780–204,732 sq. ft.","21780","204732","2023","19020","Development Opportunity Serviced Site","https://www.rightmove.co.uk/properties/160341188#/?channel=COM_LET","2025-04-07T12:02:31Z","","new","Marketed by Ryden LLP, Aberdeen","","57.667412","-2.478717","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288002/160341188/288002_3385LH_IMG_00_0000_max_476x317.jpeg"
"151755290","Banffshire","Serviced Office","Banff, Aberdeenshire, AB45 1GE","£209 pcm","From","","4","86–538 sq. ft.","86","538","8","50","Find office space in HQ Banff, 1 Old Market Place for 1 person with everything taken care of","https://www.rightmove.co.uk/properties/151755290#/?channel=COM_LET","2024-08-27T12:03:04Z","","price_reduced","Marketed by IW Group Services (UK) Limited, Regus","","57.66448","-2.51847","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755290/129853_UK1ws8294_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755290/129853_UK1ws8294_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755290/129853_UK1ws8294_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755290/129853_UK1ws8294_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755290/129853_UK1ws8294_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755290/129853_UK1ws8294_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755290/129853_UK1ws8294_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755290/129853_UK1ws8294_IMG_07_0001_max_476x317.jpeg"
"151755917","Banffshire","Serviced Office","Banff, Aberdeenshire, AB45 1GE","£649 pcm","From","","4","323–807 sq. ft.","323","807","30","75","All-inclusive access to professional office space for 5 people in HQ Banff, 1 Old Market Place","https://www.rightmove.co.uk/properties/151755917#/?channel=COM_LET","2024-08-27T12:05:42Z","","price_reduced","Marketed by IW Group Services (UK) Limited, Regus","","57.66448","-2.51847","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755917/129853_UK5ws8294_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755917/129853_UK5ws8294_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755917/129853_UK5ws8294_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755917/129853_UK5ws8294_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755917/129853_UK5ws8294_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755917/129853_UK5ws8294_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151755917/129853_UK5ws8294_IMG_06_0001_max_476x317.jpeg"
"151756490","Banffshire","Serviced Office","Banff, Aberdeenshire, AB45 1GE","£1,298 pcm","From","","4","484–1,184 sq. ft.","484","1184","45","110","Open plan office space for 10 people in HQ Banff, 1 Old Market Place","https://www.rightmove.co.uk/properties/151756490#/?channel=COM_LET","2024-08-27T12:35:50Z","","price_reduced","Marketed by IW Group Services (UK) Limited, Regus","","57.66448","-2.51847","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151756490/129853_UKop8294_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151756490/129853_UKop8294_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151756490/129853_UKop8294_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151756490/129853_UKop8294_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151756490/129853_UKop8294_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151756490/129853_UKop8294_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/151756490/129853_UKop8294_IMG_06_0000_max_476x317.jpeg"
