id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"82314457","Barnet","Office","High Street, Barnet, EN5","£8,978 pcm","","","","3,078 sq. ft.","3078","3078","286","286","New town centre mixed use development comprising 59 apartments and 8112 sq ft of commercial accommodation. The development is located off Barnet High Street (A1000) , opposite The Spires Shopping Centre and surrounded by many restaurants, and multiple retailers and commercial service companies. ","https://www.rightmove.co.uk/properties/82314457#/?channel=COM_LET","2020-07-17T20:40:12Z","","size_change","Marketed by Petermans, London","","51.65589","-0.20114","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45479/82314457/45479_EDG200131_L_IMG_06_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45479/82314457/45479_EDG200131_L_IMG_07_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45479/82314457/45479_EDG200131_L_IMG_08_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45479/82314457/45479_EDG200131_L_IMG_09_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45479/82314457/45479_EDG200131_L_IMG_10_0000_max_476x317.jpg"
"723054456724224","Barnet","Light Industrial","1  2 Allum Way, Totteridge  Whetstone Station, Totteridge Lane, London, N20 9QP","POA","","","","65,340 sq. ft.","65340","65340","6070","6070","Prime open storage site, offering excellent access to transport links situated adjacent to Totteridge and Whetstone underground station.","https://www.rightmove.co.uk/properties/723054456724224#/?channel=COM_LET","2025-12-04T14:48:05Z","","new","Marketed by Savills, Margaret Street - Industrial","","51.632249","-0.178722","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723054456724224/214130_273251-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723054456724224/214130_273251-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723054456724224/214130_273251-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723054456724224/214130_273251-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723054456724224/214130_273251-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723054456724224/214130_273251-2_IMG_05_0000_max_476x317.png"
"167648621","Barnet","Retail Property (high street)","High Street, High Barnet, EN5","£2,167 pcm","","","","","","","","","Aleco Estate Agents are delighted to offer this well-positioned commercial unit to let, located on the bustling High Street of High Barnet (A1000). Surrounded predominantly by independent businesses, this property presents a fantastic opportunity for a barber shop or a variety of alternative uses, s","https://www.rightmove.co.uk/properties/167648621#/?channel=COM_LET","2025-10-01T10:04:25Z","","new","Marketed by Aleco Estate Agents, East Barnet","","51.65276","-0.19972","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75997/167648621/75997_dgfmd_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75997/167648621/75997_dgfmd_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75997/167648621/75997_dgfmd_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75997/167648621/75997_dgfmd_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75997/167648621/75997_dgfmd_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75997/167648621/75997_dgfmd_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75997/167648621/75997_dgfmd_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75997/167648621/75997_dgfmd_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/76k/75997/167648621/75997_dgfmd_IMG_08_0000_max_476x317.jpeg"
"169982357","Barnet","Office","Grand Arcade, N12","£1,600 pcm","","","","1,232 sq. ft.","1232","1232","114","114","A versatile first-floor office at Industrial House, Grand Arcade, N12, offering flexible commercial space ideal for a variety of businesses. The property comprises a large open-plan office area, four separate rooms including two spacious meeting rooms, a reception area, a smaller private room, an...","https://www.rightmove.co.uk/properties/169982357#/?channel=COM_LET","2025-12-04T09:03:55Z","","price_reduced","Marketed by Tony Alan Estates - Commercial, London","","51.61338","-0.17643","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1381a12f9/169982357/1381a12f997ac8ef0d7babcbbc27bcff_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/671336e3f/169982357/671336e3f22a33971ebd867249bb6470_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/822d8e68b/169982357/822d8e68b22489dc39894d1214fdafcb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1db906c3a/169982357/1db906c3ad59d25b2a27f177897e8454_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/70bc07aef/169982357/70bc07aef57963a0fb584eb13bcaa1b2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1a33e769e/169982357/1a33e769ea756081e933cced457fea1e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6b5193670/169982357/6b5193670078435b2585a0907f08a45d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/481082676/169982357/481082676813f476c3a3e8f4d9604dda_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/feadee839/169982357/feadee839f08580a6762fec83ec65696_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f67086bbf/169982357/f67086bbfdf91c08f3cbd4759655ab67_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ad7c7eea7/169982357/ad7c7eea72d79823b272976cea5df20a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5d15e3e66/169982357/5d15e3e66eeba593f200ec77a9aadddf_max_476x317.jpeg"
"169973738","Barnet","Office","Block B, Queens Road, Barnet, London, EN5","£40,000 pcm","","","","2,728 sq. ft.","2728","2728","253","253","LOCATION Located just over a mile from High Barnet Underground Station, the property is also a 15-minute walk from High Barnet High Street. Queens Road is located off Wood Street, Barnet, in a peaceful residential turning. The unit is located towards the end of Wood Street, with close access...","https://www.rightmove.co.uk/properties/169973738#/?channel=COM_LET","2025-12-03T17:42:54Z","","new","Marketed by Drivers & Norris, Islington- Lettings","","51.655342","-0.214939","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973738/54616_DAN250632_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973738/54616_DAN250632_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973738/54616_DAN250632_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973738/54616_DAN250632_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973738/54616_DAN250632_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973738/54616_DAN250632_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973738/54616_DAN250632_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973738/54616_DAN250632_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973738/54616_DAN250632_L_IMG_08_0000_max_476x317.jpeg"
"169973087","Barnet","Office","Block E, Queens Road, Barnet, London, EN5","£4,583 pcm","","","","3,171 sq. ft.","3171","3171","295","295","LOCATION Located just over a mile from High Barnet Underground Station, the property is also a 15-minute walk from High Barnet High Street. Queens Road is located off Wood Street, Barnet, in a peaceful residential turning. The unit is located towards the end of Wood Street, with close access...","https://www.rightmove.co.uk/properties/169973087#/?channel=COM_LET","2025-12-03T17:29:28Z","","new","Marketed by Drivers & Norris, Islington- Lettings","","51.655342","-0.214939","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54616/169973087/54616_DAN250631_L_IMG_13_0000_max_476x317.jpeg"
"169935497","Barnet","Retail Property (high street)","The Market Place, Falloden Way, London, NW11","£2,083 pcm","","","","","","","","","A retail unit previously used as office space available immediately in good condition throughout.","https://www.rightmove.co.uk/properties/169935497#/?channel=COM_LET","2025-12-02T18:10:59Z","","new","Marketed by Hendon Estates, London","","51.58549","-0.18159","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170990/169935497/170990_HE_JHJKD416068_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170990/169935497/170990_HE_JHJKD416068_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170990/169935497/170990_HE_JHJKD416068_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170990/169935497/170990_HE_JHJKD416068_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170990/169935497/170990_HE_JHJKD416068_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170990/169935497/170990_HE_JHJKD416068_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170990/169935497/170990_HE_JHJKD416068_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/171k/170990/169935497/170990_HE_JHJKD416068_IMG_07_0000_max_476x317.jpeg"
"169924487","Barnet","Retail Property (high street)","East Barnet Road, East Barnet, Barnet, Hertfordshire, EN4","£2,083 pcm","","","","","","","","","Ground floor lock up shop just under 800 sq.ft. approx. with a frontage of 26'6ft approx. Majority being retail space with ancillary made up of storage and a w.c. Shared yard at rear with loading door to service road.","https://www.rightmove.co.uk/properties/169924487#/?channel=COM_LET","2025-12-02T15:14:23Z","","new","Marketed by Paul Simon Seaton Commercial Estate Agents Ltd, London","","51.642792","-0.163694","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169924487/99743_1809LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169924487/99743_1809LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169924487/99743_1809LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169924487/99743_1809LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169924487/99743_1809LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169924487/99743_1809LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169924487/99743_1809LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169924487/99743_1809LH_IMG_07_0000_max_476x317.jpeg"
"721603055492320","Barnet","Office","Balfour House, 741 High Road, North Finchley, N12 0EE","£7,994 pcm","","","","785–3,837 sq. ft.","785","3837","73","356","A selection of 5 suites with allocated parking","https://www.rightmove.co.uk/properties/721603055492320#/?channel=COM_LET","2025-11-26T11:57:04Z","","price_reduced","Marketed by Forest Real Estate, London","","51.613754","-0.176621","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/721603055492320/232625_80697-2_IMG_21_0000_max_476x317.jpeg"
"169737827","Barnet","Shop","Ballards Lane, Finchley, N12","£2,458 pcm","","","","518 sq. ft.","518","518","48","48","Located on Ballards Lane right next door to Tally Ho bus garage and Finchley's vibrant High Street, this 517.85 sq. ft. retail unit with 3-phase electric is available for a new business. The space features a versatile open plan layout, ideal for showcasing products or services, along with th...","https://www.rightmove.co.uk/properties/169737827#/?channel=COM_LET","2025-11-27T11:09:35Z","","new","Marketed by Home And Away Estates, London","","51.611646","-0.178265","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64469/169737827/64469_HOME_003707_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64469/169737827/64469_HOME_003707_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64469/169737827/64469_HOME_003707_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64469/169737827/64469_HOME_003707_IMG_03_0000_max_476x317.jpeg"
