id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150765491","Berkshire","Serviced Office","9 Greyfriars Road, Reading, Berkshire, United Kingdom RG1 1NU","£989 pcm","From","","4","Private office space for 2 in Spaces Greyfriars Road. Fully flexible, 24/7 access, secure, ergonomic furniture and all-inclusive services included.","https://www.rightmove.co.uk/properties/150765491#/?channel=COM_LET","2024-07-30T07:53:37Z","","size_change","Marketed by IW Group Services (UK) Limited, Spaces","","51.45778","-0.97597","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/150765491/68859_UK4ws4629_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/150765491/68859_UK4ws4629_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/150765491/68859_UK4ws4629_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/150765491/68859_UK4ws4629_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/150765491/68859_UK4ws4629_IMG_04_0000_max_476x317.jpeg"
"169947617","Berkshire","Warehouse","Unit 4, Hurricane Urban Hub, Reading, Berkshire, RG5 4SN","POA","","","","A NEW SPECULATIVE WAREHOUSE/INDUSTRIAL UNIT COMING SOON. CONSTRUCTION STARTS JULY 2024.","https://www.rightmove.co.uk/properties/169947617#/?channel=COM_LET","2025-12-03T10:27:24Z","","size_change","Marketed by Hollis Hockley, Reading","","51.452887","-0.892999","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947617/297365_200348-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947617/297365_200348-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947617/297365_200348-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947617/297365_200348-2_IMG_02_0000_max_476x317.jpeg"
"169947494","Berkshire","Warehouse","Unit 5, Hurricane Urban Hub, Reading, Berkshire, RG5 4SN","POA","","","","A NEW SPECULATIVE WAREHOUSE/INDUSTRIAL UNIT COMING SOON. CONSTRUCTION STARTS JULY 2024.","https://www.rightmove.co.uk/properties/169947494#/?channel=COM_LET","2025-12-03T10:25:59Z","","size_change","Marketed by Hollis Hockley, Reading","","51.452887","-0.892999","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947494/297365_200359-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947494/297365_200359-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947494/297365_200359-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947494/297365_200359-2_IMG_03_0000_max_476x317.jpeg"
"169947455","Berkshire","Warehouse","Unit 6, Hurricane Urban Hub, Reading, Berkshire, RG5 4SN","POA","","","","A NEW SPECULATIVE WAREHOUSE/INDUSTRIAL UNIT COMING SOON. CONSTRUCTION STARTS JULY 2024.","https://www.rightmove.co.uk/properties/169947455#/?channel=COM_LET","2025-12-03T10:25:25Z","","size_change","Marketed by Hollis Hockley, Reading","","51.452887","-0.892999","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947455/297365_200360-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947455/297365_200360-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947455/297365_200360-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947455/297365_200360-2_IMG_00_0000_max_476x317.jpeg"
"169947398","Berkshire","Warehouse","Unit 7, Hurricane Urban Hub, Reading, Berkshire, RG5 4SN","POA","","","","A NEW SPECULATIVE WAREHOUSE/INDUSTRIAL UNIT COMING SOON. CONSTRUCTION STARTS JULY 2024.","https://www.rightmove.co.uk/properties/169947398#/?channel=COM_LET","2025-12-03T10:24:47Z","","size_change","Marketed by Hollis Hockley, Reading","","51.452887","-0.892999","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947398/297365_200370-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947398/297365_200370-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947398/297365_200370-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169947398/297365_200370-2_IMG_02_0000_max_476x317.jpeg"
"148539074","Berkshire","Shop","23 Market Place, Newbury, RG14 5AA","£1,042 pcm","","","","The property comprises a ground floor retail unit situated in the Centre of Newbury Market Place. The property has been well fitted out as a cafe and can include the display fridges etc if required. The property includes a WC and kitchen area to the rear with display window, spot lighting and p...","https://www.rightmove.co.uk/properties/148539074#/?channel=COM_LET","2024-05-30T10:44:08Z","","new","Marketed by Quintons, Newbury","","51.400286","-1.322183","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/148539074/127330_2104LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/148539074/127330_2104LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/148539074/127330_2104LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/148539074/127330_2104LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/148539074/127330_2104LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/148539074/127330_2104LH_IMG_06_0000_max_476x317.jpeg"
"146465054","Berkshire","Light Industrial","Unit 6, Hungerford Trading Estate Smitham Bridge Road, Hungerford, West Berkshire, RG17 0QP","POA","","","","Unit 6 is a mid of terrace property constructed around a steel portal frame with brick and clad elevations under a fully insulated pitched roof. It has recently been comprehensively refurbished and is ready for immediate occupation. To the front of the units are ground and first floor offices w...","https://www.rightmove.co.uk/properties/146465054#/?channel=COM_LET","2024-04-05T08:10:30Z","","size_change","Marketed by Quintons, Newbury","","51.41283","-1.525106","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127330/146465054/127330_3398LH_IMG_15_0000_max_476x317.jpeg"
"169894118","Berkshire","Warehouse","Unit 8, Hurricane Urban Hub, Reading, Berkshire, RG5 4SN","POA","","","","A NEW SPECULATIVE WAREHOUSE/INDUSTRIAL UNIT COMING SOON. CONSTRUCTION STARTS JULY 2024.","https://www.rightmove.co.uk/properties/169894118#/?channel=COM_LET","2025-12-01T17:57:37Z","","size_change","Marketed by Hollis Hockley, Reading","","51.452887","-0.892999","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894118/297365_200371-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894118/297365_200371-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894118/297365_200371-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894118/297365_200371-2_IMG_00_0000_max_476x317.jpeg"
"169894103","Berkshire","Warehouse","Unit 1, Hurricane Urban Hub, Reading, Berkshire, RG5 4SN","POA","","","","A NEW SPECULATIVE WAREHOUSE/INDUSTRIAL UNIT COMING SOON. CONSTRUCTION STARTS JULY 2024.","https://www.rightmove.co.uk/properties/169894103#/?channel=COM_LET","2025-12-01T17:57:11Z","","size_change","Marketed by Hollis Hockley, Reading","","51.452887","-0.892999","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894103/297365_200357-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894103/297365_200357-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894103/297365_200357-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894103/297365_200357-2_IMG_03_0000_max_476x317.jpeg"
"169894088","Berkshire","Warehouse","Hurricane Urban Hub, Reading, Berkshire, RG5 4SN","POA","","","","A NEW SPECULATIVE WAREHOUSE/INDUSTRIAL DEVELOPMENT COMING SOON. CONSTRUCTION STARTS JULY 2024.","https://www.rightmove.co.uk/properties/169894088#/?channel=COM_LET","2025-12-01T17:56:40Z","","size_change","Marketed by Hollis Hockley, Reading","","51.452887","-0.892999","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894088/297365_200331-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894088/297365_200331-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894088/297365_200331-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169894088/297365_200331-2_IMG_01_0000_max_476x317.jpeg"
