id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167846918","Berwickshire","Shop","Unit 4, The Hirsel Homestead, Coldstream","£350 pcm","","","","473 sq. ft.","473","473","44","44","Discover the charm of working within one of the Scottish Borders’ most picturesque and welcoming locations. This is more than just a workspace – it’s an opportunity to become part of a thriving destination where heritage, natural beauty, and community spirit come together.","https://www.rightmove.co.uk/properties/167846918#/?channel=COM_LET","2025-10-06T11:52:24Z","","size_change","Marketed by Borders Country Lets, Kelso","","55.655376","-2.27559","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_09_0000_max_476x317.jpeg"
"167845946","Berwickshire","Commercial Property","Unit 5, Office 4, High Street, Melrose, Roxburghshire, TD6","£500 pcm","","","","587 sq. ft.","587","587","55","55","Highly Versatile Office, Studio, Treatment RoomNIA 54.53 sq m (587 sq ft)Guide Rent £6,000 per annum ","https://www.rightmove.co.uk/properties/167845946#/?channel=COM_LET","2025-10-06T11:54:11Z","","new","Marketed by EDWIN THOMPSON, Galashiels","","55.59839","-2.72267","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_06_0000_max_476x317.jpeg"
"166730672","Berwickshire","Commercial Property","Market Place, Eyemouth, Scottish Borders, TD14","£2,187 pcm","","","3","1,582 sq. ft.","1582","1582","147","147","We are delighted to present The Auld Bank to the market a beautifully renovated and fully-equipped bistro located in the heart of Eyemouth, a vibrant fishing town on the Berwickshire coast. This exceptional premises offers a rare opportunity for an experienced hospitality operator to step into a...","https://www.rightmove.co.uk/properties/166730672#/?channel=COM_LET","2025-09-08T15:36:27Z","","new","Marketed by Cullen Kilshaw Lettings, Galashiels","","55.87211","-2.08963","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_19_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_21_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_22_0001_max_476x317.jpeg"
"166039733","Berwickshire","Office","Greenknowe, Duns, Scottish Borders, TD11","£450 pcm","","","","","","","","","Three well-presented office units to let individually or as a whole (discounted rent on taking all three).","https://www.rightmove.co.uk/properties/166039733#/?channel=COM_LET","2025-08-21T09:17:53Z","","new","Marketed by FBR SEED, Haddington","","55.73676","-2.28838","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166039733/293045_P1220_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166039733/293045_P1220_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166039733/293045_P1220_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166039733/293045_P1220_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166039733/293045_P1220_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166039733/293045_P1220_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166039733/293045_P1220_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166039733/293045_P1220_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166039733/293045_P1220_IMG_10_0000_max_476x317.jpeg"
"163041281","Berwickshire","Commercial Property","Market Square, Melrose, Scottish Borders, TD6","£900 pcm","","","1","527 sq. ft.","527","527","49","49","An excellent opportunity to lease a high-quality ground floor retail unit in the heart of one of the Scottish Borders - most sought-after town centres. Extending to approximately 49 sqm, this well-presented commercial premises enjoys a prominent position within Melrose's vibrant Market Square, at...","https://www.rightmove.co.uk/properties/163041281#/?channel=COM_LET","2025-06-09T12:11:00Z","","price_reduced","Marketed by Cullen Kilshaw Lettings, Galashiels","","55.59686","-2.71932","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/163041281/256088_P880_IMG_16_0000_max_476x317.jpeg"
"158789153","Berwickshire","Commercial Property","General Purpose Unit, Ninewells, Duns, Berwickshire, TD11","£2,083 pcm","","","","8,400 sq. ft.","8400","8400","780","780","- Clear span portal framed insulated unit- Gross Internal Area 780.67 sq m (8,400 sq ft)- Good Access- Eaves height c. 7 m- Vehicular roller shutter door access","https://www.rightmove.co.uk/properties/158789153#/?channel=COM_LET","2025-02-27T16:02:24Z","","new","Marketed by EDWIN THOMPSON, Galashiels","","55.79942","-2.22791","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/158789153/230666_willis_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/158789153/230666_willis_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/158789153/230666_willis_IMG_02_0000_max_476x317.jpeg"
"158572193","Berwickshire","Office","Unit 9, Tweed Horizons Business & Conference Centre, TD6 0SG","£697 pcm","","","","475 sq. ft.","475","475","44","44","Gross internal area: 475 sqft | High quality office and business unit with double aspect windows | Turnkey condition | Monthly rental: £697, inclusive of service charges | One of eight units available.","https://www.rightmove.co.uk/properties/158572193#/?channel=COM_LET","2025-02-21T16:57:43Z","","new","Marketed by Cullen Kilshaw Lettings, Galashiels","","55.57863","-2.65759","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_02_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_03_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_04_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_05_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_06_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572193/256088_P835_IMG_00_0002_max_476x317.jpeg"
"158572160","Berwickshire","Office","Unit 14-16, Tweed Horizons Business & Conference Centre","£1,079 pcm","","","","","","","","","Monthly rental: £1,079, inclusive of service charges | Internal area: 719 sqft | Excellent access to national roads network via the A68 trunk road | Convenient position for access to the main Borders towns | Plentiful on-site parking | Suitable for a variety of office uses | One of eight un...","https://www.rightmove.co.uk/properties/158572160#/?channel=COM_LET","2025-02-21T16:57:37Z","","new","Marketed by Cullen Kilshaw Lettings, Galashiels","","55.57863","-2.65759","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_00_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_02_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_04_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_05_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_06_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_07_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_08_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572160/256088_P837_IMG_17_0000_max_476x317.jpeg"
"158572151","Berwickshire","Office","Unit 10, Tweed Horizons Business & Conference Centre,TD6 0SG","£914 pcm","","","","466 sq. ft.","466","466","43","43","Internal area: 466 sqft | Monthly rental: £914.00, inclusive of service charges | Sustainably sourced heating | Turnkey condition | One of eight units available","https://www.rightmove.co.uk/properties/158572151#/?channel=COM_LET","2025-02-21T16:57:34Z","","new","Marketed by Cullen Kilshaw Lettings, Galashiels","","55.57863","-2.65759","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_01_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_07_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_05_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_06_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_08_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158572151/256088_P836_IMG_17_0000_max_476x317.jpeg"
"154981676","Berwickshire","Office","Unit 12, Tweed Horizons Business & Conference Centre TD6 0SG","£1,425 pcm","","","","","","","","","Internal area: 950 sqft | Multi-aspect windows | Ideal for business headquarters or office space | Monthly rental: £1,425, inclusive of service charges | Abundance of parking available on site | One of eight units available.","https://www.rightmove.co.uk/properties/154981676#/?channel=COM_LET","2024-11-14T16:39:06Z","","new","Marketed by Cullen Kilshaw Lettings, Galashiels","","55.57863","-2.65759","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_02_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_04_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_05_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_06_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_07_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_08_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_01_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/154981676/256088_P785_IMG_17_0000_max_476x317.jpeg"
