id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"170014175","Borders","Land","Kinninghall Dell, Hawick, TD9","£700 pcm","","","","","","","","","Spacious barn designed for versatility, featuring a dedicated section with stalls equipped to comfortably house horses on one side. This area is well-ventilated and provides a caring environment for the horses. On the opposite side, a large open space accommodates a horse box, a car, or various h...","https://www.rightmove.co.uk/properties/170014175#/?channel=COM_LET","2025-12-04T16:15:49Z","","new","Marketed by Lowrie Property, Hawick","","55.43207","-2.73732","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280355/170014175/280355_P752_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280355/170014175/280355_P752_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280355/170014175/280355_P752_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280355/170014175/280355_P752_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280355/170014175/280355_P752_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280355/170014175/280355_P752_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280355/170014175/280355_P752_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280355/170014175/280355_P752_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280355/170014175/280355_P752_IMG_08_0000_max_476x317.jpeg"
"169196966","Borders","Shop","The Square, Kelso, Scottish Borders, TD5","£1,083 pcm","","","","538 sq. ft.","538","538","50","50","Located in one of the Scottish Borders' most picturesque towns, 35 The Square offers a fantastic ground-floor commercial space extending to approximately 50sqm. Currently operating as a popular cafe serving a variety of savoury and sweet treats, the property benefits from a Class 3 use, allowing ...","https://www.rightmove.co.uk/properties/169196966#/?channel=COM_LET","2025-11-10T16:48:08Z","","new","Marketed by Cullen Kilshaw Lettings, Galashiels","","55.59876","-2.43448","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/169196966/256088_P941_IMG_10_0000_max_476x317.jpeg"
"169107098","Borders","Distribution Warehouse","Deanfoot Road, West Linton, Edinburgh, EH46","POA","","","","1,038–15,745 sq. ft.","1038","15745","96","1463","15 Proposed new build business / light industrial units. The proposed new build scheme will comprise 15 energy efficient business / light industrial units suitable for a variety of uses, which will benefit from Class 4, 5 & 6 uses. The proposed units will extend to c. 98.00 sq.m (1,055 sq.ft)...","https://www.rightmove.co.uk/properties/169107098#/?channel=COM_LET","2025-11-07T10:35:05Z","","new","Marketed by Knight Frank, Edinburgh - Commercial","","55.756875","-3.344183","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155501/169107098/155501_ABC012425719_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155501/169107098/155501_ABC012425719_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155501/169107098/155501_ABC012425719_IMG_02_0000_max_476x317.jpeg"
"156820766","Borders","Commercial Property","121 High Street, Galashiels, Selkirkshire, TD1","£500 pcm","","","","682 sq. ft.","682","682","63","63","Modern Ground Floor Retail UnitRecently Refurbished Ground Floor PremisesGuide Rent £6,000 per annum ","https://www.rightmove.co.uk/properties/156820766#/?channel=COM_LET","2025-01-13T16:47:59Z","","price_reduced","Marketed by EDWIN THOMPSON, Galashiels","","55.61823","-2.81195","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/156820766/230666_GC25-01_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/156820766/230666_GC25-01_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/156820766/230666_GC25-01_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/156820766/230666_GC25-01_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/156820766/230666_GC25-01_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/156820766/230666_GC25-01_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/156820766/230666_GC25-01_IMG_00_0000_max_476x317.jpeg"
"168985073","Borders","Office","Suite 2, Anderson Chambers, Market Street, Galashiels, Selkirkshire, TD1","£579 pcm","","","","696 sq. ft.","696","696","65","65","Suite 2, First Floor, Anderson Chambers, GalashielsA great opportunity to let a first floor office in a Prime Town Centre LocationGuide Rent: £6,950 per annum (exclusive of VAT)","https://www.rightmove.co.uk/properties/168985073#/?channel=COM_LET","2025-11-04T16:37:56Z","","new","Marketed by EDWIN THOMPSON, Galashiels","","55.61644","-2.80506","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168985073/230666_Anderson01_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168985073/230666_Anderson01_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168985073/230666_Anderson01_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/168985073/230666_Anderson01_IMG_00_0000_max_476x317.jpeg"
"167846918","Borders","Shop","Unit 4, The Hirsel Homestead, Coldstream","£350 pcm","","","","473 sq. ft.","473","473","44","44","Discover the charm of working within one of the Scottish Borders’ most picturesque and welcoming locations. This is more than just a workspace – it’s an opportunity to become part of a thriving destination where heritage, natural beauty, and community spirit come together.","https://www.rightmove.co.uk/properties/167846918#/?channel=COM_LET","2025-10-06T11:52:24Z","","size_change","Marketed by Borders Country Lets, Kelso","","55.655376","-2.27559","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92486/167846918/92486_34218893_IMG_09_0000_max_476x317.jpeg"
"167845946","Borders","Commercial Property","Unit 5, Office 4, High Street, Melrose, Roxburghshire, TD6","£500 pcm","","","","587 sq. ft.","587","587","55","55","Highly Versatile Office, Studio, Treatment RoomNIA 54.53 sq m (587 sq ft)Guide Rent £6,000 per annum ","https://www.rightmove.co.uk/properties/167845946#/?channel=COM_LET","2025-10-06T11:54:11Z","","new","Marketed by EDWIN THOMPSON, Galashiels","","55.59839","-2.72267","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/167845946/230666_3816323_IMG_06_0000_max_476x317.jpeg"
"158343497","Borders","Commercial Property","6 Bridge Street, Kelso, TD5 7JD","£1,000 pcm","","","","2,831 sq. ft.","2831","2831","263","263","Presenting a charming mid-terraced townhouse-style office building, ideally situated in the heart of the historic market town of Kelso in the Scottish Borders. This unique property offers 10 well-appointed offices, making it an excellent choice for businesses seeking a central and prestigious lo...","https://www.rightmove.co.uk/properties/158343497#/?channel=COM_LET","2025-02-17T12:15:05Z","","price_reduced","Marketed by Cullen Kilshaw Lettings, Galashiels","","55.5976","-2.43336","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_05_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_06_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_07_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_08_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_09_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_11_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_12_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_14_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_15_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_16_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_19_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_20_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_21_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_22_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_23_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_24_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_25_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_26_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_27_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_28_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_29_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_30_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_31_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_32_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_33_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_34_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_35_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_36_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_37_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_38_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_39_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/158343497/256088_P832_IMG_40_0002_max_476x317.jpeg"
"167036693","Borders","Restaurant"," 23 Market Street , Galashiels , TD1","£3,750 pcm","","","","3,082 sq. ft.","3082","3082","286","286","Galashiels is situated off the A7 amidst the picturesque Borders countryside and lies approximately 18 miles from Peebles, 40 miles south of Edinburgh, 58 miles north of Carlisle. The town is located in the centre of the Scottish Borders with a population of approximately 11,000 persons and is...","https://www.rightmove.co.uk/properties/167036693#/?channel=COM_LET","2025-09-16T10:46:06Z","","new","Marketed by DM Hall, Edinburgh","","55.614788","-2.806065","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/167036693/146198_ESA3718_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/167036693/146198_ESA3718_IMG_02_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/167036693/146198_ESA3718_IMG_03_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/167036693/146198_ESA3718_IMG_04_0003_max_476x317.jpeg"
"166730672","Borders","Commercial Property","Market Place, Eyemouth, Scottish Borders, TD14","£2,187 pcm","","","3","1,582 sq. ft.","1582","1582","147","147","We are delighted to present The Auld Bank to the market a beautifully renovated and fully-equipped bistro located in the heart of Eyemouth, a vibrant fishing town on the Berwickshire coast. This exceptional premises offers a rare opportunity for an experienced hospitality operator to step into a...","https://www.rightmove.co.uk/properties/166730672#/?channel=COM_LET","2025-09-08T15:36:27Z","","new","Marketed by Cullen Kilshaw Lettings, Galashiels","","55.87211","-2.08963","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_19_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_21_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256088/166730672/256088_P919_IMG_22_0001_max_476x317.jpeg"
