id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169570475","Braintree","Retail Property (high street)","High Street, Braintree, Essex, CM7","£2,500 pcm","","","","1,966 sq. ft.","1966","1966","183","183","RETAIL UNIT TO LET HIGH STREET BRAINTREE	1,355 ft2 (124m2) approx NIAAvailable Now","https://www.rightmove.co.uk/properties/169570475#/?channel=COM_LET","2025-11-21T12:34:04Z","","size_change","Marketed by Robert Dewar Associates, Chelmsford","","51.87848","0.55093","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_05_0000_max_476x317.jpeg"
"169570475","Braintree","Retail Property (high street)","High Street, Braintree, Essex, CM7","£2,500 pcm","","","","1,966 sq. ft.","1966","1966","183","183","RETAIL UNIT TO LET HIGH STREET BRAINTREE	1,355 ft2 (124m2) approx NIAAvailable Now","https://www.rightmove.co.uk/properties/169570475#/?channel=COM_LET","2025-11-21T12:34:04Z","","size_change","Marketed by Robert Dewar Associates, Chelmsford","","51.87848","0.55093","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169570475/269924_62HighStreet_IMG_05_0000_max_476x317.jpeg"
"169540499","Braintree","Warehouse","Slamseys,  Great Notley","£2,800 pcm","","","","4,800 sq. ft.","4800","4800","446","446","This 4,800 sq. ft. storage unit is situated within a private business park, offering convenient space for various storage needs. The Unit is located within easy access to the A131/A120 , ensuring excellent connectivity for both local and regional transport. The unit has good eaves heig...","https://www.rightmove.co.uk/properties/169540499#/?channel=COM_LET","2025-11-20T15:08:08Z","","price_reduced","Marketed by Grange Property Services Ltd, Essex","","51.851226","0.521404","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169540499/184433_34191968_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169540499/184433_34191968_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169540499/184433_34191968_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169540499/184433_34191968_IMG_01_0000_max_476x317.jpeg"
"145786670","Braintree","Light Industrial","Unit 9, Kestrel Park, Finch Drive, Braintree, Essex, CM7 2SF","POA","","","","3,861 sq. ft.","3861","3861","359","359","A mid-terrace industrial unit on a well-established estate in close proximity to the A120.","https://www.rightmove.co.uk/properties/145786670#/?channel=COM_LET","2024-03-15T15:16:17Z","","new","Marketed by Coke Gearing Consulting, Bishops Stortford","","51.88729","0.53742","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/145786670/110398_C2117_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/145786670/110398_C2117_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/145786670/110398_C2117_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/145786670/110398_C2117_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/145786670/110398_C2117_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/145786670/110398_C2117_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110398/145786670/110398_C2117_IMG_06_0000_max_476x317.jpeg"
"169767206","Braintree","Light Industrial","Braintree","£3,875 pcm","","","","3,875 sq. ft.","3875","3875","360","360","New Unit- . Approx.3875 sq.ft Concrete floor, Electric Roller Shutter doors, set within a gated yard. Easy Lease Terms.","https://www.rightmove.co.uk/properties/169767206#/?channel=COM_LET","2025-11-27T10:02:24Z","","size_change","Marketed by Grange Property Services Ltd, Essex","","51.855079","0.537004","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169767206/184433_33714426_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169767206/184433_33714426_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169767206/184433_33714426_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169767206/184433_33714426_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169767206/184433_33714426_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169767206/184433_33714426_IMG_05_0000_max_476x317.jpeg"
"168788498","Braintree","Light Industrial","Unit 3 Springwood Court, Springwood Industrial Estate, Braintree, Essex, CM7","£2,225 pcm","","","","2,680 sq. ft.","2680","2680","249","249","Unit 3, Springwood Court, comprises a mid-terrace, single storey light industrial/trade/warehouse unit with forecourt parking/loading. The property provides clear warehouse/workshop with internal offices, W/Cs and kitchenette. The property has all mains services, including three phase power.","https://www.rightmove.co.uk/properties/168788498#/?channel=COM_LET","2025-10-30T12:04:14Z","","new","Marketed by Kemsley LLP, Chelmsford","","51.879425","0.534857","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/168788498/264539_8907303LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/168788498/264539_8907303LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/168788498/264539_8907303LH_IMG_02_0000_max_476x317.jpeg"
"168707357","Braintree","Light Industrial","House 3 Unit 4, Lynderswood Business Park","£833 pcm","","","","1,200 sq. ft.","1200","1200","111","111","This property is suitable for Workshop/Storage/Light Industrial/Office Use. 1,200 sq.ft Services installed. The Business Park provides excellent flexible accommodation set in a very presentable secure well maintained site.","https://www.rightmove.co.uk/properties/168707357#/?channel=COM_LET","2025-10-28T14:29:44Z","","new","Marketed by Grange Property Services Ltd, Essex","","51.845149","0.527333","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/168707357/184433_34270120_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/168707357/184433_34270120_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/168707357/184433_34270120_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/168707357/184433_34270120_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/168707357/184433_34270120_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/168707357/184433_34270120_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/168707357/184433_34270120_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/168707357/184433_34270120_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/168707357/184433_34270120_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/168707357/184433_34270120_IMG_09_0000_max_476x317.jpeg"
"168689570","Braintree","Warehouse","Ernest Doe Premises, Rayne Road, Braintree, Essex, CM7","£14,583 pcm","","","","14,940 sq. ft.","14940","14940","1388","1388","High quality showroom / workshop premises in prime location, with approx. 0.64 acre gated yard. The property comprises a modern purpose built building, constructed to a BREEAM standard in circa 2010, and internally provides open plan retail / showroom space, with rear loading / good access area,...","https://www.rightmove.co.uk/properties/168689570#/?channel=COM_LET","2025-10-28T10:33:09Z","","new","Marketed by Fenn Wright, Colchester Business Park Commercial Sales & Lettings","","51.879147","0.537662","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/168689570/181355_14870869LH_IMG_20_0000_max_476x317.jpeg"
"169742171","Braintree","Office","Lynderswood Business Park, Braintree","£4,500 pcm","","","","600 sq. ft.","600","600","56","56","600 sq.ft First Floor Office – All-Inclusive Rent This well-presented first-floor office is set within a charming barn conversion, offering an open-plan workspace ideal for a variety of business uses. Located in a professionally maintained business park, the property benefits from: A...","https://www.rightmove.co.uk/properties/169742171#/?channel=COM_LET","2025-11-26T14:32:56Z","","new","Marketed by Grange Property Services Ltd, Essex","","51.844879","0.525016","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169742171/184433_34267727_IMG_10_0000_max_476x317.jpeg"
"169541522","Braintree","Office","Lynderswood Business Park, Lynderswood Lane, Black Notley","£11,500 pcm","","","","425 sq. ft.","425","425","39","39","An attractive barn conversion providing 550 sq.ft of Ground Floor office space is available at Lynderswood Business Park. Shared WC's and Kitchen. Parking.","https://www.rightmove.co.uk/properties/169541522#/?channel=COM_LET","2025-11-20T15:22:54Z","","new","Marketed by Grange Property Services Ltd, Essex","","51.845149","0.527333","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169541522/184433_34264246_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169541522/184433_34264246_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169541522/184433_34264246_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169541522/184433_34264246_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169541522/184433_34264246_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169541522/184433_34264246_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169541522/184433_34264246_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169541522/184433_34264246_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/185k/184433/169541522/184433_34264246_IMG_08_0000_max_476x317.jpeg"
