id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168527423","Brentwood","Commercial Property","Ongar Road, Brentwood, CM15","£575 pcm","","","","Nestled on Ongar Road in the charming town of Brentwood, CM15, these 4 new open storage yards present a unique opportunity for those seeking a versatile space. Built in 2025, the 4 yards boast modern features and ample room for various storage needs. The open layout allows for easy access and f...","https://www.rightmove.co.uk/properties/168527423#/?channel=COM_LET","2025-10-23T12:38:22Z","","price_reduced","Marketed by Doves Management LTD, Chelmsford","","51.649421","0.265052","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/168527423/292745_34260743_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/168527423/292745_34260743_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/168527423/292745_34260743_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/168527423/292745_34260743_IMG_03_0000_max_476x317.jpeg"
"167436824","Brentwood","Storage","Ingatestone","£500 pcm","From","","","Commercial units to let in Ingatestone. The units range from 1,031 - 2,062 square feet. The unit is sat within a secure site with links to the A12 and other major transport links.  ","https://www.rightmove.co.uk/properties/167436824#/?channel=COM_LET","2025-09-25T17:10:03Z","","size_change","Marketed by Whirledge and Nott, Commercial","","51.65966","0.36445","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/167436824/173735_1732_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/167436824/173735_1732_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/167436824/173735_1732_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/167436824/173735_1732_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/167436824/173735_1732_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/167436824/173735_1732_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/167436824/173735_1732_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/167436824/173735_1732_IMG_07_0000_max_476x317.jpeg"
"87364326","Brentwood","Land","Little Warley Hall Lane, Brentwood, Essex, CM13","POA","","","","Secure 2 Acre industrial site with gated access and a perimeter fencing, including a secure electric entrance. The site features a durable Type 1 surface and is fully serviced with 3-phase electricity and water. Optional concrete surfacing available.Building and container storage available. Which","https://www.rightmove.co.uk/properties/87364326#/?channel=COM_LET","2025-12-01T10:19:02Z","","new","Marketed by Kiln and Lodge Estates, Chelmsford","","51.57215","0.3156","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9e3c5bce5/87364326/9e3c5bce5d5dc2511940564be08e0c78_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6cf77b9d4/87364326/6cf77b9d43776f608632439c5b7bb54a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/69e22da41/87364326/69e22da41cee5ed4d474156245c59c7a_max_476x317.jpeg"
"169838369","Brentwood","Office","Tallon Road, Hutton, Brentwood, Essex, CM13","£2,435 pcm","","","","Open plan Office accommodation, forming part of a larger single storey Office building on the popular Hutton Business/Industrial Estate. Comprising 2 Offices, one of 256 sq.ft. & the other of 790 sq.ft. with parking for 6 vehicles. To let on an all-inclusive basis excluding Telecoms.","https://www.rightmove.co.uk/properties/169838369#/?channel=COM_LET","2025-11-28T18:56:07Z","","new","Marketed by Dedman Gray Property Consultants Limited, Thorpe Bay","","51.63781","0.35522","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169838369/208157_DBS250066_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169838369/208157_DBS250066_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169838369/208157_DBS250066_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169838369/208157_DBS250066_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169838369/208157_DBS250066_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169838369/208157_DBS250066_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169838369/208157_DBS250066_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169838369/208157_DBS250066_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169838369/208157_DBS250066_L_IMG_08_0000_max_476x317.jpeg"
"699646513598384","Brentwood","Office","Brentwood Town Hall, Ingrave Road, London, CM14 9PJ","£4,671 pcm","","","","Refurbished office suites to let at Brentwood Town Hall","https://www.rightmove.co.uk/properties/699646513598384#/?channel=COM_LET","2025-10-23T11:21:09Z","","size_change","Marketed by Sanderson Weatherall, London","","51.620306","0.303594","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261929/699646513598384/261929_184278-2_IMG_00_0000_max_476x317.png"
"169584542","Brentwood","Warehouse","Brentwood","£6,250 pcm","Fixed Price","","","Commercial warehouses available to let on a secure business centre in Herongate, Brentwood. The site is positioned with links to the A127, M25 and A12.  The building measures 10,000 square feet and benefits from 7m eave heights and 10m ridge heights. ","https://www.rightmove.co.uk/properties/169584542#/?channel=COM_LET","2025-11-21T16:15:02Z","","new","Marketed by Whirledge and Nott, Commercial","","51.5751","0.31186","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169584542/173735_4956_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169584542/173735_4956_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169584542/173735_4956_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169584542/173735_4956_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169584542/173735_4956_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169584542/173735_4956_IMG_05_0000_max_476x317.jpeg"
"169518344","Brentwood","Land","Codham Hall, Codham Hall Lane, Great Warley, Brentwood, CM13","POA","","","","The property comprises an area of open storage land available on a leasehold basis of varying plot sizes. The site is level and benefits from a mixture of areas comprising concrete, tarmac and compressed hard standing.","https://www.rightmove.co.uk/properties/169518344#/?channel=COM_LET","2025-11-20T09:51:42Z","","new","Marketed by Kemsley LLP, Rainham","","51.570793","0.294083","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169518344/264542_8907359LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169518344/264542_8907359LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169518344/264542_8907359LH_IMG_02_0000_max_476x317.jpeg"
"169449089","Brentwood","Land","Brentwood","£11,667 pcm","From","","","Secure yard space to let in Brentwood. There are two yards available, measuring 40,000 square feet and 80,000 square feet. The site is situated between Brentwood and Ongar with with access to both the A414 and A12. ","https://www.rightmove.co.uk/properties/169449089#/?channel=COM_LET","2025-11-18T14:20:02Z","","new","Marketed by Whirledge and Nott, Commercial","","51.6766","0.26235","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169449089/173735_4952_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169449089/173735_4952_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169449089/173735_4952_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169449089/173735_4952_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169449089/173735_4952_IMG_04_0000_max_476x317.jpeg"
"149731781","Brentwood","Office","Astra House, First Floor South West, Christy Way, Southfields Business Park, Basildon, Essex, SS15","POA","","","","Astra House is a three-storey brick building located in the heart of Basildon's busy Southfields Business Park, near Ford Dunton. Basildon has a population of 110,000 people and lies 25 miles east of London, just 5 miles from the M25 J29. Conveniently located for access to A13, A127 and A12. T...","https://www.rightmove.co.uk/properties/149731781#/?channel=COM_LET","2024-07-01T12:48:03Z","","size_change","Marketed by Kemsley LLP, Basildon","","51.577621","0.398674","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/149731781/264509_8905883LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/149731781/264509_8905883LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/149731781/264509_8905883LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/149731781/264509_8905883LH_IMG_03_0000_max_476x317.jpeg"
"161073953","Brentwood","Office","Brentwood","£295 pcm","Fixed Price","","","First floor office to let on a secure site in Brentwood. The site is secured with gated access and CCTV. The 288 square foot office, offers a modern work environment.","https://www.rightmove.co.uk/properties/161073953#/?channel=COM_LET","2025-04-24T13:22:27Z","","price_reduced","Marketed by Whirledge and Nott, Commercial","","51.65382","0.26381","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/161073953/173735_4805_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/161073953/173735_4805_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/161073953/173735_4805_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/161073953/173735_4805_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/161073953/173735_4805_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/161073953/173735_4805_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/161073953/173735_4805_IMG_04_0000_max_476x317.jpeg"
"169387424","Brentwood","Warehouse","Thoby Lane, Brentwood, Essex, CM15","£3,000 pcm","","","","Spacious and secure industrial unit in Brentwood CM15 8SG with roller shutter access, gated yard, parking, and open-plan space ideal for workshops or storage.","https://www.rightmove.co.uk/properties/169387424#/?channel=COM_LET","2025-11-17T08:48:13Z","","new","Marketed by Theori, London","","51.66116","0.35133","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292343/169387424/292343_MUCM158SG_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292343/169387424/292343_MUCM158SG_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292343/169387424/292343_MUCM158SG_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292343/169387424/292343_MUCM158SG_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292343/169387424/292343_MUCM158SG_IMG_02_0000_max_476x317.jpeg"
"169331813","Brentwood","Commercial Property","Ongar Road, Brentwood, CM15","£1,100 pcm","","","","Nestled on Ongar Road in the charming town of Brentwood, CM15, these 3 new open storage yards present a unique opportunity for those seeking a versatile space. Built in 2025, the 3 yards boast modern features and ample room for various storage needs. The open layout allows for easy access and f...","https://www.rightmove.co.uk/properties/169331813#/?channel=COM_LET","2025-11-14T09:54:14Z","","new","Marketed by Doves Management LTD, Chelmsford","","51.644412","0.27068","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/169331813/292745_34305467_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/169331813/292745_34305467_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/169331813/292745_34305467_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/169331813/292745_34305467_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/169331813/292745_34305467_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/169331813/292745_34305467_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/169331813/292745_34305467_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/169331813/292745_34305467_IMG_07_0000_max_476x317.jpeg"
"168527423","Brentwood","Commercial Property","Ongar Road, Brentwood, CM15","£575 pcm","","","","Nestled on Ongar Road in the charming town of Brentwood, CM15, these 4 new open storage yards present a unique opportunity for those seeking a versatile space. Built in 2025, the 4 yards boast modern features and ample room for various storage needs. The open layout allows for easy access and f...","https://www.rightmove.co.uk/properties/168527423#/?channel=COM_LET","2025-10-23T12:38:22Z","","price_reduced","Marketed by Doves Management LTD, Chelmsford","","51.649421","0.265052","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/168527423/292745_34260743_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/168527423/292745_34260743_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/168527423/292745_34260743_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292745/168527423/292745_34260743_IMG_03_0000_max_476x317.jpeg"
"169258364","Brentwood","Warehouse","Unit 6 Chancerygate, 33 Tallon Road, Hutton, Brentwood, Essex, CM13","£4,250 pcm","","","","Unit 6, Chancerygate Business Centre comprises an end-terrace, single storey light industrial/warehouse/trade unit built in 2008. The property provides ground floor warehouse/workshop and first floor offices. There is forecourt parking (five spaces)/loading. The unit has W/C's, kitchenette, 3-pha...","https://www.rightmove.co.uk/properties/169258364#/?channel=COM_LET","2025-11-12T10:18:40Z","","new","Marketed by Kemsley LLP, Chelmsford","","51.637684","0.353886","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258364/264539_8907290LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258364/264539_8907290LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258364/264539_8907290LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258364/264539_8907290LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258364/264539_8907290LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258364/264539_8907290LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169258364/264539_8907290LH_IMG_06_0000_max_476x317.jpeg"
