id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"157400003","Bromley","Office","Unit 1, Invicta Works, Elliott Road, Bromley, Kent","£3,542 pcm","","","","4,500 sq. ft.","4500","4500","418","418","A rare opportunity to let a light industrial unit in central Bromley comprised of warehouse/workshop space and outbuilding with parking on site for up to 4 vehicles. The forecourt area is accessible by shared roadway approximately 2.5m wide via Elliott Road. Measuring c.3,271sqft and accessible...","https://www.rightmove.co.uk/properties/157400003#/?channel=COM_LET","2025-01-27T10:57:21Z","","price_reduced","Marketed by Acorn Limited, Acorn Commercial","","51.395569","0.034429","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/157400003/83142_34274LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/157400003/83142_34274LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/157400003/83142_34274LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/157400003/83142_34274LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/157400003/83142_34274LH_IMG_08_0000_max_476x317.jpeg"
"723048574213728","Bromley","Office","T Bromley, 15-17 London Road, Bromley, BR1 1DE","£59,572 pcm","","","","2,843–19,063 sq. ft.","2843","19063","264","1771","T Bromley is a new unrivalled workspace in Bromley, that has been redesigned for today's modern office occupier.","https://www.rightmove.co.uk/properties/723048574213728#/?channel=COM_LET","2025-12-04T11:19:29Z","","new","Marketed by Savills, Margaret Street - Offices","","51.40553","0.01232","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fb40e992f/723048574213728/fb40e992fdc6cf3276b193ca23c84117_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1325345d9/723048574213728/1325345d95ff783d688d57eaa93340fa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/449d638b7/723048574213728/449d638b7ab9825beb2e4f32dcfae851_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b767cf6f8/723048574213728/b767cf6f83055e7fc987c8c91daab813_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/12d09e9f7/723048574213728/12d09e9f737104862be2aa60f5c471a2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d1ae68417/723048574213728/d1ae68417baeaa308f14b8cec7152283_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/41f1040ce/723048574213728/41f1040ce4d590831fe061edc1722a90_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e6f73dfa5/723048574213728/e6f73dfa51e4c8a59cc4c0c713c54fb6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1ea5f65c0/723048574213728/1ea5f65c0a7202f4e047b1cbb9be814b_max_476x317.jpeg"
"127917245","Bromley","Hairdresser / Barber Shop","High Street, Orpington, Kent, BR6","£2,000 pcm","","","","","","","","","Barber shop to let.Thought after high street location, high volume of foot count. Viewing highly recommended. ","https://www.rightmove.co.uk/properties/127917245#/?channel=COM_LET","2022-10-10T17:36:38Z","","new","Marketed by GPSI GROUP LIMITED, Orpington","","51.37586","0.09905","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235094/127917245/235094_Orpington_244_IMG_08_0001_max_476x317.jpeg"
"169559759","Bromley","Office","First Floor Office, 41 East Street, Bromley, Kent","£2,500 pcm","","","","2,418 sq. ft.","2418","2418","225","225","An opportunity to lease a large & unique office space in Bromley Town Centre. The subject unit comprises 2418sqft of open plan office space, with a large board room, smaller conference rooms, kitchenette and w/c facilities. The unit is located on the north side of East Street a short walk away ...","https://www.rightmove.co.uk/properties/169559759#/?channel=COM_LET","2025-11-21T09:29:46Z","","new","Marketed by Acorn Limited, Acorn Commercial","","51.407406","0.016216","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169559759/83142_36981LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169559759/83142_36981LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169559759/83142_36981LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169559759/83142_36981LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169559759/83142_36981LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169559759/83142_36981LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169559759/83142_36981LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169559759/83142_36981LH_IMG_07_0000_max_476x317.jpeg"
"168103037","Bromley","Commercial Property","Wickham Road, Croydon, CR0","£1,500 pcm","","","","786 sq. ft.","786","786","73","73","Bright retail unit to let on shopping parade with good footfall. 73sqm of customisable space, available immediately with flexible terms. Parking and transport links within easy reach. Please enter ext 122 when calling to reach your agent","https://www.rightmove.co.uk/properties/168103037#/?channel=COM_LET","2025-10-10T17:26:00Z","","size_change","Marketed by Keller Williams Advantage, Covering South East","","51.377111","-0.027318","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_03_0000_max_476x317.jpeg"
"157995758","Bromley","Office","20-25 Market Square, Market Square, Bromley, Kent, BR1 1NA","£2,901 pcm","From","","","1,882–6,128 sq. ft.","1882","6128","175","569","20-25 Market Square is a three-storey mixed use development with retail on the ground floor and office accommodation on first and second floors. The available accommodation comprises three office suites on the second floor, all of which are predominantly open plan. Suites B and B1 have acce...","https://www.rightmove.co.uk/properties/157995758#/?channel=COM_LET","2025-02-08T16:33:01Z","","size_change","Marketed by SHW, South East M25","","51.405422","0.015719","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285431/157995758/285431_23582LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285431/157995758/285431_23582LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285431/157995758/285431_23582LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285431/157995758/285431_23582LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285431/157995758/285431_23582LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285431/157995758/285431_23582LH_IMG_05_0000_max_476x317.jpeg"
"169390499","Bromley","Office","Kent House Road, Beckenham, BR3","£1,100 pcm","","1","","","","","","","Available NOW is this brand newly developed detached office on Kent House Road. Accessed via the rear of the property from Sommerville Road, this 280 SqFt space has been designed for those who are wanting to get away from working from home and ready to scale their business. ","https://www.rightmove.co.uk/properties/169390499#/?channel=COM_LET","2025-11-17T09:54:41Z","","new","Marketed by Macks Properties Ltd, Bickley","","51.41688","-0.04461","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390499/107212_S3196a_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390499/107212_S3196a_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390499/107212_S3196a_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390499/107212_S3196a_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390499/107212_S3196a_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390499/107212_S3196a_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390499/107212_S3196a_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390499/107212_S3196a_IMG_07_0000_max_476x317.jpeg"
"169390307","Bromley","Office","Kent House Road, Beckenham, BR3","£1,600 pcm","","1","","","","","","","Available NOW is this brand newly developed office on Kent House Road. This 570 SqFt space has been designed for those who are looking to move out of Serviced Offices and into their own space. Located within a short walk to both New Beckenham and Kent House train stations for easy access into London","https://www.rightmove.co.uk/properties/169390307#/?channel=COM_LET","2025-11-17T09:51:33Z","","new","Marketed by Macks Properties Ltd, Bickley","","51.41694","-0.04457","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390307/107212_S2196a_IMG_11_0000_max_476x317.jpeg"
"169390040","Bromley","Office","Kent House Road, Beckenham, BR3","£1,200 pcm","","1","","","","","","","Available NOW is this brand newly developed shopfront office on Kent House Road. This 208 SqFt space has been designed for those who are wanting to get away from working from home and ready to scale their business. Located within a short walk to both New Beckenham and Kent House train stations","https://www.rightmove.co.uk/properties/169390040#/?channel=COM_LET","2025-11-17T09:48:37Z","","new","Marketed by Macks Properties Ltd, Bickley","","51.41604","-0.04566","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390040/107212_S1196a_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390040/107212_S1196a_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390040/107212_S1196a_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390040/107212_S1196a_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390040/107212_S1196a_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390040/107212_S1196a_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390040/107212_S1196a_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390040/107212_S1196a_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107212/169390040/107212_S1196a_IMG_08_0000_max_476x317.jpeg"
"169332425","Bromley","Retail Property (high street)","27 Widmore Road, Bromley, BR1 1RW","£3,750 pcm","","","","2,344 sq. ft.","2344","2344","218","218","Class E Unit, Previously a Bike Shop Fronting Widmore Road, Bromley 2,344 Sq Ft Arranged Over Ground and Basement Floors Air Conditioning and LED Lighting Wide Glazed Shopfront with Recessed Entrance","https://www.rightmove.co.uk/properties/169332425#/?channel=COM_LET","2025-11-14T10:05:08Z","","new","Marketed by SHW, Crawley & Gatwick","","51.406292","0.017159","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/169332425/285437_28069LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/169332425/285437_28069LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/169332425/285437_28069LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/169332425/285437_28069LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/169332425/285437_28069LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/169332425/285437_28069LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/169332425/285437_28069LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/169332425/285437_28069LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/169332425/285437_28069LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/169332425/285437_28069LH_IMG_09_0000_max_476x317.jpeg"
