id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"159595034","Cambridgeshire","Office","Fountain Court, Lynchwood, Peterborough Business Park, Peterborough, PE2 6FZ","£12,375 pcm","","","","Modern offices to let.","https://www.rightmove.co.uk/properties/159595034#/?channel=COM_LET","2025-03-19T09:49:41Z","","size_change","Marketed by Savills, Peterborough","","52.550009","-0.324741","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/159595034/214124_288345-2_IMG_01_0000_max_476x317.jpeg"
"169953431","Cambridgeshire","Office","Wingate House, Trumpington Road, Cambridge, CB2 9FF","POA","","","","Wingate House is a self-contained barn style office arranged over 2 floors.","https://www.rightmove.co.uk/properties/169953431#/?channel=COM_LET","2025-12-03T11:53:37Z","","new","Marketed by Bidwells LLP, Cambridge","","52.173018","0.111644","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169953431/281033_317478-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169953431/281033_317478-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169953431/281033_317478-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169953431/281033_317478-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169953431/281033_317478-2_IMG_04_0000_max_476x317.jpeg"
"169952909","Cambridgeshire","Office","Building 310 Cambridge Science Park, Milton Road, Cambridge, CB4 0WG","POA","","","","Office / Research and Development To Let, Cambridge","https://www.rightmove.co.uk/properties/169952909#/?channel=COM_LET","2025-12-03T11:47:55Z","","new","Marketed by Bidwells LLP, Cambridge","","52.234536","0.139824","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952909/281033_344335-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952909/281033_344335-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952909/281033_344335-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952909/281033_344335-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952909/281033_344335-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952909/281033_344335-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952909/281033_344335-2_IMG_06_0000_max_476x317.jpeg"
"169952753","Cambridgeshire","Office","Mill Court, Great Shelford, Cambridge, CB22 5LD","POA","","","","Office To Let, Cambridge","https://www.rightmove.co.uk/properties/169952753#/?channel=COM_LET","2025-12-03T11:46:21Z","","new","Marketed by Bidwells LLP, Cambridge","","52.150157","0.139957","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952753/281033_53923-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952753/281033_53923-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952753/281033_53923-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952753/281033_53923-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952753/281033_53923-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952753/281033_53923-2_IMG_05_0000_max_476x317.jpeg"
"169952072","Cambridgeshire","Office","Building 1000, Part First Floor, Cambridge Research Park, Waterbeach, Cambridge, CB25 9PD","POA","","","","Office To Let, Cambridge","https://www.rightmove.co.uk/properties/169952072#/?channel=COM_LET","2025-12-03T11:36:50Z","","new","Marketed by Bidwells LLP, Cambridge","","52.289301","0.173301","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952072/281033_53921-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952072/281033_53921-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952072/281033_53921-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952072/281033_53921-2_IMG_03_0000_max_476x317.jpeg"
"169952015","Cambridgeshire","Office","Newnham Mill, Mill Pond, Cambridge, CB3 9EY","POA","","","","Newnham Mill is a three storey building with retail on the ground floor and two floors of office space above.","https://www.rightmove.co.uk/properties/169952015#/?channel=COM_LET","2025-12-03T11:36:01Z","","new","Marketed by Bidwells LLP, Cambridge","","52.198504","0.112836","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952015/281033_301839-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952015/281033_301839-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952015/281033_301839-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952015/281033_301839-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952015/281033_301839-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952015/281033_301839-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169952015/281033_301839-2_IMG_06_0000_max_476x317.jpeg"
"169951985","Cambridgeshire","Office","8200 Cambridge Research Park, Beach Drive, Waterbeach, Cambridge, CB25 9PD","POA","","","","Office To Let, Cambridge","https://www.rightmove.co.uk/properties/169951985#/?channel=COM_LET","2025-12-03T11:35:33Z","","new","Marketed by Bidwells LLP, Cambridge","","52.289301","0.173301","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951985/281033_53920-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951985/281033_53920-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951985/281033_53920-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951985/281033_53920-2_IMG_03_0000_max_476x317.jpeg"
"169951946","Cambridgeshire","Office","Unit 7400 Cambridge Research Park, Beach Road, Waterbeach, Cambridge, CB25 9PD","POA","","","","Building 7400 is prominently set within 112 acres of business park","https://www.rightmove.co.uk/properties/169951946#/?channel=COM_LET","2025-12-03T11:35:10Z","","new","Marketed by Bidwells LLP, Cambridge","","52.289301","0.173301","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0bc9ff67d/169951946/0bc9ff67ddde821200bd1dfddd39415d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ecebaa662/169951946/ecebaa6620773f37f8db420909e3e289_max_476x317.jpeg"
"169951922","Cambridgeshire","Office","Building 7300 - 7320, Suite 7320, Cambridge Research Park, Waterbeach, Cambridge, CB25 9PD","POA","","","","Office To Let, Cambridge","https://www.rightmove.co.uk/properties/169951922#/?channel=COM_LET","2025-12-03T11:34:49Z","","new","Marketed by Bidwells LLP, Cambridge","","52.289301","0.173301","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951922/281033_53841-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951922/281033_53841-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951922/281033_53841-2_IMG_02_0000_max_476x317.jpeg"
"169951889","Cambridgeshire","Office","Building 7200, Cambridge Research Park, Cambridge, CB25 9PD","POA","","","","Available now, newly refurbished office and R&D suites.","https://www.rightmove.co.uk/properties/169951889#/?channel=COM_LET","2025-12-03T11:34:24Z","","new","Marketed by Bidwells LLP, Cambridge","","52.289669","0.172686","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951889/281033_318360-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951889/281033_318360-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951889/281033_318360-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951889/281033_318360-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951889/281033_318360-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951889/281033_318360-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951889/281033_318360-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169951889/281033_318360-2_IMG_07_0000_max_476x317.jpeg"
