id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"162786155","Camden","Office","50-51 Russell Square, Bloomsbury, WC1B 4JA","POA","","","","18,909 sq. ft.","18909","18909","1757","1757","Pre-let opportunity! Where Heritage Meets High-Performance Workspace, Introducing 50-51 Russell Square","https://www.rightmove.co.uk/properties/162786155#/?channel=COM_LET","2025-06-03T13:27:48Z","","new","Marketed by Compton, London","","51.520804","-0.125344","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/162786155/235154_300174-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/162786155/235154_300174-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/162786155/235154_300174-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/162786155/235154_300174-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/162786155/235154_300174-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/162786155/235154_300174-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/162786155/235154_300174-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235154/162786155/235154_300174-2_IMG_07_0000_max_476x317.jpeg"
"723056367226881","Camden","Office","New Printing House Square, 222-236 Grays Inn Road, London, WC1X 8HB","£337,772 pcm","","","","4,153–81,884 sq. ft.","4153","81884","386","7607","Fitted, part fitted and Cat A offices available to June 2029 at £20-£49.50psf rents","https://www.rightmove.co.uk/properties/723056367226881#/?channel=COM_LET","2025-12-04T14:54:38Z","","new","Marketed by Savills, West End Offices","","51.523717","-0.114844","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723056367226881/218165_301659-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723056367226881/218165_301659-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723056367226881/218165_301659-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723056367226881/218165_301659-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723056367226881/218165_301659-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723056367226881/218165_301659-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723056367226881/218165_301659-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723056367226881/218165_301659-2_IMG_07_0000_max_476x317.jpeg"
"723055725502081","Camden","Office","45 Eagle Street, London, WC1R 4FS","£60,701 pcm","","","","1,338–10,047 sq. ft.","1338","10047","124","933","Top floor, 2,049 sq ft of fully fitted space at 45 Eagle Street","https://www.rightmove.co.uk/properties/723055725502081#/?channel=COM_LET","2025-12-04T14:54:20Z","","new","Marketed by Savills, London City Offices (EC)","","51.518796","-0.117776","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269405/723055725502081/269405_292999-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269405/723055725502081/269405_292999-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269405/723055725502081/269405_292999-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269405/723055725502081/269405_292999-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269405/723055725502081/269405_292999-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269405/723055725502081/269405_292999-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269405/723055725502081/269405_292999-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269405/723055725502081/269405_292999-2_IMG_07_0000_max_476x317.jpeg"
"168811418","Camden","Office","Piano Yard, 30a Highgate Road, Kentish Town, NW5 1BF","£10,442 pcm","","","","3,580 sq. ft.","3580","3580","333","333","exclusive development within an attractive courtyard designed by chassay studio architects that is fully fitted for a tenant to move in now","https://www.rightmove.co.uk/properties/168811418#/?channel=COM_LET","2025-10-30T17:41:08Z","","price_reduced","Marketed by Pilcher London, London","","51.55324","-0.141858","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/168811418/76308_140532-2_IMG_31_0000_max_476x317.jpeg"
"169973582","Camden","Office","2 Stephen Street, London, W1T 1AN","£2,950 pcm","From","","","255–3,060 sq. ft.","255","3060","24","284","A transformed workspace, moments from the Elizabeth Line.","https://www.rightmove.co.uk/properties/169973582#/?channel=COM_LET","2025-12-03T17:37:28Z","","new","Marketed by Daniel Watney Commercial Agents, London","","51.518221","-0.13243","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169973582/255620_345781-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169973582/255620_345781-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169973582/255620_345781-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169973582/255620_345781-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169973582/255620_345781-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169973582/255620_345781-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169973582/255620_345781-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169973582/255620_345781-2_IMG_07_0000_max_476x317.jpeg"
"168199955","Camden","Office","John Street, WC1N","£2,246 pcm","","","","453 sq. ft.","453","453","42","42","Available now, 453 Sq. Ft. office floor to let in prime Bloomsbury WC1. LOCATION The building is in the section of John Street running between Northington and Roger Street, in a strategic location with unbeatable connectivity, walking distance of five Zone 1 underground/rail stati...","https://www.rightmove.co.uk/properties/168199955#/?channel=COM_LET","2025-10-15T12:52:02Z","","price_reduced","Marketed by HURFORD SALVI CARR, London- Commercial","","51.522433","-0.115922","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/168199955/283745_ALC250033_L_IMG_20_0000_max_476x317.jpeg"
"156092246","Camden","Office","John Street, WC1N","£2,163 pcm","","","","741 sq. ft.","741","741","69","69","Available now, 741 Sq. Ft. office suite to let in prime Bloomsbury WC1. LOCATION The building is in the section of John Street running between Northington and Roger Street, in a strategic location with unbeatable connectivity, walking distance of five Zone 1 underground/rail...","https://www.rightmove.co.uk/properties/156092246#/?channel=COM_LET","2024-12-20T13:16:54Z","","price_reduced","Marketed by HURFORD SALVI CARR, London- Commercial","","51.522433","-0.115922","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/156092246/283745_ALC240057_L_IMG_16_0000_max_476x317.jpeg"
"168248021","Camden","Office","FORA - The Jellicoe, Jellicoe Building, 5 Beaconsfield Street, London, N1C 4EW","£2,900 pcm","From","","","170–9,265 sq. ft.","170","9265","16","861","A future-focused workspace with distinct and diverse settings to empower every way of working located in Kings Cross.","https://www.rightmove.co.uk/properties/168248021#/?channel=COM_LET","2025-10-16T10:48:04Z","","size_change","Marketed by Daniel Watney Commercial Agents, London","","51.537948","-0.123898","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/168248021/255620_334725-2_IMG_25_0000_max_476x317.jpeg"
"722866436317313","Camden","Office","22 Upper Woburn Place, Bloomsbury, London, WC1H 0HW","£33,017 pcm","","","","7,000 sq. ft.","7000","7000","650","650","7,000 SQFT OF NEWLY REFURBISHED CAT A OFFICE SPACE","https://www.rightmove.co.uk/properties/722866436317313#/?channel=COM_LET","2025-12-03T11:17:07Z","","new","Marketed by TARN AND TARN LIMITED, London","","51.526164","-0.129896","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_16_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_17_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_18_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_19_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_20_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_21_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_22_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866436317313/281339_197532-2_IMG_23_0000_max_476x317.png"
"169943942","Camden","Serviced Office","London, 39 Fitzroy Square, Fitzrovia, Lower, Ground, 1st, 2nd and 3rd Floor, W1T 6EZ","£7,798 pcm","From","","4","484–4,898 sq. ft.","484","4898","45","455","Book open-plan workspace for 10+ in 39 Fitzroy Square. Fully serviced, bright, modern space with 24/7 access and everything your team needs. ","https://www.rightmove.co.uk/properties/169943942#/?channel=COM_LET","2025-12-03T09:22:02Z","","new","Marketed by IW Group Services (UK) Limited, Regus","","51.52251","-0.13941","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0f0b49cea/169943942/0f0b49ceaab7e5b29e51b321927fa337_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/48358da63/169943942/48358da63ff20d39ea2ef26001b7829e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/df3419d31/169943942/df3419d313c1f24295680c629980d2f8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3630aaf51/169943942/3630aaf51d10fb96e36e892d709aadb5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/36def1d7f/169943942/36def1d7fb911e936f11c670e8433564_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5050bf5fd/169943942/5050bf5fd369d9457135eed7bbd6d606_max_476x317.jpeg"
