id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"136600181","Cardiff","Office","101 St. Mary Street, Cardiff, CF10 1DX","£9,153 pcm","From","","","Good Quality, Fully Fitted Offices Close to Cardiff Central Railway Station with parking.","https://www.rightmove.co.uk/properties/136600181#/?channel=COM_LET","2023-06-27T08:33:06Z","","size_change","Marketed by Savills, Cardiff Offices/Industrial","","51.4788","-3.178705","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/136600181/232274_154131-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/136600181/232274_154131-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/136600181/232274_154131-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/136600181/232274_154131-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/136600181/232274_154131-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/136600181/232274_154131-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/136600181/232274_154131-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/136600181/232274_154131-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/136600181/232274_154131-2_IMG_22_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/136600181/232274_154131-2_IMG_23_0000_max_476x317.jpeg"
"169948316","Cardiff","Retail Property (high street)","4-5 Quay Street, Cardiff, CF10 1DZ","£3,333 pcm","","","","The property is situated on Quay Street, Cardiff City centre. It can be accessed via both Westgate Street or St Mary Street. The property is configured to provide ground floor seating with kitchen / bar centrally. There is additional seating / kitchen area to the first floor and basement for storage","https://www.rightmove.co.uk/properties/169948316#/?channel=COM_LET","2025-12-03T10:39:56Z","","new","Marketed by Emanuel Jones LLP, Cardiff","","51.47998","-3.18033","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/169948316/258872_4-5QuayStreet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/169948316/258872_4-5QuayStreet_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/169948316/258872_4-5QuayStreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/169948316/258872_4-5QuayStreet_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/169948316/258872_4-5QuayStreet_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/169948316/258872_4-5QuayStreet_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/169948316/258872_4-5QuayStreet_IMG_06_0000_max_476x317.jpeg"
"169935137","Cardiff","Retail Property (high street)","61 Wellfield Road, Cardiff","£2,333 pcm","","","","Opportunity to let a prominently located retail / office premises on Wellfield Road which has been refurbished throughout and is surrounded by a mixture of national and independent retailers.","https://www.rightmove.co.uk/properties/169935137#/?channel=COM_LET","2025-12-02T17:58:13Z","","size_change","Marketed by Harris & Birt, Cardiff","","51.495964","-3.165224","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169935137/276692_34337346_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169935137/276692_34337346_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169935137/276692_34337346_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169935137/276692_34337346_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169935137/276692_34337346_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169935137/276692_34337346_IMG_04_0000_max_476x317.jpeg"
"169935128","Cardiff","Commercial Property","Crwys Mews, Crwys Road, Cardiff","£1,000 pcm","","","","Location: Crwys Road, Cardiff Use Class: Suitable for office, consultancy, administrative or similar professional uses Access: Private entrance to upper floors (no shopfront included)","https://www.rightmove.co.uk/properties/169935128#/?channel=COM_LET","2025-12-02T17:58:02Z","","new","Marketed by R&G Property Bristol, Bristol","","51.494878","-3.177653","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/79b791dec/169935128/79b791dec9c11aca576ccbae842ffa1e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0c76fc350/169935128/0c76fc3503d324c009c246e7981cfc8e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5ac15a8ec/169935128/5ac15a8ecd31228e79367ef97cbb1d13_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f3469b0d2/169935128/f3469b0d2f9d8416b8fb022a180a93df_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/213b8a2e2/169935128/213b8a2e266478f82c1d58743e2b93a6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/04a514762/169935128/04a514762ae6970f472c712a737c47e6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5a964e4b8/169935128/5a964e4b815b7a62c54e6345ef7f2260_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/30c6bcd0f/169935128/30c6bcd0f72e7d16743c8310a6350f63_max_476x317.jpeg"
"169932884","Cardiff","Retail Property (high street)","61 Wellfield Road, Cardiff, South Glamorgan, CF24","£2,333 pcm","","","","The property comprises a prominent end of terrace commercial premises which has recently undergone a full refurbishment providing a ground floor sales area currently fitted out for retail trade. The first floor comprises office/ancillary accommodation, with a fitted kitchennette, storage and...","https://www.rightmove.co.uk/properties/169932884#/?channel=COM_LET","2025-12-02T17:13:32Z","","new","Marketed by Brinsons Limited, Caerphilly","","51.495647","-3.16544","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169932884/242363_2926LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169932884/242363_2926LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169932884/242363_2926LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169932884/242363_2926LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169932884/242363_2926LH_IMG_03_0000_max_476x317.jpeg"
"164788301","Cardiff","Retail Property (high street)","Cowbridge Road East, Cardiff(City), CF5","£1,000 pcm","","","1","£1,000 PCM, Large A1 Commercial Property with Off-Road Parking and Garden in Cowbridge Road East, Canton, Cardiff, CF5 1HD","https://www.rightmove.co.uk/properties/164788301#/?channel=COM_LET","2025-07-22T09:59:32Z","","price_reduced","Marketed by Hafren Properties, Cardiff","","51.48275","-3.21199","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255368/164788301/255368_31921_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255368/164788301/255368_31921_IMG_01_0000_max_476x317.jpeg"
"169878047","Cardiff","Light Industrial","Unit N1, Capital Business Park, Parkway, Cardiff CF3 2PU","£4,150 pcm","","","","Unit provides a dedicated pedestrian entrance for customers/staff and parking to the front for 7 cars, minimum eaves height of 6.17m, 1 level access 4m loading door.","https://www.rightmove.co.uk/properties/169878047#/?channel=COM_LET","2025-12-01T14:00:54Z","","new","Marketed by Fletcher Morgan Consultants Limited, Cardiff","","51.50375","-3.11337","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285419/169878047/285419_FM250116_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285419/169878047/285419_FM250116_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285419/169878047/285419_FM250116_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285419/169878047/285419_FM250116_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285419/169878047/285419_FM250116_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285419/169878047/285419_FM250116_IMG_05_0000_max_476x317.jpeg"
"145539359","Cardiff","Office","St. Mellons Business Park, Fortran Road,St. Mellons,Cardiff,CF3","£2,557 pcm","From","","","Great Location, Onsite Car Parking Flexible Terms, Excellent Transport Links via Road, Bus Network With Nearest Train Station 5 Miles From The Office.","https://www.rightmove.co.uk/properties/145539359#/?channel=COM_LET","2024-03-08T16:08:40Z","","size_change","Marketed by Leaworks Ltd, Cardiff","","51.52768","-3.08325","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/159k/158306/145539359/158306_ConwaySpaceOnly_IMG_12_0000_max_476x317.jpeg"
"169854392","Cardiff","Restaurant","Clare Street, Cardiff, CF11 6BD, United Kingdom","£0 pcm","","","","Modern F&B restaurant space within Cardiff Central, just a short walk from Cardiff city centre and the Millennium Stadium. Offers a well-located venue with strong footfall, 24/7 reception support, free Wi-Fi and contemporary facilities ideal for dining and hospitality operations.","https://www.rightmove.co.uk/properties/169854392#/?channel=COM_LET","2025-11-30T09:01:06Z","","new","Marketed by OYO UKOY, London","","51.47765","-3.18847","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293153/169854392/293153_CardiffCentral_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293153/169854392/293153_CardiffCentral_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293153/169854392/293153_CardiffCentral_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293153/169854392/293153_CardiffCentral_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293153/169854392/293153_CardiffCentral_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293153/169854392/293153_CardiffCentral_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293153/169854392/293153_CardiffCentral_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293153/169854392/293153_CardiffCentral_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293153/169854392/293153_CardiffCentral_IMG_04_0000_max_476x317.jpeg"
"169779710","Cardiff","Office","Unit, R2 Capital Business Park, Parkway, CF3 2PU ","£1,667 pcm","","","","The property forms part of a 2 storey purpose built hybrid block, with the ground floor comprising office space and warehouse with roller shuttered access. There is also additional office space to the first floor. The office accommodation benefits from suspended ceilings, spot/category 5 lighti...","https://www.rightmove.co.uk/properties/169779710#/?channel=COM_LET","2025-11-27T13:16:55Z","","new","Marketed by MGY, Cardiff","","51.504865","-3.111188","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779710/7979_101298031737_IMG_12_0000_max_476x317.jpeg"
