id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169928207","Carmarthenshire","Office","Garden Lane, Llandovery, Carmarthenshire.","£750 pcm","","","","","","","","","2-4 Garden Lane offers an immaculate and comfortable commercial office space for any business. The property comprises office and reception area to the ground floor with an additional 2 offices to the first floor with 2 through rooms which can also be used as offices or storage space. To the first...","https://www.rightmove.co.uk/properties/169928207#/?channel=COM_LET","2025-12-02T16:13:06Z","","new","Marketed by Clee Tompkinson & Francis, Llandovery","","51.994216","-3.797963","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64458/169928207/64458_PRK10989_IMG_10_0000_max_476x317.jpeg"
"168966143","Carmarthenshire","Retail Property (high street)","11 Causeway Street, Kidwelly, SA17 4SU","£2,083 pcm","","","","9,633 sq. ft.","9633","9633","895","895","Substantial Retail Warehouse Property with rear car parking For Sale / To Let. Redevelopment potential, subject to planning.","https://www.rightmove.co.uk/properties/168966143#/?channel=COM_LET","2025-11-04T12:04:15Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.735699","-4.306424","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1f41360d0/168966143/1f41360d0449d449bf696a04648804d8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/27494d54d/168966143/27494d54d7152df3858655558c628bac_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/30b3b3a47/168966143/30b3b3a47e14396fb0a712f7e4792a38_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/00445c293/168966143/00445c293f13ab134a64a4d4b343f54c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fbca1d183/168966143/fbca1d1838d266734eb0e03f45114f49_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f21cf4077/168966143/f21cf407793e40a331886a0680e87a14_max_476x317.jpeg"
"168966038","Carmarthenshire","Office","Suite 5, West End Yard, Llanelli, SA15 3DN","£600 pcm","","","","624–1,248 sq. ft.","624","1248","58","116","Purpose built office suites within the ‘BREEAM Excellent ‘West End Yard’.","https://www.rightmove.co.uk/properties/168966038#/?channel=COM_LET","2025-11-04T12:03:00Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.68418","-4.164688","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966038/296300_273715-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966038/296300_273715-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966038/296300_273715-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966038/296300_273715-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966038/296300_273715-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966038/296300_273715-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966038/296300_273715-2_IMG_06_0000_max_476x317.jpeg"
"169064978","Carmarthenshire","Retail Property (high street)","23 Cowell Street, Llanelli, SA15 1UU","£833 pcm","","","","1,123 sq. ft.","1123","1123","104","104","Ground floor retail unit situated on a popular street with nearby access to St Elli's Shopping Centre.","https://www.rightmove.co.uk/properties/169064978#/?channel=COM_LET","2025-11-06T14:43:05Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.681076","-4.161741","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169064978/296300_277105-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169064978/296300_277105-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169064978/296300_277105-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169064978/296300_277105-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169064978/296300_277105-2_IMG_04_0000_max_476x317.jpeg"
"168962693","Carmarthenshire","Storage","Open Storage Land and Warehouse, Church Bank, Industrial Estate, Llandovery, SA20 0BA","£9,167 pcm","","","","137,214 sq. ft.","137214","137214","12748","12748","Open Storage Land extending 3.15 acres with Modern Industrial Warehouse","https://www.rightmove.co.uk/properties/168962693#/?channel=COM_LET","2025-11-04T11:22:46Z","","size_change","Marketed by RJ Chartered Surveyors, Swansea","","51.99264","-3.803809","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962693/296300_335103-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962693/296300_335103-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962693/296300_335103-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962693/296300_335103-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962693/296300_335103-2_IMG_04_0000_max_476x317.jpeg"
"168962639","Carmarthenshire","Warehouse","Former Cambrian Pet Food Premises, Church Bank, Llandovery, SA20 0BA","£10,458 pcm","","","","38,923 sq. ft.","38923","38923","3616","3616","Well located, self-contained industrial / distribution facility with yard","https://www.rightmove.co.uk/properties/168962639#/?channel=COM_LET","2025-11-04T11:22:03Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.991741","-3.803636","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962639/296300_335095-2_IMG_17_0000_max_476x317.jpeg"
"719266511547744","Carmarthenshire","Retail Property (high street)","Unit 10, Merlins Walk, Carmarthen, SA31 3BN","£1,875 pcm","","","","1,240 sq. ft.","1240","1240","115","115","Retail Unit To Let Unit 10 Merlin’s Walk, Carmarthen SA31 3BN","https://www.rightmove.co.uk/properties/719266511547744#/?channel=COM_LET","2025-11-13T14:22:03Z","","new","Marketed by Cooke & Arkwright Limited, Retail & Leisure","","51.855986","-4.309153","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250442/719266511547744/250442_335188-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250442/719266511547744/250442_335188-2_IMG_01_0000_max_476x317.jpeg"
"167752040","Carmarthenshire","Shop","56 Rhosmaen Street, Llandeilo, Carmarthenshire.","£750 pcm","","","","","","","","","AVAILABLE TO RENT - shop/office space in a prime trading position.","https://www.rightmove.co.uk/properties/167752040#/?channel=COM_LET","2025-10-03T10:16:06Z","","new","Marketed by Clee Tompkinson & Francis, Llandeilo","","51.883781","-3.991998","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64455/167752040/64455_PRJ11512_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64455/167752040/64455_PRJ11512_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64455/167752040/64455_PRJ11512_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64455/167752040/64455_PRJ11512_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64455/167752040/64455_PRJ11512_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64455/167752040/64455_PRJ11512_IMG_05_0000_max_476x317.jpeg"
"166219235","Carmarthenshire","Office","Priory Street, Carmarthen , SA31","£700 pcm","","","","","","","","","**Available for let immediately**   Spacious ground floor self contained office unit measuring at approx. 541.50 sq. ft., located at Carmarthen Town FC, just outside the centre of the popular market town of Carmarthen. Large car parking area available on site.","https://www.rightmove.co.uk/properties/166219235#/?channel=COM_LET","2025-08-26T13:30:31Z","","new","Marketed by Rees Richards and Partners, Swansea","","51.860066","-4.301535","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288047/166219235/288047_28995414_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288047/166219235/288047_28995414_IMG_01_0000_max_476x317.jpeg"
"165804068","Carmarthenshire","Retail Property (high street)","Unit A, 3 Carregaman, Ammanford, SA18 3ED","POA","","","","25,079 sq. ft.","25079","25079","2330","2330","The property is situated in Ammanford, located 5 miles north east of Junction 49 of the M4 motorway accessed via the A4383. The property is situated in a prominent position fronting onto the A474. The property provides ground floor retail space together with first floor, ancillary staff and storage.","https://www.rightmove.co.uk/properties/165804068#/?channel=COM_LET","2025-08-15T15:23:44Z","","new","Marketed by Emanuel Jones LLP, Cardiff","","51.79029","-3.98805","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/165804068/258872_UnitA3Carregaman_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/165804068/258872_UnitA3Carregaman_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/165804068/258872_UnitA3Carregaman_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/165804068/258872_UnitA3Carregaman_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258872/165804068/258872_UnitA3Carregaman_IMG_04_0000_max_476x317.png"
