id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169683866","Chelmsford","Office","Springfield Lyons Approach, Chelmsford, CM2 5LB","£1,978 pcm","From","","","Modern Office Accommodation with Parking","https://www.rightmove.co.uk/properties/169683866#/?channel=COM_LET","2025-11-25T11:01:20Z","","price_reduced","Marketed by MJM Property Consultants, Essex","","51.747787","0.511","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_07_0000_max_476x317.jpeg"
"169813109","Chelmsford","Office","New London Road, Chelmsford, Essex, CM2","£608 pcm","","","","CHELMSFORD SMALL GROUND FLOOR OFFICE TO LET on Inclusive monthly rental - No VAT applicable on rent. Nil business rates for eligible tenant. Ideal for a new or small business. Approx 194sq ft (18sq m) with 1 parking space","https://www.rightmove.co.uk/properties/169813109#/?channel=COM_LET","2025-11-28T11:56:44Z","","new","Marketed by Robert Dewar Associates, Chelmsford","","51.72328","0.46118","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169813109/269924_hollyhouse_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169813109/269924_hollyhouse_IMG_01_0000_max_476x317.jpeg"
"162618023","Chelmsford","Retail Property (high street)","3 Baddow Road, Chelmsford, Essex, CM2","£667 pcm","","","","Ground Floor Shop/Kiosk Unit.","https://www.rightmove.co.uk/properties/162618023#/?channel=COM_LET","2025-05-30T09:46:06Z","","new","Marketed by Kemsley LLP, Chelmsford","","51.730682","0.474721","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/162618023/264539_8907165LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/162618023/264539_8907165LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/162618023/264539_8907165LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/162618023/264539_8907165LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/162618023/264539_8907165LH_IMG_04_0000_max_476x317.jpeg"
"169798280","Chelmsford","Office","Wells Street, Chelmsford, Essex, CM1","£2,917 pcm","","","","High Spec offices close to Chelmsford railway and bus stations and park and ride stops. Ideal for businesses seeking flexible, Grade A Offices, Furniture included, Air-conditioned throughout, Excellent on-site facilitiesNo VAT on rent, Nil business rates for eligible tenants. Roof terrace","https://www.rightmove.co.uk/properties/169798280#/?channel=COM_LET","2025-11-27T22:24:37Z","","new","Marketed by Robert Dewar Associates, Chelmsford","","51.73696","0.46727","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269924/169798280/269924_4WellsStreet_IMG_10_0000_max_476x317.jpeg"
"169726517","Chelmsford","Pub","Units 1 & 2 French's Walk, 7 & 9 Springfield Road, Chelmsford, CM2 6JE","POA","","","","Vacant Public House/Leisure units in Essex available to let","https://www.rightmove.co.uk/properties/169726517#/?channel=COM_LET","2025-11-26T10:21:36Z","","new","Marketed by Savills, Margaret Street - Licensed Leisure","","51.73275","0.476037","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/169726517/225521_344731-2_IMG_27_0000_max_476x317.jpeg"
"154068530","Chelmsford","Office","Devon House, Anchor Street, Chelmsford, Essex, CM2 0GD","£5,829 pcm","","","","The property comprises a stunning Grade II Listed office building being of local historical interest as the first steam powered electrical generating station in Chelmsford, as operated by Colonel Crompton. The property has a spectacular open plan layout with mezzanine floor accessed via open ste...","https://www.rightmove.co.uk/properties/154068530#/?channel=COM_LET","2024-10-22T15:19:10Z","","new","Marketed by Elwell Taylor Commercial, Chelmsford","","51.728134","0.468138","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/74k/73137/154068530/73137_193LH_IMG_27_0000_max_476x317.jpeg"
"169683905","Chelmsford","Office","Dukesmead House, 39A High Street, Chelmsford, CM1 1DE","POA","","","","TO LET: City Centre Office Space from 955 ft² to 3,775 ft² over 2 floors - Chelmsford","https://www.rightmove.co.uk/properties/169683905#/?channel=COM_LET","2025-11-25T11:01:31Z","","new","Marketed by Savills, Chelmsford Office","","51.732262","0.475326","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/169683905/232328_340550-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/169683905/232328_340550-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/169683905/232328_340550-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/169683905/232328_340550-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/169683905/232328_340550-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232328/169683905/232328_340550-2_IMG_05_0000_max_476x317.jpeg"
"169648400","Chelmsford","Office","High Street, Great Baddow, Chelmsford, Essex, CM2","£200 pcm","","","","Available to let in the heart of Great Baddow, Chelmsford, this beautifully restored Grade II* listed building offers a rare chance to occupy high-quality office space within a property rich in character and period charm. Recently refurbished to an excellent standard, the building blends its histori","https://www.rightmove.co.uk/properties/169648400#/?channel=COM_LET","2025-11-24T12:45:53Z","","new","Marketed by Ashton White Estates, Billericay","","51.71601","0.50088","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83463/169648400/83463_awgbbc_IMG_13_0000_max_476x317.jpeg"
"169683866","Chelmsford","Office","Springfield Lyons Approach, Chelmsford, CM2 5LB","£1,978 pcm","From","","","Modern Office Accommodation with Parking","https://www.rightmove.co.uk/properties/169683866#/?channel=COM_LET","2025-11-25T11:01:20Z","","price_reduced","Marketed by MJM Property Consultants, Essex","","51.747787","0.511","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169683866/293924_308624-2_IMG_07_0000_max_476x317.jpeg"
"169472624","Chelmsford","Light Industrial","Unit/Yard 4, FIVE TREE WORKS INDUSTRIAL ESTATE, Bakers Lane, West Hanningfield, Chelmsford, Essex, CM2","£3,542 pcm","","","","Unit/Yard 4 comprises an industrial/warehouse unit of portal frame construction with secure, gated compound area. The unit provides clear accommodation with shutter doors, internal W/Cs and three phase power. The compound is level and laid to concrete. There is also an additional yard/compound (...","https://www.rightmove.co.uk/properties/169472624#/?channel=COM_LET","2025-11-19T09:38:49Z","","new","Marketed by Kemsley LLP, Chelmsford","","51.686836","0.47638","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169472624/264539_8907349LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169472624/264539_8907349LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169472624/264539_8907349LH_IMG_02_0000_max_476x317.jpeg"
