id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"165243932","Colchester","Office","Block A, Judds Place, Stanway, Colchester, Essex, CO3","£1,250 pcm","From","","","590–2,420 sq. ft.","590","2420","55","225","Building A - Part of a Prestigious Development of Small to Medium Sized Office and Business Units","https://www.rightmove.co.uk/properties/165243932#/?channel=COM_LET","2025-08-05T10:29:38Z","","new","Marketed by Nicholas Percival Commercial, Colchester","","51.88351","0.82879","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b6c97a397/165243932/b6c97a39747462b019e574e500b2c8e3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5b80ab837/165243932/5b80ab837b88f48114ec4dae82a05b80_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7243720fb/165243932/7243720fb4d53d638d2de758ff84c87f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c0a0e6d3f/165243932/c0a0e6d3fed4b9db6098bf7e6890eae6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ba1fdb9c2/165243932/ba1fdb9c2bd440deac2c57e639c56038_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/67c06cd02/165243932/67c06cd0276bdd9f8e3c298b4d4e515d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5532e410c/165243932/5532e410cef8798437a44b77639544d6_max_476x317.jpeg"
"167147993","Colchester","Office","The Old Exchange, 64 West Stockwell Street, Colchester, Essex, CO1","£6,667 pcm","","","","5,741 sq. ft.","5741","5741","533","533","An attractive office building built in 1928 as a telephone exchange, featuring traditional brickwork and sash windows. The accommodation is arranged over basement, ground, upper ground, first and second floors. The basement provides storage and houses the gas boiler. Office space is primarily ope...","https://www.rightmove.co.uk/properties/167147993#/?channel=COM_LET","2025-09-18T13:50:34Z","","new","Marketed by Fenn Wright, Colchester Business Park Commercial Sales & Lettings","","51.890519","0.898935","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/167147993/181355_14870831LH_IMG_12_0000_max_476x317.jpeg"
"90713290","Colchester","Office","Wellington House, 90-92 Butt Road, Colchester, Essex, CO3","£500 pcm","","","","140 sq. ft.","140","140","13","13","An eight storey office building which benefits from a staffed reception with lift (except to the seventh floor) and stair access to a mix of open plan, refurbished office suites. W/C facilities are provided on each floor. Externally there is a large on-site car park with allocated parking bays. ...","https://www.rightmove.co.uk/properties/90713290#/?channel=COM_LET","2021-04-15T14:45:49Z","","size_change","Marketed by Fenn Wright, Colchester Business Park Commercial Sales & Lettings","","51.885334","0.89472","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/90713290/181355_14868395LH_IMG_01_0001_max_476x317.jpeg"
"169906925","Colchester","Light Industrial","Surya Trade Park, 129-139 Layer Road, Colchester, Essex, CO2","POA","","","","3,000–20,000 sq. ft.","3000","20000","279","1858","*Coming Soon* Surya Trade Park. A selection of business units from 3,000 sq ft (278.7 sq m). Available Q1/Q2 2026. Further information will be available soon. Please register your interest with us so we may provide updates in due course.","https://www.rightmove.co.uk/properties/169906925#/?channel=COM_LET","2025-12-02T10:34:11Z","","new","Marketed by Fenn Wright, Colchester Business Park Commercial Sales & Lettings","","51.866206","0.871236","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169906925/181355_14870899LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169906925/181355_14870899LH_IMG_01_0000_max_476x317.jpeg"
"169886294","Colchester","Retail Property (out of town)","17 Angora Business Park, Peartree Road, Colchester, Essex, CO3","£2,792 pcm","","","","3,154 sq. ft.","3154","3154","293","293","Busy & Popular Trade Park (Screwfix, Toolstation & Halfords) - Unit 17 Available TO LET. The premises are of steel portal frame construction under a pitched roof, incorporating translucent roof lights, with brick block / insulated clad elevations. The specification includes a large loading door ...","https://www.rightmove.co.uk/properties/169886294#/?channel=COM_LET","2025-12-01T15:53:07Z","","new","Marketed by Fenn Wright, Colchester Business Park Commercial Sales & Lettings","","51.876911","0.845574","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169886294/181355_14870898LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169886294/181355_14870898LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169886294/181355_14870898LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169886294/181355_14870898LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169886294/181355_14870898LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169886294/181355_14870898LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169886294/181355_14870898LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169886294/181355_14870898LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/182k/181355/169886294/181355_14870898LH_IMG_08_0000_max_476x317.jpeg"
"169861817","Colchester","Light Industrial","4 King Edward Quay, Hythe Quay, Colchester, Essex, CO2 8JB","£2,292 pcm","","","","2,234 sq. ft.","2234","2234","208","208","4 King Edward Quay is located by Hythe Quay and close to the Whitehall Industrial Estate. The property is 2,234 sq. ft. and comprises a warehouse area on the ground floor with additional office space on the ground and 1st floor. The unit is of steel portal frame construction with double glazed w...","https://www.rightmove.co.uk/properties/169861817#/?channel=COM_LET","2025-12-01T10:57:07Z","","new","Marketed by Petchey Holdings Limited, London","","51.882423","0.926025","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169861817/175082_142LH_IMG_12_0000_max_476x317.jpeg"
"169855127","Colchester","Restaurant","St. Botolphs Circus, Colchester, Essex, CO2","£2,580 pcm","Offers in Excess of","","3","1,370 sq. ft.","1370","1370","127","127","An exceptional opportunity to acquire a restaurant at the heart of one of Colchester's most exciting regeneration projects. This prominently positioned unit adjacent to Colchester City station, directly overlooks the junction that is set to be transformed into a stunning gateway to the city centre.","https://www.rightmove.co.uk/properties/169855127#/?channel=COM_LET","2025-11-30T12:39:57Z","","new","Marketed by Platinum Crown, Colchester","","51.88651","0.90433","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_14_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104939/169855127/104939_SB4RESTAURANT_IMG_17_0000_max_476x317.jpeg"
"169832447","Colchester","Office","Maw Hall, Rawstorn Road, Colchester, CO3 3JH","£1,417 pcm","","","","1,127 sq. ft.","1127","1127","105","105","Characterful Detached E Class Property with Parking in City Centre TO LET","https://www.rightmove.co.uk/properties/169832447#/?channel=COM_LET","2025-11-28T16:34:35Z","","new","Marketed by Nicholas Percival Commercial, Colchester","","51.88909","0.89069","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55401/169832447/55401_101551004100_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55401/169832447/55401_101551004100_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55401/169832447/55401_101551004100_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55401/169832447/55401_101551004100_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55401/169832447/55401_101551004100_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55401/169832447/55401_101551004100_IMG_05_0000_max_476x317.jpeg"
"721597980218064","Colchester","Light Industrial","Paxman Works, Port Lane, Colchester, CO1 2HW","£53,089 pcm","","","","21,780–283,140 sq. ft.","21780","283140","2023","26305","Yard / Open Storage Site Available Immediately, In Part Or Its Entirety.","https://www.rightmove.co.uk/properties/721597980218064#/?channel=COM_LET","2025-11-26T11:10:03Z","","new","Marketed by DCPC Commercial, Pinner","","51.881807","0.919754","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597980218064/82557_304967-2_IMG_15_0000_max_476x317.jpeg"
"169726853","Colchester","Retail Property (high street)","Layer Road, Colchester, Essex, CO2","£775 pcm","","","","1,072 sq. ft.","1072","1072","100","100","An established, open plan, semi-detached retail unit with parking to the front.","https://www.rightmove.co.uk/properties/169726853#/?channel=COM_LET","2025-11-26T10:27:30Z","","new","Marketed by Stanfords, Colchester","","51.857369","0.866691","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92930/169726853/92930_COL250047_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92930/169726853/92930_COL250047_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92930/169726853/92930_COL250047_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/93k/92930/169726853/92930_COL250047_L_IMG_03_0000_max_476x317.jpeg"
