id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"156181502","Cornwall","Retail Property (high street)","Ground Floor Units Quayside House , Eddystone Road, Wadebridge, Cornwall, PL27 7AU","£4,583 pcm","","","","A very attractive self- contained ground floor retail shop/ showroom constructed approximately 20 years ago as part of the regeneration of the Eddystone Road area of Wadebridge.","https://www.rightmove.co.uk/properties/156181502#/?channel=COM_LET","2024-12-23T16:07:14Z","","new","Marketed by Vickery Holman, Truro","","50.517963","-4.836793","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91006/156181502/91006_21279LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91006/156181502/91006_21279LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91006/156181502/91006_21279LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91006/156181502/91006_21279LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91006/156181502/91006_21279LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91006/156181502/91006_21279LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91006/156181502/91006_21279LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91006/156181502/91006_21279LH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91006/156181502/91006_21279LH_IMG_01_0000_max_476x317.jpeg"
"169935221","Cornwall","Retail Property (high street)","Wharfside Shopping Centre, Market Jew Street, Penzance","£1,050 pcm","","","","Wharfside Shopping Centre is home to a wide range of shops, both National retailers and local specialists. The Shopping Centre links Market Jew Street, the historic prime retail street, with Wharf Road and Wharf Road Car Park (800 spaces), to the main town centre car park. The available units are at","https://www.rightmove.co.uk/properties/169935221#/?channel=COM_LET","2025-12-02T18:01:05Z","","new","Marketed by Miller Commercial, Commercial Agency","","50.1215","-5.53398","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169935221/212042_8625_IMG_23_0000_max_476x317.jpeg"
"164120945","Cornwall","Light Industrial","Long Rock Industrial Estate, TR20","£1,395 pcm","","","","Light Industrial / Workshop / Storage with parking. A dedicated unit on a popular industrial estate, adjacent to the A30, just outside Penzance. ","https://www.rightmove.co.uk/properties/164120945#/?channel=COM_LET","2025-07-03T14:46:05Z","","price_reduced","Marketed by Millbrook Business Park Ltd, Beaconsfield","","50.1303","-5.5045","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287861/164120945/287861_LRPL20a_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287861/164120945/287861_LRPL20a_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287861/164120945/287861_LRPL20a_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287861/164120945/287861_LRPL20a_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287861/164120945/287861_LRPL20a_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287861/164120945/287861_LRPL20a_IMG_07_0000_max_476x317.jpeg"
"167256614","Cornwall","Office","Office 6 Square Sail House, Charlestown, St Austell","£600 pcm","","","","A modern office suite set within Square Sail House. The office rental includes heating, electricity and Wi-Fi. There is use of kitchen facilities, gents and ladies toilets, and includes a car parking permit.","https://www.rightmove.co.uk/properties/167256614#/?channel=COM_LET","2025-09-22T12:01:17Z","","new","Marketed by Miller Commercial, Commercial Agency","","50.3316","-4.75777","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/167256614/212042_8875_IMG_14_0000_max_476x317.jpeg"
"169913273","Cornwall","Light Industrial","Pearces Mill, Falmouth Wharves, North Parade, Falmouth, Cornwall, TR11 2TF","£2,917 pcm","From","","","Pearces Mill is well located within the popular town of Falmouth, adjacent to Falmouth Marina and overlooking Penryn River. The properties have been extensively renovated in order to provide modern office accommodation, kitchenettes and toilet facilities on each floor. The offices are located a...","https://www.rightmove.co.uk/properties/169913273#/?channel=COM_LET","2025-12-02T12:17:11Z","","new","Marketed by Vickery Holman, Truro","","50.164265","-5.081737","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/59f0b12d6/169913273/59f0b12d67019ee65c6655c1a9f7059c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6cbcab1db/169913273/6cbcab1db6f8d399515744ed015d77c7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5bcf92d45/169913273/5bcf92d45c5c6f4ccb0b8f3387aa2626_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c997b744e/169913273/c997b744e1803fc206b3d7be3a6d6a93_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/afaaa0044/169913273/afaaa004462801a2c97799c0905010c2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/894d5ac90/169913273/894d5ac901ecfb27758123dfc4873061_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bb48b5b23/169913273/bb48b5b23702a43e816b30928c4a48d9_max_476x317.jpeg"
"169913015","Cornwall","Light Industrial","The Old Laundry Falmouth Wharves, North Parade, Falmouth, Cornwall, TR11 2TF","POA","","","","The Old Laundry is well located within the popular town of Falmouth, adjacent to Falmouth Marina and overlooking Penryn River. The building has been extensively renovated in order to provide small, self contained, modern office accommodation with shared kitchen and toilet facilities. The office...","https://www.rightmove.co.uk/properties/169913015#/?channel=COM_LET","2025-12-02T12:12:42Z","","new","Marketed by Vickery Holman, Truro","","50.164265","-5.081737","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/10001341d/169913015/10001341d8f802c8a747688a10d21802_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2ecab2049/169913015/2ecab20494a41cc75286e1f0703e542a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/894d5ac90/169913015/894d5ac901ecfb27758123dfc4873061_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9dcfb97aa/169913015/9dcfb97aa60e6f24c75194d1d2f3c484_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ec511179f/169913015/ec511179f8ead1892d173aa863e974d0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ab1cf9d38/169913015/ab1cf9d3809a1f05e663ebd9af59caa0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/245a3e364/169913015/245a3e36434283545d6f782242163455_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6b0925b78/169913015/6b0925b78fb601856ab7a0b53bc185ae_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ffd035344/169913015/ffd0353444ddb6a2d695f031995c9da2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c8f2b03e2/169913015/c8f2b03e2d0fb49def83bfbdafcfa5f9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a85d33090/169913015/a85d33090951eea687a31d48c5561054_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/43dad2c0b/169913015/43dad2c0b24ce3b047ad94aaca9129d7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f00acf175/169913015/f00acf175e7ddf8fc484121c0bc13ee1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2daf72848/169913015/2daf7284856269f6f2b84cab86c71740_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/00d2f6b2a/169913015/00d2f6b2ac5c792911fc6438871f4cf9_max_476x317.jpeg"
"169891208","Cornwall","Retail Property (high street)","Camborne Business Centre, Cornwall, TR14","£1,395 pcm","Fixed Price","","","Property Ref: 15606 Prime Beauty, Wellness Space or Office — Camborne Business Centre, Cornwall To Let - Versatile Commercial Unit …","https://www.rightmove.co.uk/properties/169891208#/?channel=COM_LET","2025-12-01T17:03:27Z","","new","Marketed by gLocalAgents.co.uk, Covering Nationwide","","50.215792","-5.308106","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176603/169891208/176603_15606_EAF_243855_IMG_16_0000_max_476x317.jpeg"
"169845638","Cornwall","Office","Allet Barns Business Centre, Allet, Shortlanesend, Truro","£354 pcm","From","","","Rural office suite available immediately on 12 month rolling licences. Allet Barns Business Centre has modern office amenities mixed with rural barn location. There is now only one suite available with rents below: Office 5 - £4,250 The suite would suit a variety of office users and viewin...","https://www.rightmove.co.uk/properties/169845638#/?channel=COM_LET","2025-11-29T10:00:57Z","","new","Marketed by Miller Commercial, Commercial Agency","","50.2947","-5.11","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212042/169845638/212042_5585_IMG_16_0000_max_476x317.jpeg"
"169346801","Cornwall","Light Industrial","Florence Road Industrial Estate, Callington, PL17","£778 pcm","","","","Florence Road Business Park is a long-established and thriving business community set within a peaceful woodland environment just outside Callington. Other units available from 146 sqft to 6,500 sq ftAvailable: November 2025 | Long-Term Lease | Unfurnished","https://www.rightmove.co.uk/properties/169346801#/?channel=COM_LET","2025-11-28T17:07:53Z","","price_reduced","Marketed by FRBP Ltd, Callington","","50.5189","-4.31039","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296795/169346801/296795_FlorenceRoad_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296795/169346801/296795_FlorenceRoad_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296795/169346801/296795_FlorenceRoad_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296795/169346801/296795_FlorenceRoad_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296795/169346801/296795_FlorenceRoad_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296795/169346801/296795_FlorenceRoad_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296795/169346801/296795_FlorenceRoad_IMG_06_0000_max_476x317.jpeg"
"67620204","Cornwall","Commercial Property","Newport Industrial Estate, Launceston","£750 pcm","","","","COMMERCIAL PREMISES TO LET WITH PARKING SITUATED ON NEWPORT INDUSTRIAL ESTATE ","https://www.rightmove.co.uk/properties/67620204#/?channel=COM_LET","2020-01-14T10:00:44Z","","new","Marketed by Jefferys, Lostwithiel","","50.640121","-4.360065","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/34k/33476/67620204/33476_10087777_IMG_14_0000_max_476x317.jpeg"
