id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"159306716","Cumbria","Office","ModVillage, Baron Way, Carlisle, Cumbria, CA6 4BU","£750 pcm","From","","1","275–550 sq. ft.","275","550","26","51","Modern self-contained offices at ModVillage, Kingmoor Park, Carlisle. Adjacent to the M6 and Carlisle Northern Bypass. Bright open-plan workspace with kitchen, W/C and private entrance. All-inclusive rent with WiFi, parking, utilities and service charge all included. ","https://www.rightmove.co.uk/properties/159306716#/?channel=COM_LET","2025-03-12T12:31:01Z","","size_change","Marketed by Kingmoor Park Properties Ltd, Carlisle","","54.93291","-2.96246","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287066/159306716/287066_KMPMODVILLAGE_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287066/159306716/287066_KMPMODVILLAGE_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287066/159306716/287066_KMPMODVILLAGE_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287066/159306716/287066_KMPMODVILLAGE_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287066/159306716/287066_KMPMODVILLAGE_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287066/159306716/287066_KMPMODVILLAGE_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287066/159306716/287066_KMPMODVILLAGE_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287066/159306716/287066_KMPMODVILLAGE_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287066/159306716/287066_KMPMODVILLAGE_IMG_13_0000_max_476x317.jpeg"
"169984574","Cumbria","Commercial Property","63 Quarry Rigg, Windermere, Cumbria, LA23","£875 pcm","","","","","","","",""," Well Located Ground Floor Retail Premises in Prime Tourist Area and forming part of a popular retail scheme.","https://www.rightmove.co.uk/properties/169984574#/?channel=COM_LET","2025-12-04T09:52:04Z","","new","Marketed by EDWIN THOMPSON, Windermere Office","","54.3661","-2.91818","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230627/169984574/230627_H12445_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230627/169984574/230627_H12445_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230627/169984574/230627_H12445_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230627/169984574/230627_H12445_IMG_03_0000_max_476x317.jpeg"
"169931396","Cumbria","Office","Keswick Hall, Keswick Hall Road, Keswick, NR4 6TJ","POA","","","","310–7,479 sq. ft.","310","7479","29","695","Characterful offices with modern facilities and ample parking","https://www.rightmove.co.uk/properties/169931396#/?channel=COM_LET","2025-12-02T16:53:09Z","","new","Marketed by Bidwells LLP, Norwich","","54.601276","-3.134706","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169931396/286400_208769-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169931396/286400_208769-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169931396/286400_208769-2_IMG_02_0000_max_476x317.jpeg"
"169922936","Cumbria","Business Park","FF Office South Wing, Dovenby Hall Estate, Cockermouth CA13 0PN","£1,341 pcm","","","","1,463 sq. ft.","1463","1463","136","136","Prestigious High Quality Development within some 115 Acres of Magnificent Landscape GroundsFully Refurbish First Floor Office Suite/Studio Available To Let","https://www.rightmove.co.uk/properties/169922936#/?channel=COM_LET","2025-12-02T14:59:48Z","","new","Marketed by Carigiet Cowen Limited, Carlisle","","54.68697","-3.40147","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169922936/287663_RP7665_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169922936/287663_RP7665_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169922936/287663_RP7665_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169922936/287663_RP7665_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169922936/287663_RP7665_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169922936/287663_RP7665_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169922936/287663_RP7665_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/169922936/287663_RP7665_IMG_07_0000_max_476x317.jpeg"
"168253067","Cumbria","Serviced Office","Pattinson House, Dovenby Hall, CA13 0PN","£2,436 pcm","","","","1,543 sq. ft.","1543","1543","143","143","The Dovenby Hall Estate is located some 3 miles north west of Cockermouth close to both the A595 which links West Cumbria with the M6 motorway at Carlisle and the A66 trunk road which joins the M6 at Penrith. The estate comprises a prestigious high quality development located within 15 acres.","https://www.rightmove.co.uk/properties/168253067#/?channel=COM_LET","2025-10-16T11:57:08Z","","size_change","Marketed by Carigiet Cowen Limited, Carlisle","","54.68699","-3.40151","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168253067/287663_RP6678_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168253067/287663_RP6678_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168253067/287663_RP6678_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168253067/287663_RP6678_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168253067/287663_RP6678_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168253067/287663_RP6678_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168253067/287663_RP6678_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168253067/287663_RP6678_IMG_07_0000_max_476x317.jpeg"
"169792412","Cumbria","Retail Property (high street)","3  Birch Street, Windermere, LA23","£1,400 pcm","","","","731 sq. ft.","731","731","68","68","Located in the heart of Windermere on Birch Street off Crescent Road. Windermere sits just east of Lake Windermere, the largest natural lake in England and is therefore a highly popular all year round tourist destination. Windermere is easily reached by train (from Oxenholme on the main West Coas...","https://www.rightmove.co.uk/properties/169792412#/?channel=COM_LET","2025-11-27T16:53:44Z","","new","Marketed by DM Hall, Kendal","","54.378324","-2.905739","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/169792412/278141_11520K_IMG_12_0001_max_476x317.jpeg"
"169791233","Cumbria","Commercial Property","Denton Street, Carlisle","£542 pcm","","","1","","","","","","A single-fronted ground floor shop premises with a prominent position on the busy Denton Holme high street. There is a Co-op, popular Bingo hall and a number of other small retailers in the immediate vicinity and Carlisle city centre is within","https://www.rightmove.co.uk/properties/169791233#/?channel=COM_LET","2025-11-27T16:38:03Z","","new","Marketed by Letting Centre Carlisle, Carlisle","","54.8874","-2.93996","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/aa0b4ee97/169791233/aa0b4ee9766e5b343ba37a808a6a605a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/63ea87991/169791233/63ea87991665d24e21845b4f55a79a6d_max_476x317.jpeg"
"166867724","Cumbria","Light Industrial","Unit 13 Kendal Business Park Off Apppleby Road, Kendal, LA9","£2,250 pcm","","","","2,124 sq. ft.","2124","2124","197","197","Located on the well established trading estate of Kendal Business Park, off Appleby Road, Kendal towards the northern end of town. The estate offers good transport links to both the motorway and Kendal train station.    Kendal Business Park is home to a diverse mix of industrial, motor trade, and...","https://www.rightmove.co.uk/properties/166867724#/?channel=COM_LET","2025-09-11T11:26:12Z","","new","Marketed by DM Hall, Kendal","","54.334063","-2.735109","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_13_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_01_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_02_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_03_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_04_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_05_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_06_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_07_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_08_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_09_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_10_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_11_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_12_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278141/166867724/278141_11508K_IMG_14_0003_max_476x317.jpeg"
"169743452","Cumbria","Workshop","Garnett House - Workshop to Let","£300 pcm","","","","","","","","","Workshop at Garnett House - To Let","https://www.rightmove.co.uk/properties/169743452#/?channel=COM_LET","2025-11-26T14:58:01Z","","new","Marketed by EDWIN THOMPSON, Carlisle","","54.35662","-2.77055","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230642/169743452/230642_E1088_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230642/169743452/230642_E1088_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230642/169743452/230642_E1088_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230642/169743452/230642_E1088_IMG_08_0000_max_476x317.jpeg"
"169737842","Cumbria","Shop","Unit 63 Quarry Rigg Shopping Centre Quarry Rigg, Windermere, LA23","£875 pcm","","","","525 sq. ft.","525","525","49","49","Located in the heart of Bowness on Windermere and occupying a high profile trading position within Quarry Rigg. Bowness on Windermere is situated in the Lake District National Park and is an extremely popular all year round tourist destination.","https://www.rightmove.co.uk/properties/169737842#/?channel=COM_LET","2025-11-26T13:20:11Z","","new","Marketed by DM Hall, Kendal","","54.365635","-2.918118","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/736dcbccd/169737842/736dcbccd7c3dae93b03505c63baa3f8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6252b448b/169737842/6252b448bd69a0d21271e3a2f7094da8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a24c8718f/169737842/a24c8718f1b0e370c7650024755d44b2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/95ad56ce9/169737842/95ad56ce96d3838b7a0e810d4336cc1a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0bbd02bac/169737842/0bbd02bac863e65067914b8635aefaf6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/41e477bff/169737842/41e477bfff4f647b601aeb75acecc23d_max_476x317.jpeg"
