id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"163765808","Devon","Light Industrial","11 Kay Close, Plymouth, Devon, PL7","£1,958 pcm","","","1","2,871 sq. ft.","2871","2871","267","267","Unit 11 is situated in a mid-terrace position comprising 5 units. Available on a new 6 year lease. Approximately 266 sq.m (2,871 sq.ft) gross internal floor area. Incorporating two offices, kitchen area and staff facilities. Mezzanine floor of approx 110 sq.m (1,184 sq.ft). ","https://www.rightmove.co.uk/properties/163765808#/?channel=COM_LET","2025-06-25T10:46:32Z","","new","Marketed by Plymouth City Council, Plymouth","","50.39753","-4.04346","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200837/163765808/200837_GDB25062025_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200837/163765808/200837_GDB25062025_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200837/163765808/200837_GDB25062025_IMG_02_0000_max_476x317.jpeg"
"723051545774000","Devon","Restaurant","194 High Street, Exeter, EX4 3DU","£4,958 pcm","","","","4,854 sq. ft.","4854","4854","451","451","Former cafe / restaurant to let - opposite The Ivy","https://www.rightmove.co.uk/properties/723051545774000#/?channel=COM_LET","2025-12-04T13:07:04Z","","new","Marketed by Savills, Bristol - Retail","","50.722974","-3.532287","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b35ae56b4/723051545774000/b35ae56b461fab275f41ad241049ae7c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/82fd610aa/723051545774000/82fd610aa21d4cb1670338c6a6101b86_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4eeeaa34a/723051545774000/4eeeaa34a82e7eb8e4a055c1b1de4aca_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e509b97ff/723051545774000/e509b97ff8eb3c95b8d3532e821a9c47_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/88ee1d0d3/723051545774000/88ee1d0d3025f4528b541959fdf04107_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/aa16de29a/723051545774000/aa16de29a1be690b76e4ea06d85725c4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/acbda6d7f/723051545774000/acbda6d7f9c86867db5b172f8709d79d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d4d56ad59/723051545774000/d4d56ad59ac00b9b1144d78d59d7e1aa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/edb1ae464/723051545774000/edb1ae4644ca4047f39d77e6b69625a7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4cfdb0773/723051545774000/4cfdb07738ca793611a70c05b5ca830d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1171babdf/723051545774000/1171babdf5c67ba63240c40a35be1f8e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b14672f8f/723051545774000/b14672f8ff1e48bf76c4a1dc57b8d98c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/587cefdfe/723051545774000/587cefdfe1b40053a9b13963d90f6e9f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/967649e3c/723051545774000/967649e3cb7fdafc801f771605444a80_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e7aa24586/723051545774000/e7aa245861bf0ccbcc6ead6646613926_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c4b8967ff/723051545774000/c4b8967ffe727fa99ef5c7b4469c31cc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c55bc59ff/723051545774000/c55bc59ff5d3519ab8d0cfae967ce95d_max_476x317.jpeg"
"156385091","Devon","Commercial Property","Paignton","£1,000 pcm","","","","","","","","","Prime Ground Floor Commercial Premises in Central Paignton. Former Bank, Now Vacant & Ready for Various Commercial Uses. Situated on Torquay Road, a bustling commercial thoroughfare in Paignton, the property benefits from high visibility and pedestrian traffic. This prominent location is sur...","https://www.rightmove.co.uk/properties/156385091#/?channel=COM_LET","2025-01-02T09:56:27Z","","new","Marketed by Bettesworths, Devon","","50.4366","-3.567741","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/156385091/282179_12556740_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/156385091/282179_12556740_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/156385091/282179_12556740_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/156385091/282179_12556740_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/156385091/282179_12556740_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/156385091/282179_12556740_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/156385091/282179_12556740_IMG_06_0000_max_476x317.jpeg"
"169987199","Devon","Light Industrial","45 Regent Street, Plymouth, Devon, PL4 8BB","£4,875 pcm","","","","9,399 sq. ft.","9399","9399","873","873","The property comprises a large open plan warehouse area with offices to the ground and first floor. The warehouse area benefits from a roller shutter door which leads onto a yard/car parking area for approximately 10 cars. There are WCs within the warehouse as well as on the first floor.","https://www.rightmove.co.uk/properties/169987199#/?channel=COM_LET","2025-12-04T10:31:32Z","","new","Marketed by Vickery Holman, Plymouth","","50.373234","-4.133895","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100904/169987199/100904_21575LH_IMG_16_0000_max_476x317.jpeg"
"169984943","Devon","Distribution Warehouse","Compound 3 Langlands Business Park, Uffculme, EX15 3DA","POA","","","","2,426 sq. ft.","2426","2426","225","225","Secure open storage compound","https://www.rightmove.co.uk/properties/169984943#/?channel=COM_LET","2025-12-04T09:56:17Z","","new","Marketed by JLL, Bristol - Industrial","","50.89894","-3.347974","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260909/169984943/260909_345799-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260909/169984943/260909_345799-2_IMG_01_0000_max_476x317.jpeg"
"169984076","Devon","Distribution Warehouse","Unit 3 WIlland Road Business Park, Uffculme, EX15 2RF","POA","","","","17,491 sq. ft.","17491","17491","1625","1625","Available Now - Detached industrial unit with secure yard","https://www.rightmove.co.uk/properties/169984076#/?channel=COM_LET","2025-12-04T09:39:58Z","","new","Marketed by JLL, Bristol - Industrial","","50.890525","-3.365342","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260909/169984076/260909_345795-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260909/169984076/260909_345795-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260909/169984076/260909_345795-2_IMG_02_0000_max_476x317.jpeg"
"169983323","Devon","Warehouse","Unit Q Langlands Business Park, Uffculme, EX15 3DA","POA","","","","2,774 sq. ft.","2774","2774","258","258","Available Now - End of terrace industrial unit","https://www.rightmove.co.uk/properties/169983323#/?channel=COM_LET","2025-12-04T09:25:08Z","","new","Marketed by JLL, Bristol - Industrial","","50.89894","-3.347974","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260909/169983323/260909_345782-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260909/169983323/260909_345782-2_IMG_01_0000_max_476x317.jpeg"
"169983236","Devon","Distribution Warehouse","Unit M Langlands Business Park, Uffculme, EX15 3DA","POA","","","","2,201 sq. ft.","2201","2201","204","204","Available Now - End of Terrace Business Unit","https://www.rightmove.co.uk/properties/169983236#/?channel=COM_LET","2025-12-04T09:23:19Z","","new","Marketed by JLL, Bristol - Industrial","","50.89894","-3.347974","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260909/169983236/260909_345792-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260909/169983236/260909_345792-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260909/169983236/260909_345792-2_IMG_02_0000_max_476x317.jpeg"
"169971941","Devon","Light Industrial","Plymtree, Devon, EX15","£1,300 pcm","","","","1,614 sq. ft.","1614","1614","150","150","A versatile light industrial unit of approximately 150 square metres set within a secure gated site with CCTV. Available immediately with water and electricity payable by the tenant","https://www.rightmove.co.uk/properties/169971941#/?channel=COM_LET","2025-12-03T17:06:04Z","","new","Marketed by Moveli, London & Country","","50.828909","-3.359401","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191324/169971941/191324_RX700493_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191324/169971941/191324_RX700493_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191324/169971941/191324_RX700493_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191324/169971941/191324_RX700493_IMG_03_0000_max_476x317.jpeg"
"169965980","Devon","Office","Torquay","£1,208 pcm","","","","","","","","","Modern Second Floor Office Situated in Town Centre. Smartly Presented, Ready for Occupation. Situated on Union Street, the prime shopping parade in Torquay. The property benefits from a number of national and independent occupiers nearby. This central location gives occupiers all the benefits...","https://www.rightmove.co.uk/properties/169965980#/?channel=COM_LET","2025-12-03T15:30:50Z","","new","Marketed by Bettesworths, Devon","","50.466236","-3.528505","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/169965980/282179_12781882_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/169965980/282179_12781882_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/169965980/282179_12781882_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/169965980/282179_12781882_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/169965980/282179_12781882_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/169965980/282179_12781882_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/169965980/282179_12781882_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282179/169965980/282179_12781882_IMG_07_0000_max_476x317.jpeg"
