id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"161856704","Dudley","Restaurant","Castlegate Leisure Park, Dudley, West Midlands, DY1 4TA","£7,083 pcm","","","","The restaurant unit comprises a modern purpose-built ground floor restaurant unit with large open terrace to the front and immediately adjacent to the cinema, and car park entrance. Castlegate Leisure Park benefits from a total of 760 shared surface car parking spaces.","https://www.rightmove.co.uk/properties/161856704#/?channel=COM_LET","2025-05-13T10:06:35Z","","price_reduced","Marketed by Creative Retail, Birmingham","","52.515842","-2.071126","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/161856704/191489_338LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/161856704/191489_338LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/161856704/191489_338LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/161856704/191489_338LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/161856704/191489_338LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/161856704/191489_338LH_IMG_05_0000_max_476x317.jpeg"
"169912064","Dudley","Office","Suite 3 Russell House, The Inhedge, Dudley, West Midlands, DY1","£1,042 pcm","","","","Second Floor Office Premises To Let ","https://www.rightmove.co.uk/properties/169912064#/?channel=COM_LET","2025-12-02T12:00:02Z","","new","Marketed by WLT Commercial, Telford","","52.5104","-2.08714","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169912064/292100_3RH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169912064/292100_3RH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169912064/292100_3RH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169912064/292100_3RH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292100/169912064/292100_3RH_IMG_02_0000_max_476x317.jpeg"
"165690134","Dudley","Retail Property (high street)","Halesowen Road, Netherton, Dudley, West Midlands","£695 pcm","","","","A retail unit with shop frontage (and roller shutters) situated on Netherton High Street, with Class A1 planning permission. Available to view now for long term let. Call to book your viewing","https://www.rightmove.co.uk/properties/165690134#/?channel=COM_LET","2025-08-13T10:55:02Z","","price_reduced","Marketed by Trinity Property, Dudley","","52.489569","-2.081785","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17975/165690134/17975_HMZ-59846299_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17975/165690134/17975_HMZ-59846299_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17975/165690134/17975_HMZ-59846299_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17975/165690134/17975_HMZ-59846299_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17975/165690134/17975_HMZ-59846299_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17975/165690134/17975_HMZ-59846299_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17975/165690134/17975_HMZ-59846299_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17975/165690134/17975_HMZ-59846299_IMG_07_0000_max_476x317.jpeg"
"168255428","Dudley","Light Industrial","Units on ACL Business Park, Narrowboat Way, Dudley, West Midlands, DY2","£3,388 pcm","","","","Units, Offices and Yard available (together or separately) in Dudley","https://www.rightmove.co.uk/properties/168255428#/?channel=COM_LET","2025-10-16T12:36:43Z","","size_change","Marketed by Andrew Dixon & Company, Cannock","","52.49518","-2.09805","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295259/168255428/295259_CABP2407ELH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295259/168255428/295259_CABP2407ELH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295259/168255428/295259_CABP2407ELH_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295259/168255428/295259_CABP2407ELH_IMG_03_0000_max_476x317.jpeg"
"722867589949120","Dudley","Distribution Warehouse","Unit 1 Woodside Industrial Estate, Pedmore Road, Dudley, DY2 0RL","£27,766 pcm","","","","Industrial/Warehouse Premises PRELIMINARY PARTICULARS","https://www.rightmove.co.uk/properties/722867589949120#/?channel=COM_LET","2025-12-03T11:39:07Z","","new","Marketed by Garrison Real Estate Limited, Solihull","","52.492119","-2.107039","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867589949120/280895_333690-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867589949120/280895_333690-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867589949120/280895_333690-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867589949120/280895_333690-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867589949120/280895_333690-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867589949120/280895_333690-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867589949120/280895_333690-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867589949120/280895_333690-2_IMG_07_0000_max_476x317.jpeg"
"169195922","Dudley","Light Industrial","Dudley, West Midlands, DY1","£3,500 pcm","","","","Industrial Warehouse to Rent","https://www.rightmove.co.uk/properties/169195922#/?channel=COM_LET","2025-11-10T16:36:14Z","","new","Marketed by MECS Commercial, Birmingham","","52.50713","-2.09117","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284552/169195922/284552_KingStDudley_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284552/169195922/284552_KingStDudley_IMG_01_0000_max_476x317.jpeg"
"169134299","Dudley","Light Industrial","Unit 5A, Thornleigh Trading Estate, Dudley, West Midlands, DY2 8UB","£750 pcm","","","","Location: The unit is situated towards the front of the Thornleigh Trading Estate which lies just off the Dudley Southern Bypass (A461). Junction 2 of the M5 is within 5 miles approx. Description: The unit is of steel framed construction with brick/blockwork walls surmounted by a pitched corr...","https://www.rightmove.co.uk/properties/169134299#/?channel=COM_LET","2025-11-07T16:43:25Z","","new","Marketed by Harris Lamb, Dudley","","52.500633","-2.096955","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222038/169134299/222038_7032LH_IMG_00_0000_max_476x317.jpeg"
"169123547","Dudley","Light Industrial","Turner Street, Dudley, West Midlands","£500 pcm","","","","TO LET - An opportunity to lease a smaller starter unit suitable for a number of business/commercial uses. EPC = D (87)","https://www.rightmove.co.uk/properties/169123547#/?channel=COM_LET","2025-11-07T14:33:09Z","","new","Marketed by Scriven & Co, Quinton","","52.508281","-2.094604","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35621/169123547/35621_34293104_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35621/169123547/35621_34293104_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35621/169123547/35621_34293104_IMG_01_0000_max_476x317.jpeg"
"87329421","Dudley","Shop","Louise Street, Dudley","£690 pcm","","","","G&T Properties Are Delighted To Offer This SPACIOUS Ground Floor Shop/Unit Recently Refurbished To A High Standard. This Versatile Unit Includes A Private WC, Modern Kitchen, And Secure Roller Shutter. Located In An Excellent Area With Strong Footfall,.","https://www.rightmove.co.uk/properties/87329421#/?channel=COM_LET","2025-10-15T00:30:30Z","","price_reduced","Marketed by G & T Properties, Dudley","","52.5173","-2.13235","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168203/87329421/168203_CL0182_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168203/87329421/168203_CL0182_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168203/87329421/168203_CL0182_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168203/87329421/168203_CL0182_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168203/87329421/168203_CL0182_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168203/87329421/168203_CL0182_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168203/87329421/168203_CL0182_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168203/87329421/168203_CL0182_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168203/87329421/168203_CL0182_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168203/87329421/168203_CL0182_IMG_09_0000_max_476x317.jpeg"
"168854747","Dudley","Light Industrial","Unit 29, Thornleigh Trading Estate, Dudley","£2,329 pcm","","","","The unit is located on the established Thornleigh Trading Estate which is off Duncan Edwards Way, which in turn is off the main Cinder Bank island interchange. Being of steel portal frame construction the property has part brick, part profile sheet clad elevations beneath a pitched profile sheet ...","https://www.rightmove.co.uk/properties/168854747#/?channel=COM_LET","2025-10-31T16:13:58Z","","new","Marketed by Bulleys Chartered Surveyors, Wolverhampton","","52.500644","-2.097572","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/168854747/281333_BWOL2071-LET_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/168854747/281333_BWOL2071-LET_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/168854747/281333_BWOL2071-LET_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/168854747/281333_BWOL2071-LET_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/168854747/281333_BWOL2071-LET_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281333/168854747/281333_BWOL2071-LET_IMG_05_0000_max_476x317.jpeg"
