id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"129217667","Dumfries & Galloway","Distribution Warehouse","St Mary’s Industrial Park, Talbot Road, Hyde, SK14 4HN","POA","","","","12,000–41,000 sq. ft.","12000","41000","1115","3809","***LOW COST*** Warehouse/ Industrial units to let on prominently located Industrial Estate in Newton, Hyde.","https://www.rightmove.co.uk/properties/129217667#/?channel=COM_LET","2022-11-18T12:16:57Z","","size_change","Marketed by MBRE, Stockport","","55.378051","-3.435973","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d617eb01c/129217667/d617eb01cdeb119e15ef38bfca605fa1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8ac1473c2/129217667/8ac1473c2e92236af37054607a88d759_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/58d82d4cc/129217667/58d82d4ccfd64d303937c89e9ac6abd1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9cee171df/129217667/9cee171dfb2b86783a29943ccaba4b7b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/05f4e1bdb/129217667/05f4e1bdbc6e8b30047cef70cff32231_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2c7682086/129217667/2c7682086f434343fa1965b930c0811d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5b095e870/129217667/5b095e870eaef131041fb48426880c1b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/382dda2a8/129217667/382dda2a8f1624da1f28157a2ff9fb1e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/181f035ff/129217667/181f035ff41a30b71adb6ca3959257fd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/323f3f72a/129217667/323f3f72a09916a1581cfd42b9b44712_max_476x317.jpeg"
"155899898","Dumfries & Galloway","Warehouse","Heathhall Industrial Estate, Dumfries, Dumfriesshire, DG1","POA","","","","50,000–175,000 sq. ft.","50000","175000","4645","16258","RENT FREE / REFURB INCENTIVES AVAILABLE former airport hangars, built as part of a second world war airfield. The building consists of a high bay steel framed warehouse with single storey amenity wings to either side. The property benefits from a large parking and yard area.","https://www.rightmove.co.uk/properties/155899898#/?channel=COM_LET","2024-12-12T15:13:16Z","","size_change","Marketed by GF1 Investments Limited, Kelloholm","","55.09009","-3.56516","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/155899898/223238_HeathhallWarehouse_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/155899898/223238_HeathhallWarehouse_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/155899898/223238_HeathhallWarehouse_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/155899898/223238_HeathhallWarehouse_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/155899898/223238_HeathhallWarehouse_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/155899898/223238_HeathhallWarehouse_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/155899898/223238_HeathhallWarehouse_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/155899898/223238_HeathhallWarehouse_IMG_03_0000_max_476x317.jpeg"
"169661363","Dumfries & Galloway","Serviced Office","Bankend Road, Dumfries, Dumfriesshire, DG1","£253 pcm","","","","98 sq. ft.","98","98","9","9","This imposing, listed, three storey sandstone building with First Floor Accommodation within the main Business Park has been fully refurbished to provide OUTSTANDING OFFICE SPACE split in to 12 different sized offices.. 172sqft Office F7","https://www.rightmove.co.uk/properties/169661363#/?channel=COM_LET","2025-11-24T15:52:42Z","","size_change","Marketed by THE CRICHTON TRUST, Dumfries","","55.04787","-3.59222","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661363/104584_Hestan_House_F3_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661363/104584_Hestan_House_F3_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661363/104584_Hestan_House_F3_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661363/104584_Hestan_House_F3_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661363/104584_Hestan_House_F3_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661363/104584_Hestan_House_F3_IMG_05_0000_max_476x317.jpeg"
"169661243","Dumfries & Galloway","Serviced Office","Bankend Road, Dumfries, Dumfriesshire, DG1","£585 pcm","","","","242 sq. ft.","242","242","22","22","This imposing, listed, three storey sandstone building with First Floor Accommodation within the main Business Park has been fully refurbished to provide OUTSTANDING OFFICE SPACE split in to 12 different sized offices.. 172sqft Office F7","https://www.rightmove.co.uk/properties/169661243#/?channel=COM_LET","2025-11-24T15:51:13Z","","size_change","Marketed by THE CRICHTON TRUST, Dumfries","","55.04787","-3.59222","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104584/169661243/104584_Hestan_House_F8_IMG_11_0000_max_476x317.jpeg"
"169261265","Dumfries & Galloway","Office","144a King Street, Castle Douglas, DG7","£433 pcm","Offers Over","","","1,346 sq. ft.","1346","1346","125","125","King Street is the main commercial trading location in Castle Douglas town centre, with the property occupying a prominent position close to the junction with Church Street. Nearby occupiers comprise a mix of national businesses including RBS, Scotmid, The Original Factory Shop with local busines...","https://www.rightmove.co.uk/properties/169261265#/?channel=COM_LET","2025-11-12T11:06:05Z","","new","Marketed by DM Hall, Glasgow","","54.94057","-3.9304","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169261265/145094_WSA2904A-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169261265/145094_WSA2904A-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169261265/145094_WSA2904A-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169261265/145094_WSA2904A-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169261265/145094_WSA2904A-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169261265/145094_WSA2904A-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169261265/145094_WSA2904A-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169261265/145094_WSA2904A-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169261265/145094_WSA2904A-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169261265/145094_WSA2904A-2_IMG_09_0000_max_476x317.jpeg"
"169260722","Dumfries & Galloway","Retail Property (high street)","144 King Street, Castle Douglas, DG7","£800 pcm","","","","764 sq. ft.","764","764","71","71","King Street is the main retailing location in Castle Douglas town centre, with the property occupying a prominent position close to the junction with Church Street. Nearby occupiers comprise a mix of national businesses including RBS, Scotmid, The Original Factory Shop with local businesses inclu...","https://www.rightmove.co.uk/properties/169260722#/?channel=COM_LET","2025-11-12T10:59:14Z","","new","Marketed by DM Hall, Glasgow","","54.940252","-3.930358","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169260722/145094_WSA2904_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169260722/145094_WSA2904_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169260722/145094_WSA2904_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169260722/145094_WSA2904_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169260722/145094_WSA2904_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169260722/145094_WSA2904_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169260722/145094_WSA2904_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169260722/145094_WSA2904_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169260722/145094_WSA2904_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/169260722/145094_WSA2904_IMG_09_0000_max_476x317.jpeg"
"168631628","Dumfries & Galloway","Workshop","Henry Street, Langholm, DG13","£400 pcm","","","","","","","","","Steel frame workshop to let with vehicle access, ideal for storage or business use.","https://www.rightmove.co.uk/properties/168631628#/?channel=COM_LET","2025-10-27T10:36:29Z","","new","Marketed by C & D Rural, Carlisle","","55.151793","-3.004577","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29354/168631628/29354_068a1ebf-00d3-431f-aab1-09936e779aa0_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29354/168631628/29354_068a1ebf-00d3-431f-aab1-09936e779aa0_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29354/168631628/29354_068a1ebf-00d3-431f-aab1-09936e779aa0_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29354/168631628/29354_068a1ebf-00d3-431f-aab1-09936e779aa0_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29354/168631628/29354_068a1ebf-00d3-431f-aab1-09936e779aa0_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29354/168631628/29354_068a1ebf-00d3-431f-aab1-09936e779aa0_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29354/168631628/29354_068a1ebf-00d3-431f-aab1-09936e779aa0_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/30k/29354/168631628/29354_068a1ebf-00d3-431f-aab1-09936e779aa0_IMG_07_0000_max_476x317.jpeg"
"165648614","Dumfries & Galloway","Pub","Bank Street, Dumfries, Dumfriesshire, DG1","£833 pcm","From","","","","","","","","Town Centre Location - Rates Exempt - Ground Floor & BSM Cellar - Free of Tie - Rent: £10,000p.a - Offers Over £65,000","https://www.rightmove.co.uk/properties/165648614#/?channel=COM_LET","2025-08-12T12:06:29Z","","price_reduced","Marketed by TSA Property Consultants Ltd, Glasgow","","55.06823","-3.61102","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/165648614/200465_46BSTDUMFLH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/165648614/200465_46BSTDUMFLH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/165648614/200465_46BSTDUMFLH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/165648614/200465_46BSTDUMFLH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/165648614/200465_46BSTDUMFLH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/165648614/200465_46BSTDUMFLH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/165648614/200465_46BSTDUMFLH_IMG_01_0000_max_476x317.jpeg"
"168287930","Dumfries & Galloway","Trade Counter","Unit 1, Block 2 Dumfries Enterprise Park, Tinwald Downs Road, Dumfries, Dumfriesshire, DG1 3SJ","£3,167 pcm","","","","9,156 sq. ft.","9156","9156","851","851","Modern Trade Counter/Warehouse/Workshop Unit with Large Secure Yard on PopularDumfries Enterprise Park","https://www.rightmove.co.uk/properties/168287930#/?channel=COM_LET","2025-10-17T09:31:30Z","","new","Marketed by Carigiet Cowen Limited, Carlisle","","55.09249","-3.57649","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168287930/287663_RP7905_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168287930/287663_RP7905_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168287930/287663_RP7905_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168287930/287663_RP7905_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168287930/287663_RP7905_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168287930/287663_RP7905_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168287930/287663_RP7905_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287663/168287930/287663_RP7905_IMG_07_0000_max_476x317.jpeg"
"87319563","Dumfries & Galloway","Retail Property (high street)","38 High Street, Dumfries, DG1","POA","","","","13,300 sq. ft.","13300","13300","1236","1236","High Street is the main retailing and commercial trading location within Dumfries Town Centre, with the property occupying a prominent corner position at the junction with Shakespeare Street, above New Look and a former NCP car park. Nearby occuiers include M&S, Costa and Loreburne Shopping C...","https://www.rightmove.co.uk/properties/87319563#/?channel=COM_LET","2025-10-14T16:40:16Z","","size_change","Marketed by DM Hall, Glasgow","","55.067108","-3.609755","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/87319563/145094_38HIGHSTDUMFRIES_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/87319563/145094_38HIGHSTDUMFRIES_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/87319563/145094_38HIGHSTDUMFRIES_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/87319563/145094_38HIGHSTDUMFRIES_IMG_03_0000_max_476x317.jpeg"
