id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"162180860","Ealing","Light Industrial","Hartington Road, Southall, Greater London, UB2","£4,200 pcm","","","1","Industrial Warehouse Unit To Let within the well-established Industrial Estate in Southall, UB2 - 4,000 sq ft","https://www.rightmove.co.uk/properties/162180860#/?channel=COM_LET","2025-05-20T12:16:53Z","","new","Marketed by M3M Real Estate, Hayes","","51.5032","-0.386572","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272909/162180860/272909_1325_IMG_14_0000_max_476x317.jpeg"
"169954820","Ealing","Warehouse","Unit 10 & 11, Kelvin Industrial Estate, Long Drive, GReenford, UB6 8WA","£24,877 pcm","","","","Refurbished warehouse in the Heart of Greenford Economical rent of £17 psf (exclusive)","https://www.rightmove.co.uk/properties/169954820#/?channel=COM_LET","2025-12-03T12:13:26Z","","new","Marketed by Dutch & Dutch, Commercial","","51.544194","-0.360401","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169954820/84379_345667-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169954820/84379_345667-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169954820/84379_345667-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169954820/84379_345667-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169954820/84379_345667-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169954820/84379_345667-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169954820/84379_345667-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169954820/84379_345667-2_IMG_07_0000_max_476x317.jpeg"
"722869106190528","Ealing","Light Industrial","Unit 17 Acton Park Industrial Estate, SEGRO Acton Park Industrial Estate, The Vale, Acton, London, W3 7QE","POA","","","","TO LET. AVAILABLE NOW. REFURBISHED 8,459 SQ FT PRIME INDUSTRIAL WAREHOUSE UNIT IN ACTON. ON AN ESTABLISHED INDUSTRIAL ESTATE.","https://www.rightmove.co.uk/properties/722869106190528#/?channel=COM_LET","2025-12-03T11:50:08Z","","size_change","Marketed by CBRE Industrial, London","","51.5047","-0.258101","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869106190528/217223_45425-2_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869106190528/217223_45425-2_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869106190528/217223_45425-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869106190528/217223_45425-2_IMG_03_0000_max_476x317.jpeg"
"722868950830081","Ealing","Distribution Warehouse","Unit 4, Durable House, 8 Greenock Road, South Acton, London, W3 8DU","£1,667 pcm","","","","Small economical industrial unit to let on popular Bollo Lane Estate","https://www.rightmove.co.uk/properties/722868950830081#/?channel=COM_LET","2025-12-03T11:49:07Z","","new","Marketed by Whitman & Co Commercial, London","","51.498593","-0.272374","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868950830081/285740_275867-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868950830081/285740_275867-2_IMG_01_0000_max_476x317.jpeg"
"722868894378929","Ealing","Distribution Warehouse","The Vale Studios, 231 The Vale, Acton, London, W3 7QS","£8,978 pcm","","","","Character Loft-Style Flexible Studios/Workspace/Storage To Let Ground Floor Storage & 3rd Floor workspace currently available","https://www.rightmove.co.uk/properties/722868894378929#/?channel=COM_LET","2025-12-03T11:49:07Z","","new","Marketed by Whitman & Co Commercial, London","","51.505804","-0.260287","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d48282644/722868894378929/d4828264401526e3f301f7abd1ac5d38_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/12639e1a0/722868894378929/12639e1a0a5c00e0691e3d86dba44eee_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4eeacd531/722868894378929/4eeacd5319bb01e60b09369c720a5067_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7e74c7a3d/722868894378929/7e74c7a3d6e34111104d8eefa7ab00d6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/38170f327/722868894378929/38170f3271fea85281a5340bd8401b56_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f411ab47e/722868894378929/f411ab47ef08f13857f8b5e04a067815_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f6f9ab67b/722868894378929/f6f9ab67b781160eb9b9bbaa19989abf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/84e148689/722868894378929/84e148689744f4af96b70701892963de_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b476ac47e/722868894378929/b476ac47ee11f362dcd1191cf5a281b6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c1058b87b/722868894378929/c1058b87bf2e95d29ac8b056b73b65e9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d1e01459e/722868894378929/d1e01459e00c5616a187cdeaec0ecbd9_max_476x317.jpeg"
"722868940562368","Ealing","Distribution Warehouse","Unit 6 Durable House, 8 Greenock Road, South Acton, W3 8DU","£1,000 pcm","","","","Economical offices to let with parking close to Chiswick Business Park","https://www.rightmove.co.uk/properties/722868940562368#/?channel=COM_LET","2025-12-03T11:49:04Z","","new","Marketed by Whitman & Co Commercial, London","","51.498687","-0.272546","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868940562368/285740_273378-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868940562368/285740_273378-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868940562368/285740_273378-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868940562368/285740_273378-2_IMG_03_0000_max_476x317.jpeg"
"169944884","Ealing","Serviced Office","London, 186 Brent Crescent, Park Royal, First and Second Floor, NW10 7XR","£2,074 pcm","From","","4","Book open-plan workspace for 10+ in HQ Brent Crescent. Fully serviced, bright, modern space with 24/7 access and everything your team needs. ","https://www.rightmove.co.uk/properties/169944884#/?channel=COM_LET","2025-12-03T09:40:55Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.53524","-0.29029","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944884/129853_UKop10553_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944884/129853_UKop10553_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944884/129853_UKop10553_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944884/129853_UKop10553_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944884/129853_UKop10553_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944884/129853_UKop10553_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944884/129853_UKop10553_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944884/129853_UKop10553_IMG_07_0000_max_476x317.jpeg"
"169944797","Ealing","Serviced Office","London, 186 Brent Crescent, Park Royal, First and Second Floor, NW10 7XR","£1,037 pcm","From","","4","Private workspace for up to 5 in HQ Brent Crescent. Fully flexible, with ergonomic furniture and fast Wi-Fi included.","https://www.rightmove.co.uk/properties/169944797#/?channel=COM_LET","2025-12-03T09:39:03Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.53524","-0.29029","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944797/129853_UK5ws10553_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944797/129853_UK5ws10553_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944797/129853_UK5ws10553_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944797/129853_UK5ws10553_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944797/129853_UK5ws10553_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944797/129853_UK5ws10553_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944797/129853_UK5ws10553_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944797/129853_UK5ws10553_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944797/129853_UK5ws10553_IMG_07_0000_max_476x317.jpeg"
"169944581","Ealing","Serviced Office","London, 186 Brent Crescent, Park Royal, First and Second Floor, NW10 7XR","£208 pcm","From","","4","Private office space for 1 person in Brent Crescent. Fully flexible, 24/7 access, secure, ergonomic furniture and all-inclusive services included.","https://www.rightmove.co.uk/properties/169944581#/?channel=COM_LET","2025-12-03T09:34:47Z","","new","Marketed by IW Group Services (UK) Limited, Regus","","51.53524","-0.29029","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944581/129853_UK1ws10553_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944581/129853_UK1ws10553_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944581/129853_UK1ws10553_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944581/129853_UK1ws10553_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944581/129853_UK1ws10553_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944581/129853_UK1ws10553_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944581/129853_UK1ws10553_IMG_06_0000_max_476x317.jpeg"
"169944716","Ealing","Serviced Office","London, 186 Brent Crescent, Park Royal, First and Second Floor, NW10 7XR","£624 pcm","From","","4","Private workspace for up to 3 in Brent Crescent. Fully flexible, with ergonomic furniture and fast Wi-Fi included.","https://www.rightmove.co.uk/properties/169944716#/?channel=COM_LET","2025-12-03T09:36:55Z","","new","Marketed by IW Group Services (UK) Limited, Regus","","51.53524","-0.29029","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944716/129853_UK3ws10553_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944716/129853_UK3ws10553_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944716/129853_UK3ws10553_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944716/129853_UK3ws10553_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944716/129853_UK3ws10553_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944716/129853_UK3ws10553_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944716/129853_UK3ws10553_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944716/129853_UK3ws10553_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169944716/129853_UK3ws10553_IMG_07_0000_max_476x317.jpeg"
