id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150246842","East Ayrshire","Warehouse","Cumnock Business Park, Cumnock, Ayrshire, KA18","POA","","","","20,000–75,000 sq. ft.","20000","75000","1858","6968","Industrial Units on a secure 13 acre site. Previous bonded warehouse, amongst other features includes water supply from own borehole. Excellent road newtwork.","https://www.rightmove.co.uk/properties/150246842#/?channel=COM_LET","2024-07-15T12:16:24Z","","new","Marketed by GF1 Investments Limited, Kelloholm","","55.44012","-4.25439","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223238/150246842/223238_CumnockBusinessPark_IMG_07_0000_max_476x317.png"
"168992945","East Ayrshire","Office","Avenue Street, Stewarton, Kilmarnock, Ayrshire, KA3 5AB","£595 pcm","Fixed Price","","","","","","","","Tenure: LEASEHOLD /FOR RENT  ****3D WALK THROUGH VIDEO AVAILABLE **** The ground floor office / retail unit shop is part of a one and half storey commercial property with residential flats on the upper location. The building is of brick and stone construction with a pitched tiled roof.  ...","https://www.rightmove.co.uk/properties/168992945#/?channel=COM_LET","2025-11-04T20:46:12Z","","price_reduced","Marketed by Mitchells Sales and Letting, Glasgow","","55.68097","-4.5148","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_12_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_13_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_14_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/213k/212810/168992945/212810_8074_IMG_15_0000_max_476x317.png"
"169750988","East Ayrshire","Office","17 Portland Road, Kilmarnock, KA1","£1,450 pcm","","","","700 sq. ft.","700","700","65","65","Portland Road is an established and one of the most desirable office locations in Kilmarnock town centre, located a short distance from Kilmarnock railway station with regular services to Glasgow and the main bus terminal, serving all of Ayrshire and beyond. The building occupies a prominent posi...","https://www.rightmove.co.uk/properties/169750988#/?channel=COM_LET","2025-11-26T16:58:11Z","","new","Marketed by DM Hall, Glasgow","","55.607913","-4.50199","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/af1fb6d7f/169750988/af1fb6d7f7e959a659cc045f0ac4a8e5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cf0231162/169750988/cf02311629d091a8f3a17ba43fa25447_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f70a288ba/169750988/f70a288ba2cd7ed9b943960df41935ea_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a55f40e3d/169750988/a55f40e3daa92de313dbff7f3b0edb7b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/00ce358af/169750988/00ce358afb1d312036757e66da575b30_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/111c799ba/169750988/111c799ba1c7ff330c63ddaac46c6948_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a4154902e/169750988/a4154902eb0085d75cda8521e9741cfc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cc1a37861/169750988/cc1a37861ec24fe7fb419b5e84cddd47_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ae6b3aec3/169750988/ae6b3aec3c99dd0a3af4eb62903d5780_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3e841447d/169750988/3e841447d2b68cd52add0382679b715b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9c1e269c0/169750988/9c1e269c03998e3422e948353b43367b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/32267e63b/169750988/32267e63b7b15bb1a91d76264b0435bf_max_476x317.jpeg"
"167608544","East Ayrshire","Mixed Use","High Glencairn Street, Kilmarnock, Ayrshire, KA1","£450 pcm","","","","445 sq. ft.","445","445","41","41","Flexible, all-inclusive treatment space ideal for health, wellness, or consulting professionals. Secure private entrance and strong footfall from the on-site gym and yoga studio.","https://www.rightmove.co.uk/properties/167608544#/?channel=COM_LET","2025-09-30T13:01:19Z","","price_reduced","Marketed by Lindsay Trading Limited, Irvine","","55.6026","-4.49683","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295157/167608544/295157_KS1002_IMG_00_0001_max_476x317.jpeg"
"721601285426065","East Ayrshire","Light Industrial","Riccarton Road, Hurlford, Kilmarnock, KA1 5LQ","POA","","","","10,000–300,000 sq. ft.","10000","300000","929","27871","Industrial design and build opportunities available on a to let / for sale basis","https://www.rightmove.co.uk/properties/721601285426065#/?channel=COM_LET","2025-11-26T11:46:04Z","","new","Marketed by G M Brown, Glasgow","","55.595209","-4.465585","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721601285426065/243653_335219-2_IMG_00_0000_max_476x317.jpeg"
"166524413","East Ayrshire","Commercial Property","High Street, Stewarton","£750 pcm","","","1","","","","","","Stewarton Residential are delighted to offer a large commercial unit in the heart of Stewarton. ","https://www.rightmove.co.uk/properties/166524413#/?channel=COM_LET","2025-09-03T10:46:05Z","","price_reduced","Marketed by Stewart Residential, Kilmarnock","","55.681155","-4.513077","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77884/166524413/77884_1214_SPSL_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77884/166524413/77884_1214_SPSL_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77884/166524413/77884_1214_SPSL_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77884/166524413/77884_1214_SPSL_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77884/166524413/77884_1214_SPSL_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77884/166524413/77884_1214_SPSL_IMG_05_0000_max_476x317.jpeg"
"163840718","East Ayrshire","Commercial Property","Brown Street, Newmilns, Ayrshire, KA16","£3,333 pcm","From","","","20,000–99,000 sq. ft.","20000","99000","1858","9197","Newmilns is located within East Ayrshire, a short drive east of Kilmarnock and close to Glasgow. The A71 runs through the town provides excellent access to the A/M77 and M74.","https://www.rightmove.co.uk/properties/163840718#/?channel=COM_LET","2025-06-26T15:30:59Z","","new","Marketed by Industruct Ltd, Leeds","","55.60599","-4.32884","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289835/163840718/289835_Newmilns_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289835/163840718/289835_Newmilns_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/290k/289835/163840718/289835_Newmilns_IMG_04_0000_max_476x317.jpeg"
"168750143","East Ayrshire","Retail Property (high street)","Titchfield Street, Kilmarnock, Ayrshire, KA1","£1,250 pcm","","","","1,852 sq. ft.","1852","1852","172","172","Town Centre Location - Ground Floor - 1,852sq ft - Retail / Office Consent - Offers Over £15,000p.a. - Sale: o/o £130,000","https://www.rightmove.co.uk/properties/168750143#/?channel=COM_LET","2025-10-29T13:19:46Z","","new","Marketed by TSA Property Consultants Ltd, Glasgow","","55.60546","-4.49691","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/168750143/200465_1214titchstlh_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/168750143/200465_1214titchstlh_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/168750143/200465_1214titchstlh_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200465/168750143/200465_1214titchstlh_IMG_03_0000_max_476x317.png"
"164661986","East Ayrshire","Office","John Finnie Street, Kilmarnock, Ayrshire, KA1","£300 pcm","","","3","100–20,000 sq. ft.","100","20000","9","1858","The property comprises a substantial category B listed office building built around 1880 and occupying a full block within Kilmarnock town centre. The main building is formed in sandstone and slate and comprises a series of offices, meeting rooms and ancillary accommodation over 3 principal floors.","https://www.rightmove.co.uk/properties/164661986#/?channel=COM_LET","2025-07-17T21:52:35Z","","new","Marketed by CoreSpace, Ayr","","55.60956","-4.49911","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/164661986/82299_Johndickie_IMG_00_0000_max_476x317.jpeg"
"140461016","East Ayrshire","Office","Portland Street, Kilmarnock, Ayrshire, KA1 1JG","£500 pcm","From","","","150–9,073 sq. ft.","150","9073","14","843","Serviced Office Rental in Kilmarnock coming soon. Connect and grow your business in a workplace that fires up your imagination. Corespace Kilmarnock offers a new and modern way to working in East Ayrshire, offering serviced office suites, perfect for a growing startup or a larger enterprise. ","https://www.rightmove.co.uk/properties/140461016#/?channel=COM_LET","2023-09-28T09:02:49Z","","new","Marketed by CoreSpace, Ayr","","55.61077","-4.4971","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/140461016/82299_Corespacekilmarnock_IMG_14_0001_max_476x317.jpeg"
