id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"156066776","East Lothian","Healthcare Facility","Eskmills, Station Road","POA","","","","Eskmills consists of a mixture of business space accommodation spread across a complex of 10 historic buildings arranged around an attractive courtyard in a parkland and riverside setting. The buildings have been impressively restored to preserve the heritage and architectural features of the sit...","https://www.rightmove.co.uk/properties/156066776#/?channel=COM_LET","2024-12-18T16:38:12Z","","new","Marketed by ALLIED SURVEYORS SCOTLAND, Edinburgh","","55.938251","-3.060836","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066776/245594_5173_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066776/245594_5173_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066776/245594_5173_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066776/245594_5173_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066776/245594_5173_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066776/245594_5173_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066776/245594_5173_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066776/245594_5173_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066776/245594_5173_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066776/245594_5173_IMG_09_0000_max_476x317.jpeg"
"166566854","East Lothian","Pub","The Brig & Barrel, 8 High Street, Dunbar, East Lothian, EH42","£4,583 pcm","","","","New Lease - £150,000 Fixed Premium. Large Beer Garden. Traditional Public House. Fully Fitted Commercial Kitchen. Excellent Profitable Business. Living Accommodation","https://www.rightmove.co.uk/properties/166566854#/?channel=COM_LET","2025-09-04T09:25:12Z","","price_reduced","Marketed by Christie & Co, Pubs & Restaurants","","55.999","-2.53789","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9b932926b/166566854/9b932926be7ae51444b700afaf2b01ae_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/abf31d394/166566854/abf31d3943347a3119955b40ba235680_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7c4c6614a/166566854/7c4c6614aab53243b0b50b1e3de4649a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3083e9df9/166566854/3083e9df9067a96351f1261b6ee6e908_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d198e5688/166566854/d198e5688423f2ba2abce39b9e2554ba_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4ba637935/166566854/4ba63793500714550e5ee918cbaf3f63_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c46ff7a8a/166566854/c46ff7a8ae4abccf1c56b1bc62009627_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a6bed884a/166566854/a6bed884ad552ddedc4572c8fba4d854_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9b74ba19e/166566854/9b74ba19e25caae1e844e9edac842639_max_476x317.jpeg"
"169685876","East Lothian","Retail Property (high street)"," 7 Market Street , Haddington , EH41","£1,833 pcm","Offers Over","","","The subjects are located within the historic East Lothian market town of Haddington, approximately 20 miles east of Edinburgh’s city centre.Haddington itself is easily accessible and lies just off the A1, which is one of the main arterial routes that links Scotland to England. Major other East Lo...","https://www.rightmove.co.uk/properties/169685876#/?channel=COM_LET","2025-11-25T11:37:07Z","","new","Marketed by DM Hall, Edinburgh","","55.956064","-2.776004","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685876/146198_ESA3771-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685876/146198_ESA3771-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685876/146198_ESA3771-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685876/146198_ESA3771-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685876/146198_ESA3771-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685876/146198_ESA3771-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685876/146198_ESA3771-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685876/146198_ESA3771-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/169685876/146198_ESA3771-2_IMG_08_0000_max_476x317.jpeg"
"156066662","East Lothian","Office","Harbour Point, 1B/2 & 1B/2A Newhailes Road, Musselburgh, East Lothian, EH21 6QD","£667 pcm","","","","The subjects comprise two office suites located on the ground floor of a three-storey office building. The offices, accessed via the north entrance, are arranged off a shared entrance foyer and corridor. The suites provide open plan office accommodation with LED lighting and perimeter data trunki...","https://www.rightmove.co.uk/properties/156066662#/?channel=COM_LET","2024-12-18T16:37:18Z","","price_reduced","Marketed by ALLIED SURVEYORS SCOTLAND, Edinburgh","","55.942943","-3.067508","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066662/245594_8271_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066662/245594_8271_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066662/245594_8271_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/156066662/245594_8271_IMG_05_0000_max_476x317.jpeg"
"169441139","East Lothian","Office","Suites 16, 18 & 19 The Cockenzie Hub, Edinburgh Road","£298 pcm","From","","","The subjects comprise a building of traditional sandstone construction with a slate pitched roof arranged over two floors, with a central atrium and car parking to the front and rear. Dating back to 1865 the building was originally Cockenzie School and this history of education is emphasized by s...","https://www.rightmove.co.uk/properties/169441139#/?channel=COM_LET","2025-11-18T11:58:57Z","","new","Marketed by ALLIED SURVEYORS SCOTLAND, Edinburgh","","55.970098","-2.960935","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169441139/245594_14122_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169441139/245594_14122_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169441139/245594_14122_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169441139/245594_14122_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169441139/245594_14122_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169441139/245594_14122_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169441139/245594_14122_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169441139/245594_14122_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169441139/245594_14122_IMG_10_0000_max_476x317.jpeg"
"169386626","East Lothian","Retail Property (out of town)","Unit 1, Countess Crescent, Dunbar, East Lothian","£7,467 pcm","","","","The subjects comprise a former purpose-built supermarket of steel frame construction with brick infill and contained beneath a pitched metal roof. The property has been divided into two large retail units arranged over ground floor with rear ancillary storage/loading.  To the front is a large car...","https://www.rightmove.co.uk/properties/169386626#/?channel=COM_LET","2025-11-17T07:39:44Z","","new","Marketed by ALLIED SURVEYORS SCOTLAND, Edinburgh","","56.000195","-2.519771","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169386626/245594_13971_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169386626/245594_13971_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169386626/245594_13971_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169386626/245594_13971_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169386626/245594_13971_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169386626/245594_13971_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169386626/245594_13971_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/169386626/245594_13971_IMG_07_0000_max_476x317.jpeg"
"168131561","East Lothian","Office","Office 1, 33a Sidegate, Haddington","£354 pcm","","","","The property comprises a refurbished office with a sash and case window arranged over ground floor of a three storey, category B-listed building. The office is located off to the right of an entrance hallway which is shared with another office occupier to the left.  The tea prep and WC are also s...","https://www.rightmove.co.uk/properties/168131561#/?channel=COM_LET","2025-10-12T19:43:33Z","","new","Marketed by ALLIED SURVEYORS SCOTLAND, Edinburgh","","55.954516","-2.774688","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/168131561/245594_13454_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/168131561/245594_13454_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/168131561/245594_13454_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/168131561/245594_13454_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/168131561/245594_13454_IMG_04_0000_max_476x317.jpeg"
"167245358","East Lothian","Office","Unit 3, Newhailes Business Park, Newhailes, Musselburgh, EH21 6RH","£2,500 pcm","","","","The subjects form the ground floor of a two-storey, steel framed building consisting of retail/office and leisure units on the ground floor and offices at first floor level. Internally, the subjects comprise office space to the front of the unit with the rear section reserved for a pick n' pack f...","https://www.rightmove.co.uk/properties/167245358#/?channel=COM_LET","2025-09-22T09:26:14Z","","new","Marketed by ALLIED SURVEYORS SCOTLAND, Edinburgh","","55.939427","-3.076647","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/167245358/245594_13124_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/167245358/245594_13124_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/167245358/245594_13124_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/167245358/245594_13124_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/167245358/245594_13124_IMG_04_0000_max_476x317.jpeg"
"166277774","East Lothian","Office","Office Space","POA","","","","Ground floor office space available to let on Haddington High Street within a B-Listed building.","https://www.rightmove.co.uk/properties/166277774#/?channel=COM_LET","2025-08-27T17:01:52Z","","new","Marketed by FBR SEED, Haddington","","55.95522","-2.77831","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166277774/293045_P1272_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166277774/293045_P1272_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166277774/293045_P1272_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166277774/293045_P1272_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166277774/293045_P1272_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166277774/293045_P1272_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166277774/293045_P1272_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293045/166277774/293045_P1272_IMG_06_0000_max_476x317.jpeg"
"158101268","East Lothian","Office","Eskmills, Suite 1, Hercules House, Musselburgh, East Lothian","£3,672 pcm","Offers Over","","","The subjects comprise a modern and self-contained office suite arranged over the ground floor of Hercules House.  It benefits from a frontage looking onto the Eskmills courtyard and has three separate street entrances. Internally, the premises provides predominately open plan office space with gl...","https://www.rightmove.co.uk/properties/158101268#/?channel=COM_LET","2025-02-11T13:41:46Z","","price_reduced","Marketed by ALLIED SURVEYORS SCOTLAND, Edinburgh","","55.938667","-3.059913","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/158101268/245594_10274_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/158101268/245594_10274_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/158101268/245594_10274_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/158101268/245594_10274_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/158101268/245594_10274_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/158101268/245594_10274_IMG_05_0000_max_476x317.jpeg"
"165134897","East Lothian","Restaurant","9 West Port, Dunbar, East Lothian, EH42 1JW","£125,000 pcm","Offers Over","","","The subjects comprise a mid-terrace, two storey and attic building contained beneath a pitched slate roof. 9 West Port benefits from two large display windows and prominent signage above.  The unit is open plan with a café and seating area to the front, kitchen and WC facilities to the rear.  The...","https://www.rightmove.co.uk/properties/165134897#/?channel=COM_LET","2025-07-30T14:58:40Z","","new","Marketed by ALLIED SURVEYORS SCOTLAND, Edinburgh","","56.002316","-2.516966","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/165134897/245594_12489_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/165134897/245594_12489_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/165134897/245594_12489_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/165134897/245594_12489_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/165134897/245594_12489_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/165134897/245594_12489_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/165134897/245594_12489_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/165134897/245594_12489_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/165134897/245594_12489_IMG_08_0000_max_476x317.jpeg"
"164504972","East Lothian","Office","21 Eskside West, Musselburgh, East Lothian, EH21 6PL","£400 pcm","From","","","The subjects comprise a fully refurbished, three storey office building with 4 private car parking spaces to the rear. The available offices have been renovated throughout and now benefit from LED lighting, modern electric heating, furniture and floor coverings suitable for a diverse range of bus...","https://www.rightmove.co.uk/properties/164504972#/?channel=COM_LET","2025-07-15T09:29:09Z","","new","Marketed by ALLIED SURVEYORS SCOTLAND, Edinburgh","","55.942909","-3.054805","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/164504972/245594_12177_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/164504972/245594_12177_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/164504972/245594_12177_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/164504972/245594_12177_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/164504972/245594_12177_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/164504972/245594_12177_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/164504972/245594_12177_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/164504972/245594_12177_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/164504972/245594_12177_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245594/164504972/245594_12177_IMG_09_0000_max_476x317.jpeg"
"164113133","East Lothian","Light Industrial"," Hangar 3, Drem Airfield, North Berwick, EH39","£7,083 pcm","Offers Over","","","The subjects are located at Drem Airfield, on the Andrew Black Haulage estate, within the Drem/Fenton Barns area of East Lothian. The subjects are well accessed off the B1345 from Direlton to the north and Drem to the south, and are a short drive away from Drem train Station (1.2 miles), as well ...","https://www.rightmove.co.uk/properties/164113133#/?channel=COM_LET","2025-07-03T12:23:22Z","","new","Marketed by DM Hall, Edinburgh","","56.02282","-2.791226","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/147k/146198/164113133/146198_ESA3672_IMG_00_0001_max_476x317.jpeg"
"162444902","East Lothian","Office","Eskside West, Musselburgh, EH21","£395 pcm","From","","","David Todd Keller Williams - Office Rooms To Let – Central Musselburgh Location | Flexible Terms | 21 Eskside West, EH21 6PL","https://www.rightmove.co.uk/properties/162444902#/?channel=COM_LET","2025-05-26T16:51:17Z","","new","Marketed by Keller Williams Scotland, Scotland","","55.942868","-3.054805","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b5a6ba8da/162444902/b5a6ba8daf57544d797d439480518390_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0767368a9/162444902/0767368a9facf6cb5d44768fd1c5e74b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1394cf34d/162444902/1394cf34de204a00563fdf90bb19a335_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/080fda67e/162444902/080fda67ee1a9e93b8f19508c565568a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f9abb1364/162444902/f9abb13645cb6fadba3ce7ca2c9de696_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c87b44314/162444902/c87b44314e5e028ca4e846bfb2af6b19_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9a0ca84ab/162444902/9a0ca84ab58b244d83bda0308b9bdb08_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/af6c88944/162444902/af6c88944694617ed02fae64d8ce932c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1dea5dfca/162444902/1dea5dfca720113b52040eaad5a0f352_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6af18ae22/162444902/6af18ae22bd3e59db9cccf985a36e12c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7968ce283/162444902/7968ce28304af029935fbd7746fdd9dd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/83860696b/162444902/83860696b81e13c14fa896943d39144e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2d8142054/162444902/2d81420548daff53d4c6862c4a314d37_max_476x317.jpeg"
