id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"160024730","East Riding of Yorkshire","Light Industrial","Gibson Lane South, HU14","£12,496 pcm","","","","Melton West Business Park, situated just west of Hull, offers an exceptional location for businesses seeking growth and connectivity. The property is a modern semi-detached industrial warehouse unit extending to 32,500 sq. ft To Let (May Sell).","https://www.rightmove.co.uk/properties/160024730#/?channel=COM_LET","2025-03-31T11:45:55Z","","price_reduced","Marketed by East Riding of Yorkshire Council, Beverley","","53.72298","-0.53036","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114856/160024730/114856_Melton_West_Industrial_Park_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114856/160024730/114856_Melton_West_Industrial_Park_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114856/160024730/114856_Melton_West_Industrial_Park_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114856/160024730/114856_Melton_West_Industrial_Park_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114856/160024730/114856_Melton_West_Industrial_Park_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114856/160024730/114856_Melton_West_Industrial_Park_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114856/160024730/114856_Melton_West_Industrial_Park_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114856/160024730/114856_Melton_West_Industrial_Park_IMG_07_0000_max_476x317.jpeg"
"169946879","East Riding of Yorkshire","Office","Ground Floor, Unit 5 Priory Court, Saxon Way, Priory Park, Hessle, HU13 9PB","£1,917 pcm","","","","The property comprises a modern, steel-frame, clad semi-detached office building arranged over two storeys, located on a popular business park. The first floor is occupied by the landlord. Access to the commercial premises is via a door-entry system leading into a communal reception area, which a...","https://www.rightmove.co.uk/properties/169946879#/?channel=COM_LET","2025-12-03T10:17:36Z","","new","Marketed by Garness Jones Commercial, Hull","","53.720673","-0.426538","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169946879/83349_12693LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169946879/83349_12693LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169946879/83349_12693LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169946879/83349_12693LH_IMG_03_0000_max_476x317.jpeg"
"169945898","East Riding of Yorkshire","Office","Buccaneer , Brough, East Yorkshire, HU15","£1,854 pcm","","","","The office space is a large open plan area with one large meeting room. There are also kitchenette facilities with the suite. There are 16 dedicated car parking spaces on the site available with the lease of the suite.","https://www.rightmove.co.uk/properties/169945898#/?channel=COM_LET","2025-12-03T09:59:43Z","","new","Marketed by PPH Commercial Limited, Hull","","53.72412","-0.577364","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282050/169945898/282050_26309LH_IMG_00_0000_max_476x317.jpeg"
"169933451","East Riding of Yorkshire","Retail Property (Retail Park)","Morrisons, Holderness Road, Hull, HU9 3JA","£1,833 pcm","","","","507 SQ FT In-Store Retail Unit to Let in Hull","https://www.rightmove.co.uk/properties/169933451#/?channel=COM_LET","2025-12-02T17:23:30Z","","new","Marketed by Savills, Leeds - Retail","","53.764302","-0.292842","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251261/169933451/251261_345639-2_IMG_00_0000_max_476x317.jpeg"
"169933052","East Riding of Yorkshire","Retail Property (Retail Park)","Morrisons, Holderness Road, Hull, HU9 3JA","£833 pcm","","","","Kiosk Space to Let in Hull","https://www.rightmove.co.uk/properties/169933052#/?channel=COM_LET","2025-12-02T17:16:03Z","","new","Marketed by Savills, Leeds - Retail","","53.762568","-0.292191","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251261/169933052/251261_345635-2_IMG_00_0000_max_476x317.jpeg"
"169916018","East Riding of Yorkshire","Shop","178a, Chanterlands Avenue, Hull, HU5 3TP","£600 pcm","","","","The property comprises of a mid terrace ground floor unit. With large display windows to the front with electrical roller shutter access, suspended ceiling with led lighting and staff WC facilities. the property has recently been refurbished with new carpet and decorated neutral throughout. We b...","https://www.rightmove.co.uk/properties/169916018#/?channel=COM_LET","2025-12-02T12:55:37Z","","price_reduced","Marketed by Garness Jones Commercial, Hull","","53.757374","-0.374489","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/edc8d12d6/169916018/edc8d12d62453ca4429d114ce8165722_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d793c4a7c/169916018/d793c4a7c65c4c330d41d20ea1d24c01_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/32c7a314c/169916018/32c7a314c11efca53cc2bc8671cf0515_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/630f2f1fd/169916018/630f2f1fd4461cdd3fd81ae8037c6b67_max_476x317.jpeg"
"169927889","East Riding of Yorkshire","Office","Unit 7 Southgate Court, Hornsea, East Yorkshire, HU18 1RP","£400 pcm","","","","The property provides a ground floor open plan Business unit, which benefits from a single w/c facility, suspended ceiling, double door access, kitchenette, double glazing and gas central heating. The site also benefits from on-site parking which is accessed through an electric security gate,","https://www.rightmove.co.uk/properties/169927889#/?channel=COM_LET","2025-12-02T16:08:28Z","","new","Marketed by Garness Jones Commercial, Hull","","53.903974","-0.171804","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169927889/83349_12301LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169927889/83349_12301LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169927889/83349_12301LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169927889/83349_12301LH_IMG_03_0000_max_476x317.jpeg"
"158345006","East Riding of Yorkshire","Office","Ground Floor, Kings Building, South Church Side, Hull, East Riding Of Yorkshire, HU1 1RR","POA","","","","The Ground floor of Kings Building has been refurbished to a high specification office which is predominately open plan with door entry system access and wheelchair access from the east elevation of the building. The office includes comfort cooling heating system raised flooring for data, separa...","https://www.rightmove.co.uk/properties/158345006#/?channel=COM_LET","2025-02-17T12:32:26Z","","size_change","Marketed by Garness Jones Commercial, Hull","","53.741587","-0.33483","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/158345006/83349_9963LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/158345006/83349_9963LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/158345006/83349_9963LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/158345006/83349_9963LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/158345006/83349_9963LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/158345006/83349_9963LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/158345006/83349_9963LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/158345006/83349_9963LH_IMG_07_0000_max_476x317.jpeg"
"159845000","East Riding of Yorkshire","Office","First Floor Salisbury House, Saxon Way, Priory Park, Hessle, HU13 9PB","POA","","","","The first floor comprises of an open plan office with designated kitchen to the the west wing of the building. The East wing is accessed via the communal reception area through to a corridor with a 3 offices and open plan office at the end. . The accommodation has been fitted to a high specif...","https://www.rightmove.co.uk/properties/159845000#/?channel=COM_LET","2025-03-26T13:22:47Z","","size_change","Marketed by Garness Jones Commercial, Hull","","53.721641","-0.424719","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/159845000/83349_12275LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/159845000/83349_12275LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/159845000/83349_12275LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/159845000/83349_12275LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/159845000/83349_12275LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/159845000/83349_12275LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/159845000/83349_12275LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/159845000/83349_12275LH_IMG_07_0000_max_476x317.jpeg"
"169916102","East Riding of Yorkshire","Shop","Unit 4, Biggin Avenue, Bransholme, Hull, East Riding Of Yorkshire, HU7 4NP","£833 pcm","","","","The property comprises of a ground floor retail unit which was formerly utilized as a pharmacist and provides a sales area to the front, kitchen and WC facilities to the rear. Situated on a popular retail parade, the property benefits from electric roller shutter door to the front, service yard t...","https://www.rightmove.co.uk/properties/169916102#/?channel=COM_LET","2025-12-02T12:56:05Z","","new","Marketed by Garness Jones Commercial, Hull","","53.789181","-0.314208","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169916102/83349_12653LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169916102/83349_12653LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169916102/83349_12653LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83349/169916102/83349_12653LH_IMG_03_0000_max_476x317.jpeg"
