id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167208986","Enfield","Warehouse","Units 3 & 4, Bestway Business Park, Ardra Road, Edmonton, London , N9","POA","","","","28,710 sq. ft.","28710","28710","2667","2667","The unit comprises a detached single storey warehouse, with integral offices at first floor level. The unit benefits from a large secure servicing yard with ample parking, and 5 x level loading doors. The first floor office accommodation is fully fitted with raised floors, A/C, suspended ceilings...","https://www.rightmove.co.uk/properties/167208986#/?channel=COM_LET","2025-09-19T16:53:43Z","","new","Marketed by Glenny, North London and Hertfordshire","","51.621235","-0.039965","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/167208986/66657_50003LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/167208986/66657_50003LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/167208986/66657_50003LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/167208986/66657_50003LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/167208986/66657_50003LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/167208986/66657_50003LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/167208986/66657_50003LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66657/167208986/66657_50003LH_IMG_07_0000_max_476x317.jpeg"
"723048226084432","Enfield","Light Industrial","The Grid, Lockfield Avenue, Enfield, EN3 7PG","POA","","","","15,016 sq. ft.","15016","15016","1395","1395","Industrial/warehouse unit to let in Enfield, North London","https://www.rightmove.co.uk/properties/723048226084432#/?channel=COM_LET","2025-12-04T11:11:05Z","","new","Marketed by Savills, Margaret Street - Industrial","","51.661608","-0.025558","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723048226084432/214130_8295-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723048226084432/214130_8295-2_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723048226084432/214130_8295-2_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723048226084432/214130_8295-2_IMG_03_0000_max_476x317.png"
"169958984","Enfield","Office","Devon House, Church Hill, Winchmore Hill, London","£1,100 pcm","","","","170 sq. ft.","170","170","16","16","Goldman Greg are delighted to offer nestled in the charming area of Winchmore Hill, London, this ground floor office space at Devon House which offers a unique opportunity for businesses seeking a professional environment to work from and is designed to cater to a variety of business needs. <...","https://www.rightmove.co.uk/properties/169958984#/?channel=COM_LET","2025-12-03T13:42:00Z","","new","Marketed by Goldman Greg Housing Management, London","","51.634796","-0.103637","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225413/169958984/225413_34338546_IMG_12_0000_max_476x317.jpeg"
"722873642328209","Enfield","Mixed Use","Hillside Yard, Theobalds Park Road, Enfield, EN2 9BD","£14,583 pcm","","","","30,335 sq. ft.","30335","30335","2818","2818","Warehouse with concrete yard and hardstanding","https://www.rightmove.co.uk/properties/722873642328209#/?channel=COM_LET","2025-12-03T12:22:04Z","","new","Marketed by DCPC Commercial, Pinner","","51.674726","-0.094959","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/722873642328209/82557_345604-2_IMG_11_0000_max_476x317.jpeg"
"156024464","Enfield","Warehouse","Unit 16 Commercial Road, Edmonton, London, N18 1TP","£5,250 pcm","","","","2,522 sq. ft.","2522","2522","234","234","The units are of steel frame construction with brick elevations and a generous eaves height of 5m under a pitch roof.","https://www.rightmove.co.uk/properties/156024464#/?channel=COM_LET","2024-12-17T14:48:36Z","","size_change","Marketed by Levy Real Estate LLP, Industrial","","51.609653","-0.0727","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/156024464/105224_272063-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/156024464/105224_272063-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105224/156024464/105224_272063-2_IMG_04_0000_max_476x317.jpeg"
"169146827","Enfield","Shop","High Street, Ponders End, En3","£2,083 pcm","","","","489 sq. ft.","489","489","45","45","Lock-UP SHOP Available NEW LEASE ��. Situated within this RARE & SOUGHT AFTER Prime High Street location.","https://www.rightmove.co.uk/properties/169146827#/?channel=COM_LET","2025-11-08T10:00:30Z","","price_reduced","Marketed by Church's, Enfield- Lettings","","51.64429","-0.04641","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77503/169146827/77503_631_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77503/169146827/77503_631_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77503/169146827/77503_631_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77503/169146827/77503_631_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77503/169146827/77503_631_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77503/169146827/77503_631_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77503/169146827/77503_631_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77503/169146827/77503_631_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77503/169146827/77503_631_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77503/169146827/77503_631_IMG_09_0000_max_476x317.jpeg"
"169738382","Enfield","Retail Property (high street)","Grenoble Gardens, Palmers Green, London, N13","£4,167 pcm","","","","2,185 sq. ft.","2185","2185","203","203","Former doctor's surgery, 2185 sq.ft. approx. Divided into various treatment rooms over ground and first floor. 2 x w.c's and 2 kitchenettes. Large garden to rear. Parking on front forecourt. Would suit various uses subject to necessary consent, pilates studio, nursery, offices, surgery.","https://www.rightmove.co.uk/properties/169738382#/?channel=COM_LET","2025-11-26T13:29:35Z","","new","Marketed by Paul Simon Seaton Commercial Estate Agents Ltd, London","","51.610588","-0.107469","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99743/169738382/99743_1808LH_IMG_11_0000_max_476x317.jpeg"
"169484081","Enfield","Office","Kinetic Crescent, Enfield, Greater London, EN3","£1,875 pcm","","","1","1,400 sq. ft.","1400","1400","130","130","Available now - ground floor office space to Rent in a commercial building located in the Innova business Park close the M25. The space features eight separate offices, a modern kitchen area, and toilet facilities, providing a flexible and well-presented workspace ideal for a variety of businesses","https://www.rightmove.co.uk/properties/169484081#/?channel=COM_LET","2025-11-19T12:34:47Z","","size_change","Marketed by Castles Estate Agents, Enfield - Lettings","","51.67394","-0.02387","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257135/169484081/257135_ENFHQ1_IMG_23_0000_max_476x317.jpeg"
"169579436","Enfield","Restaurant","Hedge Lane, London","£1,500 pcm","","","","","","","","","A vacant lock up shop situated on prominent corner site in Palmers Green. This E class use shop benefits from an open plan office area, kitchenette, garden to rear, basement and street parking. VIEWINGS HIGHLY RECOMMENDED AND STRICTLY BY APPOINTMENT via the Landlord's agent (Duncan Perry).","https://www.rightmove.co.uk/properties/169579436#/?channel=COM_LET","2025-11-21T15:13:44Z","","new","Marketed by DUNCAN PERRY COMMERCIAL, Duncan Perry","","51.617153","-0.087515","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270524/169579436/270524_34319606_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270524/169579436/270524_34319606_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270524/169579436/270524_34319606_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270524/169579436/270524_34319606_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270524/169579436/270524_34319606_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270524/169579436/270524_34319606_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270524/169579436/270524_34319606_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270524/169579436/270524_34319606_IMG_07_0000_max_476x317.jpeg"
"169526666","Enfield","Light Industrial","Unit 2 Otago Trade Park , 23 Crown Road, Enfield, Greater London, EN1 1FE","£4,375 pcm","","","","2,187 sq. ft.","2187","2187","203","203",":: 50% OFF FIRST YEAR RENT SUBJECT TO LEASE TERMS :: Unit 2 sits in Otago Trade Park which comprises 11 new quasi trade-industrial units. Unit 2 benefits from: New toilet and kitchen facilities, LED lighting, full height roller shutter doors with independent pedestrian access, minimum clear inte...","https://www.rightmove.co.uk/properties/169526666#/?channel=COM_LET","2025-11-20T11:45:39Z","","price_reduced","Marketed by Petchey Holdings Limited, London","","51.65018","-0.05469","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175082/169526666/175082_136LH_IMG_03_0000_max_476x317.jpeg"
