id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"165393437","Epping Forest","Office","Unit 20, Hobbs Cross Business Centre, Theydon Garnon, Epping, Essex","£475 pcm","","","","Hobbs Cross Business Centre is a popular rurally positioned estate providing a mixture of industrial, warehouse and offices occupied by a variety of businesses. Currently available is Unit 20, a single storey office with two parking spaces positioned to the front of the estate. The office compr...","https://www.rightmove.co.uk/properties/165393437#/?channel=COM_LET","2025-08-05T15:48:24Z","","new","Marketed by Mullucks - Commercial, Bishops Stortford","","51.671754","0.134805","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/165393437/152810_1208LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/165393437/152810_1208LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/165393437/152810_1208LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/165393437/152810_1208LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/165393437/152810_1208LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/153k/152810/165393437/152810_1208LH_IMG_08_0000_max_476x317.jpeg"
"72740846","Epping Forest","Workshop","Nazeing, EN9","£1,250 pcm","","","","Situated within 2 miles of Broxbourne station this unit with roller shutter doors, three phase power, toilet, led lighting and parking for 3 cars. Broadband on site of 20mb tenant can install a mezzanine office at their own expense. CCTV on site. Racking installed, 6m to eaves. 7.5 ton lorry access","https://www.rightmove.co.uk/properties/72740846#/?channel=COM_LET","2018-04-23T10:36:53Z","","size_change","Marketed by Bell and Co Estate Agents Limited, Braintree","","51.74509","0.01211","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/72740846/168764_Leaside12_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/72740846/168764_Leaside12_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/72740846/168764_Leaside12_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168764/72740846/168764_Leaside12_IMG_03_0002_max_476x317.jpeg"
"722548969634800","Epping Forest","Distribution Warehouse","5 Abbey Point, Cartersfield Road, Waltham Abbey, EN9 1FE","£4,333 pcm","","","","Industrial/warehouse unit","https://www.rightmove.co.uk/properties/722548969634800#/?channel=COM_LET","2025-12-01T17:04:06Z","","new","Marketed by Derrick Wade Waters, Industrial","","51.682079","-0.000902","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/722548969634800/105212_338137-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/722548969634800/105212_338137-2_IMG_01_0000_max_476x317.jpeg"
"169890326","Epping Forest","Office","Netherhall Road, Roydon, CM19","POA","","","","Office Spaces to Let - Netherhall Road, NazeingImpressive office suites with secure parking and flexible additional rooms","https://www.rightmove.co.uk/properties/169890326#/?channel=COM_LET","2025-12-01T16:50:49Z","","new","Marketed by Via Properties Ltd, Hoddesdon","","51.755331","0.024942","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267887/169890326/267887_VIAPR_002370_IMG_18_0000_max_476x317.jpeg"
"721636614057760","Epping Forest","Distribution Warehouse","4 Abbey Point, Cartersfield Road, Waltham Abbey, EN91FE","£2,817 pcm","","","","Industrial/warehouse unit","https://www.rightmove.co.uk/properties/721636614057760#/?channel=COM_LET","2025-11-26T16:13:02Z","","new","Marketed by Derrick Wade Waters, Industrial","","51.682897","-0.000105","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721636614057760/105212_335552-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721636614057760/105212_335552-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721636614057760/105212_335552-2_IMG_02_0000_max_476x317.jpeg"
"169734371","Epping Forest","Commercial Property","Bournebridge Lane, RM4","£2,500 pcm","","1","","Ambassador are pleased to offer to market this large commercial unit available in the sought after Bournebridge Lane in Stapleford Abbotts. ","https://www.rightmove.co.uk/properties/169734371#/?channel=COM_LET","2025-11-26T12:22:29Z","","new","Marketed by Ambassador Property Services, Abridge","","51.63092","0.16196","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220430/169734371/220430_bournbridge_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220430/169734371/220430_bournbridge_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220430/169734371/220430_bournbridge_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220430/169734371/220430_bournbridge_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220430/169734371/220430_bournbridge_IMG_01_0000_max_476x317.jpeg"
"721597969732304","Epping Forest","Light Industrial","Land On The South Side Of Grange Farm Lane, Chigwell, IG7 6DR","£51,909 pcm","","","","Rarely Available Freehold / Leasehold 2.2 Acre Open Storage Site In A Prominent Location In Chigwell","https://www.rightmove.co.uk/properties/721597969732304#/?channel=COM_LET","2025-11-26T11:09:09Z","","new","Marketed by DCPC Commercial, Pinner","","51.628437","0.081935","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1331342d0/721597969732304/1331342d02de88c10340c1411cc0c8d8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/088b175e9/721597969732304/088b175e9a6be57fedd8c3959b6f6eab_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fe9a4aaef/721597969732304/fe9a4aaef610a7d0e55a55ac909b2b88_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/134820230/721597969732304/13482023004cefe3f46b27bba79fb537_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d5c55bb87/721597969732304/d5c55bb87602be9893bc112e731483e9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0cb9302fa/721597969732304/0cb9302fa29e4e852ec7c8f74ed1784b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5053ccd88/721597969732304/5053ccd88377f622faff0f80355ce80a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ce0e3a716/721597969732304/ce0e3a716b1dd1fe0d4860df6ecfa1f3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/434722299/721597969732304/434722299d029386c3ca5e85b9ddfe02_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7696343ab/721597969732304/7696343abb3a06b384f49ce25615d647_max_476x317.jpeg"
"169725251","Epping Forest","Storage","Epping","£200 pcm","Fixed Price","","","To let we have this storage unit measuring 147 square feet. The unit is located in Tawney Common, Epping with access to the M11 (6 miles by car) and the A414 (3.5 miles by car).","https://www.rightmove.co.uk/properties/169725251#/?channel=COM_LET","2025-11-26T10:00:02Z","","new","Marketed by Whirledge and Nott, Commercial","","51.67436","0.15202","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169725251/173735_4963_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169725251/173735_4963_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169725251/173735_4963_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169725251/173735_4963_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169725251/173735_4963_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/169725251/173735_4963_IMG_05_0000_max_476x317.jpeg"
"719246802479456","Epping Forest","Retail Property (high street)","7-9 Sun Street, Waltham Abbey, EN9 1ER","POA","","","","Retail units to let in Waltham Abbey located in a prime position adjacent to Co-Op with opportunity to combine to create circa 4,000 Sq.ft","https://www.rightmove.co.uk/properties/719246802479456#/?channel=COM_LET","2025-11-13T11:47:07Z","","size_change","Marketed by Brasier Freeth, Kings Langley","","51.686736","-0.001575","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4db7319af/719246802479456/4db7319af67c86e0c4e5ac9b821fe366_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d7d99f648/719246802479456/d7d99f648a60fad25570cdfbbece9b94_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a8c2b3180/719246802479456/a8c2b3180d2f66f3ec4642e616c8c0b6_max_476x317.jpeg"
"719250241664720","Epping Forest","Mixed Use","Ability House, 121 Brooker Road, Waltham Abbey, EN9 1JH","£2,510 pcm","","","","High quality offices located in Waltham Abbey, and just the M25 Motorway (junction 26)","https://www.rightmove.co.uk/properties/719250241664720#/?channel=COM_LET","2025-11-13T12:11:12Z","","size_change","Marketed by SMC Brownill Vickers, South Yorkshire","","51.681534","-0.004333","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250241664720/215657_208715-2_IMG_12_0000_max_476x317.jpeg"
