id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167473211","Flintshire","Warehouse","Unit 3 Deva Works, River Lane, Saltney, Chester, CH4 8RH","£3,000 pcm","","","","5,741 sq. ft.","5741","5741","533","533","A refurbished semi-detached industrial unit, with parking and loading yard area","https://www.rightmove.co.uk/properties/167473211#/?channel=COM_LET","2025-09-26T12:22:31Z","","new","Marketed by ROCK REAL ESTATE LTD, Manchester","","53.180141","-2.928371","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241742/167473211/241742_112486-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241742/167473211/241742_112486-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241742/167473211/241742_112486-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241742/167473211/241742_112486-2_IMG_03_0000_max_476x317.jpeg"
"169997600","Flintshire","Retail Property (Shopping Centre)","Unit 6, Daniel Owen Shopping Centre, MOLD, CH7","£1,250 pcm","","","","594 sq. ft.","594","594","55","55","Shop in Daniel Owen Shopping Centre to let comprising 594 sq ft. The premises are available by way of a new full repairing and insuring lease for a term to be agreed at a rent of £15,000 per annum.","https://www.rightmove.co.uk/properties/169997600#/?channel=COM_LET","2025-12-04T12:59:16Z","","new","Marketed by Legat Owen, Chester","","53.166112","-3.141584","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169997600/262844_2281LH_IMG_00_0000_max_476x317.jpeg"
"162883292","Flintshire","Warehouse","Drome Road and Deeside Industrial Estate, Deeside Industrial Estate, Flintshire, CH5 2NY   ","£1,815 pcm","Guide Price","","","2,561–17,612 sq. ft.","2561","17612","238","1636","Modern mid-terraced industrial units in a well established prime location on Deeside Industrial Park with excellent transport links.","https://www.rightmove.co.uk/properties/162883292#/?channel=COM_LET","2025-06-05T09:33:42Z","","size_change","Marketed by Mileway Real Estate UK Limited, North West","","53.2273","-2.9975","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_09_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98021/162883292/98021_23OOtH4x8sNIf3iaW438bi_IMG_10_0000_max_476x317.png"
"169944812","Flintshire","Warehouse","Unit 68 Zone 2, Deeside Industrial Park, Deeside, CH5 2NU","POA","","","","5,079 sq. ft.","5079","5079","472","472","Industrial / Warehouse Unit To Let, Deeside","https://www.rightmove.co.uk/properties/169944812#/?channel=COM_LET","2025-12-03T09:38:26Z","","new","Marketed by B8 Real Estate LLP, Warrington","","53.229333","-3.002518","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169944812/102728_345666-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169944812/102728_345666-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169944812/102728_345666-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169944812/102728_345666-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169944812/102728_345666-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169944812/102728_345666-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169944812/102728_345666-2_IMG_06_0000_max_476x317.jpeg"
"169876043","Flintshire","Office","Unit B, St. Ives Way, Factory Road, Sandycroft, Deeside, Flintshire, CH5 2QS","£2,000 pcm","","","","2,106 sq. ft.","2106","2106","196","196","The property comprises a purpose built light industrial - hybrid/office building, constructed of steel frame and clad with part feature glazing and metal cladding beneath a pitched roof. The property occupies a prominent location close to the entrance to St Ives Way and immediately next door to...","https://www.rightmove.co.uk/properties/169876043#/?channel=COM_LET","2025-12-01T13:19:02Z","","new","Marketed by BA COMMERCIAL, BA Commercial","","53.198433","-2.996303","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169876043/287543_3660LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169876043/287543_3660LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169876043/287543_3660LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169876043/287543_3660LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169876043/287543_3660LH_IMG_02_0000_max_476x317.jpeg"
"169833956","Flintshire","Shop","New Street, Mold","£800 pcm","","","","","","","","","Located in the heart of Mold, this charming shop presents an excellent opportunity for entrepreneurs and business owners alike. The property boasts a prime location, ensuring high foot traffic and visibility, which are essential for any thriving retail venture. The shop features a spaci...","https://www.rightmove.co.uk/properties/169833956#/?channel=COM_LET","2025-11-28T16:58:10Z","","new","Marketed by Williams Estates, Rhuddlan","","53.166122","-3.142515","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/148k/147275/169833956/147275_34331968_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/148k/147275/169833956/147275_34331968_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/148k/147275/169833956/147275_34331968_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/148k/147275/169833956/147275_34331968_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/148k/147275/169833956/147275_34331968_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/148k/147275/169833956/147275_34331968_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/148k/147275/169833956/147275_34331968_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/148k/147275/169833956/147275_34331968_IMG_07_0000_max_476x317.jpeg"
"169745291","Flintshire","Retail Property (high street)","Unit 6, Daniel Owen Precinct, Mold, Flintshire, CH7 1AP","£1,250 pcm","From","","","594–681 sq. ft.","594","681","55","63","Location: Mold is a busy market town situated with good communications, via the A55 North Wales Expressway. The shop is located within the pedestrianised Daniel Owen Shopping Centre with nearby occupiers including, Peacocks, Morrisons Local, Welsh Air Ambulance, Vision Express as well as other n...","https://www.rightmove.co.uk/properties/169745291#/?channel=COM_LET","2025-11-26T15:28:26Z","","new","Marketed by Harris Lamb, Birmingham","","53.166729","-3.143256","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169745291/104813_7045LH_IMG_00_0000_max_476x317.jpeg"
"169744499","Flintshire","Retail Property (high street)","New Unit 6, Daniel Owen Shopping Centre, Mold, Flintshire, CH7 1AP","£833 pcm","","","","245 sq. ft.","245","245","23","23","Location: Mold is a busy market town situated with good communications, via the A55 North Wales Expressway. The shop is located within the pedestrianised Daniel Owen Shopping Centre with nearby occupiers including Thomson, Argos, Peacock, McColls and the town's library and Market Hall. Descript...","https://www.rightmove.co.uk/properties/169744499#/?channel=COM_LET","2025-11-26T15:14:11Z","","new","Marketed by Harris Lamb, Birmingham","","53.166729","-3.143256","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104813/169744499/104813_7044LH_IMG_00_0000_max_476x317.jpeg"
"169394933","Flintshire","Office","First Floor Office, Second Avenue, Zone 2, Deeside Industrial Park, Deeside, CH5 2NX","£2,024 pcm","","","","1,619 sq. ft.","1619","1619","150","150","Modern office suite with car parking 1,619 sq ft (150.44 sq m) Leasehold - £24,285 per annum","https://www.rightmove.co.uk/properties/169394933#/?channel=COM_LET","2025-11-17T11:00:19Z","","new","Marketed by Legat Owen, Chester","","53.231861","-3.010277","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169394933/262844_9152LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169394933/262844_9152LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169394933/262844_9152LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169394933/262844_9152LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169394933/262844_9152LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169394933/262844_9152LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169394933/262844_9152LH_IMG_06_0000_max_476x317.jpeg"
"169354472","Flintshire","Light Industrial","Unit 68, Zone Two, Third Avenue, Deeside Industrial Park, DEESIDE, Flintshire, CH5 2LA","£4,446 pcm","","","","5,079 sq. ft.","5079","5079","472","472","A semi-detached industrial / warehouse unit with 2-storey offices 5,079 sq ft Leasehold - £53,350 per annum","https://www.rightmove.co.uk/properties/169354472#/?channel=COM_LET","2025-11-14T15:35:37Z","","new","Marketed by Legat Owen, Chester","","53.225298","-3.007713","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169354472/262844_4483LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169354472/262844_4483LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169354472/262844_4483LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169354472/262844_4483LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169354472/262844_4483LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169354472/262844_4483LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169354472/262844_4483LH_IMG_06_0000_max_476x317.jpeg"
