id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"119690822","Gateshead","Serviced Office","The Axis Building, Maingate, Kingsway North, Team Valley, Gateshead, Durham, United Kingdom NE11 0NQ","£139 pcm","","","4","Flexible coworking in Regus Maingate Team Valley. Work surrounded by green space, with sleek interiors and a collaborative business vibe.","https://www.rightmove.co.uk/properties/119690822#/?channel=COM_LET","2022-02-08T13:20:41Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","54.94335","-1.62439","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/119690822/129853_UKcw558_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/119690822/129853_UKcw558_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/119690822/129853_UKcw558_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/119690822/129853_UKcw558_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/119690822/129853_UKcw558_IMG_04_0000_max_476x317.jpeg"
"169888055","Gateshead","Retail Property (high street)","14 Brinkburn Avenue, Gateshead","£833 pcm","","","","Ground floor retail unit. Net internal area 75 m² (807 ft²). Spacious open-plan retail area plus kitchen, two W/Cs. Recently fully refurbished with modern, clean interior. New flexible lease terms available. Eligible for small business rate relief or zero rates. Excellent footfall from ...","https://www.rightmove.co.uk/properties/169888055#/?channel=COM_LET","2025-12-01T16:15:37Z","","new","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","54.950399","-1.604734","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169888055/63935_12683713_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169888055/63935_12683713_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169888055/63935_12683713_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169888055/63935_12683713_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169888055/63935_12683713_IMG_04_0000_max_476x317.jpeg"
"721810486969809","Gateshead","Office","6 Hymers Court, Gateshead, NE8 2BA","£1,000 pcm","","","","A newly refurbished 990 sq ft office unit, located only a 17-minute walk or 7-minute drive from Newcastle Station. ","https://www.rightmove.co.uk/properties/721810486969809#/?channel=COM_LET","2025-11-27T15:15:02Z","","new","Marketed by The Arch Company, London","","54.965781","-1.60247","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/721810486969809/272765_ZGD08605_IMG_00_0000_max_476x317.png"
"169768031","Gateshead","Commercial Property","57 High Street, Felling, Gateshead","£83 pcm","","","","Substantial two-storey detached commercial unit with parking. Net internal area 1,808 sq. m. (19,461 sq. ft.). Approximately 100 on-site car parking spaces available. Large open-plan ground floor layout for flexible use. Total site area extends to 1.253 acres (0.507 hectares). Suitable for variou...","https://www.rightmove.co.uk/properties/169768031#/?channel=COM_LET","2025-11-27T10:14:27Z","","new","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","54.950859","-1.569227","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169768031/63935_12785779_IMG_10_0000_max_476x317.jpeg"
"169732022","Gateshead","Shop","Jackson Street, Gateshead, Tyne and Wear, NE8","£1,000 pcm","","","","21A Jackson Street is well situated on the southern side of Jackson Street close to occupiers such as Salvation Army, St Oswalds Hospice Shop, CGX Gateshead, Pure Gym, Savers, Halifax and Modern Man Barbers Shop. The subject property occupies a prominent position on Jackson Street, pr...","https://www.rightmove.co.uk/properties/169732022#/?channel=COM_LET","2025-11-26T11:37:16Z","","new","Marketed by GFW, Covering North East","","54.961554","-1.601959","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284894/169732022/284894_DSA240048_L_IMG_00_0000_max_476x317.jpeg"
"719240429235457","Gateshead","Serviced Office","Team Valley, Gateshead, The Axis Building, Maingate, Gateshead, NE11 0NQ","POA","","","","Serviced Office Space TO LET","https://www.rightmove.co.uk/properties/719240429235457#/?channel=COM_LET","2025-11-13T10:50:09Z","","size_change","Marketed by Align Chartered Surveyors, Northallerton","","54.94336","-1.624355","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240429235457/226952_288232-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240429235457/226952_288232-2_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240429235457/226952_288232-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240429235457/226952_288232-2_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240429235457/226952_288232-2_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240429235457/226952_288232-2_IMG_05_0000_max_476x317.jpeg"
"169561406","Gateshead","Office","15 Walker Terrace, Gateshead","£625 pcm","","","","Ground floor & basement office unit. Floor area circa 94.75 sq. m. (1,019 sq. ft.). Attractive Grade II listed, mid-19th century building. Next to Gateshead Interchange with excellent Metro, bus, & road connections. Flexible office accommodation with period features. New flexible lease terms ...","https://www.rightmove.co.uk/properties/169561406#/?channel=COM_LET","2025-11-21T09:59:57Z","","new","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","54.960671","-1.606091","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169561406/63935_12776047_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169561406/63935_12776047_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169561406/63935_12776047_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169561406/63935_12776047_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169561406/63935_12776047_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169561406/63935_12776047_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169561406/63935_12776047_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169561406/63935_12776047_IMG_07_0000_max_476x317.jpeg"
"720508197526208","Gateshead","Retail Property (high street)","6 High Level Parade, Gateshead, NE8 2AJ","£750 pcm","","","","A 560 sq ft retail unit located in Gateshead. ","https://www.rightmove.co.uk/properties/720508197526208#/?channel=COM_LET","2025-11-20T10:45:02Z","","new","Marketed by The Arch Company, London","","54.965392","-1.605821","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/720508197526208/272765_ZGD08507_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/720508197526208/272765_ZGD08507_IMG_01_0000_max_476x317.png"
"719089713112401","Gateshead","Office","Retail/Office Unit To Let at 6 Hymers Court, Arch 6, Hymers Court, Brandling Street, Gateshead, NE8 2BA","£1,000 pcm","","","","Retail/Office Unit To Let","https://www.rightmove.co.uk/properties/719089713112401#/?channel=COM_LET","2025-11-12T14:52:03Z","","new","Marketed by Sanderson Weatherall, Newcastle","","54.965919","-1.602492","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/719089713112401/261938_337340-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/719089713112401/261938_337340-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/719089713112401/261938_337340-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/719089713112401/261938_337340-2_IMG_03_0000_max_476x317.jpeg"
"722864519523681","Gateshead","Office","Honeycomb, The Watermark, Gateshead, NE11 9SZ","£9,267 pcm","","","","Newly refurbished, flexible Grade A offices from 870 - 4337 sq ft located on the popular Watermark Business Park in Gateshead.","https://www.rightmove.co.uk/properties/722864519523681#/?channel=COM_LET","2025-12-03T10:53:11Z","","size_change","Marketed by Parker Knights, Newcastle","","54.963261","-1.676098","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864519523681/252818_315420-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864519523681/252818_315420-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864519523681/252818_315420-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864519523681/252818_315420-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864519523681/252818_315420-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864519523681/252818_315420-2_IMG_05_0000_max_476x317.jpeg"
