id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150415532","Gosport","Serviced Office","Aerodrome Road, Gosport, Hampshire, United Kingdom PO13 0FQ","£769 pcm","From","","4","Private office space for 2 in Basepoint Aerodrome Road. Fully flexible, 24/7 access, secure, ergonomic furniture and all-inclusive services included. ","https://www.rightmove.co.uk/properties/150415532#/?channel=COM_LET","2024-07-19T06:23:27Z","","size_change","Marketed by Basepoint, Basepoint","","50.82211","-1.16377","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150415532/70551_UK2ws4541_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150415532/70551_UK2ws4541_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150415532/70551_UK2ws4541_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150415532/70551_UK2ws4541_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150415532/70551_UK2ws4541_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150415532/70551_UK2ws4541_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150415532/70551_UK2ws4541_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150415532/70551_UK2ws4541_IMG_04_0000_max_476x317.jpeg"
"166209893","Gosport","Shop","SHOP Bemisters Lane, Gosport ","£700 pcm","","","","LARGE SHOP FRONT - EXCELLENT LOCATION - Southernbrook Lettings are delighted to bring to the rental market this shop based in Gosport a short walk away from town. Further benefits include large area which could be used for multiple purposes. This property is available early November so call to ar...","https://www.rightmove.co.uk/properties/166209893#/?channel=COM_LET","2025-08-26T10:58:37Z","","new","Marketed by Southernbrook, Gosport","","50.79472","-1.120624","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/166209893/246737_11429951_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/166209893/246737_11429951_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/166209893/246737_11429951_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/166209893/246737_11429951_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/166209893/246737_11429951_IMG_04_0000_max_476x317.jpeg"
"169836722","Gosport","Garage","Fort Road, Gosport","£110 pcm","","","","SINGLE GARAGE - CONCRETE BUILT - Southernbrook Lettings are pleased to bring to the rental market this concrete built, air tight single garage in a great location. Ideal for secure storage or parking, this well-positioned garage offers peace of mind and convenience. Available now, so call today t...","https://www.rightmove.co.uk/properties/169836722#/?channel=COM_LET","2025-11-28T17:52:07Z","","new","Marketed by Southernbrook, Gosport","","50.781097","-1.131958","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169836722/246737_12793896_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169836722/246737_12793896_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169836722/246737_12793896_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169836722/246737_12793896_IMG_03_0000_max_476x317.jpeg"
"169836695","Gosport","Garage","Leesland Road, Gosport","£110 pcm","","","","SINGLE GARAGE - CONCRETE BUILT - Southernbrook Lettings are pleased to bring to the rental market this concrete built, overhead door single garage in a great location. Ideal for secure storage or parking, this well-positioned garage offers peace of mind and convenience. Available now, so call tod...","https://www.rightmove.co.uk/properties/169836695#/?channel=COM_LET","2025-11-28T17:51:05Z","","new","Marketed by Southernbrook, Gosport","","50.799152","-1.144792","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169836695/246737_12793892_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169836695/246737_12793892_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169836695/246737_12793892_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169836695/246737_12793892_IMG_03_0000_max_476x317.jpeg"
"169168376","Gosport","Mixed Use","47C Stoke Road, Gosport, Hampshire, PO12","£833 pcm","","","","47C Stoke Road Gosport PO12 1LSGreat opportunity to establish a business in Stoke road. Currently a Nail Bar which has been in occupation for over 18 years.Ground floor unit with first floor facilities.Rent £10,000 pa. New lease available terms to be agreed.","https://www.rightmove.co.uk/properties/169168376#/?channel=COM_LET","2025-11-28T13:13:46Z","","new","Marketed by Trafalgar Property Consultancy, Gosport","","50.79391","-1.13234","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4bd913ca2/169168376/4bd913ca2bfed4ef0b9c1b86ad9fca5e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fe1db50c0/169168376/fe1db50c08ff966d510bbf71e9f621b8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a11764908/169168376/a11764908c7e6e748d2604632ffa80bf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/22d1f9c0a/169168376/22d1f9c0a8eeb75ddaf61a7f4a66515f_max_476x317.jpeg"
"169484918","Gosport","Light Industrial","5 Clarence Wharf, Mumby Road, Gosport, Hampshire, PO12","£1,833 pcm","","","","Prominent Location Close to the Town Centre and A32.All Mains Services Available.Offices and Mezzanine Storage.Onsite Parking.","https://www.rightmove.co.uk/properties/169484918#/?channel=COM_LET","2025-11-19T12:49:01Z","","new","Marketed by Cyan Power Commercial Property Management Limited, Fareham","","50.79761","-1.12234","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296843/169484918/296843_ClarenceWharf5_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296843/169484918/296843_ClarenceWharf5_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296843/169484918/296843_ClarenceWharf5_IMG_02_0000_max_476x317.jpeg"
"169480964","Gosport","Light Industrial","6 Frater Gate Business Park Aerodrome Road, Gosport, Hampshire, PO13","£1,000 pcm","","","","Modern Business Unit.Immediately available.Fully Fitted Mezzanine Offices Seven Car Spaces. Small Business Rate Relief Available. ","https://www.rightmove.co.uk/properties/169480964#/?channel=COM_LET","2025-11-19T11:48:47Z","","new","Marketed by Cyan Power Commercial Property Management Limited, Fareham","","50.82543","-1.16314","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296843/169480964/296843_Frater6_IMG_00_0000_max_476x317.jpeg"
"169479569","Gosport","Light Industrial","C3 Premier Business Centre, Speedfields Park, Gosport, Hampshire, PO14","£2,000 pcm","","","","All ground floor space. Three phase power and gas installed. Ground floor office space. ","https://www.rightmove.co.uk/properties/169479569#/?channel=COM_LET","2025-11-19T11:33:20Z","","new","Marketed by Cyan Power Commercial Property Management Limited, Fareham","","50.83546","-1.1827","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296843/169479569/296843_PremierC3_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296843/169479569/296843_PremierC3_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296843/169479569/296843_PremierC3_IMG_02_0000_max_476x317.jpeg"
"169449284","Gosport","Light Industrial","Clarence Wharf, Mumby Road, Gosport, Hampshire, PO12","£1,917 pcm","","","","Modern Factory / Warehouse. Prominent Location close to the Town Centre and A32. All mains services available. All ground floor space ","https://www.rightmove.co.uk/properties/169449284#/?channel=COM_LET","2025-11-18T14:32:31Z","","new","Marketed by Cyan Power Commercial Property Management Limited, Fareham","","50.79758","-1.12234","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296843/169449284/296843_ClarenceWharf7_IMG_00_0000_max_476x317.jpeg"
"169443653","Gosport","Restaurant","Gosport Pavilion, People's Park, Gosport, PO12 1EP","POA","","","","NEW BUILD RESTAURANT/BAR UNITS - TO LET","https://www.rightmove.co.uk/properties/169443653#/?channel=COM_LET","2025-11-18T12:41:50Z","","new","Marketed by Vail Williams, Portsmouth","","50.794193","-1.117555","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169443653/85879_334631-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169443653/85879_334631-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169443653/85879_334631-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169443653/85879_334631-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169443653/85879_334631-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169443653/85879_334631-2_IMG_05_0000_max_476x317.jpeg"
"168422525","Gosport","Storage","STORAGE CONTAINER - Brockhurst Road, Gosport","£230 pcm","","","","LARGE 20 FT STORAGE CONTAINER - HEAVY DUTY - AVAILABLE NOW - Southernbrook Lettings are pleased to bring to the rental market this large 20ft storage container located in Gosport. Great opportunity for contractors looking to store materials/tools or furniture storage etc... many uses! This contai...","https://www.rightmove.co.uk/properties/168422525#/?channel=COM_LET","2025-10-21T10:52:24Z","","price_reduced","Marketed by Southernbrook, Gosport","","50.803772","-1.150483","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/168422525/246737_12415252_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/168422525/246737_12415252_IMG_01_0000_max_476x317.jpeg"
