id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"166790474","Greater Manchester","Light Industrial","Units at Back Manor Street, Bury, BL9","£2,500 pcm","From","","","Positioned in a prime Bury town centre location, these well-presented industrial units offer between 3,500 and 4,500 sq ft of versatile accommodation, available on flexible lease terms. ","https://www.rightmove.co.uk/properties/166790474#/?channel=COM_LET","2025-09-09T17:13:41Z","","price_reduced","Marketed by Citrus Commercial Circle, Manchester","","53.5947","-2.28567","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271310/166790474/271310_backmanorst_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271310/166790474/271310_backmanorst_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271310/166790474/271310_backmanorst_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271310/166790474/271310_backmanorst_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271310/166790474/271310_backmanorst_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271310/166790474/271310_backmanorst_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271310/166790474/271310_backmanorst_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271310/166790474/271310_backmanorst_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271310/166790474/271310_backmanorst_IMG_08_0000_max_476x317.jpeg"
"169950335","Greater Manchester","Light Industrial","UNIT 8, BLACKROD INDUSTRIAL ESTATE, SCOT LANE, BLACKROD, BOLTON, GREATER MANCHESTER, BL6 5SL","£1,083 pcm","","","","The unit features traditional brick elevations beneath a pitched, profile metal-sheeted roof supported by a combination of steel and timber purlins. It is equipped with a manually operated roller shutter and a pedestrian access door. The property also benefits from a self-contained yard that incl...","https://www.rightmove.co.uk/properties/169950335#/?channel=COM_LET","2025-12-03T11:10:35Z","","new","Marketed by Lamb & Swift Commercial, Bolton","","53.576591","-2.569111","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169950335/87577_3560LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169950335/87577_3560LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169950335/87577_3560LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169950335/87577_3560LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169950335/87577_3560LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169950335/87577_3560LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169950335/87577_3560LH_IMG_06_0000_max_476x317.jpeg"
"122043806","Greater Manchester","Office","1 Wellington Road, 1-13 Wellington Road North, Stockport, SK4 1AF","POA","","","","Overlooking Stockport's new town centre park and with incredible views these flexible workspaces offer much more than the views alone. The entrance and reception areas are undergoing a revitalisation keeping the space fresh and energetic. A handful of office suites are available, with all having...","https://www.rightmove.co.uk/properties/122043806#/?channel=COM_LET","2022-04-06T15:06:26Z","","size_change","Marketed by Orbit Developments, Alderley Edge","","53.410102","-2.163505","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_27_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_28_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_29_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/150k/149846/122043806/149846_899LH_IMG_33_0000_max_476x317.jpeg"
"169938989","Greater Manchester","Commercial Property","Stockport Road, Levenshulme, Manchester, M19","£1,200 pcm","","","","*** GROUND FLOOR COMMERCIAL WITH STORAGE BASEMENT *** GAS CENTERAL HEATING *** ELECTRIC SHUTTER *** LOCATED ON MAIN STOCKPORT ROAD *** CLOSE TO KFC HEATON CHAPEL *** BORDER OF LEVENSHULME & HEATON CHAPEL *** GREAT FOOT FALL **** IDEAL LOCATION TO START A BUSINESS *** READY TO OCCUP *** ","https://www.rightmove.co.uk/properties/169938989#/?channel=COM_LET","2025-12-03T01:09:51Z","","new","Marketed by Lancashire Properties, Manchester","","53.4374","-2.18581","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2c22c7f9a/169938989/2c22c7f9ac959ee5b4753a3a88491046_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/838b8f824/169938989/838b8f8247712b0e727055ab7f9d6487_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d9ce6769d/169938989/d9ce6769d18c74485f08cf2650f2fe2d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e40fb8cc3/169938989/e40fb8cc3841bdda9306e99a867b3efb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d1fa26b6d/169938989/d1fa26b6de6c98316b87b313f6507ad9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8532e429c/169938989/8532e429ca784fb6985c120106d92ab7_max_476x317.jpeg"
"169933184","Greater Manchester","Commercial Property","Wilmslow Road, Heald Green","£2,292 pcm","","","","Situated to the rear of 200 Wilmslow Road (Opulenza Bathroom Centre), this single storey brick building is ideal for a medium sized company looking to extend without having to outlay vast sums of money. Access is gained along the side of the building into a rear car park. Heald Green ...","https://www.rightmove.co.uk/properties/169933184#/?channel=COM_LET","2025-12-02T17:18:16Z","","new","Marketed by Main & Main, Heald Green","","53.369491","-2.216981","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/21k/20816/169933184/20816_34337247_IMG_00_0000_max_476x317.jpeg"
"169240391","Greater Manchester","Office","Memorial Road, Worsley, Manchester, Greater Manchester, M28 3AQ","£1,000 pcm","","","","Located in the heart of Worsley Village, this well-presented first floor office building offers a flexible and professional working environment ideal for a range of businesses. The ground floor comprises a welcoming hallway, two private offices, a utility room, and a spacious open-plan...","https://www.rightmove.co.uk/properties/169240391#/?channel=COM_LET","2025-11-11T16:37:14Z","","size_change","Marketed by Miller Metcalfe, Bolton","","53.522762","-2.39845","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/169240391/224027_COM250133_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/169240391/224027_COM250133_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/169240391/224027_COM250133_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/169240391/224027_COM250133_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/169240391/224027_COM250133_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/169240391/224027_COM250133_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224027/169240391/224027_COM250133_L_IMG_06_0000_max_476x317.jpeg"
"169931723","Greater Manchester","Office","SUITE D, 112 MARKET STREET, WESTHOUGHTON, BOLTON, GREATER MANCHESTER, BL5 3AZ","£6,000 pcm","","","","The subject property comprises a substantial and very attractive Grade II Listed semi-detached office building of traditional construction dating from the Victorian Era. The premises have undergone a comprehensive refurbishment programme and provide high quality managed office accommodation, incl...","https://www.rightmove.co.uk/properties/169931723#/?channel=COM_LET","2025-12-02T16:57:42Z","","new","Marketed by Lamb & Swift Commercial, Bolton","","53.549187","-2.523375","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169931723/87577_3559LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169931723/87577_3559LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87577/169931723/87577_3559LH_IMG_02_0000_max_476x317.jpeg"
"168057569","Greater Manchester","Warehouse","Severnside Trading Estate, Textilose Road, Trafford Park, M17 1WA","POA","","","","Industrial To Let, Trafford Park","https://www.rightmove.co.uk/properties/168057569#/?channel=COM_LET","2025-10-09T22:26:27Z","","size_change","Marketed by B8 Real Estate LLP, Warrington","","53.461897","-2.320899","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168057569/102728_332069-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168057569/102728_332069-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168057569/102728_332069-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168057569/102728_332069-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168057569/102728_332069-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168057569/102728_332069-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168057569/102728_332069-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168057569/102728_332069-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168057569/102728_332069-2_IMG_16_0000_max_476x317.jpeg"
"168055685","Greater Manchester","Warehouse","Unit 18-20 Severnside, Textilose Road, Trafford Park, M17 1WA","POA","","","","Industrial / Warehouse To Let, Trafford Park","https://www.rightmove.co.uk/properties/168055685#/?channel=COM_LET","2025-10-09T20:29:06Z","","size_change","Marketed by B8 Real Estate LLP, Warrington","","53.461897","-2.320899","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168055685/102728_331780-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168055685/102728_331780-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168055685/102728_331780-2_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168055685/102728_331780-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168055685/102728_331780-2_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168055685/102728_331780-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/168055685/102728_331780-2_IMG_02_0001_max_476x317.jpeg"
"169925348","Greater Manchester","Office","29 Peter Street  Peter Street  MANCHESTER  M2 5QJ  United Kingdom","POA","","","","Flexible Office Space | For Lease | Manchester City Centre","https://www.rightmove.co.uk/properties/169925348#/?channel=COM_LET","2025-12-02T15:30:21Z","","new","Marketed by Colliers International, Offices","","53.477699","-2.24857","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257510/169925348/257510_a03N100000eZn5HIAS_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257510/169925348/257510_a03N100000eZn5HIAS_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257510/169925348/257510_a03N100000eZn5HIAS_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257510/169925348/257510_a03N100000eZn5HIAS_IMG_03_0000_max_476x317.jpeg"
