id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168444170","Greenwich","Pub","18 Beresford Square, London, Greater London, SE18 6AY","£6,250 pcm","","","","18 Beresford Square presents a substantial licensed premises set across two floors, providing approximately 1,700 sq ft on the ground floor and a further 1,700 sq ft at basement level. The property is arranged as a public house under the Sui Generis use class, offering generous proportions and a ...","https://www.rightmove.co.uk/properties/168444170#/?channel=COM_LET","2025-10-21T15:35:21Z","","new","Marketed by Kalmars Commercial Limited, London","","51.49081","0.069535","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/168444170/271649_8474LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/168444170/271649_8474LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/168444170/271649_8474LH_IMG_02_0000_max_476x317.jpeg"
"722870179761601","Greenwich","Light Industrial","Units A  B Anchorage Point, Anchor  Hope Lane, Charlton, London, SE7 7SZ","POA","","","","MODERN DETACHED UNIT WITH SECURE YARD 15,009SQFT IN PRIME SOUTH EAST LONDON LOCATION - DUE TO BE REFURBISHED - READY Q2 2026 - 1MVA - TO LET","https://www.rightmove.co.uk/properties/722870179761601#/?channel=COM_LET","2025-12-03T12:08:09Z","","new","Marketed by CBRE - Birmingham, Birmingham Office","","51.493611","0.031086","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/54654ea5a/722870179761601/54654ea5a3453a6dc265e275988f1280_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0e99f99dc/722870179761601/0e99f99dc25702f1320e2b2e33aeb2d2_max_476x317.png"
"722866732019200","Greenwich","Retail Property (high street)","140A  140B Powis Street, Woolwich, London, SE18 6LR","£11,583 pcm","","","","Versatile Commercial Unit","https://www.rightmove.co.uk/properties/722866732019200#/?channel=COM_LET","2025-12-03T11:23:10Z","","size_change","Marketed by TARN AND TARN LIMITED, London","","51.492536","0.062801","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866732019200/281339_335909-2_IMG_06_0000_max_476x317.jpeg"
"722866730164113","Greenwich","Retail Property (high street)","142A Powis Street, Woolwich, London, SE18 6LR","£3,250 pcm","","","","Versatile Commercial Unit","https://www.rightmove.co.uk/properties/722866730164113#/?channel=COM_LET","2025-12-03T11:23:09Z","","size_change","Marketed by TARN AND TARN LIMITED, London","","51.492536","0.062801","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866730164113/281339_335902-2_IMG_12_0000_max_476x317.jpeg"
"166587725","Greenwich","Office","Unit 9, The Gateway, 2A Rathmore Road, Charlton, SE7 7QW","£615 pcm","","","","Unit 9 The Gateway, 2a Rathmore Road, SE7","https://www.rightmove.co.uk/properties/166587725#/?channel=COM_LET","2025-09-04T14:00:51Z","","price_reduced","Marketed by Hindwoods, London","","51.486004","0.026595","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/166587725/287591_132814-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/166587725/287591_132814-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/166587725/287591_132814-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/166587725/287591_132814-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/166587725/287591_132814-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/166587725/287591_132814-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/166587725/287591_132814-2_IMG_09_0000_max_476x317.jpeg"
"169893080","Greenwich","Warehouse","The Yard, Nathan Way, Greenwich, SE28 0AX","POA","","","","A landmark warehouse targeting EPC A+, with future-ready power in a prime London location.","https://www.rightmove.co.uk/properties/169893080#/?channel=COM_LET","2025-12-01T17:36:19Z","","new","Marketed by Hollis Hockley, Reading","","51.495148","0.101434","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893080/297365_335283-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893080/297365_335283-2_IMG_01_0000_max_476x317.jpeg"
"169836500","Greenwich","Warehouse","Unit 4-5, Greenwich Centre Business Park, 53 Norman Road, Greenwich, London, SE10 9QF","£7,083 pcm","","","","Two interconnecting Single Storey Industrial Units with First Floor Offices and a large forecourt with Six Car Parking Spaces.","https://www.rightmove.co.uk/properties/169836500#/?channel=COM_LET","2025-11-28T17:43:54Z","","price_reduced","Marketed by Stirling Ackroyd, Commercial","","51.478714","-0.01666","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169836500/157631_272711-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169836500/157631_272711-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169836500/157631_272711-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169836500/157631_272711-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169836500/157631_272711-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169836500/157631_272711-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169836500/157631_272711-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/158k/157631/169836500/157631_272711-2_IMG_07_0000_max_476x317.jpeg"
"169806470","Greenwich","Office","Kashgar Road, Plumstead, SE18 1DY","£1,500 pcm","","","","*SELF CONTAINED COURTYARD OFFICE TO LET* Newly built office / class E use unit of C. 8832sq ft. Includes one parking space.","https://www.rightmove.co.uk/properties/169806470#/?channel=COM_LET","2025-11-28T10:10:09Z","","new","Marketed by Hummerstone & Hawkins, Welling","","51.48644","0.09756","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169806470/59133_10741_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169806470/59133_10741_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169806470/59133_10741_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169806470/59133_10741_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169806470/59133_10741_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169806470/59133_10741_IMG_05_0000_max_476x317.jpeg"
"165332639","Greenwich","Light Industrial","Units 4-5, Greenwich Business Park, Greenwich, London, SE10","£7,083 pcm","","","","Comprising two adjoining single-storey industrial units with integrated first-floor offices, the premises offer a total gross internal area of approximately 5,494 sq ft. The space benefits from a large forecourt with dedicated parking for six vehicles. Internally, the units are fitted wit...","https://www.rightmove.co.uk/properties/165332639#/?channel=COM_LET","2025-08-04T14:20:05Z","","price_reduced","Marketed by Whozoo, London","","51.478714","-0.01666","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/165332639/241562_LON0009BB_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/165332639/241562_LON0009BB_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/165332639/241562_LON0009BB_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/165332639/241562_LON0009BB_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/165332639/241562_LON0009BB_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/165332639/241562_LON0009BB_IMG_05_0000_max_476x317.jpeg"
"169787441","Greenwich","Office","Woolwich Road, London, SE7","£2,875 pcm","","","","Prime Office Space Opportunity in Charlton, SE7Woolwich Road, London, SE7 8LQ","https://www.rightmove.co.uk/properties/169787441#/?channel=COM_LET","2025-11-27T15:38:55Z","","new","Marketed by Berns & Co, West Hampstead","","51.49142","0.04299","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80899/169787441/80899_WRNov25_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80899/169787441/80899_WRNov25_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80899/169787441/80899_WRNov25_IMG_02_0000_max_476x317.jpeg"
