id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"147927236","Hackney","Office","Chapter House, 16 Brunswick Place, Old Street, N1 6DZ","£4,404 pcm","From","","","Stunning, Re-imagined former Victorian School with fully fitted floors available!","https://www.rightmove.co.uk/properties/147927236#/?channel=COM_LET","2024-05-13T14:05:52Z","","price_reduced","Marketed by Compton, London","","51.527146","-0.086216","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2bfeaa60f/147927236/2bfeaa60f66c84b4b437262eb41e32b1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/580be4caf/147927236/580be4caf458d02bb82f16a9c919b562_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e50cb82d9/147927236/e50cb82d9c96b656425d06578055c36f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/05073058c/147927236/05073058cfa70c0b681e921b05c0e299_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3f3203a02/147927236/3f3203a02e119333780358c4211d05ef_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4d4da7952/147927236/4d4da7952f18e33a32ce1a7d82b28af1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/776a07cd7/147927236/776a07cd789651fce698a5b1c0be2cbe_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b2628ec48/147927236/b2628ec489ca11d56cff67e9966cbce8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c60407968/147927236/c60407968226db4fb5bbf932d29c6c63_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b6ff3b956/147927236/b6ff3b956ae666ee3b2d4635ddc43ac3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8960776cb/147927236/8960776cb6be6659a20a5231b7da1b03_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/db14c63d4/147927236/db14c63d42e290d2a9439f60d71c3ae2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6902abdee/147927236/6902abdee858a29ba3d5927e9d7c46cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5a216a0fd/147927236/5a216a0fdfed2993829bf4001fe30b0b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/258559a7e/147927236/258559a7e631c704449fefcdb17c8a73_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/62b45847e/147927236/62b45847e2c741ea05bdf170ffe9240f_max_476x317.jpeg"
"722866646060913","Hackney","Retail Property (high street)","10a Great Eastern Street, Shoreditch, London, EC2A 3NT","£5,417 pcm","","","","High Footfall E-Class Unit in the Heart of Shoreditch","https://www.rightmove.co.uk/properties/722866646060913#/?channel=COM_LET","2025-12-03T11:18:12Z","","new","Marketed by TARN AND TARN LIMITED, London","","51.523402","-0.078505","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866646060913/281339_331228-2_IMG_10_0000_max_476x317.jpeg"
"722866520206049","Hackney","Light Industrial","237 Hackney Road, Hoxton, London, E2 8NA","£8,302 pcm","","","","Versatile Industrial-Style Workspace in Hoxton","https://www.rightmove.co.uk/properties/722866520206049#/?channel=COM_LET","2025-12-03T11:18:09Z","","size_change","Marketed by TARN AND TARN LIMITED, London","","51.531278","-0.068542","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281339/722866520206049/281339_290364-2_IMG_34_0000_max_476x317.jpeg"
"722722154512832","Hackney","Office","80 Paul Street, Shoreditch, EC2A 4NE","£3,670 pcm","","","","High-quality office accommodation arranged across the entire first floor of this prominent building situated in the the of Shoreditch.","https://www.rightmove.co.uk/properties/722722154512832#/?channel=COM_LET","2025-12-02T16:00:04Z","","new","Marketed by Forest Real Estate, London","","51.525617","-0.083602","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/722722154512832/232625_345574-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/722722154512832/232625_345574-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/722722154512832/232625_345574-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/722722154512832/232625_345574-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/722722154512832/232625_345574-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/722722154512832/232625_345574-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232625/722722154512832/232625_345574-2_IMG_06_0000_max_476x317.jpeg"
"162775214","Hackney","Office","1 Ghent Way, 1 Ghent Way, London, E8 2PE","£883 pcm","","","","Fully fitted creative studio/office in Dalston","https://www.rightmove.co.uk/properties/162775214#/?channel=COM_LET","2025-06-03T11:15:56Z","","size_change","Marketed by Stirling Ackroyd, Commercial","","51.546555","-0.071903","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/51fbafb3a/162775214/51fbafb3a0eedd0c0f8a4e0900254123_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/33690d563/162775214/33690d563c8398d4b4851da233d08799_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/08f486b91/162775214/08f486b91b123a66f712352cbb20eec8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/effbbc867/162775214/effbbc867089f688d79dafd0d899a2e8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5bd874a79/162775214/5bd874a79990ecb0b19738139a3bf578_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9b0726789/162775214/9b0726789374694f86f8d0d769e1984d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/40ca330b9/162775214/40ca330b974c0c8e7273b5b418be8983_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/867425cd5/162775214/867425cd5e7e88d1aa082a4e293c1a28_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/243fe0f8e/162775214/243fe0f8ebc0182825dd9ce6a5629309_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/363272f8f/162775214/363272f8f9bee59daf460adf6945604f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b61baf0bf/162775214/b61baf0bf353a114f81a73c2151eb6fa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ca5578768/162775214/ca5578768b4386a525217c985f1f0a8b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0d58192f9/162775214/0d58192f9bb02dd7a99a0d3bd98d9e3a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dea3b4d8f/162775214/dea3b4d8fa136c6595b44c3074f29eaa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ecc70d84b/162775214/ecc70d84b1052ad42076513125ba89c0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/91a6b8d9c/162775214/91a6b8d9c870cf5054ee1bf792717cb7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/04ef5e226/162775214/04ef5e226645f6872bbcfe09f374de98_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4206f4886/162775214/4206f488694f9aa59a2b17576350fc5a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0db94f08d/162775214/0db94f08d8d0234f4d06d0044ffedcc0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/77c878901/162775214/77c8789016df06e382298914b0743e1e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b84b043ef/162775214/b84b043ef4e1526a7f975a0185b42f84_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8df5064ff/162775214/8df5064ff6e547f0c2440d08dd0287d2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9390b470c/162775214/9390b470cedb157adcf95409dc49853d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9f12b9b3c/162775214/9f12b9b3ca8c17fb78075546dbf9fab4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c52691fe5/162775214/c52691fe59c68502caf8f2a41249b4c0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d69774426/162775214/d69774426e3003e3e5ea810a1f13949e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/85358032a/162775214/85358032a906c97d5fac910564fa15a6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5664b77e9/162775214/5664b77e966c7abdef2d92ed8ba56ad0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dee9306a0/162775214/dee9306a0821acc80c0cf55832b531e7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ead55bffd/162775214/ead55bffd9fdef43a91115d9e55ef90b_max_476x317.jpeg"
"169877942","Hackney","Office","17 Willow Street, London, EC2A 4BH","£2,492 pcm","","","","Penthouse Shoreditch Loft For Sale or Rent","https://www.rightmove.co.uk/properties/169877942#/?channel=COM_LET","2025-12-01T13:44:53Z","","new","Marketed by BELCOR, City Fringe","","51.525268","-0.082735","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169877942/189137_288632-2_IMG_17_0000_max_476x317.jpeg"
"169869356","Hackney","Retail Property (high street)","Valette Street, London, E9","£1,666 pcm","","","","Goldmove Properties are delighted to present this well-positioned retail unit located on the busy and vibrant Morning Lane, Hackney E9 - an area known for strong footfall, excellent visibility, and consistent passing trade.","https://www.rightmove.co.uk/properties/169869356#/?channel=COM_LET","2025-12-01T12:29:40Z","","new","Marketed by Goldmove Properties, London","","51.54559","-0.05454","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286445/169869356/286445_2Morning_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286445/169869356/286445_2Morning_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286445/169869356/286445_2Morning_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286445/169869356/286445_2Morning_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286445/169869356/286445_2Morning_IMG_04_0000_max_476x317.jpeg"
"169863953","Hackney","Office","Here East, 3 East Bay Lane, London, Greater London","£11,842 pcm","","","","Ground floor benefits from a large window frontage and floor to ceiling heights of 4.56M. The space is currently being used as part office/part studio/workrooms and this format can be retained or changed subject to terms. The floor can be split to provide anything from circa 2,500 - 7,105 square ...","https://www.rightmove.co.uk/properties/169863953#/?channel=COM_LET","2025-12-01T11:29:40Z","","new","Marketed by Cummings Commercial Ltd, London","","51.54752","-0.022262","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/207k/206354/169863953/206354_1118LH_IMG_17_0000_max_476x317.jpeg"
"169809443","Hackney","Retail Property (high street)","Kingsland Road, London, E8","£5,000 pcm","","","2","Double fronted shop to let on Kingsland Road, London E8. 2,809 Sq Ft. £60,000 per annum. New 10 Year Lease Available.","https://www.rightmove.co.uk/properties/169809443#/?channel=COM_LET","2025-11-28T14:56:54Z","","new","Marketed by Murray Commercial Limited, Walthamstow","","51.54145","-0.07606","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/261k/260867/169809443/260867_424-426KingslandRoad_IMG_00_0000_max_476x317.jpeg"
"148007495","Hackney","Office","Chapter House, 16 Brunswick Place, London, N1 6DZ","£4,404 pcm","From","","","Stunning, Re-imagined former Victorian School To LetAvailable as CAT A+ or CAT A. 1,338 - 20,062 sq ft","https://www.rightmove.co.uk/properties/148007495#/?channel=COM_LET","2024-05-15T10:41:16Z","","size_change","Marketed by Crossland Otter Hunt, London","","51.52699","-0.086745","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_00_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_01_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_02_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_03_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_04_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_05_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_06_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_08_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_09_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_10_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_15_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_16_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_19_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_21_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_22_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_23_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_24_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_25_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_26_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_27_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_28_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_29_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_30_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/167k/166607/148007495/166607_188117-2_IMG_31_0001_max_476x317.jpeg"
