id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"158403725","Hampshire","Office","Spectrum Point, 279 Farnborough Road, Farnborough, GU14 7LS","POA","","","","9,453–19,349 sq. ft.","9453","19349","878","1798","Spectrum Point is a landmark town centre building providing fully refurbished Grade A space","https://www.rightmove.co.uk/properties/158403725#/?channel=COM_LET","2025-02-18T14:53:37Z","","size_change","Marketed by Curchod & Co LLP, Farnham","","51.296546","-0.754591","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285842/158403725/285842_196384-2_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285842/158403725/285842_196384-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285842/158403725/285842_196384-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285842/158403725/285842_196384-2_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285842/158403725/285842_196384-2_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285842/158403725/285842_196384-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285842/158403725/285842_196384-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285842/158403725/285842_196384-2_IMG_02_0001_max_476x317.jpeg"
"170010167","Hampshire","Office","Building 150, Farnborough Business Park, 150 O'Gorman Avenue, Hampshire, GU14 7DL","£19,409 pcm","","","","6,211–23,067 sq. ft.","6211","23067","577","2143","Building 150 has undergone an extensive refurbishment, presenting premium office space varying from 6,081 sq ft.","https://www.rightmove.co.uk/properties/170010167#/?channel=COM_LET","2025-12-04T15:35:27Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.285387","-0.759572","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170010167/297368_118064-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170010167/297368_118064-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170010167/297368_118064-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170010167/297368_118064-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170010167/297368_118064-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170010167/297368_118064-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170010167/297368_118064-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170010167/297368_118064-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170010167/297368_118064-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170010167/297368_118064-2_IMG_09_0000_max_476x317.jpeg"
"170010065","Hampshire","Retail Property (high street)","48 St George's Street, Winchester, SO23 8AH","£1,583 pcm","","","","373 sq. ft.","373","373","35","35","To Let - Self-Contained City Centre Retail Unit - 373 sq ft (34.65 sq m)","https://www.rightmove.co.uk/properties/170010065#/?channel=COM_LET","2025-12-04T15:34:31Z","","new","Marketed by Goadsby, Bournemouth - Commercial","","51.063157","-1.314457","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/170010065/88949_337859-2_IMG_00_0000_max_476x317.jpeg"
"170009930","Hampshire","Office","Ascent 1, Farnborough Aerospace Centre, Farnborough, Hampshire, GU14 6XW","£24,765 pcm","","","","10,074 sq. ft.","10074","10074","936","936","GRADE A HQ OFFICE BUILDING SET WITHIN UNRIVALLED LANDSCAPED ENVIROMENT","https://www.rightmove.co.uk/properties/170009930#/?channel=COM_LET","2025-12-04T15:33:44Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.273941","-0.765355","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009930/297368_20320-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009930/297368_20320-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009930/297368_20320-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009930/297368_20320-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009930/297368_20320-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009930/297368_20320-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009930/297368_20320-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009930/297368_20320-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009930/297368_20320-2_IMG_08_0000_max_476x317.jpeg"
"170009663","Hampshire","Office","A1, Cody Technology Park, Old Ively Road, Farnborough, GU14 0LX","£12,331 pcm","","","","4,553 sq. ft.","4553","4553","423","423","OFFICE SPACE AVAILABLE ON A THRIVING TECHNOLOGY CAMPUS","https://www.rightmove.co.uk/properties/170009663#/?channel=COM_LET","2025-12-04T15:31:54Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.280763","-0.791883","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009663/297368_236637-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009663/297368_236637-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009663/297368_236637-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009663/297368_236637-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009663/297368_236637-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009663/297368_236637-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009663/297368_236637-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009663/297368_236637-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009663/297368_236637-2_IMG_08_0000_max_476x317.jpeg"
"170009645","Hampshire","Office","A4, Cody Technology Park, Old Ively Road, Farnborough, GU14 0LX","£389 pcm","","","","173–378 sq. ft.","173","378","16","35","OFFICE SPACE AVAILABLE ON A THRIVING TECHNOLOGY CAMPUS","https://www.rightmove.co.uk/properties/170009645#/?channel=COM_LET","2025-12-04T15:31:32Z","","size_change","Marketed by Hollis Hockley, Basingstoke","","51.280763","-0.791883","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7f785f4f6/170009645/7f785f4f603b0e4a10100581cb5bda61_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3319ffa4e/170009645/3319ffa4ebb5656a8d9c65ce4bc02063_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4b694beda/170009645/4b694beda69cac735c745bf6d39f1a97_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d99defa0c/170009645/d99defa0c88bba0c940b88042c809575_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/68919a102/170009645/68919a10249e77be3804af1024150de0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b8737d126/170009645/b8737d12637d824dcd29b458d4391fc1_max_476x317.jpeg"
"170009609","Hampshire","Office","A8, Cody Technology Park, Old Ively Road, Farnborough, GU14 0LX","£1,359 pcm","","","","604–32,768 sq. ft.","604","32768","56","3044","OFFICE SPACE AVAILABLE ON A THRIVING TECHNOLOGY CAMPUS","https://www.rightmove.co.uk/properties/170009609#/?channel=COM_LET","2025-12-04T15:31:11Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.280763","-0.791883","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009609/297368_236825-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009609/297368_236825-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009609/297368_236825-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009609/297368_236825-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009609/297368_236825-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009609/297368_236825-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009609/297368_236825-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009609/297368_236825-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009609/297368_236825-2_IMG_08_0000_max_476x317.jpeg"
"170009519","Hampshire","Office","A2, Cody Technology Park, Old Ively Road, Farnborough, GU14 0LX","£545 pcm","","","","267–4,884 sq. ft.","267","4884","25","454","OFFICE SPACE AVAILABLE ON A THRIVING TECHNOLOGY CAMPUS","https://www.rightmove.co.uk/properties/170009519#/?channel=COM_LET","2025-12-04T15:30:17Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.280763","-0.791883","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009519/297368_236649-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009519/297368_236649-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009519/297368_236649-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009519/297368_236649-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009519/297368_236649-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009519/297368_236649-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009519/297368_236649-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009519/297368_236649-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/170009519/297368_236649-2_IMG_08_0000_max_476x317.jpeg"
"723056744715440","Hampshire","Light Industrial","Unit 6 Tower Industrial Estate, Tower Lane, Eastleigh, SO50 6NZ","£9,167 pcm","","","","10,505 sq. ft.","10505","10505","976","976","End of Terrace Industrial Unit/Warehouse with Secure Yard on Prime Industrial Estate with proximity to M27 & M3","https://www.rightmove.co.uk/properties/723056744715440#/?channel=COM_LET","2025-12-04T14:56:27Z","","new","Marketed by Realest, Industrial & Logistics","","50.965434","-1.34438","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/723056744715440/229082_345815-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/723056744715440/229082_345815-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/723056744715440/229082_345815-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/723056744715440/229082_345815-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/723056744715440/229082_345815-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/723056744715440/229082_345815-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/723056744715440/229082_345815-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/723056744715440/229082_345815-2_IMG_07_0000_max_476x317.jpeg"
"723056461602128","Hampshire","Commercial Property","Unit 1, 126 Above Bar Street, Southampton, SO14 7DU","£4,167 pcm","","","","1,884 sq. ft.","1884","1884","175","175","TO LET: Southampton City Centre Use Class E COMMERCIAL Unit(1) Approx. GIA 1,884 sqft & guide rent £50,000 pax (£26.60 per sqft overall)","https://www.rightmove.co.uk/properties/723056461602128#/?channel=COM_LET","2025-12-04T14:54:39Z","","new","Marketed by Savills, Southampton - Licensed Leisure","","50.907197","-1.404564","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723056461602128/225509_302396-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723056461602128/225509_302396-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723056461602128/225509_302396-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723056461602128/225509_302396-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723056461602128/225509_302396-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723056461602128/225509_302396-2_IMG_05_0000_max_476x317.jpeg"
