id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"721601687985521","Harlow","Office","KAO Park Two, London Road, Harlow, CM17 9NA","£25,000 pcm","","","","3,750–15,000 sq. ft.","3750","15000","348","1394","Office To Let, Harlow","https://www.rightmove.co.uk/properties/721601687985521#/?channel=COM_LET","2025-11-26T11:49:09Z","","new","Marketed by Derrick Wade Waters, Office and Retail","","51.770531","0.128435","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721601687985521/55980_69057-2_IMG_19_0000_max_476x317.jpeg"
"723088742977888","Harlow","Retail Property (high street)","Unit 62 The Harvey Centre, Harlow, CM20 1XR","£1,667 pcm","","","","1,425 sq. ft.","1425","1425","132","132","Shopping Centre unit for lease on the first floor level of the Harvey Centre in Harlow.","https://www.rightmove.co.uk/properties/723088742977888#/?channel=COM_LET","2025-12-04T16:33:03Z","","new","Marketed by Brasier Freeth, London","","51.769386","0.09256","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723088742977888/254312_276458-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723088742977888/254312_276458-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723088742977888/254312_276458-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723088742977888/254312_276458-2_IMG_03_0000_max_476x317.jpeg"
"723088673825776","Harlow","Retail Property (Shopping Centre)","Unit 25 The Harvey Centre, Harlow, CM20 1XW","£2,917 pcm","","","","1,468 sq. ft.","1468","1468","136","136","Shopping Centre unit for lease on the lower level of the Harvey Centre in Harlow.","https://www.rightmove.co.uk/properties/723088673825776#/?channel=COM_LET","2025-12-04T16:33:05Z","","new","Marketed by Brasier Freeth, London","","51.769264","0.093991","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723088673825776/254312_276452-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723088673825776/254312_276452-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723088673825776/254312_276452-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723088673825776/254312_276452-2_IMG_03_0000_max_476x317.jpeg"
"723061280798449","Harlow","Retail Property (high street)","Unit 63 The Harvey Centre, Harlow, CM20 1XR","£2,917 pcm","","","","1,958 sq. ft.","1958","1958","182","182","Shopping Centre unit to let on the first floor of the Harvey Centre, Harlow.","https://www.rightmove.co.uk/properties/723061280798449#/?channel=COM_LET","2025-12-04T14:56:30Z","","new","Marketed by Brasier Freeth, London","","51.769386","0.09256","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723061280798449/254312_236757-2_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723061280798449/254312_236757-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723061280798449/254312_236757-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723061280798449/254312_236757-2_IMG_03_0000_max_476x317.jpeg"
"723054408488257","Harlow","Mixed Use","MLM Harlow - Unit One, River Way, Harlow, CM20 2EY","POA","","","","110,795 sq. ft.","110795","110795","10293","10293","Coming Soon - MLM Harlow Unit One - 110,795 sq ft available from Q4 2026","https://www.rightmove.co.uk/properties/723054408488257#/?channel=COM_LET","2025-12-04T14:45:10Z","","size_change","Marketed by Savills, Margaret Street - Industrial","","51.79146","0.126745","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723054408488257/214130_272669-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723054408488257/214130_272669-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723054408488257/214130_272669-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/723054408488257/214130_272669-2_IMG_03_0000_max_476x317.jpeg"
"721598743746513","Harlow","Distribution Warehouse","Unit 1 Ash Industrial Estate, Flex Meadow, Harlow, CM19 5TJ","£3,333 pcm","","","","3,738 sq. ft.","3738","3738","347","347","Industrial/warehouse unit on a gated site","https://www.rightmove.co.uk/properties/721598743746513#/?channel=COM_LET","2025-11-26T11:15:52Z","","size_change","Marketed by Derrick Wade Waters, Industrial","","51.762619","0.062731","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598743746513/105212_292716-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598743746513/105212_292716-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/106k/105212/721598743746513/105212_292716-2_IMG_02_0000_max_476x317.jpeg"
"722692584524833","Harlow","Retail Property (Shopping Centre)","Unit 32 The Harvey Centre, Harlow, CM20 1XW","£3,333 pcm","","","","1,635 sq. ft.","1635","1635","152","152","Shopping Centre unit to let on the ground floor of the Harvey Centre, Harlow.","https://www.rightmove.co.uk/properties/722692584524833#/?channel=COM_LET","2025-12-02T12:05:02Z","","new","Marketed by Brasier Freeth, London","","51.769081","0.092966","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692584524833/254312_236691-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692584524833/254312_236691-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692584524833/254312_236691-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692584524833/254312_236691-2_IMG_03_0000_max_476x317.jpeg"
"722692479849905","Harlow","Retail Property (Shopping Centre)","Unit 51-54 The Harvey Centre, Harlow, CM20 1XR","£4,167 pcm","","","","3,850 sq. ft.","3850","3850","358","358","Shopping Centre unit to let on the first floor of the Harvey Centre, Harlow.","https://www.rightmove.co.uk/properties/722692479849905#/?channel=COM_LET","2025-12-02T12:04:02Z","","new","Marketed by Brasier Freeth, London","","51.769386","0.092444","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/172905a2b/722692479849905/172905a2b077149641491a5d5dccdb33_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/39ad5f7d1/722692479849905/39ad5f7d1ce0c9cdb80e71cea2a65949_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7e7772687/722692479849905/7e7772687ce51907f1a290c9b7db9a0b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0016190cb/722692479849905/0016190cb111ccdb85db1fee3665b1f4_max_476x317.jpeg"
"160712090","Harlow","Retail Property (high street)","30c Terminus Street, Harlow, Essex, CM20 1JH","£2,583 pcm","","","","1,389 sq. ft.","1389","1389","129","129","Ground floor premises in shell condition with capped off services in the heart of Harlow Town Centre.","https://www.rightmove.co.uk/properties/160712090#/?channel=COM_LET","2025-04-15T12:57:39Z","","new","Marketed by Strettons, Commercial and Industrial Agency","","51.769559","0.096029","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/03f2c0b78/160712090/03f2c0b78ade5cfe0f7fce902c36899d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/83e8d3ea0/160712090/83e8d3ea0495cb24bb61f339acb95337_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2b977fbef/160712090/2b977fbef61dc443202afdef690ad286_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/719460e68/160712090/719460e68f05997251d13dbadcd192e5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/380809404/160712090/380809404298255ae4990a83d04492b3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/862c7e3ed/160712090/862c7e3edb35bbb6585f69a02e281e23_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/19b97041f/160712090/19b97041f22518940c7ba4b6bb2d90b5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/504091cf9/160712090/504091cf99c232146e5bc32eef385a99_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c51db853b/160712090/c51db853b4de9c3cf14f4a0a03366671_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/574f4ec1b/160712090/574f4ec1beba9fb0c67a9f7c1549876f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/730057c1e/160712090/730057c1e8d5302d90caa87f5ef4186e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b773c2103/160712090/b773c21037a1898b836ab912bb51f6cd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f01ff92fd/160712090/f01ff92fd69c6ca0d747cd9a9e62ca24_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/092478fd3/160712090/092478fd3b606a55f30e1cb6b6bb481f_max_476x317.jpeg"
"721814169382080","Harlow","Office","Part Everbrite House, Greenway, Harlow Business Park, Harlow, CM19 5QJ","£2,000 pcm","","","","1,336 sq. ft.","1336","1336","124","124","Office space","https://www.rightmove.co.uk/properties/721814169382080#/?channel=COM_LET","2025-11-27T15:44:03Z","","size_change","Marketed by Derrick Wade Waters, Office and Retail","","51.767825","0.056343","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721814169382080/55980_332959-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721814169382080/55980_332959-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721814169382080/55980_332959-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721814169382080/55980_332959-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721814169382080/55980_332959-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721814169382080/55980_332959-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721814169382080/55980_332959-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721814169382080/55980_332959-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721814169382080/55980_332959-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/56k/55980/721814169382080/55980_332959-2_IMG_09_0000_max_476x317.jpeg"
