id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169892261","Hart","Warehouse","Bartley Junction, Hook, Hampshire, RG27 9ER","POA","","","","10,007–30,492 sq. ft.","10007","30492","930","2833","A New, 11 Unit Industrial / Warehouse Development Available Now - Individual units from 10,007 to 20,685 sq ft with ability to combine","https://www.rightmove.co.uk/properties/169892261#/?channel=COM_LET","2025-12-01T17:22:40Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.278565","-0.951974","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169892261/297368_131283-2_IMG_10_0000_max_476x317.jpeg"
"169924532","Hart","Retail Property (high street)","Bridge House, 27-31 Reading Road South, Fleet, GU52 7QP","£2,500 pcm","","","","1,500–3,500 sq. ft.","1500","3500","139","325","Showroom / Retail Offices in central Fleet.","https://www.rightmove.co.uk/properties/169924532#/?channel=COM_LET","2025-12-02T15:15:09Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.277424","-0.842582","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924532/297368_150713-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169924532/297368_150713-2_IMG_01_0000_max_476x317.jpeg"
"169923989","Hart","Warehouse","17c Murrell Green Business Park, London Road, Hook, RG27 9GR","£30,000 pcm","","","","2,193 sq. ft.","2193","2193","204","204","Modern industrial unit on established Business Park","https://www.rightmove.co.uk/properties/169923989#/?channel=COM_LET","2025-12-02T15:07:22Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.289404","-0.934986","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923989/297368_223727-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923989/297368_223727-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923989/297368_223727-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923989/297368_223727-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923989/297368_223727-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923989/297368_223727-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923989/297368_223727-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923989/297368_223727-2_IMG_07_0000_max_476x317.jpeg"
"169923959","Hart","Warehouse","Unit 16, Murrell Green Business Park, Hook, RG27 9GR","£1,667 pcm","","","","1,900 sq. ft.","1900","1900","177","177","Extremely well-presented two-storey business unit on modern scheme","https://www.rightmove.co.uk/properties/169923959#/?channel=COM_LET","2025-12-02T15:06:53Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.289514","-0.935003","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fcb32b838/169923959/fcb32b838d2416e504e55f45d8cdda14_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/523cca8d8/169923959/523cca8d8d5fc2c0c52425c49d66e18d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/47813d600/169923959/47813d6001ff6ded2b899ec5c2782227_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b1ea8dcc3/169923959/b1ea8dcc3d77773efbdbb43c3f068e44_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dd098b77c/169923959/dd098b77ca76d7b6cea75bd9d878fdb9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ad24b4fde/169923959/ad24b4fde2daa0c598f38d7141b453e8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7f90a1efe/169923959/7f90a1efe78b8d8e2f01e95d245ad4fd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dca80f9f8/169923959/dca80f9f87563265983b96408362f6f1_max_476x317.jpeg"
"169923905","Hart","Office","Suite 7 Crown House, High Street, Hartley Wintney, RG27 8NW","£2,229 pcm","","","","1,783 sq. ft.","1783","1783","166","166","Attractive character office suite in village location","https://www.rightmove.co.uk/properties/169923905#/?channel=COM_LET","2025-12-02T15:06:07Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.30675","-0.898968","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923905/297368_20321-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923905/297368_20321-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923905/297368_20321-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923905/297368_20321-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923905/297368_20321-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169923905/297368_20321-2_IMG_05_0000_max_476x317.jpeg"
"169921379","Hart","Office","Suite 4, Crown House, Hartley Wintney, RG27 8NW","£1,250 pcm","","","","1,076 sq. ft.","1076","1076","100","100","Well presented, attractive suite in central location","https://www.rightmove.co.uk/properties/169921379#/?channel=COM_LET","2025-12-02T14:28:44Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.307619","-0.899158","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921379/297368_20481-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921379/297368_20481-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921379/297368_20481-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921379/297368_20481-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921379/297368_20481-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921379/297368_20481-2_IMG_05_0000_max_476x317.jpeg"
"169921340","Hart","Retail Property (high street)","Prospect House, 188 Beacon HIll Road, Church Crookham, Fleet, GU10 5BZ","£1,917 pcm","","","","951 sq. ft.","951","951","88","88","Refurbished Class E unit in prominent location","https://www.rightmove.co.uk/properties/169921340#/?channel=COM_LET","2025-12-02T14:28:04Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.263276","-0.826886","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921340/297368_302461-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921340/297368_302461-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921340/297368_302461-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921340/297368_302461-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921340/297368_302461-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921340/297368_302461-2_IMG_05_0000_max_476x317.jpeg"
"169921259","Hart","Retail Property (high street)","The Lodge, High Street, Hartley Wintney, RG27 8NY","£2,500 pcm","","","","815 sq. ft.","815","815","76","76","Character Class E Office / Retail Unit in heart of village centre with private car park","https://www.rightmove.co.uk/properties/169921259#/?channel=COM_LET","2025-12-02T14:26:39Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.306783","-0.898784","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921259/297368_317508-2_IMG_10_0000_max_476x317.jpeg"
"169921103","Hart","Office","51 Clarence Road, Fleet, GU51 3RY","POA","","","","435–1,275 sq. ft.","435","1275","40","118","Flexible office spaces","https://www.rightmove.co.uk/properties/169921103#/?channel=COM_LET","2025-12-02T14:24:59Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.281851","-0.83759","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921103/297368_20403-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921103/297368_20403-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921103/297368_20403-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921103/297368_20403-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921103/297368_20403-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921103/297368_20403-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921103/297368_20403-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169921103/297368_20403-2_IMG_07_0000_max_476x317.jpeg"
"169920809","Hart","Office","The Garden House, High Street, Hartley Wintney, RG27 8NY","£750 pcm","","","","184 sq. ft.","184","184","17","17","Self-contained office building in convenient central village location with car parking space","https://www.rightmove.co.uk/properties/169920809#/?channel=COM_LET","2025-12-02T14:18:42Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.305732","-0.90091","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169920809/297368_299407-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169920809/297368_299407-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169920809/297368_299407-2_IMG_02_0000_max_476x317.jpeg"
