id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"721783150563665","Havering","Distribution Warehouse","Arion House, Fairview Industrial Park, Rainham, Rainham, RM13 8UH","POA","","","","PRIME GREATER LONDON LAST MILE INDUSTRIAL OPPORTUNITY TO LET/MAY SELL","https://www.rightmove.co.uk/properties/721783150563665#/?channel=COM_LET","2025-11-27T12:08:10Z","","new","Marketed by M1 Agency LLP, London","","51.512015","0.171957","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783150563665/287471_118590-2_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783150563665/287471_118590-2_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287471/721783150563665/287471_118590-2_IMG_02_0000_max_476x317.png"
"169916156","Havering","Office","32C The Old Brickworks, Church Road, Romford, RM3 0JA","£767 pcm","","","","Office space in the heart of The Old Brickworks Industrial Estate","https://www.rightmove.co.uk/properties/169916156#/?channel=COM_LET","2025-12-02T12:57:45Z","","new","Marketed by MJM Property Consultants, Essex","","51.596902","0.240772","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169916156/293924_345558-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169916156/293924_345558-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293924/169916156/293924_345558-2_IMG_02_0000_max_476x317.jpeg"
"169897874","Havering","Commercial Property","Bates Business Centre, Church Road","£1,392 pcm","","","","This STORAGE/OFFICE SUITE forms part of the BATES BUSINESS CENTRE which has easy access to the A12, M25 and HAROLD WOOD STATION. The unit is open plan with it's OWN KITCHENETTE, TWO WC's and an OFFICE/STORE ROOM. ","https://www.rightmove.co.uk/properties/169897874#/?channel=COM_LET","2025-12-02T00:54:57Z","","new","Marketed by Delaney's, Commercial","","51.596292","0.240171","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169897874/174500_CL0039_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169897874/174500_CL0039_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169897874/174500_CL0039_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169897874/174500_CL0039_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169897874/174500_CL0039_IMG_04_0000_max_476x317.jpeg"
"168042899","Havering","Office","Faber House, Eastern Road, Romford, London, RM1","£3,999 pcm","","","2","Fully furnished, newly refurbished 3rd-floor office suite in Faber House, Romford. 1,750 sq ft with open-plan workspace, 3 private offices, kitchen, and shower suites. Just 50m from Romford Station. Modern, secure, and move-in ready. Enquire today","https://www.rightmove.co.uk/properties/168042899#/?channel=COM_LET","2025-10-21T15:18:23Z","","new","Marketed by OMG ProLET, Romford","","51.57558","0.18495","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295532/168042899/295532_skehferhh_IMG_20_0000_max_476x317.jpeg"
"169757891","Havering","Commercial Property","Elms Industrial Estate, Church Road","£3,500 pcm","","","","This TWO STOREY UNIT has TWO WAREHOUSES, THREE OFFICES, TWO KITCHENS and is located within a mile radius of HAROLD WOOD STATION with easy access to the A12, A127 and M25. Call our commercial department for lease details.","https://www.rightmove.co.uk/properties/169757891#/?channel=COM_LET","2025-11-27T01:14:48Z","","new","Marketed by Delaney's, Commercial","","51.599159","0.246586","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169757891/174500_CL0241_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169757891/174500_CL0241_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169757891/174500_CL0241_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169757891/174500_CL0241_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169757891/174500_CL0241_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169757891/174500_CL0241_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169757891/174500_CL0241_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169757891/174500_CL0241_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/175k/174500/169757891/174500_CL0241_IMG_08_0000_max_476x317.jpeg"
"719326561257697","Havering","Office","St James House, 27-43 Eastern Avenue, Romford, RM1 3NH","£4,200 pcm","","","","Serviced Office Suites in Romford - Suitable for small, medium and larger businesses / occupiers","https://www.rightmove.co.uk/properties/719326561257697#/?channel=COM_LET","2025-11-13T22:14:03Z","","size_change","Marketed by SMC Brownill Vickers, South Yorkshire","","51.587734","0.174147","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719326561257697/215657_337403-2_IMG_11_0000_max_476x317.jpeg"
"719280807692417","Havering","Office","Ceme, Marsh Way, Rainham, RM13 8EU","£24,601 pcm","","","","High quality space office / business space available on all inclusive flexible terms in Rainham, Havering","https://www.rightmove.co.uk/properties/719280807692417#/?channel=COM_LET","2025-11-13T16:11:05Z","","size_change","Marketed by SMC Brownill Vickers, South Yorkshire","","51.517302","0.173536","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_00_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_01_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_02_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_03_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_04_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_05_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_06_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_07_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_08_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_09_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_10_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_11_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_12_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_13_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_14_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_15_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_16_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_17_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_18_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_19_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_20_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_21_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_22_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_24_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_23_0005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_25_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719280807692417/215657_194995-2_IMG_26_0005_max_476x317.jpeg"
"719279356464848","Havering","Office","Essex House, 15 Station Road, Upminster, RM14 2SJ","£3,030 pcm","","","","Attractive Office Suites located close to Upminster Underground and Overground Station","https://www.rightmove.co.uk/properties/719279356464848#/?channel=COM_LET","2025-11-13T15:59:02Z","","size_change","Marketed by SMC Brownill Vickers, South Yorkshire","","51.557034","0.248729","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719279356464848/215657_26232-2_IMG_13_0000_max_476x317.jpeg"
"169697414","Havering","Office","North Street, Hornchurch, RM11","£1,950 pcm","Fixed Price","","1","Prime commercial property for rent in Hornchurch, RM11, available at £1950.00 with an £8000 premium. This versatile space offers parking and easy access to supermarkets, public transport, dining options, shopping centers, healthcare facilities, fitness clubs, nightlife spots, and leis...","https://www.rightmove.co.uk/properties/169697414#/?channel=COM_LET","2025-11-25T14:20:54Z","","new","Marketed by Alan Jacob Estates, Hornchurch","","51.5678","0.220273","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278522/169697414/278522_119_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278522/169697414/278522_119_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278522/169697414/278522_119_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278522/169697414/278522_119_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/279k/278522/169697414/278522_119_IMG_04_0000_max_476x317.jpeg"
"169694354","Havering","Shop","St. Marys Lane, Upminster, RM14","£1,666 pcm","","","","In approx. 532 sq.ft. overall and suitable for a variety of uses. Nearby occupiers include Superdrug, Boots, Prezzo, Pizza Express, Holland & Barrett, with Waitrose only 50 yards away. Immediate possession available STS.","https://www.rightmove.co.uk/properties/169694354#/?channel=COM_LET","2025-11-25T13:34:06Z","","new","Marketed by Dedman Gray Property Consultants Limited, Thorpe Bay","","51.55612","0.25203","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169694354/208157_DBS250064_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169694354/208157_DBS250064_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169694354/208157_DBS250064_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169694354/208157_DBS250064_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169694354/208157_DBS250064_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169694354/208157_DBS250064_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169694354/208157_DBS250064_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169694354/208157_DBS250064_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169694354/208157_DBS250064_L_IMG_08_0000_max_476x317.jpeg"
