id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"144688097","Hertfordshire","Office","Limelight, Borehamwood, WD6 1JH","£9,815 pcm","From","","","3,365–21,930 sq. ft.","3365","21930","313","2037","Limelight is a high quality and flexible office complex situated in Borehamwood.","https://www.rightmove.co.uk/properties/144688097#/?channel=COM_LET","2024-02-13T16:12:55Z","","size_change","Marketed by Bray Fox Smith Ltd, London","","51.659115","-0.253798","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91417/144688097/91417_19949-2_IMG_10_0000_max_476x317.jpeg"
"723053045341761","Hertfordshire","Pub","Albans Well, 55 St. Peters Street, St. Albans, AL1 3DY","POA","","","","5,730 sq. ft.","5730","5730","532","532","LEASEHOLD PUBLIC HOUSE AVAILABLE BY WAY OF LEASE ASSIGNMENT IN MODERN MIXED-USE DEVELOPMENT","https://www.rightmove.co.uk/properties/723053045341761#/?channel=COM_LET","2025-12-04T14:13:06Z","","new","Marketed by Savills, Margaret Street - Licensed Leisure","","51.75365","-0.33726","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/723053045341761/225521_211481-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/723053045341761/225521_211481-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/723053045341761/225521_211481-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/723053045341761/225521_211481-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/723053045341761/225521_211481-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/723053045341761/225521_211481-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/723053045341761/225521_211481-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/723053045341761/225521_211481-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/723053045341761/225521_211481-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/723053045341761/225521_211481-2_IMG_09_0000_max_476x317.jpeg"
"169999937","Hertfordshire","Office","Icknield Way, Letchworth Garden City, SG6","£1,458 pcm","","","","","","","","","Suite of first floor offices within this modern industrail building. 3 Rooms of about 859 Sq. Ft. (NIA) avlaible on flexible All inclusive terms. Parking and shared facilities.","https://www.rightmove.co.uk/properties/169999937#/?channel=COM_LET","2025-12-04T13:31:33Z","","new","Marketed by Satchells Commercial, Herts & Beds","","51.984644","-0.2192","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169999937/267878_29762105_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169999937/267878_29762105_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169999937/267878_29762105_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169999937/267878_29762105_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169999937/267878_29762105_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169999937/267878_29762105_IMG_05_0000_max_476x317.jpeg"
"169998998","Hertfordshire","Office","Icknield Way, Letchworth Garden City, SG6","£2,208 pcm","","","","","","","","","A suite of 4 offices on the first floor of this modern industrail unit. Flexible terms. All inclusive rent","https://www.rightmove.co.uk/properties/169998998#/?channel=COM_LET","2025-12-04T13:17:02Z","","new","Marketed by Satchells Commercial, Herts & Beds","","51.984637","-0.219152","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169998998/267878_29761598_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169998998/267878_29761598_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169998998/267878_29761598_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169998998/267878_29761598_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169998998/267878_29761598_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169998998/267878_29761598_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169998998/267878_29761598_IMG_06_0000_max_476x317.jpeg"
"169997909","Hertfordshire","Office","Icknield Way, Letchworth Garden City, SG6","£2,583 pcm","","","","","","","","","A suite of ground floor offices within this modern industrial building . Avalible on flexible terms  with ALL INCLUSIVE rent","https://www.rightmove.co.uk/properties/169997909#/?channel=COM_LET","2025-12-04T13:02:23Z","","new","Marketed by Satchells Commercial, Herts & Beds","","51.98465","-0.219232","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169997909/267878_29761388_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169997909/267878_29761388_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169997909/267878_29761388_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169997909/267878_29761388_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169997909/267878_29761388_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169997909/267878_29761388_IMG_05_0000_max_476x317.jpeg"
"169997000","Hertfordshire","Light Industrial","Icknield Way, Letchworth Garden City, SG6","£5,417 pcm","","","","","","","","","Modern warehouse / industrial unit of about 12,023 Sq. Ft. (GIA)  predominately opne plan with roller shutter doors and shared kitchen and toilet facilities. Located in a secure development with parking. Potential to iclude office space with the warehouse or building.","https://www.rightmove.co.uk/properties/169997000#/?channel=COM_LET","2025-12-04T12:50:43Z","","new","Marketed by Satchells Commercial, Herts & Beds","","51.984667","-0.219178","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/793da9109/169997000/793da9109170c629da275cf6640104c4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/05916702e/169997000/05916702ed8601fc25625af4aa04e15f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2bccf27b4/169997000/2bccf27b4cb377735dbfb7369fae8910_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a9ce80ca1/169997000/a9ce80ca1ae9865d54b089b0cac5450e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/82eb0dd67/169997000/82eb0dd679c764947a9fe40fa2cb3511_max_476x317.jpeg"
"169990520","Hertfordshire","Light Industrial","Icknield Way, Letchworth Garden City, SG6","£7,500 pcm","","","","","","","","","Modern Light Industrial unit of about 17,747 Sq. Ft. Production area and associated office suites on ground and first floor. Roller shutter door, mezzanines and parking on site. Security entry. CCTV.","https://www.rightmove.co.uk/properties/169990520#/?channel=COM_LET","2025-12-04T11:23:33Z","","new","Marketed by Satchells Commercial, Herts & Beds","","51.984674","-0.21884","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169990520/267878_29760867_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169990520/267878_29760867_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169990520/267878_29760867_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169990520/267878_29760867_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267878/169990520/267878_29760867_IMG_04_0000_max_476x317.jpeg"
"723034426696144","Hertfordshire","Office","Charter Court, 74-78 Victoria Street, St Albans, AL1 3XH","£42,569 pcm","","","","14,595 sq. ft.","14595","14595","1356","1356","Air- Conditioned Office Building With 39 On Site Parking Spaces TO BE LET","https://www.rightmove.co.uk/properties/723034426696144#/?channel=COM_LET","2025-12-04T09:21:46Z","","new","Marketed by DCPC Commercial, Pinner","","51.750842","-0.333545","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/723034426696144/82557_345576-2_IMG_12_0000_max_476x317.jpeg"
"87314751","Hertfordshire","Industrial Park","7 Chancerygate Business Centre, Whiteleaf Road, Hemel Hempstead, Hertfordshire","£4,417 pcm","","","","3,019 sq. ft.","3019","3019","280","280","The space comprises a mid-terraced warehouse with first floor offices available to let on a new lease. The space benefits from a conveyor belt for loading the upper floors as well as a full height loading door. There are 2 mezzanine storage floors of 1,750 sq ft & 1,500 sq ft available if requir...","https://www.rightmove.co.uk/properties/87314751#/?channel=COM_LET","2025-10-14T15:35:54Z","","size_change","Marketed by Aitchison Raffety, St. Albans","","51.739967","-0.478419","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/87314751/287567_103863LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/87314751/287567_103863LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/87314751/287567_103863LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/87314751/287567_103863LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287567/87314751/287567_103863LH_IMG_04_0000_max_476x317.jpeg"
"169966034","Hertfordshire","Distribution Warehouse","Watford Works, Tolpits Lane, Watford, WD18","POA","","","","7,543–40,152 sq. ft.","7543","40152","701","3730","Brand new high quality industrial / logistics warehouse development - Available Q4 2026 Watford Works sets the benchmark for flexible, ESG-compliant industrial and logistics space - designed to future-proof your operations and empower sustainable growth. Units can be combined to provide sizes...","https://www.rightmove.co.uk/properties/169966034#/?channel=COM_LET","2025-12-03T15:32:07Z","","new","Marketed by Knight Frank, Logistics and Industrial - Commercial","","51.639703","-0.428642","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/23e0619f7/169966034/23e0619f7e94bc85358e865301bc286b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cbd042c3b/169966034/cbd042c3bef9427b75033d972b460715_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3fa81c8f9/169966034/3fa81c8f9fd4bb453d8d0a710e9a6766_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c46fc18ad/169966034/c46fc18ad460e2f3375ddcc252ee00cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/86fba06d0/169966034/86fba06d0b5d347ecb83c8f098fb5f70_max_476x317.jpeg"
