id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"163681136","Hounslow","Office","The Mille, 1000 Great West Road, Brentford, TW8 9DW","£564 pcm","From","","","282–37,000 sq. ft.","282","37000","26","3437","Grade A flexible offices/workspace in landmark building, fitted or non-fitted with parking, rail and underground access from 280 sq ft","https://www.rightmove.co.uk/properties/163681136#/?channel=COM_LET","2025-06-23T14:59:22Z","","new","Marketed by Lambourn Commercial, London","","51.48878","-0.313595","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/163681136/291179_152632-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/163681136/291179_152632-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/163681136/291179_152632-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/163681136/291179_152632-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/163681136/291179_152632-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/163681136/291179_152632-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/163681136/291179_152632-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/163681136/291179_152632-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/163681136/291179_152632-2_IMG_08_0000_max_476x317.jpeg"
"722868955196880","Hounslow","Retail Property (high street)","Adjacent to Turnham Green Station, 2 Bedford Park Corner, Turnham Green Terrace, London, W4 1LS","£7,500 pcm","","","","1,915 sq. ft.","1915","1915","178","178","Exceptional retail opportunity adjacent to Turnham Green Terrace tube station NB. Established retailers only","https://www.rightmove.co.uk/properties/722868955196880#/?channel=COM_LET","2025-12-03T11:49:07Z","","new","Marketed by Whitman & Co Commercial, London","","51.495486","-0.255046","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868955196880/285740_288030-2_IMG_00_0000_max_476x317.jpeg"
"169934822","Hounslow","Retail Property (high street)","High Street, Hounslow","£6,250 pcm","","","","1,828 sq. ft.","1828","1828","170","170","Hiltons Estates are pleased to offer a prime commercial premises on High Street Hounslow, just off Kingsley Road. Situated in a busy mixed-use parade and within a five-minute walk of Hounslow East Underground and the Bus Garage, the property benefits from excellent footfall and strong local trade...","https://www.rightmove.co.uk/properties/169934822#/?channel=COM_LET","2025-12-02T17:48:19Z","","new","Marketed by Hiltons Estates, Broadway Southall","","51.47044","-0.35578","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263948/169934822/263948_102736004233_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263948/169934822/263948_102736004233_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263948/169934822/263948_102736004233_IMG_02_0000_max_476x317.jpeg"
"722868984385153","Hounslow","Retail Property (high street)","104-108 Chiswick High Road, Chiswick, London, W4 1PU","£14,583 pcm","","","","4,583 sq. ft.","4583","4583","426","426","Flagship Chiswick showroom to let Offers are sought from established retailers or other suitable uses","https://www.rightmove.co.uk/properties/722868984385153#/?channel=COM_LET","2025-12-03T11:50:09Z","","new","Marketed by Whitman & Co Commercial, London","","51.492898","-0.25158","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868984385153/285740_333089-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868984385153/285740_333089-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868984385153/285740_333089-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868984385153/285740_333089-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868984385153/285740_333089-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868984385153/285740_333089-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868984385153/285740_333089-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722868984385153/285740_333089-2_IMG_07_0000_max_476x317.jpeg"
"155411192","Hounslow","Serviced Office","1000 Great West Road, The Mille, London","£300 pcm","From","","","50–600 sq. ft.","50","600","5","56","This ultra-modern building comprises coworking and office spaces to let in West London, in a prestigious business area with on-site car parking. The location of the building is close to a ra...","https://www.rightmove.co.uk/properties/155411192#/?channel=COM_LET","2024-11-27T06:31:06Z","","size_change","Marketed by Office Freedom, Office Freedom Regional","","51.48878","-0.31357","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237641/155411192/237641_14604-1_IMG_11_0000_max_476x317.jpeg"
"722869001376753","Hounslow","Retail Property (high street)","19 Devonshire Road, Chiswick, London, W4 2EU","£3,750 pcm","","","","954–1,123 sq. ft.","954","1123","89","104","Prominent corner retail unit in Chiswick's trendy Devonshire Road to let on new lease Suitable for range of Class E uses","https://www.rightmove.co.uk/properties/722869001376753#/?channel=COM_LET","2025-12-03T11:50:06Z","","new","Marketed by Whitman & Co Commercial, London","","51.491623","-0.255764","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722869001376753/285740_336506-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722869001376753/285740_336506-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722869001376753/285740_336506-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722869001376753/285740_336506-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722869001376753/285740_336506-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722869001376753/285740_336506-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722869001376753/285740_336506-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722869001376753/285740_336506-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722869001376753/285740_336506-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285740/722869001376753/285740_336506-2_IMG_09_0000_max_476x317.jpeg"
"159840983","Hounslow","Distribution Warehouse","Unit 18, Heston Industrial Mall, Church Road, Hounslow, TW5 0LD","POA","","","","2,484 sq. ft.","2484","2484","231","231","Industrial / Warehouse Units Totalling Around c.5,000 sq ft With 6,880 sq ft Yard","https://www.rightmove.co.uk/properties/159840983#/?channel=COM_LET","2025-03-26T12:24:23Z","","size_change","Marketed by JLL, Stockley Park - Industrial","","51.484522","-0.374574","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/159840983/259241_290671-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/159840983/259241_290671-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/159840983/259241_290671-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/159840983/259241_290671-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/159840983/259241_290671-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/159840983/259241_290671-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/159840983/259241_290671-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/159840983/259241_290671-2_IMG_07_0000_max_476x317.jpeg"
"157753622","Hounslow","Warehouse","V13 Vector Park, Forest Road, Feltham, TW13 7EJ","POA","","","","4,573 sq. ft.","4573","4573","425","425","Fully Refurbished Modern Industrial/Warehouse Unit In A Key Heathrow Location","https://www.rightmove.co.uk/properties/157753622#/?channel=COM_LET","2025-02-04T12:41:41Z","","new","Marketed by JLL, Stockley Park - Industrial","","51.440381","-0.402012","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/157753622/259241_232399-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/157753622/259241_232399-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/260k/259241/157753622/259241_232399-2_IMG_02_0000_max_476x317.jpeg"
"169169372","Hounslow","Warehouse","Unit 10, Set Star Estate, Transport Avenue, Brentford, TW8 9HF","£3,050 pcm","","","","1,144 sq. ft.","1144","1144","106","106","West London warehouse to let with car parking and roller shutter loading door located near A4 Great West Road in Brentford","https://www.rightmove.co.uk/properties/169169372#/?channel=COM_LET","2025-11-10T10:28:50Z","","new","Marketed by Vokins, London","","51.490477","-0.321878","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169169372/286220_72812-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169169372/286220_72812-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169169372/286220_72812-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169169372/286220_72812-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169169372/286220_72812-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169169372/286220_72812-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169169372/286220_72812-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169169372/286220_72812-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/169169372/286220_72812-2_IMG_08_0000_max_476x317.jpeg"
"168764411","Hounslow","Commercial Property","Feltham, Greater London, TW14","£2,000 pcm","Guide Price","","1","1,051 sq. ft.","1051","1051","98","98","Galaxy Real Estate Presents A Spacious Space Available To Accommodate Many Trades In Feltham TW14.","https://www.rightmove.co.uk/properties/168764411#/?channel=COM_LET","2025-10-29T17:56:43Z","","price_reduced","Marketed by GALAXY REAL ESTATE LIMITED, Hayes","","51.4483","-0.412891","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/168764411/257963_2874_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/168764411/257963_2874_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/168764411/257963_2874_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/168764411/257963_2874_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/168764411/257963_2874_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/168764411/257963_2874_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/168764411/257963_2874_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257963/168764411/257963_2874_IMG_17_0000_max_476x317.jpeg"
