id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167029766","Isle of Anglesey","Light Industrial","Parc Menter, Amlwch Industrial Estate, Amlwch, Anglesey, LL68 9BX","POA","","","","955–10,000 sq. ft.","955","10000","89","929","Refurbished industrial unit From 955 sq ft to 10,00 sq ft Leasehold - On application","https://www.rightmove.co.uk/properties/167029766#/?channel=COM_LET","2025-09-16T09:26:09Z","","size_change","Marketed by Legat Owen, Chester","","53.406892","-4.348177","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029766/262844_4953LH_IMG_10_0000_max_476x317.jpeg"
"169694711","Isle of Anglesey","Light Industrial","Yard A Trident Business Park , Parc Bryn Cefni, Llangefni, Anglesey LL77 7XA","£3,533 pcm","","","","46,174 sq. ft.","46174","46174","4290","4290","Fenced yard space available at Trident Business Park A Welsh version of the brochure is available upon request.","https://www.rightmove.co.uk/properties/169694711#/?channel=COM_LET","2025-11-25T13:41:06Z","","size_change","Marketed by BA COMMERCIAL, BA Commercial","","53.249294","-4.302466","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169694711/287543_1061LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169694711/287543_1061LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169694711/287543_1061LH_IMG_02_0000_max_476x317.jpeg"
"169694426","Isle of Anglesey","Land","Yard C Trident Business Park , Parc Bryn Cefni, Llangefni, Anglesey LL77 7XA","£2,500 pcm","","","","26,136 sq. ft.","26136","26136","2428","2428","Fenced yard space available at Trident Business Park A Welsh version of the brochure is available upon request.","https://www.rightmove.co.uk/properties/169694426#/?channel=COM_LET","2025-11-25T13:35:11Z","","size_change","Marketed by BA COMMERCIAL, BA Commercial","","53.249294","-4.302466","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169694426/287543_3656LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169694426/287543_3656LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169694426/287543_3656LH_IMG_02_0000_max_476x317.jpeg"
"87135492","Isle of Anglesey","Light Industrial","Yard D Trident Business Park , Parc Bryn Cefni, Llangefni, Anglesey LL77 7XA","£3,500 pcm","","","","45,738 sq. ft.","45738","45738","4249","4249","Fenced yard space available at Trident Business Park A Welsh version of the brochure is available upon request.","https://www.rightmove.co.uk/properties/87135492#/?channel=COM_LET","2025-03-24T16:03:36Z","","price_reduced","Marketed by BA COMMERCIAL, BA Commercial","","53.249294","-4.302466","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/baa11ea1f/87135492/baa11ea1fd11887bb5577ab3d18b2fb3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3dbb3df7d/87135492/3dbb3df7df8b101537b66fd95a0307f7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6ee6914ad/87135492/6ee6914ad1d4684f0cccbaab6c7e796d_max_476x317.jpeg"
"157475306","Isle of Anglesey","Shop","Bulkley Square, Llangefni, Isle of Anglesey, LL77","£1,600 pcm","","","","2,852 sq. ft.","2852","2852","265","265","Substantial retail unit in the town centre","https://www.rightmove.co.uk/properties/157475306#/?channel=COM_LET","2025-01-28T15:32:17Z","","price_reduced","Marketed by Dafydd Hardy Commercial, Gwynedd","","53.25591","-4.310568","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/157475306/241850_COM240110_L_IMG_10_0000_max_476x317.jpeg"
"168733349","Isle of Anglesey","Light Industrial","Unit 1, Cefn Cwmwd, Rhostrehwfa, LLangefni, Ynys Mon","£450 pcm","Fixed Price","","","","","","","","Eiddo is pleased to offer this light industrial unit conveniently located on the outskirsts of Llangefni and within a 5 minute drive from the A55 Mae Eiddo yn falch o gynnig yr uned ddiwydiannol ysgafn yma sydd wedi'i lleoli yn gyfelus yng nghanol Ynys Mon ac o fewn 5 munud i'r A55","https://www.rightmove.co.uk/properties/168733349#/?channel=COM_LET","2025-10-29T09:26:02Z","","new","Marketed by Eiddo Cyf, Wales","","53.243149","-4.345737","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294941/168733349/294941_EHX-40095638_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294941/168733349/294941_EHX-40095638_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294941/168733349/294941_EHX-40095638_IMG_02_0000_max_476x317.png"
"167030090","Isle of Anglesey","Light Industrial","Safle Iard, Trident Parc Busnes, Llangefni, Anglesey, LL77 7XA","£50,000 pcm","From","","","21,780–130,680 sq. ft.","21780","130680","2023","12141","Safle Iard - 0.5 to 3 acer £50,000 yr acer","https://www.rightmove.co.uk/properties/167030090#/?channel=COM_LET","2025-09-16T09:28:21Z","","new","Marketed by Legat Owen, Chester","","53.248938","-4.298081","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030090/262844_5283LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030090/262844_5283LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030090/262844_5283LH_IMG_02_0000_max_476x317.jpeg"
"167030084","Isle of Anglesey","Light Industrial","Yard Space, Trident Business Park, Llangefni, Anglesey, LL77 7XA","£50,000 pcm","From","","","21,780–130,680 sq. ft.","21780","130680","2023","12141","Fenced yard space available at Trident Business Park Yard space - 0.5 to 3 acres Leasehold - £50,000 per acre","https://www.rightmove.co.uk/properties/167030084#/?channel=COM_LET","2025-09-16T09:28:20Z","","new","Marketed by Legat Owen, Chester","","53.248938","-4.298081","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/005e6ec82/167030084/005e6ec82a67d86d0092442ee13d358f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/050db5cd5/167030084/050db5cd5a34c1b90a9c2050d7473187_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/275833446/167030084/275833446ee6ac54f42bbe269c90f3d0_max_476x317.jpeg"
"167030051","Isle of Anglesey","Light Industrial","Yard B Trident Business Park, Llangefni, Anglesey, LL77 7XA","£2,500 pcm","","","","26,136 sq. ft.","26136","26136","2428","2428","Fenced yard space available at Trident Business Park Yard C - 0.6 acres Leasehold - £30,000 per annum","https://www.rightmove.co.uk/properties/167030051#/?channel=COM_LET","2025-09-16T09:28:04Z","","size_change","Marketed by Legat Owen, Chester","","53.248938","-4.298081","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030051/262844_5237LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030051/262844_5237LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030051/262844_5237LH_IMG_02_0000_max_476x317.jpeg"
"167030054","Isle of Anglesey","Light Industrial","Yard D Trident Business Park, Llangefni, Anglesey, LL77 7XA","£3,500 pcm","","","","45,738 sq. ft.","45738","45738","4249","4249","Fenced yard space available at Trident Business Park Yard D - 1.05 acres Leasehold - £42,000 per annum","https://www.rightmove.co.uk/properties/167030054#/?channel=COM_LET","2025-09-16T09:28:06Z","","new","Marketed by Legat Owen, Chester","","53.248938","-4.298081","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030054/262844_5238LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030054/262844_5238LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030054/262844_5238LH_IMG_02_0000_max_476x317.jpeg"
