id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"118952333","Isle of Wight","Retail Property (high street)","43 High Street","£1,667 pcm","","","","A great opportunity to lease a retail unit on Newport High Street. ","https://www.rightmove.co.uk/properties/118952333#/?channel=COM_LET","2022-01-20T11:55:07Z","","size_change","Marketed by Hose Rhodes Dickson, Newport","","50.69986","-1.29494","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/118952333/203909_101276036632_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/118952333/203909_101276036632_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/118952333/203909_101276036632_IMG_02_0000_max_476x317.jpeg"
"169864418","Isle of Wight","Shop","High Street, Sandown","£700 pcm","","","1","LARGE SHOP FRONT - PLENTY OF STORAGE - REAR OUTSIDE SPACE WITH STORE - AVAILABLE NOW - Southernbrook Lettings are excited to bring to the rental market this large shop located on Sandown High Street on the Isle of Wight. This shop compromises of a large shop front with fitted shelving, rear stora...","https://www.rightmove.co.uk/properties/169864418#/?channel=COM_LET","2025-12-01T11:36:57Z","","new","Marketed by Southernbrook, Gosport","","50.654114","-1.154599","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169864418/246737_12793712_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169864418/246737_12793712_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169864418/246737_12793712_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169864418/246737_12793712_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169864418/246737_12793712_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/169864418/246737_12793712_IMG_05_0000_max_476x317.jpeg"
"169694984","Isle of Wight","Retail Property (high street)","141 High Street","£1,542 pcm","","","","A substantial shop available to lease on Ryde High Street.","https://www.rightmove.co.uk/properties/169694984#/?channel=COM_LET","2025-11-25T13:46:10Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.72704","-1.16262","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169694984/203909_101276042364_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169694984/203909_101276042364_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169694984/203909_101276042364_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169694984/203909_101276042364_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169694984/203909_101276042364_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169694984/203909_101276042364_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169694984/203909_101276042364_IMG_06_0000_max_476x317.jpeg"
"169549523","Isle of Wight","Retail Property (high street)","13 Pier Street","£658 pcm","","","","Well-presented shop unit having had a total re fit in recent times","https://www.rightmove.co.uk/properties/169549523#/?channel=COM_LET","2025-11-20T17:27:33Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.59461","-1.20538","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169549523/203909_101276042348_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169549523/203909_101276042348_IMG_01_0000_max_476x317.jpeg"
"169546937","Isle of Wight","Retail Property (high street)","15 Regent Street","£813 pcm","","","","Very well located shop premises in Regent Street, Shanklin's prime retail strip","https://www.rightmove.co.uk/properties/169546937#/?channel=COM_LET","2025-11-20T16:46:59Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.6303","-1.17806","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169546937/203909_101276042342_IMG_00_0000_max_476x317.jpeg"
"169541723","Isle of Wight","Restaurant","Toto's Restaurant","£2,500 pcm","From","","","Restaurant premises located in the centre of Newport in St Thomas Square, catering for circa 60 covers inside","https://www.rightmove.co.uk/properties/169541723#/?channel=COM_LET","2025-11-20T15:26:32Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.6995","-1.29381","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169541723/203909_101276042336_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169541723/203909_101276042336_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169541723/203909_101276042336_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169541723/203909_101276042336_IMG_03_0000_max_476x317.jpeg"
"169502156","Isle of Wight","Office","Offices at Osborne Stable Block","£260 pcm","","","","Three units located in Osborne Stable Block, adjacent to Osborne House are available to rent. Each office unit runs to approximately 11.9m² (128ft²), and has one allocated parking space","https://www.rightmove.co.uk/properties/169502156#/?channel=COM_LET","2025-11-19T16:41:37Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.74911","-1.27492","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169502156/203909_101276042309_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169502156/203909_101276042309_IMG_01_0000_max_476x317.jpeg"
"169446350","Isle of Wight","Office","Ventnor Enterprise","£400 pcm","","","","Extensively refurbished and modernised, with excellent up-to-date office accommodation & retaining some original character","https://www.rightmove.co.uk/properties/169446350#/?channel=COM_LET","2025-11-18T13:36:46Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.59396","-1.20271","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169446350/203909_101276042313_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169446350/203909_101276042313_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169446350/203909_101276042313_IMG_02_0000_max_476x317.jpeg"
"169444517","Isle of Wight","Light Industrial","1st Floor Block C The Apex","£50 pcm","","","","Flexible and versatile space to suit a variety of uses including categories such as Food Use, B1, B2, B8 and class E. Available to lease from £600 per month for ""shell"" specification","https://www.rightmove.co.uk/properties/169444517#/?channel=COM_LET","2025-11-18T12:58:06Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.71254","-1.29376","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169444517/203909_101276042311_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169444517/203909_101276042311_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169444517/203909_101276042311_IMG_02_0000_max_476x317.jpeg"
"169442597","Isle of Wight","Office","Office at Osborne Stable Block","£813 pcm","","","","Located in Osborne Stable Block, adjacent to Osborne House","https://www.rightmove.co.uk/properties/169442597#/?channel=COM_LET","2025-11-18T12:24:20Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.74911","-1.27492","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/23911f21f/169442597/23911f21f467e477ce206b8351600605_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a202a5a99/169442597/a202a5a99b21f2ab5f6a418ec1f318e7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c7da3ff42/169442597/c7da3ff424f9b17dbd0ae7b9d07c499d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/567588e3d/169442597/567588e3def4a803ce231a7dec4f3462_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c4aa1258b/169442597/c4aa1258b4680726718319557395dff4_max_476x317.jpeg"
"169440302","Isle of Wight","Serviced Office","Office 8 Fortis House","£600 pcm","","","","Very smartly presented serviced office in Fortis House on the outskirts of Ryde","https://www.rightmove.co.uk/properties/169440302#/?channel=COM_LET","2025-11-18T11:45:47Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.71262","-1.14547","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169440302/203909_101276042303_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169440302/203909_101276042303_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169440302/203909_101276042303_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169440302/203909_101276042303_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/169440302/203909_101276042303_IMG_04_0000_max_476x317.jpeg"
"166605461","Isle of Wight","Shop","High Street, Brading ","£350 pcm","","","","SHOP AVAILABLE - HIGH STREET LOCATION - AVAILABLE NOW - Southernbrook Lettings are pleased to bring to the rental market this good sized shop located in the High Street of Brading, Isle of Wight. This shop consists of a good sized shop front with large shop windows, and a storage space to the ups...","https://www.rightmove.co.uk/properties/166605461#/?channel=COM_LET","2025-09-04T18:15:31Z","","price_reduced","Marketed by Southernbrook, Gosport","","50.680687","-1.143207","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/166605461/246737_12732093_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/166605461/246737_12732093_IMG_01_0000_max_476x317.jpeg"
"168955067","Isle of Wight","Retail Property (high street)","1 Clifton Buildings","£792 pcm","","","","A rare opportunity to lease a recently renovated unit on in Freshwater Village centre. ","https://www.rightmove.co.uk/properties/168955067#/?channel=COM_LET","2025-11-04T09:41:13Z","","new","Marketed by Hose Rhodes Dickson, Newport","","50.68314","-1.52633","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/168955067/203909_101276042282_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/168955067/203909_101276042282_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/168955067/203909_101276042282_IMG_02_0000_max_476x317.jpeg"
"168910709","Isle of Wight","Shop","Beachfield Road, Sandown","£600 pcm","","","1","LARGE SHOP - PRIME BEACH LOCATION - AVAILABLE NOW - Southernbrook Lettings are excited to bring to the rental market this large shop located in Sandown High Street on the Isle of Wight. This shop consists of a large shop front, good sized kitchen area, and W/C. The shop is located a stones throw ...","https://www.rightmove.co.uk/properties/168910709#/?channel=COM_LET","2025-11-03T10:29:03Z","","new","Marketed by Southernbrook, Gosport","","50.653248","-1.156567","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/168910709/246737_12780075_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/168910709/246737_12780075_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/168910709/246737_12780075_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/168910709/246737_12780075_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/168910709/246737_12780075_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/247k/246737/168910709/246737_12780075_IMG_05_0000_max_476x317.jpeg"
"167644616","Isle of Wight","Retail Property (high street)","177 High Street","£1,167 pcm","","","","Former cafe unit to lease on Ryde High Street.","https://www.rightmove.co.uk/properties/167644616#/?channel=COM_LET","2025-10-01T09:09:27Z","","size_change","Marketed by Hose Rhodes Dickson, Newport","","50.72876","-1.1633","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/167644616/203909_101276042274_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/167644616/203909_101276042274_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203909/167644616/203909_101276042274_IMG_02_0000_max_476x317.jpeg"
"168593105","Isle of Wight","Light Industrial","College Close, Sandown","£1,500 pcm","","","","Quesmap Ltd are pleased to offer this E class unit located in College Close Industrial Estate which is established commercial area north of the town centre. Location Sandown lies on the south east coast of the Isle of Wight about 9 miles south east of Fishborne and 14 miles sou...","https://www.rightmove.co.uk/properties/168593105#/?channel=COM_LET","2025-10-24T16:34:01Z","","new","Marketed by Questmap Ltd, Southampton","","50.661384","-1.150213","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/229k/228761/168593105/228761_34264566_IMG_00_0000_max_476x317.jpeg"
"168581198","Isle of Wight","Commercial Property","Binstead","£333 pcm","","","","A conveniently located office/storage space to rent on the outskirts of Ryde","https://www.rightmove.co.uk/properties/168581198#/?channel=COM_LET","2025-10-24T14:07:57Z","","new","Marketed by BCM Wilson Hill, Isle of Wight","","50.720306","-1.200252","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1108e4fd2/168581198/1108e4fd215d0f97a2bf7e7ec43db980_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a59000d6e/168581198/a59000d6e1e19ac00c9c48544067f2fb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/15f61300e/168581198/15f61300ef0c2be92390ef416fc56ca7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bcd570ee0/168581198/bcd570ee02ad2965197e05ffe45e0e00_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/531d1f06d/168581198/531d1f06d85d276c67e0eb4ff365a518_max_476x317.jpeg"
"168004997","Isle of Wight","Retail Property (high street)","3 East Street, Newport, Isle Of Wight, PO30","£585 pcm","","","","Comprises ground floor retail shop. Available on a new lease with flexible terms.","https://www.rightmove.co.uk/properties/168004997#/?channel=COM_LET","2025-10-08T18:21:46Z","","new","Marketed by Blue Alpine, London","","50.70001","-1.28998","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168004997/230087_3eaststreet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168004997/230087_3eaststreet_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168004997/230087_3eaststreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168004997/230087_3eaststreet_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/168004997/230087_3eaststreet_IMG_04_0000_max_476x317.jpeg"
