id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169827077","Islington","Office","Islington Studios, Marlborough Road, London, N19","£837 pcm","From","","","Located moments away from Archway and Upper Holloway stations, Islington Studios offers you the chance to become one of the first tenants following the exciting redevelopment.","https://www.rightmove.co.uk/properties/169827077#/?channel=COM_LET","2025-11-28T15:29:02Z","","size_change","Marketed by The Workplace Company, London","","51.56621","-0.12234","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169827077/60183_islington-studios_IMG_13_0000_max_476x317.jpeg"
"161026559","Islington","Office","Fourth Floor, Wilson's Corner, 23 Wilson Street, Shoreditch, London, EC2M 2TE","£12,766 pcm","","","","Exceptional, Fully Fitted Office Moments From Liverpool Street & Moorgate Stations","https://www.rightmove.co.uk/properties/161026559#/?channel=COM_LET","2025-04-23T14:43:31Z","","price_reduced","Marketed by Strettons, Commericial Agency- City & City Fringe","","51.519432","-0.085966","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108718/161026559/108718_294942-2_IMG_13_0000_max_476x317.jpeg"
"722721531658241","Islington","Leisure Facility","43 Clerkenwell Road, Farringdon, EC1M 5RS","£2,906 pcm","","","","Open plan 1st floor office available to rent immediately.","https://www.rightmove.co.uk/properties/722721531658241#/?channel=COM_LET","2025-12-02T15:55:04Z","","new","Marketed by Forest Real Estate, London","","51.522262","-0.104602","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a0b79b862/722721531658241/a0b79b862173f86d80f894491d7c338b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fa7f3427a/722721531658241/fa7f3427a3d8111b24ab63f2c811a49b_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/047bf09d4/722721531658241/047bf09d4e53fce6068fc97136723362_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b2ac7816a/722721531658241/b2ac7816a4a178bd08d0031e9b9ed1f9_max_476x317.jpeg"
"169914725","Islington","Office","White Collar Factory, 1 Old Street Yard, London, EC1Y 8AF","£2,010 pcm","From","","","Have your HQ turn heads with a multi-award-winning workspace overlooking London’s Silicon Roundabout, strategically placed within Tech City.","https://www.rightmove.co.uk/properties/169914725#/?channel=COM_LET","2025-12-02T12:43:28Z","","new","Marketed by Daniel Watney Commercial Agents, London","","51.525177","-0.090295","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169914725/255620_345562-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169914725/255620_345562-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169914725/255620_345562-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169914725/255620_345562-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169914725/255620_345562-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169914725/255620_345562-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169914725/255620_345562-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/169914725/255620_345562-2_IMG_07_0000_max_476x317.jpeg"
"722692941040305","Islington","Retail Property (Shopping Centre)","Unit 2C London City Shopping Centre, Cherry Tree Walk, London, EC1Y 8NX","£2,917 pcm","","","","For lease, retail/restaurant premises arranged over ground & first floors within London City Shopping Centre. External seating available","https://www.rightmove.co.uk/properties/722692941040305#/?channel=COM_LET","2025-12-02T12:08:03Z","","new","Marketed by Brasier Freeth, London","","51.521847","-0.092363","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692941040305/254312_236706-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692941040305/254312_236706-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692941040305/254312_236706-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692941040305/254312_236706-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692941040305/254312_236706-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692941040305/254312_236706-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692941040305/254312_236706-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692941040305/254312_236706-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/722692941040305/254312_236706-2_IMG_08_0000_max_476x317.jpeg"
"155490131","Islington","Serviced Office","120 Aldersgate Street, London","£675 pcm","From","","","Attention! It’s time to welcome our new space in the heart of Farringdon. Farringdon’s generous transport links, City of London postcode and distinctive architecture makes for the dream offi...","https://www.rightmove.co.uk/properties/155490131#/?channel=COM_LET","2024-11-28T17:29:06Z","","size_change","Marketed by Office Freedom, London","","51.521221","-0.097617","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/155490131/237980_46229-1_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/155490131/237980_46229-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/155490131/237980_46229-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/155490131/237980_46229-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/155490131/237980_46229-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237980/155490131/237980_46229-1_IMG_05_0000_max_476x317.jpeg"
"169864559","Islington","Office","Straus Haus, 50 Great Sutton Street, London, EC1V","POA","","","","A new 55,000 sq.ft. Clerkenwell HQ reimagined by Piercy & Co, arriving Q1 2026 Set in the heart of Clerkenwell, this c.55,000 sq ft HQ building has been reimagined by Piercy&Company, offering a rare blend of industrial character with 21st Century design. Open light-filled interiors, multiple...","https://www.rightmove.co.uk/properties/169864559#/?channel=COM_LET","2025-12-01T11:39:23Z","","new","Marketed by Knight Frank, London Offices (West End) - Commercial","","51.5237","-0.0998","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169864559/155474_HUB2301216_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169864559/155474_HUB2301216_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169864559/155474_HUB2301216_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169864559/155474_HUB2301216_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169864559/155474_HUB2301216_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169864559/155474_HUB2301216_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169864559/155474_HUB2301216_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169864559/155474_HUB2301216_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169864559/155474_HUB2301216_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169864559/155474_HUB2301216_IMG_09_0000_max_476x317.jpeg"
"87365370","Islington","Shop","Newington Green Road, London","£1,083 pcm","","","","Nestled on the vibrant Newington Green Road in London, this charming shop offers a generous 300 square feet of versatile retail space. The property is ideally situated in a bustling area, making it perfect for a variety of business ventures. With its prime location, this shop benefits from high f...","https://www.rightmove.co.uk/properties/87365370#/?channel=COM_LET","2025-12-01T10:37:44Z","","new","Marketed by Alwyne Estate Agents, London","","51.54689","-0.086784","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/127k/126928/87365370/126928_34333226_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/127k/126928/87365370/126928_34333226_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/127k/126928/87365370/126928_34333226_IMG_02_0000_max_476x317.jpeg"
"87364044","Islington","Serviced Office","York House, 221 Pentonville Road, London, N1 9UZ","£8,150 pcm","From","","","A sustainable, timber-fronted workspace flooded with natural light and spacious outdoor terraces.","https://www.rightmove.co.uk/properties/87364044#/?channel=COM_LET","2025-12-01T10:10:40Z","","new","Marketed by Daniel Watney Commercial Agents, London","","51.530936","-0.117189","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/87364044/255620_345405-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/87364044/255620_345405-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/87364044/255620_345405-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/87364044/255620_345405-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/87364044/255620_345405-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/87364044/255620_345405-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/87364044/255620_345405-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/87364044/255620_345405-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/87364044/255620_345405-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/256k/255620/87364044/255620_345405-2_IMG_09_0000_max_476x317.jpeg"
"155094647","Islington","Office","4 Garrett Street, Clerkenwell, London, EC1Y 0TY","£3,774 pcm","From","","","Newly refurbished office building with great amenities – fully fitted & furnished floors available","https://www.rightmove.co.uk/properties/155094647#/?channel=COM_LET","2024-11-18T14:48:48Z","","size_change","Marketed by Anton Page LLP, Commercial","","51.524208","-0.094286","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fb43ebd29/155094647/fb43ebd29efc967b9696e217fb7bc424_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0931fd05e/155094647/0931fd05e962a250946ea368a84b1d6b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dcb6d63a3/155094647/dcb6d63a3d0e1d64bdf272861be26ad1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ac1db5899/155094647/ac1db5899436b727511dd5187a4d3846_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/caada1ad9/155094647/caada1ad977642c750b42967c179f16e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ac4fb4069/155094647/ac4fb406939443305d7d913d9ac2fae5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/db5e47819/155094647/db5e4781960957f02db09f9ed966eaa7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/de38c5fa9/155094647/de38c5fa9f76fabfa569ee20f63af12b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/381b07627/155094647/381b07627bf9c8aaf1c43190442757ae_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cae0a84a9/155094647/cae0a84a9ffe2511165bdb0b7c5731f4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/145255809/155094647/145255809b3e020077e5929eb46dce13_max_476x317.jpeg"
