id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"83344577","Kensington and Chelsea","Serviced Office","1st Floor, 239 Kensington High Street, London, Greater London, United Kingdom W8 6SN","£951 pcm","From","","4","162–17,250 sq. ft.","162","17250","15","1603","Private workspace for up to 3 in High Street Kensington. Fully flexible, with ergonomic furniture and fast Wi-Fi included.","https://www.rightmove.co.uk/properties/83344577#/?channel=COM_LET","2019-07-16T10:02:25Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.49906","-0.198","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/83344577/129853_UK3ws3089_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/83344577/129853_UK3ws3089_IMG_07_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/83344577/129853_UK3ws3089_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/83344577/129853_UK3ws3089_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/83344577/129853_UK3ws3089_IMG_08_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/83344577/129853_UK3ws3089_IMG_12_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/83344577/129853_UK3ws3089_IMG_09_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/83344577/129853_UK3ws3089_IMG_11_0000_max_476x317.jpg"
"170000384","Kensington and Chelsea","Office","11 Elvaston Place, South Kensington, South Kensington, SW7 5QQ","£3,292 pcm","","","","708 sq. ft.","708","708","66","66","Elegant first-floor office with period features, private balcony and passenger lift to let in South Kensington, SW7","https://www.rightmove.co.uk/properties/170000384#/?channel=COM_LET","2025-12-04T13:38:18Z","","new","Marketed by Frost Meadowcroft LTD, London","","51.497969","-0.181994","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/170000384/265112_338120-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/170000384/265112_338120-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/170000384/265112_338120-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/170000384/265112_338120-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/170000384/265112_338120-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/170000384/265112_338120-2_IMG_05_0000_max_476x317.jpeg"
"723050857881888","Kensington and Chelsea","Mixed Use","Sixty Sloane, 60 Sloane Avenue, London, SW3 3AP","£479,167 pcm","","","","8,000–50,000 sq. ft.","8000","50000","743","4645","SIXTY SLOANE - 43,000 sq ft of Squire & Partners designed, newly refurbished exceptional CAT A office space.","https://www.rightmove.co.uk/properties/723050857881888#/?channel=COM_LET","2025-12-04T12:51:05Z","","new","Marketed by Savills, West End Offices","","51.492917","-0.166901","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/219k/218165/723050857881888/218165_119588-2_IMG_12_0000_max_476x317.png"
"169894490","Kensington and Chelsea","Office","Holbein Gardens, 7 Holbein Place, London, SW1W 8NR","£29,708 pcm","","","","1,550–23,073 sq. ft.","1550","23073","144","2144","26,500 sq ft of outstanding, flexible and sustainable workspace available as a self contained building only Per sq ft £230 - £290 per sq ft Holbein Gardens will be Grosvenor's first ever Net Zero Carbon development. Spanning 26,500 sq ft over ground to five upper floor with t...","https://www.rightmove.co.uk/properties/169894490#/?channel=COM_LET","2025-12-01T18:09:01Z","","size_change","Marketed by Knight Frank, London Offices (West End) - Commercial","","51.492029","-0.155752","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169894490/155474_HUB2580907_IMG_00_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169894490/155474_HUB2580907_IMG_01_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169894490/155474_HUB2580907_IMG_02_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155474/169894490/155474_HUB2580907_IMG_03_0003_max_476x317.jpeg"
"162527066","Kensington and Chelsea","Office","106 Kensington High Street, Kensington, W8 4SG","£16,456 pcm","","","","2,548 sq. ft.","2548","2548","237","237","Exceptional opportunity to lease a fully fitted office on Kensington High Street benefitting from a private terrace.","https://www.rightmove.co.uk/properties/162527066#/?channel=COM_LET","2025-05-28T13:34:52Z","","size_change","Marketed by Frost Meadowcroft LTD, London","","51.501322","-0.193024","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/162527066/265112_300201-2_IMG_11_0000_max_476x317.jpeg"
"169936586","Kensington and Chelsea","Commercial Property","Ladbroke Grove, Kensington and Chelsea, W10","£2,750 pcm","","","1","391 sq. ft.","391","391","36","36","Fully fitted café - ready to trade!Existing turnover over £250K paPrime Ladbroke Grove locationHigh footfall and strong visibility - close to the stationAttractive shopfront with large glazing, and potential for outside seatingAssignment of existing lease, with premiums invitedPassing...","https://www.rightmove.co.uk/properties/169936586#/?channel=COM_LET","2025-12-02T19:00:42Z","","new","Marketed by Armford Estates, W2","","51.517056","-0.209541","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283439/169936586/283439_14501_000089_IMG_00_0000_max_476x317.jpeg"
"169936163","Kensington and Chelsea","Shop","Victoria Grove, Kensington, London","£4,167 pcm","","","","530 sq. ft.","530","530","49","49","Lexingtons are pleased to present this unique retail opportunity situated off the busy Gloucester Road. The shop features a flexible space of 530 sq ft, with its own electric supply and convenient rear access from Albert Mews. The property also includes toilet facilities, making it well-suited fo...","https://www.rightmove.co.uk/properties/169936163#/?channel=COM_LET","2025-12-02T18:37:09Z","","new","Marketed by Lexingtons, London","","51.499122","-0.185314","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275897/169936163/275897_34337390_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275897/169936163/275897_34337390_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275897/169936163/275897_34337390_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275897/169936163/275897_34337390_IMG_03_0000_max_476x317.png"
"169905371","Kensington and Chelsea","Office","Acklam Road, London, W10","£9,000 pcm","","","","3,154 sq. ft.","3154","3154","293","293","Bright, modern studios centered around a beautiful communal atrium, tucked beneath the Westway in vibrant Portobello.","https://www.rightmove.co.uk/properties/169905371#/?channel=COM_LET","2025-12-02T10:09:34Z","","new","Marketed by The Workplace Company, London","","51.52144","-0.20317","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169905371/60183_westbourne-studios_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169905371/60183_westbourne-studios_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169905371/60183_westbourne-studios_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169905371/60183_westbourne-studios_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169905371/60183_westbourne-studios_IMG_04_0000_max_476x317.png"
"169903223","Kensington and Chelsea","Office","Grand Union Studios, Ladbroke Grove, London, W10","£5,762 pcm","","","","2,097–7,119 sq. ft.","2097","7119","195","661","A striking, modern office building in the heart of Ladbroke Grove.","https://www.rightmove.co.uk/properties/169903223#/?channel=COM_LET","2025-12-02T09:41:48Z","","size_change","Marketed by The Workplace Company, London","","51.52566","-0.21468","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169903223/60183_gran-union-studios_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169903223/60183_gran-union-studios_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169903223/60183_gran-union-studios_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169903223/60183_gran-union-studios_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169903223/60183_gran-union-studios_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169903223/60183_gran-union-studios_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169903223/60183_gran-union-studios_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/61k/60183/169903223/60183_gran-union-studios_IMG_07_0000_max_476x317.jpeg"
"138178190","Kensington and Chelsea","Office","87 Lancaster Road, London, W11 1QQ","£3,236 pcm","","","","863–2,440 sq. ft.","863","2440","80","227","Unique building which was originally built in 1990 and designed by Munkenbeck and Marshall architects, with free parking.","https://www.rightmove.co.uk/properties/138178190#/?channel=COM_LET","2023-08-02T10:52:36Z","","size_change","Marketed by Pilcher London, London","","51.516843","-0.208497","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_19_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_21_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_22_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_23_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_24_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_25_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/138178190/76308_62557-2_IMG_29_0000_max_476x317.jpeg"
