id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150378038","Lewisham","Serviced Office","1st floor Romer House, 132 Lewisham High Street, London, United Kingdom SE13 6EE","£579 pcm","From","","4","108–7,216 sq. ft.","108","7216","10","670","Private workspace for up to 2 in Lewisham Riverdale. Fully flexible, with ergonomic furniture and fast Wi-Fi included.","https://www.rightmove.co.uk/properties/150378038#/?channel=COM_LET","2024-07-18T10:28:12Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.46142","-0.01119","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150378038/129853_UK2ws4457_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150378038/129853_UK2ws4457_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150378038/129853_UK2ws4457_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150378038/129853_UK2ws4457_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150378038/129853_UK2ws4457_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150378038/129853_UK2ws4457_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/150378038/129853_UK2ws4457_IMG_01_0000_max_476x317.jpeg"
"170002112","Lewisham","Commercial Property","Sydenham Road, Sydenham, SE26","£1,250 pcm","","","","","","","","","A well-sized LOCK UP SHOP to rent on the popular SYDENHAM ROAD benefitting a large floor area, ON STREET PARKING, a small REAR YARD and more. Offered with a new lease (Term TBC) and a rateable value of £7,000 p.a. Enquire today for an internal viewing.","https://www.rightmove.co.uk/properties/170002112#/?channel=COM_LET","2025-12-04T14:01:00Z","","new","Marketed by CKB Estate Agents, Eltham","","51.427599","-0.039894","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/187k/186113/170002112/186113_CKBE_005628_IMG_15_0000_max_476x317.jpeg"
"164110289","Lewisham","Light Industrial","Units 2B & 3B Juno Way , London, SE14 5RW","£5,423 pcm","","","","2,603–6,669 sq. ft.","2603","6669","242","620","The properties comprise mid terrace steel framed warehouse/industrial units of brick and block construction with external profile steel cladding under a pitched roof. The units benefit from first floor offices, WC facilities and full height shutter door access to the warehouse. Located within 2 ...","https://www.rightmove.co.uk/properties/164110289#/?channel=COM_LET","2025-07-03T11:48:22Z","","size_change","Marketed by USP London, USP London","","51.483672","-0.04573","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/164110289/204890_2231L_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/164110289/204890_2231L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/164110289/204890_2231L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/164110289/204890_2231L_IMG_03_0000_max_476x317.jpeg"
"169790879","Lewisham","Light Industrial","Unit 2B Juno Way, London, SE14 5RW","£5,423 pcm","","","","2,603 sq. ft.","2603","2603","242","242","The property comprises a mid-terrace steel framed warehouse/industrial unit of brick and block construction with external profile steel cladding under a pitched roof. The unit benefits from a first floor office, WC facilities and full height shutter door access to the warehouse. Located within 2...","https://www.rightmove.co.uk/properties/169790879#/?channel=COM_LET","2025-11-27T16:32:21Z","","new","Marketed by USP London, USP London","","51.48304","-0.045382","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169790879/204890_2407L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169790879/204890_2407L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169790879/204890_2407L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169790879/204890_2407L_IMG_03_0000_max_476x317.jpeg"
"169698752","Lewisham","Light Industrial","Unit 10, Enterprise Industrial Estate, Bolina Road, London, SE16 3LF","£1,962 pcm","","","","1,000 sq. ft.","1000","1000","93","93","The property comprises a terrace of industrial units / workshops that were built in 1978. Unit 19 is split over ground and mezzanine level and is s suitable for a number of different light industrial or storage and distribution uses. Loading into the unit is via the up and over roller shutter or ...","https://www.rightmove.co.uk/properties/169698752#/?channel=COM_LET","2025-11-25T14:40:55Z","","new","Marketed by Kalmars Commercial Limited, London","","51.486897","-0.05276","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169698752/271649_8478LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169698752/271649_8478LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169698752/271649_8478LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169698752/271649_8478LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169698752/271649_8478LH_IMG_04_0000_max_476x317.jpeg"
"126376964","Lewisham","Distribution Warehouse","The Hub, 2 Evelyn Street, London, Greater London, SE8 5DQ","POA","","","","3,350–19,863 sq. ft.","3350","19863","311","1845","3 Unit remaining in prime South East London location. The estate comprises 7 terraced industrial warehouse units of which 3 remain. Units within the estate benefit from 6.8m rising to 7.9m eaves height, 7 surface loading doors and Unit 1A comprises a 2-storey workshop area. Externally, there is...","https://www.rightmove.co.uk/properties/126376964#/?channel=COM_LET","2022-08-24T18:38:28Z","","size_change","Marketed by Lambert Smith Hampton, London","","51.489479","-0.042002","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182516/126376964/182516_2049493LH_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182516/126376964/182516_2049493LH_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182516/126376964/182516_2049493LH_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182516/126376964/182516_2049493LH_IMG_04_0002_max_476x317.jpeg"
"169548248","Lewisham","Light Industrial","39 Brookmill Road, London, Greater London","£1,250 pcm","From","","","472 sq. ft.","472","472","44","44","Modern serviced workspaces of various sizes to let in the heart of Deptford with great local amenities, strong transport links and flexible lease terms on offer. See accommodation schedule on page 2 to view the available units. Key features include an accessible lift, meeting rooms and breakout ...","https://www.rightmove.co.uk/properties/169548248#/?channel=COM_LET","2025-11-20T17:05:39Z","","new","Marketed by Acorn Limited, Acorn Commercial","","51.471909","-0.022138","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169548248/83142_36980LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169548248/83142_36980LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169548248/83142_36980LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169548248/83142_36980LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169548248/83142_36980LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169548248/83142_36980LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169548248/83142_36980LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169548248/83142_36980LH_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169548248/83142_36980LH_IMG_08_0000_max_476x317.jpeg"
"169501157","Lewisham","Industrial Park","Unit B6, Trade City Sydenham, Bell Green, London, Greater London SE26 4PR","POA","","","","3,147 sq. ft.","3147","3147","292","292","Modern trade counter units on well established estate. All units are of a steel portal frame construction with glazed frontage to provide excellent natural light.","https://www.rightmove.co.uk/properties/169501157#/?channel=COM_LET","2025-11-19T16:28:08Z","","new","Marketed by SHW, Brighton","","51.431042","-0.033729","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285440/169501157/285440_21755LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285440/169501157/285440_21755LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285440/169501157/285440_21755LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285440/169501157/285440_21755LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285440/169501157/285440_21755LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285440/169501157/285440_21755LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285440/169501157/285440_21755LH_IMG_05_0000_max_476x317.jpeg"
"169483178","Lewisham","Office","Burnt Ash Hill, London, SE12","£2,125 pcm","","","1","656 sq. ft.","656","656","61","61","Modern shop-fronted premises to let formerly used as offices and available under a new lease.","https://www.rightmove.co.uk/properties/169483178#/?channel=COM_LET","2025-11-19T12:13:03Z","","new","Marketed by HNF Property Limited, Croydon","","51.4475","0.01383","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/169483178/287990_37BurntAshHill_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/169483178/287990_37BurntAshHill_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/169483178/287990_37BurntAshHill_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/169483178/287990_37BurntAshHill_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/169483178/287990_37BurntAshHill_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/169483178/287990_37BurntAshHill_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/169483178/287990_37BurntAshHill_IMG_06_0000_max_476x317.png"
"169479455","Lewisham","Office","Creekside, SE8","£650 pcm","","","","201 sq. ft.","201","201","19","19","AVAILABLE NOW, office to lease in flexible terms in Deptford. AMENITIES Artworks Creekside is home to an in-house artisan cafe and roastery with garden access, a football focused bar and a courtyard pizzeria all working alongside other creative-led businesses and exceptional craft...","https://www.rightmove.co.uk/properties/169479455#/?channel=COM_LET","2025-11-19T11:24:20Z","","new","Marketed by HURFORD SALVI CARR, London- Commercial","","51.476407","-0.022332","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283745/169479455/283745_ALC240054_L_IMG_10_0000_max_476x317.jpeg"
