id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169802501","Maldon","Retail Property (high street)","159 High Street, Maldon, Essex, CM9","£2,500 pcm","","","","Comprises large ground floor retail shop. Suitable for variety of uses (Class E). ","https://www.rightmove.co.uk/properties/169802501#/?channel=COM_LET","2025-11-29T10:06:14Z","","new","Marketed by Blue Alpine, London","","51.73025","0.68299","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169802501/230087_159highstreet_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169802501/230087_159highstreet_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169802501/230087_159highstreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169802501/230087_159highstreet_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169802501/230087_159highstreet_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169802501/230087_159highstreet_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169802501/230087_159highstreet_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169802501/230087_159highstreet_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/169802501/230087_159highstreet_IMG_08_0000_max_476x317.jpeg"
"169811027","Maldon","Retail Property (out of town)","Washington Road, Maldon, CM9","£875 pcm","","","","LOCK UP SHOP APPROX 542 SQ.FT. - WASHINGTON ROAD, MALDON - £10,500 PER ANNUM","https://www.rightmove.co.uk/properties/169811027#/?channel=COM_LET","2025-11-28T11:23:36Z","","new","Marketed by Gilbert and Rose Commercial, Essex Commercial","","51.723918","0.670691","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169811027/258737_RX687259_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169811027/258737_RX687259_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169811027/258737_RX687259_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169811027/258737_RX687259_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169811027/258737_RX687259_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169811027/258737_RX687259_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169811027/258737_RX687259_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169811027/258737_RX687259_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169811027/258737_RX687259_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/259k/258737/169811027/258737_RX687259_IMG_09_0000_max_476x317.jpeg"
"169634906","Maldon","Retail Property (high street)","New Retail Units, Limebrook Park, Limebrook Way (B1018), Maldon, CM9 6NE","POA","","","","NEW BUILD, RETAIL AND LEISURE UNITS AT THE ENTRANCE TO LIMEBROOK NEW SAINSBURY LOCAL COMING SOON","https://www.rightmove.co.uk/properties/169634906#/?channel=COM_LET","2025-11-24T09:01:00Z","","size_change","Marketed by BNP Paribas Real Estate Advisory & Property Management UK Limited, City Agency","","51.717085","0.665921","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201728/169634906/201728_290746-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201728/169634906/201728_290746-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201728/169634906/201728_290746-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201728/169634906/201728_290746-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201728/169634906/201728_290746-2_IMG_04_0000_max_476x317.jpeg"
"169389884","Maldon","Light Industrial","Building 03, ICS House Complex, Hall Road, Maldon, Essex","£3,750 pcm","","","","The available accommodation comprises a self-contained single storey industrial/warehouse unit located within a secure complex. The property benefits from a clear workshop/warehouse, full height shutter doors, W/C's, all mains services and parking spaces. There is extensive racking within the p...","https://www.rightmove.co.uk/properties/169389884#/?channel=COM_LET","2025-11-17T09:44:25Z","","new","Marketed by Kemsley LLP, Chelmsford","","51.739105","0.6889","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169389884/264539_8907348LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169389884/264539_8907348LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/169389884/264539_8907348LH_IMG_02_0000_max_476x317.jpeg"
"162970310","Maldon","Office","Spital Road, Maldon, Essex, CM9","£383 pcm","","","1","Office room to rent on the popular West Station Business Park.West Station Business Park is conveniently located within the small maritime town of Maldon. The site is supported by quick and easy links to both the A12 and M25, with a 40 minute commute to London.","https://www.rightmove.co.uk/properties/162970310#/?channel=COM_LET","2025-06-06T15:47:45Z","","new","Marketed by Keeleys Lettings Ltd, Maldon","","51.72071","0.66525","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9180/162970310/9180_P691_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9180/162970310/9180_P691_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9180/162970310/9180_P691_IMG_02_0000_max_476x317.jpeg"
"168693866","Maldon","Warehouse","Unit 8A & 8B, Blackwater Trading Estate, The Causeway, Heybridge, CM9 4GG","POA","","","","TO LET - Warehouse Units in Heybridge, Maldon - 13,744 - 27,488 ft² (1,277 - 2,554 m²) - available combined or as single units","https://www.rightmove.co.uk/properties/168693866#/?channel=COM_LET","2025-10-28T11:34:22Z","","new","Marketed by Savills, Chelmsford Industrial","","51.736628","0.684835","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214109/168693866/214109_335760-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214109/168693866/214109_335760-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214109/168693866/214109_335760-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214109/168693866/214109_335760-2_IMG_03_0000_max_476x317.jpeg"
"167791100","Maldon","Light Industrial","Unit 4B, Benbridge Industrial Estate, Holloway Road, Maldon, Essex, CM9","£10,000 pcm","","","","Comprises twin-bay industrial unit with modern two-storey offices to the front. ","https://www.rightmove.co.uk/properties/167791100#/?channel=COM_LET","2025-10-03T17:48:20Z","","price_reduced","Marketed by Blue Alpine, London","","51.74153","0.68496","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/167791100/230087_4blet_IMG_03_0000_max_476x317.jpeg"
"168397355","Maldon","Office","Maldon","£2,500 pcm","Fixed Price","","","Office to let in Maldon. The office sits on the West Station Yard industrial estate which offers direct access onto the A141. The property measures 1,934 square feet in total, which includes mainly office space with some additional storage space. ","https://www.rightmove.co.uk/properties/168397355#/?channel=COM_LET","2025-10-20T15:45:02Z","","new","Marketed by Whirledge and Nott, Commercial","","51.72242","0.66554","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/174k/173735/168397355/173735_4939_IMG_18_0000_max_476x317.jpeg"
"167925719","Maldon","Warehouse","Unit 8a & 8b Blackwater Trading Estate, The Causeway, Heybridge, Maldon, Essex, CM9","POA","","","","The property comprises a twin bay warehouse unit available as a single unit or as two separate units with an eaves height to the under haunch of 8.11m and full height shutter doors (two). Externally there is a secure yard/parking area of approx. 25,000 sq. ft. (0.57 acres). Additional yard and ...","https://www.rightmove.co.uk/properties/167925719#/?channel=COM_LET","2025-10-07T16:06:08Z","","new","Marketed by Kemsley LLP, Chelmsford","","51.736961","0.684702","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/167925719/264539_8907201LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/167925719/264539_8907201LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/167925719/264539_8907201LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/167925719/264539_8907201LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/167925719/264539_8907201LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/167925719/264539_8907201LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/167925719/264539_8907201LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/167925719/264539_8907201LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/167925719/264539_8907201LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264539/167925719/264539_8907201LH_IMG_09_0000_max_476x317.jpeg"
"141548753","Maldon","Office","Heybridge Business Centre, The Causeway, Maldon, Essex, CM9","£401 pcm","From","","","Location Heybridge Business Centre is located on the eastern side of The Causeway close to the Benbridge roundabout, which via the B1019 provides access to the A12 at Hatfield Peverel. Description Heybridge Business Centre is a three storey multi-tenanted serviced office building. The offices a...","https://www.rightmove.co.uk/properties/141548753#/?channel=COM_LET","2023-11-01T16:22:51Z","","size_change","Marketed by Fenn Wright, Chelmsford Commercial Sales and Lettings","","51.739986","0.684969","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83479/141548753/83479_14870267LH_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83479/141548753/83479_14870267LH_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83479/141548753/83479_14870267LH_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83479/141548753/83479_14870267LH_IMG_03_0001_max_476x317.jpeg"
