id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"153854363","Merseyside","Leisure Facility","Unit 4B, The Basement, Old Haymarket, Liverpool, Merseyside, L1","£1,686 pcm","","","","Unit 4 B, The Basement, Old Haymarket is an Urban Splash commercial property to let in Liverpool. The basement is a self contained unit measuring 4,047 sqft, available for a variety of uses. This is a shell unit and viewing is advised. ","https://www.rightmove.co.uk/properties/153854363#/?channel=COM_LET","2024-10-16T15:13:24Z","","new","Marketed by Urban Splash, Manchester","","53.40861","-2.98377","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175409/153854363/175409_UOFR-03321_unit-4_old-haymarket_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175409/153854363/175409_UOFR-03321_unit-4_old-haymarket_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175409/153854363/175409_UOFR-03321_unit-4_old-haymarket_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/176k/175409/153854363/175409_UOFR-01225_unit-4b_old-haymarket_IMG_06_0000_max_476x317.png"
"169950425","Merseyside","Light Industrial","32d Nelsons Business Park","£755 pcm","","","","Centaur and Barclay are pleased to offer for rent this 1625 sqFt industrial unit to let on Nelsons industrial estate.","https://www.rightmove.co.uk/properties/169950425#/?channel=COM_LET","2025-12-03T11:11:32Z","","new","Marketed by The Centaur And Barclay Group Limited, Orpington","","53.455275","-2.945967","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0708e9113/169950425/0708e9113a6ec1b71cfa5c3fc4ffce97_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5f18ed773/169950425/5f18ed773cd71492f7da4a1cedb77b8f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bcfe54f8e/169950425/bcfe54f8e7db58c309f5dbe85f8b3f2a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bf1d5c01f/169950425/bf1d5c01fce07e27fd50eb88e88dcd42_max_476x317.jpeg"
"169949165","Merseyside","Office","Canal Street, Liverpool, L20","£540 pcm","From","",""," *AVAILABLE NOW* We are delighted to showcase a a full range of office suites, for all budgets, starting from £540 pcm plus VAT in The Bridgewater Complex.","https://www.rightmove.co.uk/properties/169949165#/?channel=COM_LET","2025-12-03T10:50:45Z","","new","Marketed by Property Centre, Wallasey","","53.445245","-2.99695","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/074f95487/169949165/074f954871dc8fbdf51f02e2fddfbeb2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c456cfeb6/169949165/c456cfeb68dd0e80514c33c9bd1bf624_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a58663c37/169949165/a58663c37aaa8ca101c37b304442cab2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e0e4c2aa9/169949165/e0e4c2aa9f129c610085793e26a5b7bb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7cfd7682d/169949165/7cfd7682d1c8caf7e358d67d68916f98_max_476x317.jpeg"
"169949168","Merseyside","Commercial Property","Dee Lane, West Kirby, Wirral","£2,500 pcm","","","","Nestled in the heart of West Kirby on Dee Lane, this commercial property offers an impressive 1,463 square feet of versatile space, ideal for a variety of business ventures. The location benefits from a bustling footfall, ensuring that your enterprise will be well-positioned to attract a steady s...","https://www.rightmove.co.uk/properties/169949168#/?channel=COM_LET","2025-12-03T10:50:47Z","","new","Marketed by Bakewell and Horner, Wallasey","","53.372871","-3.185197","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/4k/3341/169949168/3341_34337985_IMG_15_0000_max_476x317.jpeg"
"167428085","Merseyside","Light Industrial","Edwards Lane, Liverpool, Merseyside, L24","£3,875 pcm","","","","Modern 6,393 sq ft warehouse/industrial with offices, roller shutter access, parking and secure gated yard. Well-located close to Liverpool John Lennon Airport with easy motorway links. Available on new lease, ideal for a range of occupiers.","https://www.rightmove.co.uk/properties/167428085#/?channel=COM_LET","2025-09-25T15:30:56Z","","price_reduced","Marketed by Mersey Move Commercial Estate Agents, Liverpool","","53.35409","-2.86142","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167428085/294950_Unit2SpectrumCourt_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167428085/294950_Unit2SpectrumCourt_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167428085/294950_Unit2SpectrumCourt_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167428085/294950_Unit2SpectrumCourt_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167428085/294950_Unit2SpectrumCourt_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167428085/294950_Unit2SpectrumCourt_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167428085/294950_Unit2SpectrumCourt_IMG_06_0000_max_476x317.jpeg"
"167421473","Merseyside","Mixed Use","Edwards Lane, Liverpool, Merseyside, L24","£4,750 pcm","","","4","To Let: 8,181 sq ft commercial unit at Spectrum Court, L24 9HW. Ground floor warehouse with reception and loading access, plus modern first-floor offices with open-plan space, private offices, kitchen and WC facilities. Marketed by Mersey Move Commercial Estate Agents.","https://www.rightmove.co.uk/properties/167421473#/?channel=COM_LET","2025-09-28T10:44:32Z","","price_reduced","Marketed by Mersey Move Commercial Estate Agents, Liverpool","","53.35409","-2.86142","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_42_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294950/167421473/294950_1spectrumcourt_IMG_43_0000_max_476x317.jpeg"
"169932611","Merseyside","Warehouse","Unit 4, Albright Road, Widnes, WA8 8FZ","POA","","","","Industrial / Warehouse Unit To Let, Widnes","https://www.rightmove.co.uk/properties/169932611#/?channel=COM_LET","2025-12-02T17:09:36Z","","new","Marketed by B8 Real Estate LLP, Warrington","","53.35854","-2.781621","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169932611/102728_345624-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169932611/102728_345624-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169932611/102728_345624-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102728/169932611/102728_345624-2_IMG_03_0000_max_476x317.jpeg"
"169930622","Merseyside","Light Industrial","67a Compton Road, Southport, PR8","£3,500 pcm","","","","67a Compton Road comprises two interconnected portal frame warehouse units which together provide a flexible mix of industrial, storage and office accommodation. The layout incorporates open plan warehouse space, partitioned offices suitable for administrative or managerial use, and a former trad...","https://www.rightmove.co.uk/properties/169930622#/?channel=COM_LET","2025-12-02T16:43:14Z","","new","Marketed by Fitton Estates, Merseyside/Lancashire","","53.629551","-3.005992","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203123/169930622/203123_2670LH_IMG_19_0000_max_476x317.jpeg"
"169920935","Merseyside","Light Industrial","Unit 2, Derby Road, Liverpool, Merseyside, L20 8EL","£13,333 pcm","","","","High profile trade counter / industrial unit 20,098 sq ft Rent £160,000 per annum","https://www.rightmove.co.uk/properties/169920935#/?channel=COM_LET","2025-12-02T14:21:32Z","","new","Marketed by Legat Owen, Liverpool","","53.433722","-2.993263","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294065/169920935/294065_9158LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294065/169920935/294065_9158LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294065/169920935/294065_9158LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294065/169920935/294065_9158LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294065/169920935/294065_9158LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294065/169920935/294065_9158LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294065/169920935/294065_9158LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294065/169920935/294065_9158LH_IMG_12_0000_max_476x317.jpeg"
"169913705","Merseyside","Office","Wallasey Road, Wallasey, CH44","£400 pcm","From","",""," Fantastic opportunity to rent a variety of high quality offices starting from £400 pcm to £550 pcm - ALL BILLS INCLUDED. Fully furnished with modern desks, chairs, lockable storage, and enjoys access to a shared kitchen area and common facilities, creating a comfortable and conve...","https://www.rightmove.co.uk/properties/169913705#/?channel=COM_LET","2025-12-02T12:25:28Z","","new","Marketed by Property Centre, Wallasey","","53.419619","-3.05203","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191204/169913705/191204_PRPCE_002542_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191204/169913705/191204_PRPCE_002542_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191204/169913705/191204_PRPCE_002542_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191204/169913705/191204_PRPCE_002542_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191204/169913705/191204_PRPCE_002542_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191204/169913705/191204_PRPCE_002542_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191204/169913705/191204_PRPCE_002542_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191204/169913705/191204_PRPCE_002542_IMG_07_0000_max_476x317.jpeg"
