id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169734695","Merthyr Tydfil","Retail Property (Shopping Centre)","Unit 9, Beacons Place Shopping Centre, Merthyr Tydfil, Mid Glamorgan, CF47 8DF","POA","","","","M Beacons Place is a modern, covered mall constructed in 2003 - providing 13 retail units at ground floor with ancillary accommodation above. The modern design provides excellent natural light through large atriums and flexible units that can be adjusted according to tenant demand. The centre ha...","https://www.rightmove.co.uk/properties/169734695#/?channel=COM_LET","2025-11-26T12:25:48Z","","new","Marketed by Creative Retail, Birmingham","","51.745392","-3.37785","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169734695/191489_450LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169734695/191489_450LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169734695/191489_450LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169734695/191489_450LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169734695/191489_450LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169734695/191489_450LH_IMG_05_0000_max_476x317.jpeg"
"719265993372928","Merthyr Tydfil","Office","Ty Keir Hardie, Riverside Court, Avenue De Clichy, Abermorlais, Merthyr Tydfil, CF47 8LD","£21,250 pcm","","","","TO LET / MAY SELL: Office suites available on flexible terms","https://www.rightmove.co.uk/properties/719265993372928#/?channel=COM_LET","2025-11-13T14:16:05Z","","size_change","Marketed by Cooke & Arkwright Limited, Office Agency","","51.747555","-3.3815","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265993372928/250433_106258-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265993372928/250433_106258-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265993372928/250433_106258-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265993372928/250433_106258-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265993372928/250433_106258-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265993372928/250433_106258-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265993372928/250433_106258-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265993372928/250433_106258-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265993372928/250433_106258-2_IMG_08_0000_max_476x317.jpeg"
"167420201","Merthyr Tydfil","Land","Bridge Street, Troedyrhiw","£400 pcm","","","","**COMMERCIAL PROPERTY FOR RENT IN A LOVELY VILLAGE** Martin & Co Merthyr Tydfil are pleased to offer this great commercial property in the heart of Troedyrhiw. The property comprises a large main shop front with 2 additional office/storage rooms, kitchen and W/C. This building also offers all...","https://www.rightmove.co.uk/properties/167420201#/?channel=COM_LET","2025-09-25T13:24:18Z","","new","Marketed by Martin & Co, Merthyr Tydfil","","51.71214","-3.34804","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/167420201/65384_100724005360_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/167420201/65384_100724005360_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/167420201/65384_100724005360_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/167420201/65384_100724005360_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/167420201/65384_100724005360_IMG_04_0000_max_476x317.jpeg"
"169426115","Merthyr Tydfil","Shop","Various Units Available, M Beacons Place, Merthyr Tydfil","POA","","","","M Beacons Place is not just a shopping centre, but a vibrant hub of activity for the local community. With its modern design and spacious layout, it offers a welcoming atmosphere for visitors to enjoy a wide range of retail experiences. The large atriums flood the space with natural light, cre...","https://www.rightmove.co.uk/properties/169426115#/?channel=COM_LET","2025-11-18T01:13:03Z","","new","Marketed by LCP, Commercial","","51.74498","-3.37799","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/169426115/229553_691b008988f5ef4584c46d9c_2_137_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/169426115/229553_691b008988f5ef4584c46d9c_2_137_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/169426115/229553_691b008988f5ef4584c46d9c_2_137_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/169426115/229553_691b008988f5ef4584c46d9c_2_137_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/169426115/229553_691b008988f5ef4584c46d9c_2_137_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/169426115/229553_691b008988f5ef4584c46d9c_2_137_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/169426115/229553_691b008988f5ef4584c46d9c_2_137_IMG_02_0000_max_476x317.jpeg"
"169304273","Merthyr Tydfil","Office","Former Papa John's Unit, Ty Penderyn, 26 High Street, Merthyr Tydfil","£1,000 pcm","","","","The subject property comprises an open plan ground-floor retail unit, which is currently undergoing redecoration. The unit beneifts from a wide retail frontage, with full height glazed windows and a large external decked area. The unit benefits from two points of access, and a separate WC. Th...","https://www.rightmove.co.uk/properties/169304273#/?channel=COM_LET","2025-11-13T14:01:10Z","","new","Marketed by Brinsons Limited, Caerphilly","","51.74375","-3.378278","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7e42716d8/169304273/7e42716d883071c5fd3d668d25c099ff_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5744e8c02/169304273/5744e8c022ca46f4a80132824652de73_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/77c91f4a2/169304273/77c91f4a250532c17a51969e033a837f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/774217537/169304273/774217537f07d3cb6dd8b448572b9f9b_max_476x317.jpeg"
"168416690","Merthyr Tydfil","Serviced Office","Merthyr Tydfil, Oldway House, Wales, CG47 8UX","£195 pcm","From","","4","Flexible coworking in Oldway House. Work surrounded by green space, with sleek interiors and a collaborative business vibe.","https://www.rightmove.co.uk/properties/168416690#/?channel=COM_LET","2025-10-21T09:38:24Z","","new","Marketed by IW Group Services (UK) Limited, Regus","","51.74748","-3.37908","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416690/129853_UKbwp10394_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416690/129853_UKbwp10394_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416690/129853_UKbwp10394_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416690/129853_UKbwp10394_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416690/129853_UKbwp10394_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416690/129853_UKbwp10394_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416690/129853_UKbwp10394_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416690/129853_UKbwp10394_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416690/129853_UKbwp10394_IMG_07_0000_max_476x317.jpeg"
"168416420","Merthyr Tydfil","Serviced Office","Merthyr Tydfil, Oldway House, Wales, CG47 8UX","£139 pcm","From","","4","Enjoy unlimited office access at Oldway House. Work in modern, light-filled spaces with scenic green views and top business facilities.","https://www.rightmove.co.uk/properties/168416420#/?channel=COM_LET","2025-10-21T09:34:45Z","","new","Marketed by IW Group Services (UK) Limited, Regus","","51.74748","-3.37908","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416420/129853_UKbwg10394_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416420/129853_UKbwg10394_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416420/129853_UKbwg10394_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416420/129853_UKbwg10394_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416420/129853_UKbwg10394_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416420/129853_UKbwg10394_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416420/129853_UKbwg10394_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/168416420/129853_UKbwg10394_IMG_06_0000_max_476x317.jpeg"
"169304072","Merthyr Tydfil","Office","Suite 2, Ty Penderyn , High Street , Merthyr Tydfil","£667 pcm","","","","The subject office suite is situated in a three storey modern building in the town centre. The suite is located on the first floor and can be accessed via a lift and staircase service. The suite is predominantly open plan with one large meeting room, and access to communal kitchen and w.c fac...","https://www.rightmove.co.uk/properties/169304072#/?channel=COM_LET","2025-11-13T14:00:07Z","","price_reduced","Marketed by Brinsons Limited, Caerphilly","","51.74375","-3.378278","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8ff4c196c/169304072/8ff4c196c4cab5383581bc69bfb688b7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/97a8e3c91/169304072/97a8e3c9110898a12b76c6428b28faec_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0f047039e/169304072/0f047039e2bc621f3b6d643f8e06fae1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4fe191592/169304072/4fe1915921dc47c3201fe5cafd1ef082_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/27500a67e/169304072/27500a67ed3eeadba05e3ae8b222d6d0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ad45a9a3c/169304072/ad45a9a3c07d53f6026f7de4686a67cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a6bfb15c2/169304072/a6bfb15c2b8a8da3443d3a4256fdadb0_max_476x317.jpeg"
"169304345","Merthyr Tydfil","Office","Suite 3, Ty Penderyn , High Street , Merthyr Tydfil","£583 pcm","","","","The subject office suite is situated in a three storey modern building in the town centre. The suite is located on the first floor and can be accessed via a lift and staircase service. The suite is predominantly open plan with one large meeting room, and access to communal kitchen and w.c fac...","https://www.rightmove.co.uk/properties/169304345#/?channel=COM_LET","2025-11-13T14:01:36Z","","price_reduced","Marketed by Brinsons Limited, Caerphilly","","51.74375","-3.378278","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169304345/242363_2871LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169304345/242363_2871LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169304345/242363_2871LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169304345/242363_2871LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169304345/242363_2871LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/243k/242363/169304345/242363_2871LH_IMG_05_0000_max_476x317.jpeg"
"156086435","Merthyr Tydfil","Land","Bridge Street, Troedyrhiw","£450 pcm","","","","A large commercial unit in popular village location of Troedyrhiw, briefly comprises large main shop front with kitchen and WC. There's allocated parking to the rear ","https://www.rightmove.co.uk/properties/156086435#/?channel=COM_LET","2024-12-19T12:44:44Z","","price_reduced","Marketed by Martin & Co, Merthyr Tydfil","","51.71214","-3.34804","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65384/156086435/65384_100724005370_IMG_11_0000_max_476x317.jpeg"
