id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169267706","Merton","Light Industrial","Unit 7, Menin Works, Bond Road, Mitcham, Surrey","POA","","","","4,091 sq. ft.","4091","4091","380","380","Newly refurbished Industrial warehouse unit - with both front and rear access - available to let on a new FRI Lease for a term to be agreed. The refurbished unit benefits from: - Up and over roller shutter door - 3 phase power - Open plan layout - Energy efficient lighting - New sheet metal roo...","https://www.rightmove.co.uk/properties/169267706#/?channel=COM_LET","2025-11-12T12:41:26Z","","new","Marketed by Centro Commercial Limited, Surrey","","51.408619","-0.166218","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/169267706/211619_740LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/169267706/211619_740LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/169267706/211619_740LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/169267706/211619_740LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/169267706/211619_740LH_IMG_04_0000_max_476x317.jpeg"
"723058378181024","Merton","Office","Wellington House, 68 Wimbledon Hill Road, Wimbledon, SW19 7PA","£55,230 pcm","","","","5,881–12,388 sq. ft.","5881","12388","546","1151","High quality fitted space in extensively refurbished Grade A building 200m from Wimbledon Station","https://www.rightmove.co.uk/properties/723058378181024#/?channel=COM_LET","2025-12-04T14:55:46Z","","new","Marketed by Savills, Margaret Street - Offices","","51.422729","-0.209738","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723058378181024/210155_336067-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723058378181024/210155_336067-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723058378181024/210155_336067-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723058378181024/210155_336067-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723058378181024/210155_336067-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723058378181024/210155_336067-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723058378181024/210155_336067-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723058378181024/210155_336067-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723058378181024/210155_336067-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723058378181024/210155_336067-2_IMG_09_0000_max_476x317.jpeg"
"169997060","Merton","Shop","London Road, Mitcham, Greater London, CR4","£2,200 pcm","","1","1","","","","","","Shop to rent in Mitcham area.*Available Now**Not suitable for alcohol sell*","https://www.rightmove.co.uk/properties/169997060#/?channel=COM_LET","2025-12-04T12:51:48Z","","new","Marketed by SW16, Streatham","","51.41073","-0.16207","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/169997060/76165_hjfhjfhdg_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/169997060/76165_hjfhjfhdg_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/169997060/76165_hjfhjfhdg_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/169997060/76165_hjfhjfhdg_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/169997060/76165_hjfhjfhdg_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/169997060/76165_hjfhjfhdg_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76165/169997060/76165_hjfhjfhdg_IMG_05_0000_max_476x317.jpeg"
"163213907","Merton","Office","212 Durnsford Road, Wimbledon, London SW19 8DR","£5,000 pcm","","","","6,970 sq. ft.","6970","6970","648","648","The premises comprise a first-floor office space with ample parking to the front and an open storage yard to the rear. The property has previously been used as a car hire depot. The site is securely fenced and gated.","https://www.rightmove.co.uk/properties/163213907#/?channel=COM_LET","2025-06-12T12:47:34Z","","size_change","Marketed by SHW, South West London","","51.433782","-0.196373","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/163213907/288434_16093LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/163213907/288434_16093LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/163213907/288434_16093LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/163213907/288434_16093LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/163213907/288434_16093LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/163213907/288434_16093LH_IMG_05_0000_max_476x317.jpeg"
"154212770","Merton","Warehouse","Gresham Way, London, SW19","£12,133,333 pcm","Fixed Price","","","13,980 sq. ft.","13980","13980","1299","1299","WAREHOUSE UNIT FOR SALE. REDUCED ASKING PRICE!","https://www.rightmove.co.uk/properties/154212770#/?channel=COM_LET","2025-12-03T13:34:25Z","","new","Marketed by andrew scott robertson, Wimbledon Village Commercial","","51.43581","-0.19617","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/154212770/99044_GreshamWayUnitB_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/154212770/99044_GreshamWayUnitB_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/154212770/99044_GreshamWayUnitB_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/154212770/99044_GreshamWayUnitB_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/154212770/99044_GreshamWayUnitB_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/154212770/99044_GreshamWayUnitB_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/154212770/99044_GreshamWayUnitB_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/154212770/99044_GreshamWayUnitB_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/154212770/99044_GreshamWayUnitB_IMG_08_0000_max_476x317.jpeg"
"169950041","Merton","Shop","London Road, Mitcham","£2,000 pcm","","","","","","","","","The property comprises a ground floor shop fronted premises and is end of terrace. The property has an aluminum shop front, suspended ceilings and air conditioning (not tested). There is a secondary means of escape to the rear. The property was most recently used as an estate agent’s office...","https://www.rightmove.co.uk/properties/169950041#/?channel=COM_LET","2025-12-03T11:06:26Z","","new","Marketed by Oaks Estate Agents, Croydon- Lettings","","51.407208","-0.163632","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235208/169950041/235208_CRO251430_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235208/169950041/235208_CRO251430_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/236k/235208/169950041/235208_CRO251430_L_IMG_02_0000_max_476x317.jpeg"
"166628504","Merton","Office","St Georges Road, London, SW19","£3,333 pcm","Leasehold","","","1,000 sq. ft.","1000","1000","93","93","Recently refurbished open plan offices located in Wimbledon town centre. The offices are self-contained and may be split. ","https://www.rightmove.co.uk/properties/166628504#/?channel=COM_LET","2025-09-11T15:57:41Z","","new","Marketed by andrew scott robertson, Wimbledon Village Commercial","","51.41939","-0.21034","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/166628504/99044_51StGeorgesRoad_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/166628504/99044_51StGeorgesRoad_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99044/166628504/99044_51StGeorgesRoad_IMG_02_0001_max_476x317.jpeg"
"719250365398753","Merton","Mixed Use","Bizspace Wimbledon, Lombard Business Park, 8 Lombard Road, Wimbledon, SW19 3TZ","£5,073 pcm","","","","115–1,399 sq. ft.","115","1399","11","130","Offices & Workshops ideal for SMEs in Wimbledon, South West London, available on flexible terms","https://www.rightmove.co.uk/properties/719250365398753#/?channel=COM_LET","2025-11-13T12:11:10Z","","size_change","Marketed by SMC Brownill Vickers, South Yorkshire","","51.409368","-0.189916","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215657/719250365398753/215657_277282-2_IMG_13_0000_max_476x317.jpeg"
"158390804","Merton","Office","Windsor Avenue, London, SW19","£350 pcm","From","","","265–870 sq. ft.","265","870","25","81","256 Sqft to 870 Sqft first floor office space available, with kitchenette & storage. Ideal for start-ups & small businesses","https://www.rightmove.co.uk/properties/158390804#/?channel=COM_LET","2025-02-18T11:44:11Z","","size_change","Marketed by Montholme Asset Management Ltd, St Helier","","51.4109","-0.18508","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286187/158390804/286187_Dalton_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286187/158390804/286187_Dalton_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286187/158390804/286187_Dalton_IMG_07_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286187/158390804/286187_Dalton_IMG_08_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286187/158390804/286187_Dalton_IMG_09_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286187/158390804/286187_Dalton_IMG_10_0001_max_476x317.jpeg"
"169481768","Merton","Retail Property (high street)","80 Coombe Lane, London, SW20 0AX","£5,833 pcm","","","","627–1,525 sq. ft.","627","1525","58","142","Prime mixed-use property in Raynes Park with a modern retail unit & spacious 2-bed flat. High foot traffic & excellent transport links!","https://www.rightmove.co.uk/properties/169481768#/?channel=COM_LET","2025-11-19T11:48:48Z","","new","Marketed by John D Wood, Mayfair","","51.409627","-0.232324","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3d48b07a4/169481768/3d48b07a41c685a9a98c8b19811a8dfa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8450b1c67/169481768/8450b1c6789cb9a15bac3015c03df052_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ff6090b82/169481768/ff6090b825feda09d5c9c297d02ee955_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/80b4164fe/169481768/80b4164fecc5863baa3b46f7dafb06aa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8aa4b9f23/169481768/8aa4b9f23ad180a3cabd574c806fe3ae_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/51ebfbb8a/169481768/51ebfbb8a2482d3cb17cca9c9899bfd4_max_476x317.jpeg"
