id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169914065","Moray","Retail Property (high street)","High Street, Elgin, Morayshire","£1,500 pcm","Offers in Excess of","","","CCL Property are delighted to offer for sale 48 High Street in Elgin, Moray. Located in the heart of Elgin’s bustling High Street, this prominent retail property offers exceptional visibility and footfall in a thriving town centre. Previously home to a well-known pharmacy, the building presents a...","https://www.rightmove.co.uk/properties/169914065#/?channel=COM_LET","2025-12-02T12:32:02Z","","new","Marketed by CCL Property, Elgin","","57.648854","-3.312988","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d9020ccad/169914065/d9020ccad9d92b8915d5d7450cbfb904_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9541c0202/169914065/9541c0202f6bd9a8a7170a9f9aed2d39_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8e55e783d/169914065/8e55e783d28367ec6078dd901bbc763b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/426c77b29/169914065/426c77b299d1a3a1a7e8a3344e4b7f8f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cead9ee24/169914065/cead9ee241e7d9289b59276d58f494fc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b33a1bd10/169914065/b33a1bd10d53ca2f42ae0dfb0c1815b1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f5aa7d1af/169914065/f5aa7d1afccd9585b8de6ad4a8dbb9ae_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/faae7c9fc/169914065/faae7c9fcd029d3a71212a52942c9bb4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/38fe6e4bc/169914065/38fe6e4bc1aee633cbbab1f1d4dbe5bd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/350b6d6cd/169914065/350b6d6cdc5f3ba64287402749d62524_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/018a24de8/169914065/018a24de8c36b6421e303e3ada86ee6a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ab300ba87/169914065/ab300ba877ea74831036ad9318906a0c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a7bdca75c/169914065/a7bdca75cee6f49efe7d4e8d695be3e5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9f5899df2/169914065/9f5899df279231b7ec27af12a7c1a34c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bfc3012d7/169914065/bfc3012d7162360aafd246fed0240f3f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eb91f0be3/169914065/eb91f0be3755a3d306ab3d0fd0349b24_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0f88a67cd/169914065/0f88a67cd68182dacd8a818acf923219_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5ee96182a/169914065/5ee96182a596848f52acff7a6c5afc29_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/367e9b7e1/169914065/367e9b7e1ea2c6a3205442e0fa762f08_max_476x317.jpeg"
"167326481","Moray","Retail Property (high street)","Commerce Street, Elgin, Moray, IV30","£1,583 pcm","","","","Substantial ground floor and basement retail/office unit","https://www.rightmove.co.uk/properties/167326481#/?channel=COM_LET","2025-09-23T17:26:57Z","","price_reduced","Marketed by F.G. BURNETT LIMITED, Aberdeen","","57.64838","-3.3135","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/167326481/71499_7CommerceStreet_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/167326481/71499_7CommerceStreet_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/167326481/71499_7CommerceStreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/167326481/71499_7CommerceStreet_IMG_03_0000_max_476x317.jpeg"
"167350883","Moray","Retail Property (high street)","High Street, Elgin, Moray, IV30","£750 pcm","","","","Flexible, private space","https://www.rightmove.co.uk/properties/167350883#/?channel=COM_LET","2025-09-24T10:28:13Z","","new","Marketed by F.G. BURNETT LIMITED, Aberdeen","","57.64902","-3.31202","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/47d085a1d/167350883/47d085a1d73e76ecce5db1d11caef9bf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/92b68593e/167350883/92b68593e063401479e4f7c697483aeb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9e6abc754/167350883/9e6abc754edafe233ba7ba8b670386f0_max_476x317.jpeg"
"166105403","Moray","Office","Second Floor Offices, 35 Moray Street, Elgin, IV30 1JH","£225 pcm","From","","","The subjects comprise a number of offices on the second floor of a traditional three-storey building. The accommodation is arranged as three cellular offices, with suites available to let individually or as a whole. Allocated car parking spaces are provided within the building. Suite 2 is fitted ...","https://www.rightmove.co.uk/properties/166105403#/?channel=COM_LET","2025-08-22T13:47:25Z","","new","Marketed by ALLIED SURVEYORS SCOTLAND, Inverness","","57.646035","-3.316938","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245597/166105403/245597_12823_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245597/166105403/245597_12823_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245597/166105403/245597_12823_IMG_02_0000_max_476x317.jpeg"
"164843729","Moray","Retail Property (high street)","High Street, Elgin, Moray, IV30","£1,833 pcm","","","","Town Centre Ground Floor Retail Unit","https://www.rightmove.co.uk/properties/164843729#/?channel=COM_LET","2025-07-23T10:45:49Z","","new","Marketed by F.G. BURNETT LIMITED, Aberdeen","","57.64777","-3.3194","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/164843729/71499_228HighStreetToLet_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/164843729/71499_228HighStreetToLet_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/164843729/71499_228HighStreetToLet_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/164843729/71499_228HighStreetToLet_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/72k/71499/164843729/71499_228HighStreetToLet_IMG_04_0000_max_476x317.png"
"157702742","Moray","Office","Linkwood Place, Elgin, Moray","£2,500 pcm","Offers in Region of","","","Situated to the east of Elgin, the commercial and industrial centre for Morayshire, there is the opportunity to lease excellent office accommodation at 4 Linkwork Place in Elgin. It’s the most central location on the A96 with it being 66 north west of Aberdeen and 38 miles east of Inverness. Elgi...","https://www.rightmove.co.uk/properties/157702742#/?channel=COM_LET","2025-02-03T13:06:02Z","","new","Marketed by CCL Property, Elgin","","57.646107","-3.281852","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/157702742/64164_SPY-918753_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/157702742/64164_SPY-918753_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/157702742/64164_SPY-918753_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/157702742/64164_SPY-918753_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/157702742/64164_SPY-918753_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/157702742/64164_SPY-918753_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/157702742/64164_SPY-918753_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/157702742/64164_SPY-918753_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/157702742/64164_SPY-918753_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/65k/64164/157702742/64164_SPY-918753_IMG_09_0000_max_476x317.jpeg"
"160140866","Moray","Office","The Old Station, Elgin, Moray, IV30","£630 pcm","From","","","The Elgin Business Centre is well-established and forms part of the beautiful, historic, Grade B Listed, Old Railway Station, close to Elgin Train Station.","https://www.rightmove.co.uk/properties/160140866#/?channel=COM_LET","2025-04-02T12:25:50Z","","price_reduced","Marketed by Archway Studios, London","","57.64705","-3.30307","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287417/160140866/287417_Elgin_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287417/160140866/287417_Elgin_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287417/160140866/287417_Elgin_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287417/160140866/287417_Elgin_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287417/160140866/287417_Elgin_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287417/160140866/287417_Elgin_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287417/160140866/287417_Elgin_IMG_10_0000_max_476x317.jpeg"
"160374113","Moray","Commercial Property","31 Grampian Road, Elgin, IV30 1XJ","£800 pcm","","","","The subjects comprise an irregularly shaped level site secured with metal fencing and hardcore surfaced. The property would be suitable for a wide range of uses subject to the relevant consents being obtained from the local authority. ","https://www.rightmove.co.uk/properties/160374113#/?channel=COM_LET","2025-04-07T22:08:41Z","","new","Marketed by ALLIED SURVEYORS SCOTLAND, Inverness","","57.649578","-3.302029","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245597/160374113/245597_11154_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245597/160374113/245597_11154_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245597/160374113/245597_11154_IMG_02_0000_max_476x317.jpeg"
"160342295","Moray","Retail Property (high street)","Edgar Road, Elgin, Moray, IV30 6RP","POA","","","","Retail warehouse units available on Elgin Retail Park, benefitting from a highly prominent position on Edgar Road, approximately 1 mile from the town centre.","https://www.rightmove.co.uk/properties/160342295#/?channel=COM_LET","2025-04-07T12:10:35Z","","new","Marketed by Ryden LLP, Glasgow","","57.639669","-3.316859","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160342295/287999_710LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160342295/287999_710LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/160342295/287999_710LH_IMG_02_0000_max_476x317.jpeg"
"154188377","Moray","Serviced Office","West Street, Fochabers, Morayshire, IV32","£675 pcm","","","","Serviced office accommodation advertised on behalf of Gairland LLP","https://www.rightmove.co.uk/properties/154188377#/?channel=COM_LET","2024-10-25T10:26:25Z","","new","Marketed by F.G. BURNETT LIMITED, Aberdeen","","57.61421","-3.10018","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/82f6b2083/154188377/82f6b2083efb12a961354e708b03071a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/97f4a0fc0/154188377/97f4a0fc0a0af78961917aa8b7acb877_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f2879a964/154188377/f2879a96403e41b1665ac75a25f0b88a_max_476x317.jpeg"
