id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"154436843","Neath Port Talbot","Office","Commercial Road, Port Talbot, South Glamorgan, Neath Port Talbot, SA13","£1,250 pcm","","","","- Office accommodation - A2 & B1 Planning Use - Car parking available - Town Centre Location- Easy motorway access - Nearby train service ","https://www.rightmove.co.uk/properties/154436843#/?channel=COM_LET","2024-10-31T13:18:12Z","","new","Marketed by Neath Port Talbot County Borough Council, Port Talbot","","51.58577","-3.77264","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b517de2ff/154436843/b517de2ff3d2f0b9eee8bafb1dde99e5_max_476x317.jpeg"
"168965132","Neath Port Talbot","Retail Property (high street)","5 New Street, Neath, SA11 1RT","£1,250 pcm","","","","Three storey retail unit located in prime retail area of Neath town centre","https://www.rightmove.co.uk/properties/168965132#/?channel=COM_LET","2025-11-04T11:51:56Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.663675","-3.804987","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168965132/296300_292426-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168965132/296300_292426-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168965132/296300_292426-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168965132/296300_292426-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168965132/296300_292426-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168965132/296300_292426-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168965132/296300_292426-2_IMG_06_0000_max_476x317.jpeg"
"168962798","Neath Port Talbot","Retail Property (high street)","Units at Former President Restaurant, 24-42 The Parade, Castell-Nedd, SA11 1RA","£417 pcm","From","","","Refurbished Units to Let With A1/A2 and A3 use.","https://www.rightmove.co.uk/properties/168962798#/?channel=COM_LET","2025-11-04T11:24:16Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.663398","-3.806092","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962798/296300_277867-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962798/296300_277867-2_IMG_01_0000_max_476x317.jpeg"
"169197002","Neath Port Talbot","Office","Market Chambers, The Parade, Neath, SA11 1PU","£290 pcm","From","","","Discounted rents incl. service charge. Office suites from 431 to 2,287 sq ft, suitable for 4+ desks Wifi Included.","https://www.rightmove.co.uk/properties/169197002#/?channel=COM_LET","2025-11-10T16:48:43Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.662906","-3.806475","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169197002/296300_273707-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169197002/296300_273707-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169197002/296300_273707-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169197002/296300_273707-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169197002/296300_273707-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169197002/296300_273707-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169197002/296300_273707-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169197002/296300_273707-2_IMG_07_0000_max_476x317.jpeg"
"168962756","Neath Port Talbot","Retail Property (high street)","49 Windsor Road, Neath, SA11 1NG","£1,000 pcm","","","","Refurbished To A High Standard A1 / A2 Retail Unit For Sale / May Let","https://www.rightmove.co.uk/properties/168962756#/?channel=COM_LET","2025-11-04T11:23:27Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.659837","-3.806093","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962756/296300_335316-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962756/296300_335316-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962756/296300_335316-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962756/296300_335316-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962756/296300_335316-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962756/296300_335316-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962756/296300_335316-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962756/296300_335316-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168962756/296300_335316-2_IMG_08_0000_max_476x317.jpeg"
"168199952","Neath Port Talbot","Pub","W-521690 - Reubens, 8 Riverside, Port Talbot SA13 1EJ","£1,791 pcm","","","","Free of tie lease available by assignment/sublet, Significant incentives available, Well located near Aberafan Shopping Centre, Ground floor trading space and ancillary areas, Substantial private accommodation at first floor","https://www.rightmove.co.uk/properties/168199952#/?channel=COM_LET","2025-10-15T12:51:52Z","","new","Marketed by Fleurets Limited, West & South Wales","","51.59616","-3.783806","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54720/168199952/54720_W-521690_IMG_12_0000_max_476x317.jpeg"
"165457043","Neath Port Talbot","Industrial Park","Nant yr Cafn Business Park, Seven Sisters","£625 pcm","","","1","Six modern 1000 sqft industrial units with car parking. Modern industrial space with high-quality finishes. ","https://www.rightmove.co.uk/properties/165457043#/?channel=COM_LET","2025-08-07T11:41:46Z","","new","Marketed by Neath Port Talbot County Borough Council, Port Talbot","","51.7533","-3.72827","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142739/165457043/142739_Nantyrcafn_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142739/165457043/142739_Nantyrcafn_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142739/165457043/142739_Nantyrcafn_IMG_02_0000_max_476x317.png"
"164578547","Neath Port Talbot","Office","Offices to Let, Harbour Way, Port Talbot, SA13 1RU","POA","","","","Neath Port Talbot Council is excited to offer newly refurbished, modern offices accommodation on two floors, now available to lease.","https://www.rightmove.co.uk/properties/164578547#/?channel=COM_LET","2025-07-16T11:54:29Z","","new","Marketed by Neath Port Talbot County Borough Council, Port Talbot","","51.59347","-3.78456","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142739/164578547/142739_YOTS2025AN_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142739/164578547/142739_YOTS2025AN_IMG_01_0000_max_476x317.jpeg"
"163714073","Neath Port Talbot","Light Industrial","Kenfig Industrial Estate, Neath Port Talbot, SA13 2PE","£1,905 pcm","From","","","Unit to let in Port Talbot. The unit benefits from roller shutter, forecourt loading, parking and office accommodation","https://www.rightmove.co.uk/properties/163714073#/?channel=COM_LET","2025-06-24T10:20:13Z","","new","Marketed by Mileway Real Estate UK Limited, Cardiff","","51.5368","-3.7362","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/163714073/98012_SKf6R8SFTxMQlJHc4HDZx_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/163714073/98012_SKf6R8SFTxMQlJHc4HDZx_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/163714073/98012_SKf6R8SFTxMQlJHc4HDZx_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/163714073/98012_SKf6R8SFTxMQlJHc4HDZx_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/163714073/98012_SKf6R8SFTxMQlJHc4HDZx_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/163714073/98012_SKf6R8SFTxMQlJHc4HDZx_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/163714073/98012_SKf6R8SFTxMQlJHc4HDZx_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/163714073/98012_SKf6R8SFTxMQlJHc4HDZx_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/163714073/98012_SKf6R8SFTxMQlJHc4HDZx_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/163714073/98012_SKf6R8SFTxMQlJHc4HDZx_IMG_09_0000_max_476x317.jpeg"
"158546288","Neath Port Talbot","Land","Baglan Bay Retail Park, Afan Way, Port Talbot SA12 7BZ","POA","","","","Approx. 2.46 acres, direct access from adjoining retail park, suitable for a variety of uses including retail, trade, B1, B2, B8 or other uses subject to planning.","https://www.rightmove.co.uk/properties/158546288#/?channel=COM_LET","2025-02-21T11:11:52Z","","new","Marketed by Fletcher Morgan Consultants Limited, Cardiff","","51.60121","-3.80826","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285419/158546288/285419_FM25059_IMG_00_0000_max_476x317.jpeg"
