id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"141590261","New Forest","Trade Counter","10 Carvers Trading Estate, Southampton Road, Ringwood, BH24 1JS","£7,715 pcm","","","","6,172 sq. ft.","6172","6172","573","573","Detached trade counter/warehouse/light industrial unit","https://www.rightmove.co.uk/properties/141590261#/?channel=COM_LET","2023-11-02T14:24:48Z","","size_change","Marketed by Hellier Langston Commercial Agents, Southampton","","50.847398","-1.788035","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/121k/120028/141590261/120028_185717-2_IMG_12_0000_max_476x317.jpeg"
"722865513572608","New Forest","Light Industrial","Open Storage Site, Oceanic Way, Southampton, SO40 4BD","£30,000 pcm","","","","43,560–196,020 sq. ft.","43560","196020","4047","18211","Open storage in the heart of Marchwood Industrial Park","https://www.rightmove.co.uk/properties/722865513572608#/?channel=COM_LET","2025-12-03T11:04:05Z","","new","Marketed by Realest, Industrial & Logistics","","50.899148","-1.433885","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865513572608/229082_331744-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865513572608/229082_331744-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865513572608/229082_331744-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865513572608/229082_331744-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865513572608/229082_331744-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865513572608/229082_331744-2_IMG_05_0001_max_476x317.jpeg"
"722865391963648","New Forest","Light Industrial","Open Storage, Fawley Waterside, Fawley, Southampton, SO45 1TW","£4,495,000 pcm","","","","43,560–1,350,360 sq. ft.","43560","1350360","4047","125452","Open storage plots available from 1.0 acre, flexible terms available.","https://www.rightmove.co.uk/properties/722865391963648#/?channel=COM_LET","2025-12-03T11:02:11Z","","new","Marketed by Realest, Industrial & Logistics","","50.818157","-1.328008","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865391963648/229082_288945-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865391963648/229082_288945-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865391963648/229082_288945-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865391963648/229082_288945-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865391963648/229082_288945-2_IMG_04_0001_max_476x317.jpeg"
"722865268448416","New Forest","Light Industrial","Unit 1-3 Quest 271, Test Lane, Nursling, Southampton, SO16 9SD","£119,556 pcm","","","","44,400–95,645 sq. ft.","44400","95645","4125","8886","TO LET: 3 NEW GRADE A WAREHOUSE/LOGISTICS UNITS - AVAILABLE NOW (44,400 - 95,645 sq ft) - B2/B8 USE","https://www.rightmove.co.uk/properties/722865268448416#/?channel=COM_LET","2025-12-03T11:01:06Z","","new","Marketed by Realest, Industrial & Logistics","","50.927846","-1.47525","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_17_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_19_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_21_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_22_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_23_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_24_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_25_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_26_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_27_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_28_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_29_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_30_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_31_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_32_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_33_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_34_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_35_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_36_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_37_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_38_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865268448416/229082_118017-2_IMG_39_0001_max_476x317.jpeg"
"169944377","New Forest","Warehouse","Medical House, Hannah Way, Gordleton Industrial Estate, Lymington, SO41 8JD","£13,750 pcm","","","","19,884 sq. ft.","19884","19884","1847","1847","TO LET – DETACHED INDUSTRIAL/BUSINESS UNIT - 19,884 SQ FT","https://www.rightmove.co.uk/properties/169944377#/?channel=COM_LET","2025-12-03T09:29:55Z","","new","Marketed by Vail Williams, Bournemouth","","50.768219","-1.579874","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944377/234236_338480-2_IMG_15_0000_max_476x317.jpeg"
"169944215","New Forest","Warehouse","Aspire House, Hannah Way, Gordleton Industrial Estate, Lymington, SO41 8JD","£12,083 pcm","","","","16,185 sq. ft.","16185","16185","1504","1504","FOR SALE/TO LET – DETACHED INDUSTRIAL/BUSINESS PREMISES","https://www.rightmove.co.uk/properties/169944215#/?channel=COM_LET","2025-12-03T09:25:58Z","","new","Marketed by Vail Williams, Bournemouth","","50.768219","-1.579874","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234236/169944215/234236_344779-2_IMG_28_0000_max_476x317.jpeg"
"169937582","New Forest","Warehouse","Unit 2, Manor Industrial Estate, Manor House Avenue, Southampton, Hampshire, SO15","£1,500 pcm","","","","2,050 sq. ft.","2050","2050","190","190","This is a ground floor secure light industrial unit that would suit a variety of users. The unit is available long-term but tenants benefit from flexibility with a 3-month rolling licence agreement. There is a secure loading access door (approximately 2.81m high x 2.68m wide). There is a dock l...","https://www.rightmove.co.uk/properties/169937582#/?channel=COM_LET","2025-12-02T21:15:08Z","","new","Marketed by Keygrove Chartered Surveyors, Southampton","","50.913213","-1.4527","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169937582/95672_1039LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169937582/95672_1039LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169937582/95672_1039LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169937582/95672_1039LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169937582/95672_1039LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169937582/95672_1039LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/96k/95672/169937582/95672_1039LH_IMG_06_0000_max_476x317.jpeg"
"165408107","New Forest","Workshop","Rumbridge Street,Totton,Southampton","£825 pcm","","","1","678 sq. ft.","678","678","63","63","Ground Floor Retail Unit To Let Prime Location in Totton, Southampton","https://www.rightmove.co.uk/properties/165408107#/?channel=COM_LET","2025-08-06T11:20:03Z","","price_reduced","Marketed by SDM PROPERTY LTD, Covering Southampton","","50.915","-1.488","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270956/165408107/270956_rumbridgeroadoffice_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270956/165408107/270956_rumbridgeroadoffice_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270956/165408107/270956_rumbridgeroadoffice_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270956/165408107/270956_rumbridgeroadoffice_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270956/165408107/270956_rumbridgeroadoffice_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270956/165408107/270956_rumbridgeroadoffice_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270956/165408107/270956_rumbridgeroadoffice_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270956/165408107/270956_rumbridgeroadoffice_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270956/165408107/270956_rumbridgeroadoffice_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270956/165408107/270956_rumbridgeroadoffice_IMG_09_0000_max_476x317.jpeg"
"169861964","New Forest","Shop","4 Eling Lane, Totton, Southampton, Hampshire, SO40 9GA","£750 pcm","","","","398 sq. ft.","398","398","37","37","Totton is situated outside the eastern edge of the New Forest and on the River Test, approximately 4.5 miles to the city of Southampton. The town is within the New Forest non-metropolitan district. Surrounding towns and villages include Ashurst, Marchwood, Cadnam and Ower. The property consists ...","https://www.rightmove.co.uk/properties/169861964#/?channel=COM_LET","2025-12-01T10:59:41Z","","new","Marketed by Mava Real Estate, Southampton","","50.915779","-1.484709","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/169861964/96725_14972LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/169861964/96725_14972LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/169861964/96725_14972LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/169861964/96725_14972LH_IMG_03_0000_max_476x317.jpeg"
"169818119","New Forest","Retail Property (high street)","1 High Street, Ringwood, Hampshire, BH24","£1,688 pcm","","","","695 sq. ft.","695","695","65","65","Ringwood town centre - Arranged over the ground floor only - A variety of uses considered within use Class E - Allocated parking for two vehicles","https://www.rightmove.co.uk/properties/169818119#/?channel=COM_LET","2025-11-28T13:14:13Z","","new","Marketed by Nettleship Sawyer, Bournemouth","","50.84588","-1.79188","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/198k/197117/169818119/197117_SGC30210_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/198k/197117/169818119/197117_SGC30210_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/198k/197117/169818119/197117_SGC30210_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/198k/197117/169818119/197117_SGC30210_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/198k/197117/169818119/197117_SGC30210_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/198k/197117/169818119/197117_SGC30210_IMG_05_0000_max_476x317.jpeg"
