id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"163172846","Newport","Mixed Use","Kingsway Centre, John Frost Square, Newport, South Wales, NP20","£1,000 pcm","From","","","800–5,000 sq. ft.","800","5000","74","465","Retail space in central Newport shopping centre, available on flexible terms.","https://www.rightmove.co.uk/properties/163172846#/?channel=COM_LET","2025-06-11T16:53:38Z","","new","Marketed by Beacon Lily, Beacon Lily","","51.58507","-2.99329","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/269k/268916/163172846/268916_Unit18_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/269k/268916/163172846/268916_Unit18_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/269k/268916/163172846/268916_Unit18_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/269k/268916/163172846/268916_Unit_IMG_04_0001_max_476x317.png"
"723052799845744","Newport","Light Industrial","Unit 1, Felnex Industrial Estate, Newport, NP19 4PQ","£15,174 pcm","","","","22,761 sq. ft.","22761","22761","2115","2115","Industrial warehouse/ storage available to let in Newport","https://www.rightmove.co.uk/properties/723052799845744#/?channel=COM_LET","2025-12-04T14:05:10Z","","new","Marketed by Savills, Bristol Industrial","","51.569267","-2.975567","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214103/723052799845744/214103_199672-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214103/723052799845744/214103_199672-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214103/723052799845744/214103_199672-2_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214103/723052799845744/214103_199672-2_IMG_03_0000_max_476x317.png"
"723049081723824","Newport","Office","The Hub, The Hub, Mill Street, Newport, NP20 5HA","£109,277 pcm","","","","3,000–72,851 sq. ft.","3000","72851","279","6768","The Hub, Mill Street provides a unique opportunity to transform the way you occupy offices in Newport.","https://www.rightmove.co.uk/properties/723049081723824#/?channel=COM_LET","2025-12-04T11:42:10Z","","new","Marketed by Savills, Cardiff Offices/Industrial","","51.590726","-2.998023","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/723049081723824/232274_54494-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/723049081723824/232274_54494-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/723049081723824/232274_54494-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/723049081723824/232274_54494-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/723049081723824/232274_54494-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/233k/232274/723049081723824/232274_54494-2_IMG_05_0000_max_476x317.jpeg"
"723049165506673","Newport","Office","Chartist Tower, Upper Dock Street, Newport, NP20 1DX","£35,019 pcm","","","","3,000–25,860 sq. ft.","3000","25860","279","2402","The offices are located on the first and second floors and benefit from their own dedicated entrance via Upper Dock Street.","https://www.rightmove.co.uk/properties/723049165506673#/?channel=COM_LET","2025-12-04T11:42:08Z","","new","Marketed by Savills, Cardiff Offices/Industrial","","51.587303","-2.995314","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9277cbdf0/723049165506673/9277cbdf075f2b32c12560bc2d1bf43e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f563e3284/723049165506673/f563e32845ff0821a17faf555bccd765_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/049f2b43c/723049165506673/049f2b43c2d4626661ddecd1851950eb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/399572c3f/723049165506673/399572c3f6b15c2d188c080185f72299_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/951a590ca/723049165506673/951a590ca5fd360f443e704b5a9bc9e2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d5ba42039/723049165506673/d5ba42039443b9c5b6f3f8470732f9cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2c8db5756/723049165506673/2c8db5756f783ef94f2ec32d7a321173_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/15800fb57/723049165506673/15800fb57e8af44312f22cc5dba92678_max_476x317.jpeg"
"169907477","Newport","Land","Herbert Road, Newport, South Wales, NP19","£1,667 pcm","","","","8,712 sq. ft.","8712","8712","809","809","Located on the eastern side of Herbert Road, Newport. The property is conveniently located less than one mile from J25 of the M4.The yard comprises of a gravel surface and has recently been cleared of debris and vegetation. It is also in the process of being fenced and gated ready for occupation.","https://www.rightmove.co.uk/properties/169907477#/?channel=COM_LET","2025-12-02T10:51:30Z","","new","Marketed by Alder King, Alder King - Cardiff Office","","51.59617","-2.98637","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297413/169907477/297413_GD10205_IMG_00_0000_max_476x317.jpeg"
"87364434","Newport","Commercial Property","Commercial Road, Newport. NP20 2PA","£650 pcm","","","","","","","","","SPACIOUS. WELL PRESENTED. A1 PLANNING USE. Huge scope for many different uses for this property and in a central location with passing trade and set within many other trading businesses. The property is ready to put your stamp on it. Viewing is highly recommended. Total floor area - 29 square me...","https://www.rightmove.co.uk/properties/87364434#/?channel=COM_LET","2025-12-01T10:19:07Z","","new","Marketed by Davis & Sons, Newport","","51.582083","-2.991858","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230729/87364434/230729_PRC13049_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230729/87364434/230729_PRC13049_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230729/87364434/230729_PRC13049_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230729/87364434/230729_PRC13049_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230729/87364434/230729_PRC13049_IMG_04_0000_max_476x317.jpeg"
"169832726","Newport","Commercial Property","High Street, Newport, South Wales, NP20","£1,500 pcm","From","","","5,000 sq. ft.","5000","5000","465","465","A unique opportunity to lease a 5,000 sq ft basement/warehouse space beneath the regenerated Newport Market. This versatile unit offers excellent potential for a small warehouse, production lines, storage, fitness facilities, or private operational use. Located in the heart of Newport city centre.","https://www.rightmove.co.uk/properties/169832726#/?channel=COM_LET","2025-11-28T16:45:24Z","","new","Marketed by Loft Co, Penarth","","51.58907","-2.99662","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/169832726/290711_NMBASEMENT_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/169832726/290711_NMBASEMENT_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/169832726/290711_NMBASEMENT_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/169832726/290711_NMBASEMENT_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/169832726/290711_NMBASEMENT_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/169832726/290711_NMBASEMENT_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290711/169832726/290711_NMBASEMENT_IMG_03_0000_max_476x317.png"
"169820789","Newport","Office","Stow Park Circle, Newport","£375 pcm","","","","","","","","","SAGE & CO are pleased to offer to let this well presented Modern serviced first floor office situated in a beautiful Victorian-style building. Ideal for startups, freelancers & small businesses and remote teams needing a professional base Benefitting from kitchen area , toilet facilities an...","https://www.rightmove.co.uk/properties/169820789#/?channel=COM_LET","2025-11-28T13:50:51Z","","new","Marketed by Sage and Co Property Agents, Cwmbran","","51.582969","-3.009466","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15589/169820789/15589_34331199_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15589/169820789/15589_34331199_IMG_01_0000_max_476x317.jpeg"
"169775414","Newport","Office","Gold Tops, Newport, South Wales, NP20","£627 pcm","From","","","301–439 sq. ft.","301","439","28","41","A choice of 3 offices starting from 301 sq ft in the unique Estates Office Building at Gold Tops. Rent starting from £7525 per annum.","https://www.rightmove.co.uk/properties/169775414#/?channel=COM_LET","2025-11-27T12:20:39Z","","new","Marketed by M4 Property Consultants, Newport","","51.59009","-3.00129","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/169775414/83430_EstatesOffice_IMG_11_0000_max_476x317.jpeg"
"155164946","Newport","Light Industrial","Pontymister Industrial Estate, Risca, NP11 6NP","£435 pcm","From","","","329–1,696 sq. ft.","329","1696","31","158","Units to let in Pontymister. The unit benefits from a loading door, measuring 2.6 m wide x 3m high and W.C facilities.","https://www.rightmove.co.uk/properties/155164946#/?channel=COM_LET","2024-11-20T10:13:16Z","","size_change","Marketed by Mileway Real Estate UK Limited, Cardiff","","51.6011","-3.094","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155164946/98012_1XvumCJ7yZufeDvxnZDOy9_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155164946/98012_1XvumCJ7yZufeDvxnZDOy9_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155164946/98012_1XvumCJ7yZufeDvxnZDOy9_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155164946/98012_1XvumCJ7yZufeDvxnZDOy9_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155164946/98012_1XvumCJ7yZufeDvxnZDOy9_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98012/155164946/98012_1XvumCJ7yZufeDvxnZDOy9_IMG_01_0000_max_476x317.jpeg"
"719266041606272","Newport","Office","Platfform, 11-20 Devon Place, Newport, NP20 4NW","£1,701 pcm","","","","283–1,701 sq. ft.","283","1701","26","158","TO LET: Flexible office space for occupiers in the ICT & Digital sector.","https://www.rightmove.co.uk/properties/719266041606272#/?channel=COM_LET","2025-11-13T14:16:08Z","","size_change","Marketed by Cooke & Arkwright Limited, Office Agency","","51.588934","-2.99997","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266041606272/250433_106355-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266041606272/250433_106355-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266041606272/250433_106355-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266041606272/250433_106355-2_IMG_03_0000_max_476x317.jpeg"
