id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169685750","North Ayrshire","Serviced Office","Caledonian House, High Street, Irvine, Ayrshire, KA12","£425 pcm","","","","All-inclusive office or wellness space in a restored historic property. Flexible layout - ideal for therapists, consultants or creative professionals.","https://www.rightmove.co.uk/properties/169685750#/?channel=COM_LET","2025-11-25T11:37:47Z","","new","Marketed by Lindsay Trading Limited, Irvine","","55.6145","-4.66586","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/153b0c808/169685750/153b0c8086e8d83bca5ba7bd59cdc32e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0bd401266/169685750/0bd401266bc5c9b2bfa4739cb0e08b29_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9051fff6a/169685750/9051fff6a42986eae2f0d1073893ecd9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d3eb2d5d9/169685750/d3eb2d5d98973d5e8124168eb3e5f899_max_476x317.jpeg"
"721600970922641","North Ayrshire","Light Industrial","5  6 Arkwright Way, North Newmoor Industrial Estate, Irvine, KA11 4JU","£4,167 pcm","","","","Under refurbishment - end terraced industrial premises with secure yard currently","https://www.rightmove.co.uk/properties/721600970922641#/?channel=COM_LET","2025-11-26T11:40:06Z","","new","Marketed by G M Brown, Glasgow","","55.6158","-4.641865","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600970922641/243653_278681-2_IMG_05_0000_max_476x317.jpeg"
"169685750","North Ayrshire","Serviced Office","Caledonian House, High Street, Irvine, Ayrshire, KA12","£425 pcm","","","","All-inclusive office or wellness space in a restored historic property. Flexible layout - ideal for therapists, consultants or creative professionals.","https://www.rightmove.co.uk/properties/169685750#/?channel=COM_LET","2025-11-25T11:37:47Z","","new","Marketed by Lindsay Trading Limited, Irvine","","55.6145","-4.66586","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/153b0c808/169685750/153b0c8086e8d83bca5ba7bd59cdc32e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0bd401266/169685750/0bd401266bc5c9b2bfa4739cb0e08b29_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9051fff6a/169685750/9051fff6a42986eae2f0d1073893ecd9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d3eb2d5d9/169685750/d3eb2d5d98973d5e8124168eb3e5f899_max_476x317.jpeg"
"167404625","North Ayrshire","Commercial Development","New Street, Dalry, Ayrshire, KA24","£1,150 pcm","","","3","Breath-taking Newly Renovated Commercial Unit in North Ayrshire","https://www.rightmove.co.uk/properties/167404625#/?channel=COM_LET","2025-09-25T10:11:24Z","","price_reduced","Marketed by Wilsons Auctions Ltd, Dalry","","55.70737","-4.7182","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53944/167404625/53944_51-55NewStreet_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53944/167404625/53944_51-55NewStreet_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53944/167404625/53944_51-55NewStreet_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53944/167404625/53944_51-55NewStreet_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53944/167404625/53944_51-55NewStreet_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53944/167404625/53944_51-55NewStreet_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53944/167404625/53944_51-55NewStreet_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53944/167404625/53944_51-55NewStreet_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/54k/53944/167404625/53944_51-55NewStreet_IMG_09_0000_max_476x317.jpeg"
"168322907","North Ayrshire","Pub","Cubrieshaw Street, West Kilbride, Ayrshire, KA23","£1,875 pcm","","","","A great opportunity to acquire a new lease for an established wine and tapas business in West Kilbride.The business has always been operated under management, in our clients ownership, although would benefit from having a hands on owner operator to grow and develop the business further","https://www.rightmove.co.uk/properties/168322907#/?channel=COM_LET","2025-10-17T16:43:46Z","","new","Marketed by Christie & Co, Pubs & Restaurants","","55.69676","-4.85306","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5ca1e0cd1/168322907/5ca1e0cd17377757e0f7acd33a27453d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e4951fa14/168322907/e4951fa14671fdac538f7c155171e0cf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/570b86da9/168322907/570b86da918553d462a7c4bc75d8aeab_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/32bb66ad2/168322907/32bb66ad2aa3253876280094f5d2442c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f2baf4511/168322907/f2baf4511a4e7c103ff2c5040fbc31f6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a59eb10f5/168322907/a59eb10f5c15c25258397bcaedcd53fc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3daac698e/168322907/3daac698ee26aec8731b74a984c5149a_max_476x317.jpeg"
"151757978","North Ayrshire","Serviced Office","Byrehill Drive, Kilwinning, Ayrshire, KA13","£460 pcm","From","","","Serviced Office Rental in Kilwinning. Connect and grow your business in a workplace that fires up your imagination. Corespace Kilwinning offers a new and modern way to working in North Ayrshire, offering serviced office suites, perfect for a growing startup or a larger enterprise.","https://www.rightmove.co.uk/properties/151757978#/?channel=COM_LET","2024-08-27T12:52:50Z","","new","Marketed by CoreSpace, Ayr","","55.64677","-4.72127","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82299/151757978/82299_KilwinningOffice27_IMG_07_0000_max_476x317.jpeg"
"167778254","North Ayrshire","Industrial Development","6 Kyle Road, Irvine, KA12","£1,333 pcm","","","","Kyle Road is the main road route running through the established Irvine Industrial Estate, to the south of Irvine town centre and a short drive from the A78. Irvine is in the North Ayrshire region, around 35 miles south west of Glasgow with a 55 minute drive time. The nearby A78 and A71 roads ...","https://www.rightmove.co.uk/properties/167778254#/?channel=COM_LET","2025-10-03T15:34:17Z","","new","Marketed by DM Hall, Glasgow","","55.600698","-4.673039","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167778254/145094_WSA2887_IMG_13_0001_max_476x317.jpeg"
"167601584","North Ayrshire","Serviced Office","Caledonian House, High Street, Irvine, Ayrshire, KA12","£325 pcm","","","","All-inclusive office or wellness space in a restored historic property. Flexible layout - ideal for therapists, consultants or creative professionals.","https://www.rightmove.co.uk/properties/167601584#/?channel=COM_LET","2025-09-30T13:01:31Z","","new","Marketed by Lindsay Trading Limited, Irvine","","55.6145","-4.66586","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295157/167601584/295157_CH1001_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295157/167601584/295157_CH1001_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295157/167601584/295157_CH1001_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295157/167601584/295157_CH1001_IMG_01_0000_max_476x317.jpeg"
"167482853","North Ayrshire","Retail Property (high street)","129 Main Street, Kilwinning, KA13","£250 pcm","From","","","Main Street is the principle retailing and business location in Kilwinning town centre, located just off the main road running through the town with several free public car parks. Occupiers include a butcher, bakeries, independent clothing and retail stores and professional services including hea...","https://www.rightmove.co.uk/properties/167482853#/?channel=COM_LET","2025-09-26T14:36:14Z","","new","Marketed by DM Hall, Glasgow","","55.653567","-4.700447","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167482853/145094_WSA2870_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167482853/145094_WSA2870_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167482853/145094_WSA2870_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167482853/145094_WSA2870_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167482853/145094_WSA2870_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167482853/145094_WSA2870_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167482853/145094_WSA2870_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167482853/145094_WSA2870_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167482853/145094_WSA2870_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/167482853/145094_WSA2870_IMG_09_0001_max_476x317.jpeg"
"166638527","North Ayrshire","Commercial Property","Rennie Business Park, Factory Place, Saltcoats","£1,144 pcm","","","","Commercial Units Rennie Business Units, Factory Place, Saltcoats, KA21 5LZ Unit 10 is currently available - Annual rent £13,725 per annum exclusive of all other costs. 1830 sq ft. Service charge per annum: £1289.00 The development features 20 light industrial...","https://www.rightmove.co.uk/properties/166638527#/?channel=COM_LET","2025-09-05T14:15:58Z","","new","Marketed by Hovepark Lettings, Saltcoats","","55.63512","-4.78168","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30300/166638527/30300_34153108_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30300/166638527/30300_34153108_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30300/166638527/30300_34153108_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30300/166638527/30300_34153108_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30300/166638527/30300_34153108_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30300/166638527/30300_34153108_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30300/166638527/30300_34153108_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/31k/30300/166638527/30300_34153108_IMG_07_0000_max_476x317.png"
