id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169193390","North Lanarkshire","Retail Property (high street)","Cumbernauld Road, Glasgow, G69","£1,250 pcm","","","","900 sq. ft.","900","900","84","84","A very spacious retail property on a kerbside location in a very busy village.","https://www.rightmove.co.uk/properties/169193390#/?channel=COM_LET","2025-11-10T16:09:16Z","","new","Marketed by C&M Baldassarra Property, Glasgow","","55.89991","-4.10871","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296621/169193390/296621_laramgmt_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296621/169193390/296621_laramgmt_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296621/169193390/296621_laramgmt_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296621/169193390/296621_laramgmt_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296621/169193390/296621_laramgmt_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296621/169193390/296621_laramgmt_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296621/169193390/296621_laramgmt_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296621/169193390/296621_laramgmt_IMG_07_0000_max_476x317.jpeg"
"723050195183809","North Lanarkshire","Light Industrial","New Build Industrial Opportunity, Newhouse Industrial Estate, Motherwell, ML1 5TX","POA","","","","20,000–80,000 sq. ft.","20000","80000","1858","7432","TO LET - NEW DESIGN AND BUILD INDUSTRIAL OPPORTUNITY IN STRATEGIC LOCATION","https://www.rightmove.co.uk/properties/723050195183809#/?channel=COM_LET","2025-12-04T12:40:08Z","","size_change","Marketed by Savills, Glasgow Industrial","","55.82814","-3.957214","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214112/723050195183809/214112_102233-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214112/723050195183809/214112_102233-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214112/723050195183809/214112_102233-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214112/723050195183809/214112_102233-2_IMG_03_0000_max_476x317.jpeg"
"723048681171072","North Lanarkshire","Mixed Use","New Alderston House Suites, New Alderston House, 3 Dove Wynd, Strathclyde Business Park, Bellshill, ML4 3FB","£6,250 pcm","","","","2,125 sq. ft.","2125","2125","197","197","A stand alone office offering excellent office accommodation across various flexible suites available on an all inclusive basis.","https://www.rightmove.co.uk/properties/723048681171072#/?channel=COM_LET","2025-12-04T11:24:10Z","","size_change","Marketed by Savills, Glasgow - Office","","55.829983","-4.037422","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/225k/224378/723048681171072/224378_22456-2_IMG_10_0000_max_476x317.jpeg"
"169985924","North Lanarkshire","Light Industrial","Lenziemill Industrial Estate, Cumbernauld, G67 2XX","POA","","","","2,131 sq. ft.","2131","2131","198","198","Unit to let in Cumbernauld. This end of terrace unit benefits from electric roller shutter, LED lighting and W.C. facilities","https://www.rightmove.co.uk/properties/169985924#/?channel=COM_LET","2025-12-04T10:18:07Z","","new","Marketed by Mileway Real Estate UK Limited, Scotland","","55.9359","-3.9892","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104203/169985924/104203_20nsnsbiP3oWrhMCAglb99_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104203/169985924/104203_20nsnsbiP3oWrhMCAglb99_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104203/169985924/104203_20nsnsbiP3oWrhMCAglb99_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104203/169985924/104203_20nsnsbiP3oWrhMCAglb99_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104203/169985924/104203_20nsnsbiP3oWrhMCAglb99_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104203/169985924/104203_20nsnsbiP3oWrhMCAglb99_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/105k/104203/169985924/104203_20nsnsbiP3oWrhMCAglb99_IMG_06_0000_max_476x317.jpeg"
"722863777156064","North Lanarkshire","Retail Property (high street)","88-92 Main Street, Wishaw, ML2 7LU","£3,333 pcm","","","","5,616–10,161 sq. ft.","5616","10161","522","944","Prime Retail Unit","https://www.rightmove.co.uk/properties/722863777156064#/?channel=COM_LET","2025-12-03T10:49:04Z","","new","Marketed by Orinsen, Scotland","","55.77479","-3.921194","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282257/722863777156064/282257_225822-2_IMG_00_0000_max_476x317.jpeg"
"722849382304385","North Lanarkshire","Distribution Warehouse","Unit D2, North Caldeen Road, Coatbridge, ML5 4EF","POA","","","","11,018 sq. ft.","11018","11018","1024","1024","Refurbished modern industrial unit with dedicated yard and parking in highly accessible location.","https://www.rightmove.co.uk/properties/722849382304385#/?channel=COM_LET","2025-12-03T08:51:04Z","","new","Marketed by EGM PROPERTY CONSULTANTS LTD, Glasgow","","55.856027","-4.013583","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237797/722849382304385/237797_345653-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237797/722849382304385/237797_345653-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237797/722849382304385/237797_345653-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237797/722849382304385/237797_345653-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237797/722849382304385/237797_345653-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237797/722849382304385/237797_345653-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237797/722849382304385/237797_345653-2_IMG_06_0000_max_476x317.jpeg"
"169863419","North Lanarkshire","Office","1 Carradale Crescent, Broadwood Business Park, Cumbernauld, Glasgow, G68 9LE","POA","","","","3,100 sq. ft.","3100","3100","288","288","First floor office suite to let in established business park location in Cumbernauld with 12 dedicated car parking spaces.","https://www.rightmove.co.uk/properties/169863419#/?channel=COM_LET","2025-12-01T11:21:09Z","","new","Marketed by Ryden LLP, Glasgow","","55.93935","-4.039882","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169863419/287999_18669LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169863419/287999_18669LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169863419/287999_18669LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169863419/287999_18669LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287999/169863419/287999_18669LH_IMG_06_0000_max_476x317.jpeg"
"721600985602625","North Lanarkshire","Light Industrial","42 - 62 Telford Place, Lenziemill Industrial Estate, Cumbernauld, G67 2AX","£1,250 pcm","","","","1,175–2,350 sq. ft.","1175","2350","109","218","Light industrial / workshop units with office under full refurbishment","https://www.rightmove.co.uk/properties/721600985602625#/?channel=COM_LET","2025-11-26T11:45:05Z","","price_reduced","Marketed by G M Brown, Glasgow","","55.939741","-3.983148","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600985602625/243653_280584-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600985602625/243653_280584-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600985602625/243653_280584-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243653/721600985602625/243653_280584-2_IMG_03_0000_max_476x317.jpeg"
"723058539776417","North Lanarkshire","Office","New Alderston House, 3 Dove Wynd, Bellshill, ML4 3FB","£10,729 pcm","","","","10,300 sq. ft.","10300","10300","957","957","A stand alone modern office pavilion providing excellent open plan accommodation.","https://www.rightmove.co.uk/properties/723058539776417#/?channel=COM_LET","2025-12-04T14:55:51Z","","new","Marketed by Savills, Glasgow - Office","","55.829884","-4.037417","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2e92c9775/723058539776417/2e92c9775eabb6d28f59a9fcc528dff8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8cdee2aa2/723058539776417/8cdee2aa2dc39c79ab8a0050801151cb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/48613767d/723058539776417/48613767d015c8233ac80f9ead42d69f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bd553cf5d/723058539776417/bd553cf5d33df5935d127207d13d15d8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e77b75b28/723058539776417/e77b75b281f7d09959cbfbf4c6967f92_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/76513c211/723058539776417/76513c2117b00023422a8b7afad9d3c5_max_476x317.jpeg"
"151309319","North Lanarkshire","Industrial Development"," Flemington Industrial Park, Motherwell, ML1","£4,500 pcm","From","","","15,412 sq. ft.","15412","15412","1432","1432","Flemington Industrial Park is located to the southeast of Motherwell town centre, within close proximity to major Ravenscraig redevelopment. Access to the property is via Craignuek Street (A721), which lies a short distance to east of the M74 and south of the M8 motorways and is 15 miles sou...","https://www.rightmove.co.uk/properties/151309319#/?channel=COM_LET","2024-08-14T09:27:12Z","","size_change","Marketed by DM Hall, Glasgow","","55.782931","-3.964458","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_00_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_01_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_02_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_03_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_04_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_05_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_06_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_07_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_08_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_09_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_10_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_11_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_12_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_13_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_14_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145094/151309319/145094_WSA2617FULL_IMG_15_0007_max_476x317.jpeg"
