id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"158518727","North Somerset","Office","Macrae Road, BS20","£2,110 pcm","","","","1,688 sq. ft.","1688","1688","157","157","The property is located in Eden Office Park near Pill. Eden Office Park benefits from easy access to the M5 motorway network via Easton in Gordano, as well as being a short distance from Bristol City Centre and Avonmouth.","https://www.rightmove.co.uk/properties/158518727#/?channel=COM_LET","2025-02-20T17:06:09Z","","size_change","Marketed by Bladen Property Consultants, Bristol","","51.47841","-2.67528","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_09_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_02_0000_max_476x317.jpeg"
"169957481","North Somerset","Office","Hill Road, Clevedon","£425 pcm","","","","","","","","","Looking for office space on Hill Road with stunning views? This top floor office has recently been refurbished. The property offers a shared kitchenette and cloakroom. With the growing interest in Hill Road with local independent business's call today to arrange a viewing!","https://www.rightmove.co.uk/properties/169957481#/?channel=COM_LET","2025-12-03T13:03:50Z","","new","Marketed by Adrian Wedlake Residential Lettings & Management, Covering Clevedon","","51.439464","-2.852205","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266156/169957481/266156_34338441_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266156/169957481/266156_34338441_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266156/169957481/266156_34338441_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266156/169957481/266156_34338441_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266156/169957481/266156_34338441_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266156/169957481/266156_34338441_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/267k/266156/169957481/266156_34338441_IMG_06_0000_max_476x317.jpeg"
"169920314","North Somerset","Warehouse","Unit 22, Unit 22 Brookgate Trading Estate, Brookgate, Bristol BS3 2UN","£6,833 pcm","","","","6,507 sq. ft.","6507","6507","605","605","South Liberty Lane is the main industrial suburb within South Bristol, providing a range of warehouse, trade counter and industrial units for various businesses. Access can be provided directly from South Bristol Link Road, which now provides the estate with unrivalled access to...","https://www.rightmove.co.uk/properties/169920314#/?channel=COM_LET","2025-12-02T14:09:22Z","","new","Marketed by RUSSELL PROPERTY CONSULTANTS LIMITED, Bristol","","51.42982","-2.63314","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290438/169920314/290438_118701_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290438/169920314/290438_118701_IMG_01_0000_max_476x317.jpeg"
"169919987","North Somerset","Trade Counter","Unit 4, Unit 4, Brookgate Trading Estate, Brookgate, Bristol BS3 2UN","£5,667 pcm","","","","5,377 sq. ft.","5377","5377","500","500","Brookgate & South Liberty Lane is the main industrial suburb within South Bristol, providing a range of warehouse, trade counter and industrial units for various businesses. Access can be provided directly from South Bristol Link Road, which now provides the estate with unrivall...","https://www.rightmove.co.uk/properties/169919987#/?channel=COM_LET","2025-12-02T14:06:17Z","","new","Marketed by RUSSELL PROPERTY CONSULTANTS LIMITED, Bristol","","51.42982","-2.63314","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290438/169919987/290438_118702_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290438/169919987/290438_118702_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290438/169919987/290438_118702_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290438/169919987/290438_118702_IMG_03_0000_max_476x317.jpeg"
"158518727","North Somerset","Office","Macrae Road, BS20","£2,110 pcm","","","","1,688 sq. ft.","1688","1688","157","157","The property is located in Eden Office Park near Pill. Eden Office Park benefits from easy access to the M5 motorway network via Easton in Gordano, as well as being a short distance from Bristol City Centre and Avonmouth.","https://www.rightmove.co.uk/properties/158518727#/?channel=COM_LET","2025-02-20T17:06:09Z","","size_change","Marketed by Bladen Property Consultants, Bristol","","51.47841","-2.67528","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_09_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216821/158518727/216821_BCP144_IMG_02_0000_max_476x317.jpeg"
"169836728","North Somerset","Office","Ground Floor, 4 Rivermead Court , Windmill Road, Kenn, Clevedon, Somerset, BS21","£6,250 pcm","","","","5,309 sq. ft.","5309","5309","493","493","4 Rivermead Court comprises a ground floor open plan office, of approximately 5,309 sq ft (493.22 sq m) NIA of high quality office accommodation. The property benefits from a kitchenette, meeting rooms, disabled, male and female W.C facilities, a shower, bike rack and 21 car parking spaces. The ...","https://www.rightmove.co.uk/properties/169836728#/?channel=COM_LET","2025-11-28T17:52:16Z","","new","Marketed by Burston Cook, Burston Cook","","51.42194","-2.849513","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/169836728/211994_5854LH_IMG_06_0000_max_476x317.jpeg"
"168460589","North Somerset","Office","Caswell Park, Caswell Lane, Clapton in Gordano, Bristol","£395 pcm","","","","","","","","","OFFICE SPACE TO RENT - APPROX. 250 SQ FT | SUITE 4 Available now in Clapton in Gordano, Suite 4 offers a compact and modern office space of approximately 250 sq ft - perfect for small businesses or solo professionals.","https://www.rightmove.co.uk/properties/168460589#/?channel=COM_LET","2025-10-22T00:45:35Z","","price_reduced","Marketed by Holbrook Moran, Redfield","","51.4644","-2.75239","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168460589/16976_CL0023_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168460589/16976_CL0023_IMG_01_0000_max_476x317.jpeg"
"168410564","North Somerset","Office","Caswell Park","£1,195 pcm","","","","","","","","","OFFICE SPACE TO RENT!! Suite 6 & 7 available in a shared office complex in Clapton in Gordano 1500sq foot approx, this modern office comes with off street parking for 6 cars and benefits from a fully serviced common aera, kitchen and bathroom. SERVICE CHARGE NOT INCLUDED ","https://www.rightmove.co.uk/properties/168410564#/?channel=COM_LET","2025-10-21T00:45:22Z","","price_reduced","Marketed by Holbrook Moran, Redfield","","51.464848","-2.751005","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16976/168410564/16976_CL0021_IMG_13_0000_max_476x317.jpeg"
"169700645","North Somerset","Light Industrial","Oldmixon Crescent, Weston-Super-Mare, Somerset, BS24","£317 pcm","","","","380–2,708 sq. ft.","380","2708","35","252","Various units to let. The properties are of steel frame constructionwith blockwork internal walls and mixture of brickor a clad frontage, under a steel clad roof. Themajority of the units have a minimum eavesheight of approx. 3 metres. The units benefitfrom communal WCs and parking outside. ","https://www.rightmove.co.uk/properties/169700645#/?channel=COM_LET","2025-11-25T15:07:05Z","","new","Marketed by Hootons Commercial Ltd, Bristol","","51.32896","-2.95914","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83374/169700645/83374_BWEstate_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83374/169700645/83374_BWEstate_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83374/169700645/83374_BWEstate_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83374/169700645/83374_BWEstate_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83374/169700645/83374_BWEstate_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83374/169700645/83374_BWEstate_IMG_05_0000_max_476x317.jpeg"
"87065316","North Somerset","Retail Property (high street)","40a High Street, Portishead, Bristol, Somerset, BS20","POA","","","","1,226 sq. ft.","1226","1226","114","114","The premises comprises a high-quality self-contained fully corner pitched retail unit over ground and first floor. The property benefits from front and side access into the main sales space, with additional stores and W.C's to the rear and upper parts. There is a rear car park with space for t...","https://www.rightmove.co.uk/properties/87065316#/?channel=COM_LET","2025-01-21T09:50:42Z","","new","Marketed by Burston Cook, Burston Cook","","51.48473","-2.768876","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/87065316/211994_3685LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/87065316/211994_3685LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/87065316/211994_3685LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/87065316/211994_3685LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/87065316/211994_3685LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211994/87065316/211994_3685LH_IMG_05_0000_max_476x317.jpeg"
