id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"158562491","North Tyneside","Distribution Warehouse","Unit L7, Intersect 19, Tyne Tunnel Trading Estate, North Shields, NE29 7SW","POA","","","","New high bay 72,898 sq ft unit Quoting Rent £594500 Unit L7 is the final unit within the highly successful Intersect 19 scheme. Unit L7 has been built to the following specification: OFFICE ACCOMMODATION High specification open plan office to CAT A Meeting room &...","https://www.rightmove.co.uk/properties/158562491#/?channel=COM_LET","2025-02-21T15:03:30Z","","new","Marketed by Knight Frank, Newcastle - Commercial","","55.005852","-1.485285","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_00_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_01_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_02_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_03_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_04_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_05_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_06_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_07_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_08_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_09_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_10_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_11_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/158562491/155516_CPD94602_IMG_12_0003_max_476x317.jpeg"
"159157556","North Tyneside","Retail Property (out of town)","4 Cherwell Square, Forest Hall, Newcastle Upon Tyne","£349 pcm","","","","Ground Floor Commercial Unit. Floor Area circa 125.7 sq. ft (11.68 sq. m.). Recently Been Fully Refurbished. Suitable for a Variety of Uses. Designated Parking. Rent Includes Electric, Water, Rates & Building Insurance. Rent £4,188 per annum (£99pcm for utilities) Ref I190 ","https://www.rightmove.co.uk/properties/159157556#/?channel=COM_LET","2025-03-07T17:27:34Z","","price_reduced","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","55.02601","-1.572218","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/159157556/63935_12620026_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/159157556/63935_12620026_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/159157556/63935_12620026_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/159157556/63935_12620026_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/159157556/63935_12620026_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/159157556/63935_12620026_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/159157556/63935_12620026_IMG_06_0000_max_476x317.jpeg"
"169826390","North Tyneside","Commercial Property","High Street West, Wallsend","£900 pcm","","","1","GROUND FLOOR COMMERCIAL UNIT – A3/A4/A5 CONSENT – 678 sq. ft – AVAILABLE NOW An excellent opportunity to let this versatile ground floor commercial unit positioned on High Street West, Wallsend. Offering A3/A4/A5 usage, the premises are well-suited to a range of food, beverage or retail ...","https://www.rightmove.co.uk/properties/169826390#/?channel=COM_LET","2025-11-28T15:16:17Z","","new","Marketed by Bowson, Jesmond","","54.990299","-1.537572","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/161k/160469/169826390/160469_32620071_IMG_10_0000_max_476x317.jpeg"
"169808057","North Tyneside","Mixed Use","Flexspace North Shields, Orion Business Park, Orion Way, North Shields, NE29 7SN","£1,635 pcm","From","","","Rent Free* Incentives available on a 12-Month Agreement! Modern business units in North Shields on Tyne Tunnel Industrial Estate, just minutes from the A19. Ideal for trades, storage, eCommerce and more. Secure site via CCTV and Security Lighting, 24/7 access, ample parking. ","https://www.rightmove.co.uk/properties/169808057#/?channel=COM_LET","2025-11-28T10:51:57Z","","new","Marketed by Flexspace, Peterborough","","55.00903","-1.4917","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/284k/283811/169808057/283811_NorthShieldsUNITS12and5_IMG_20_0000_max_476x317.jpeg"
"169789055","North Tyneside","Pub","Church Street, North Shields, North Shields","£1,000 pcm","","","","TO LET Prominent Town Centre Position Near Albion Road Junction Bar/Resturant use","https://www.rightmove.co.uk/properties/169789055#/?channel=COM_LET","2025-11-27T16:01:54Z","","new","Marketed by R A JACKSON & SON LLP, North Shields","","55.010295","-1.447679","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243566/169789055/243566_34329467_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243566/169789055/243566_34329467_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243566/169789055/243566_34329467_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243566/169789055/243566_34329467_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243566/169789055/243566_34329467_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243566/169789055/243566_34329467_IMG_05_0000_max_476x317.jpeg"
"169749632","North Tyneside","Commercial Property","11 Farringdon Road, Cullercoats","£800 pcm","","","","Unit to let. Retail unit. Floor area 31.2 sq.m. (335.9 sq.ft.). Suitable for a variety of uses (stpp). Ground floor retail unit on popular shopping parade. Prominent position. New flexible lease terms. Garage to the rear of the property included. EPC: D Rent: £9,600 per annum Ref I350 ","https://www.rightmove.co.uk/properties/169749632#/?channel=COM_LET","2025-11-26T16:37:07Z","","new","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","55.032661","-1.442757","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/169749632/63935_12789732_IMG_00_0000_max_476x317.jpeg"
"721263721491473","North Tyneside","Office","Office Suites To Let in Killingworth, Henson House, Planet Place, Killingworth, Newcastle upon Tyne, NE12 6RZ","£504 pcm","","","","Office Suites To Let","https://www.rightmove.co.uk/properties/721263721491473#/?channel=COM_LET","2025-11-24T14:50:02Z","","size_change","Marketed by Sanderson Weatherall, Newcastle","","55.029696","-1.577241","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/721263721491473/261938_299373-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/721263721491473/261938_299373-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/721263721491473/261938_299373-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/721263721491473/261938_299373-2_IMG_03_0000_max_476x317.jpeg"
"715072639364673","North Tyneside","Light Industrial","Two Storey Hybrid Unit To Let in Wallsend, Nelson House, Oceana Business Park, Davy Bank, Wallsend, NE28 6UZ","POA","","","","Two Storey Hybrid Unit","https://www.rightmove.co.uk/properties/715072639364673#/?channel=COM_LET","2025-10-23T10:40:08Z","","size_change","Marketed by Sanderson Weatherall, Newcastle","","54.989328","-1.522669","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/715072639364673/261938_295325-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/715072639364673/261938_295325-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/715072639364673/261938_295325-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/715072639364673/261938_295325-2_IMG_03_0000_max_476x317.jpeg"
"719240425040512","North Tyneside","Office","Cobalt 54, 1 Quick Silver Way, Cobalt Business Park, Newcastle upon Tyne, NE27 0QQ","POA","","","","Serviced Office Space TO LET","https://www.rightmove.co.uk/properties/719240425040512#/?channel=COM_LET","2025-11-13T10:50:12Z","","size_change","Marketed by Align Chartered Surveyors, Northallerton","","55.022556","-1.512891","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240425040512/226952_288222-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240425040512/226952_288222-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240425040512/226952_288222-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240425040512/226952_288222-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240425040512/226952_288222-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240425040512/226952_288222-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240425040512/226952_288222-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240425040512/226952_288222-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240425040512/226952_288222-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240425040512/226952_288222-2_IMG_09_0000_max_476x317.jpeg"
"698587246474816","North Tyneside","Office","Modern Office Space To Let in North Shields, Kings Court, Earl Grey Way, North Shields, NE29 6AR","POA","","","","Modern Office Space To Let","https://www.rightmove.co.uk/properties/698587246474816#/?channel=COM_LET","2025-10-23T16:28:07Z","","size_change","Marketed by Sanderson Weatherall, Newcastle","","54.998367","-1.460503","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698587246474816/261938_197850-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698587246474816/261938_197850-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698587246474816/261938_197850-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698587246474816/261938_197850-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698587246474816/261938_197850-2_IMG_04_0001_max_476x317.jpeg"
