id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"162801302","Northamptonshire","Retail Property (high street)","The Ritz, College Street , Rushden, Northamptonshire, NN10","POA","","","","111–8,194 sq. ft.","111","8194","10","761","A landmark Art Deco Property offering approximately 8,194 sq ft of commercial space over two floors in Rushden. Originally opened as The Ritz Cinema in 1936 and later used as a bingo hall, the building retains many original features and provides flexible accommodation suitable for a range of uses...","https://www.rightmove.co.uk/properties/162801302#/?channel=COM_LET","2025-06-03T16:33:31Z","","size_change","Marketed by Stimpsons Eves, Bedford","","52.289867","-0.598623","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/162801302/287522_1087LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/162801302/287522_1087LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/162801302/287522_1087LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/162801302/287522_1087LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/162801302/287522_1087LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/162801302/287522_1087LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/162801302/287522_1087LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/162801302/287522_1087LH_IMG_07_0000_max_476x317.jpeg"
"723056436434337","Northamptonshire","Retail Property (Shopping Centre)","9-10 Bowen Square, Daventry, NN11 4DR","£3,333 pcm","","","","3,178 sq. ft.","3178","3178","295","295","Retail Unit to Let in Daventry","https://www.rightmove.co.uk/properties/723056436434337#/?channel=COM_LET","2025-12-04T14:54:41Z","","new","Marketed by Savills, Leeds - Retail","","52.257259","-1.161705","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251261/723056436434337/251261_302041-2_IMG_00_0000_max_476x317.png"
"169991060","Northamptonshire","Office","Cotton End, Northampton, Northamptonshire, NN4","POA","","","3","1,647 sq. ft.","1647","1647","153","153","Highly prominent landmark buildingwithin easy walking distance of the town centreSuites 1 and 2 available. Ground floor.51.8m2 (557 Sq.Ft.) and 153 m2 (1647 Sq.Ft.)Or combined 204m2 (2204 Sq.Ft.)Rent: from £13 per Sq.Ft. per annum exclusive","https://www.rightmove.co.uk/properties/169991060#/?channel=COM_LET","2025-12-04T11:49:43Z","","new","Marketed by Chown Commercial Limited, Northampton","","52.2297","-0.896","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165971/169991060/165971_TheOldGranarySouthbridgeNorthampton_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/166k/165971/169991060/165971_TheOldGranarySouthbridgeNorthampton_IMG_01_0000_max_476x317.png"
"723048291098497","Northamptonshire","Light Industrial","Build To Suit, Prologis RFI DIRFT, Daventry, NN6 7FT","POA","","","","100,000–750,000 sq. ft.","100000","750000","9290","69677","Build to suit options available up to 750,000 sq ft at the UK's leading rail served logistics park","https://www.rightmove.co.uk/properties/723048291098497#/?channel=COM_LET","2025-12-04T11:13:08Z","","new","Marketed by Savills, Margaret Street - Industrial","","52.355429","-1.158161","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2f92f05ed/723048291098497/2f92f05ed4d861b634abf0790dac76f4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0610d7112/723048291098497/0610d7112f065bd10623ead6526b6863_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6346ab727/723048291098497/6346ab727780cdcb57e941050dae8e66_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cabf86772/723048291098497/cabf86772a7dcb625110524896b227ab_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/067adc665/723048291098497/067adc665a40afdcd7d44f96eae33793_max_476x317.jpeg"
"169967336","Northamptonshire","Warehouse","Quattro, London Road, Raunds, NN9 6EQ","POA","","","","10,650–248,800 sq. ft.","10650","248800","989","23114","New Industrial and Logistics Units - Under Construction Now","https://www.rightmove.co.uk/properties/169967336#/?channel=COM_LET","2025-12-03T15:54:49Z","","size_change","Marketed by Bidwells LLP, Cambridge","","52.350091","-0.546872","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967336/281033_232144-2_IMG_10_0000_max_476x317.jpeg"
"169967300","Northamptonshire","Warehouse","Q10 Quattro, London Road, Raunds, NN9 6EQ","POA","","","","10,650 sq. ft.","10650","10650","989","989","Industrial / Industrial / Industrial / Storage To Let, Raunds","https://www.rightmove.co.uk/properties/169967300#/?channel=COM_LET","2025-12-03T15:54:04Z","","size_change","Marketed by Bidwells LLP, Cambridge","","52.352245","-0.54626","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967300/281033_340289-2_IMG_10_0000_max_476x317.jpeg"
"169967225","Northamptonshire","Warehouse","Q40 Quattro, London Road, Raunds, NN9 6EQ","POA","","","","40,700 sq. ft.","40700","40700","3781","3781","Industrial / Industrial / Industrial / Storage To Let, Raunds","https://www.rightmove.co.uk/properties/169967225#/?channel=COM_LET","2025-12-03T15:52:33Z","","size_change","Marketed by Bidwells LLP, Cambridge","","52.352245","-0.54626","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169967225/281033_340288-2_IMG_10_0000_max_476x317.jpeg"
"169966214","Northamptonshire","Warehouse","Q80 Quattro, London Road, Raunds, NN9 6EQ","POA","","","","80,400 sq. ft.","80400","80400","7469","7469","Industrial / Industrial / Industrial / Storage To Let, Raunds","https://www.rightmove.co.uk/properties/169966214#/?channel=COM_LET","2025-12-03T15:34:55Z","","size_change","Marketed by Bidwells LLP, Cambridge","","52.352245","-0.54626","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966214/281033_340287-2_IMG_10_0000_max_476x317.jpeg"
"169966121","Northamptonshire","Warehouse","Q117 Quattro, London Road, Raunds, NN9 6EQ","POA","","","","117,050 sq. ft.","117050","117050","10874","10874","Industrial / Industrial / Industrial / Storage To Let, Raunds","https://www.rightmove.co.uk/properties/169966121#/?channel=COM_LET","2025-12-03T15:33:21Z","","new","Marketed by Bidwells LLP, Cambridge","","52.352245","-0.54626","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281033/169966121/281033_340286-2_IMG_10_0000_max_476x317.jpeg"
"722890616482785","Northamptonshire","Distribution Warehouse","Ground floor warehouse/workshop, Unit 4, Cirrus Park, Northampton, NN3 6UR","£1,667 pcm","","","","2,466 sq. ft.","2466","2466","229","229","Ground floor warehouse/workshop","https://www.rightmove.co.uk/properties/722890616482785#/?channel=COM_LET","2025-12-03T14:19:03Z","","new","Marketed by Hadlands Chartered Surveyors, Northampton","","52.280852","-0.870655","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103204/722890616482785/103204_275435-2_IMG_00_0000_max_476x317.jpeg"
