id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169187843","Oldham","Land","The Cracking Container Company, Hollins Road, Oldham, Greater Manchester, OL8","£3,600 pcm","","","","10,890 sq. ft.","10890","10890","1012","1012","Secure 0.25-acre open yard with concrete surface, gated entry, 24/7 access, and full CCTV coverage. Excellent location just 30 seconds from the M60 - ideal for storage, parking, or logistics use.","https://www.rightmove.co.uk/properties/169187843#/?channel=COM_LET","2025-11-10T15:21:32Z","","new","Marketed by Zebra Self Storage, Oldham","","53.51825","-2.14429","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169187843/296456_Yard1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169187843/296456_Yard1_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169187843/296456_Yard1_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169187843/296456_Yard1_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169187843/296456_Yard1_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169187843/296456_Yard1_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169187843/296456_Yard1_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169187843/296456_Yard1_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169187843/296456_Yard1_IMG_07_0001_max_476x317.jpeg"
"169831463","Oldham","Commercial Property","Manchester Road, Oldham, Lancashire, OL9","£1,850 pcm","","","1","","","","","","Prime commercial property To Let on Manchester Road, Oldham. This versatile shop premises is strategically located for business . An exceptional opportunity in a vibrant and prosperous area!","https://www.rightmove.co.uk/properties/169831463#/?channel=COM_LET","2025-11-28T16:21:52Z","","price_reduced","Marketed by Madina Property, Manchester","","53.5309","-2.1341","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58065/169831463/58065_2716_IMG_13_0000_max_476x317.jpeg"
"169804118","Oldham","Office","Lord Chambers 11 Church Lane, Oldham, OL1","£1,875 pcm","","","","2,136 sq. ft.","2136","2136","198","198","Lord Chambers at 11 Church Lane is in the heart of Oldham town centre, just off Lord Street within a conservation area close to pedestrianised High Street, Parliament Square and the multiplex cinema. It is adjacent to Oldham Parish Church, opposite Age Uk and close to all town centre amenities, i...","https://www.rightmove.co.uk/properties/169804118#/?channel=COM_LET","2025-11-28T09:21:35Z","","new","Marketed by Breakey & Nuttall Chartered Surveyors, Royton","","53.542202","-2.110639","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169804118/277697_1606LH_IMG_10_0000_max_476x317.jpeg"
"169785614","Oldham","Retail Property (out of town)","121-123 Yorkshire Street, Oldham, OL1","£1,083 pcm","","","","1,662 sq. ft.","1662","1662","154","154","Two storey retail/office premises extending to 154.40 sq m (1,662 sq ft) or thereabouts. The ground floor provides open plan sales/reception office, rear office/meeting room, kitchen, toilet facilities and loading area. The first floor, which is open plan, currently accessed via a stairwell from...","https://www.rightmove.co.uk/properties/169785614#/?channel=COM_LET","2025-11-27T15:01:17Z","","new","Marketed by Breakey & Nuttall Chartered Surveyors, Royton","","53.542055","-2.104527","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169785614/277697_29LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169785614/277697_29LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169785614/277697_29LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169785614/277697_29LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169785614/277697_29LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169785614/277697_29LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/278k/277697/169785614/277697_29LH_IMG_06_0000_max_476x317.jpeg"
"155819186","Oldham","Light Industrial","Pennant Street Industrial Estate, Pennant Street, Oldham, Lancashire, OL1","£2,916 pcm","Offers in Region of","","1","6,700 sq. ft.","6700","6700","622","622","Located within the established Pennant Street Industrial Estate, this versatile property is now available to let, with a quoting rent of £35,000 per annum.","https://www.rightmove.co.uk/properties/155819186#/?channel=COM_LET","2024-12-10T11:54:14Z","","price_reduced","Marketed by Kirkham Property, Chadderton","","53.546902","-2.094603","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229673/155819186/229673_160_IMG_10_0000_max_476x317.jpeg"
"698589406543712","Oldham","Light Industrial","Parkside Industrial Estate, Edge Lane Street, Royton, Oldham, OL2 6DS","POA","","","","750–1,077 sq. ft.","750","1077","70","100","Industrial units to let on an established industrial estate.","https://www.rightmove.co.uk/properties/698589406543712#/?channel=COM_LET","2025-10-23T12:39:05Z","","size_change","Marketed by Sanderson Weatherall, Manchester","","53.565247","-2.117318","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/698589406543712/261932_301854-2_IMG_00_0001_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/698589406543712/261932_301854-2_IMG_01_0001_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/698589406543712/261932_301854-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/698589406543712/261932_301854-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/698589406543712/261932_301854-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/698589406543712/261932_301854-2_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261932/698589406543712/261932_301854-2_IMG_06_0001_max_476x317.jpeg"
"719240546673009","Oldham","Serviced Office","Chambers Business Centre, Chapel Road, Oldham, OL8 4QQ","POA","","","","120–6,244 sq. ft.","120","6244","11","580","Serviced office space TO LET","https://www.rightmove.co.uk/properties/719240546673009#/?channel=COM_LET","2025-11-13T10:55:07Z","","size_change","Marketed by Align Chartered Surveyors, Northallerton","","53.524879","-2.137406","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240546673009/226952_290807-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240546673009/226952_290807-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240546673009/226952_290807-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240546673009/226952_290807-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240546673009/226952_290807-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240546673009/226952_290807-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240546673009/226952_290807-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240546673009/226952_290807-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240546673009/226952_290807-2_IMG_08_0001_max_476x317.jpeg"
"722532779666177","Oldham","Distribution Warehouse","Unit 4, Suthers Street, Oldham, OL9 7TH","£5,833 pcm","","","","3,085–11,810 sq. ft.","3085","11810","287","1097","A single storey steel portal frame warehouse with WCs, level access loading and a mezzanine","https://www.rightmove.co.uk/properties/722532779666177#/?channel=COM_LET","2025-12-01T14:56:06Z","","size_change","Marketed by B.C Real Estate Limited, Manchester","","53.538734","-2.133179","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254753/722532779666177/254753_273324-2_IMG_13_0000_max_476x317.jpeg"
"169561229","Oldham","Retail Property (high street)","Manchester Road, Oldham","£700 pcm","","","","539 sq. ft.","539","539","50","50","Mcdermott & Co., offer to the rental market a main road position end shop giving great potential for many businesses, there are windows to both front and side of the property and some parking bays to the side with additional free customer parking within the local area. The shop is very secure h...","https://www.rightmove.co.uk/properties/169561229#/?channel=COM_LET","2025-11-21T09:57:08Z","","new","Marketed by Mcdermott & Co Property Agents, Greenfield","","53.528301","-2.135606","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288029/169561229/288029_34318366_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288029/169561229/288029_34318366_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288029/169561229/288029_34318366_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288029/169561229/288029_34318366_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288029/169561229/288029_34318366_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288029/169561229/288029_34318366_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288029/169561229/288029_34318366_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288029/169561229/288029_34318366_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288029/169561229/288029_34318366_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288029/169561229/288029_34318366_IMG_09_0000_max_476x317.jpeg"
"169207616","Oldham","Storage","The Cracking Container Company LTD, Hollins Road, Oldham, Greater Manchester, OL8","£180 pcm","From","","","160–320 sq. ft.","160","320","15","30","Secure container storage available with 20ft and 40ft units. 24-hour access and CCTV on-site in a prime location just 30 seconds from the M60 Motorway. Ideal for personal or business storage needs.","https://www.rightmove.co.uk/properties/169207616#/?channel=COM_LET","2025-11-11T08:38:27Z","","size_change","Marketed by Zebra Self Storage, Oldham","","53.51837","-2.14483","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169207616/296456_Containers_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169207616/296456_Containers_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169207616/296456_Containers_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169207616/296456_Containers_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169207616/296456_Containers_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169207616/296456_Containers_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169207616/296456_Containers_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296456/169207616/296456_Containers_IMG_07_0000_max_476x317.jpeg"
