id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"153673790","Oxfordshire","Business Park","The Ranges, Bicester Motion, OX26","POA","","","","15,000–120,000 sq. ft.","15000","120000","1394","11148","Rare opportunity to join Bicester Motion's The Ranges, a bespoke development of new, high-specification HQ buildings for future mobility design, light manufacturing, and research and development.","https://www.rightmove.co.uk/properties/153673790#/?channel=COM_LET","2024-10-11T16:55:47Z","","size_change","Marketed by Adalta Real, Banbury","","51.9119","-1.13471","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114649/153673790/114649_TheRanges_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114649/153673790/114649_TheRanges_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114649/153673790/114649_TheRanges_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114649/153673790/114649_TheRanges_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114649/153673790/114649_TheRanges_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114649/153673790/114649_TheRanges_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/115k/114649/153673790/114649_TheRanges_IMG_05_0000_max_476x317.jpeg"
"723055631131057","Oxfordshire","Office","The Foundry, 3-5 Hythe Bridge Street, Oxford, OX1 2EW","POA","","","","2,982 sq. ft.","2982","2982","277","277","Rarely available fitted city centre offices on flexible lease terms and ready for immediate occupation.","https://www.rightmove.co.uk/properties/723055631131057#/?channel=COM_LET","2025-12-04T14:53:47Z","","new","Marketed by Savills, Oxford Industrial","","51.753231","-1.266054","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723055631131057/214121_290773-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723055631131057/214121_290773-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723055631131057/214121_290773-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723055631131057/214121_290773-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723055631131057/214121_290773-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723055631131057/214121_290773-2_IMG_05_0000_max_476x317.jpeg"
"723054769204112","Oxfordshire","Mixed Use","Monarch House, Abingdon Science Park, Barton Lane, Abingdon, OX14 3NB","POA","","","","1,500–10,183 sq. ft.","1500","10183","139","946","Fully fitted CL2 laboratory accommodation, available for immediate occupation.","https://www.rightmove.co.uk/properties/723054769204112#/?channel=COM_LET","2025-12-04T14:52:18Z","","new","Marketed by Savills, Oxford Industrial","","51.673744","-1.265725","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723054769204112/214121_277992-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723054769204112/214121_277992-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723054769204112/214121_277992-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723054769204112/214121_277992-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723054769204112/214121_277992-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723054769204112/214121_277992-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214121/723054769204112/214121_277992-2_IMG_06_0000_max_476x317.jpeg"
"723052168736336","Oxfordshire","Mixed Use","1  2 Fallaize Street, Oxford North, Oxford, OX2 8GD","POA","","","","12,152–117,580 sq. ft.","12152","117580","1129","10924","Prestigious purpose built laboratory and grade A office building under construction, available now.","https://www.rightmove.co.uk/properties/723052168736336#/?channel=COM_LET","2025-12-04T13:56:07Z","","new","Marketed by Savills, Oxford Industrial","","51.79009","-1.287359",""
"169983002","Oxfordshire","Warehouse","Unit 8, Network @ Link9, Longlands Road, Bicester, OX26 5AH","POA","","","","17,433 sq. ft.","17433","17433","1620","1620","Unit 8, Network @ Link9 Bicester is a modern, semi-detached industrial warehouse unit with 10m clear height and a large service yard area","https://www.rightmove.co.uk/properties/169983002#/?channel=COM_LET","2025-12-04T09:18:54Z","","new","Marketed by Hollis Hockley, Reading","","51.909529","-1.127867","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169983002/297365_334714-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169983002/297365_334714-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169983002/297365_334714-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169983002/297365_334714-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169983002/297365_334714-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169983002/297365_334714-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169983002/297365_334714-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169983002/297365_334714-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169983002/297365_334714-2_IMG_08_0000_max_476x317.jpeg"
"169981820","Oxfordshire","Serviced Office","Trident House & Building 3, Trident Business Park, Basil Hill Road, Ground and First Floor, OX11 7HJ","£139 pcm","From","","4","54–26,490 sq. ft.","54","26490","5","2461","Enjoy unlimited office access at Trident House. Work in modern, light-filled spaces with scenic green views and top business facilities.","https://www.rightmove.co.uk/properties/169981820#/?channel=COM_LET","2025-12-04T08:59:05Z","","new","Marketed by IW Group Services (UK) Limited, Regus","","51.61907","-1.25696","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169981820/129853_UKbwg10554_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169981820/129853_UKbwg10554_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169981820/129853_UKbwg10554_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169981820/129853_UKbwg10554_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169981820/129853_UKbwg10554_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169981820/129853_UKbwg10554_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169981820/129853_UKbwg10554_IMG_06_0000_max_476x317.jpeg"
"169982033","Oxfordshire","Serviced Office","Trident House & Building 3, Trident Business Park, Basil Hill Road, Ground and First Floor, OX11 7HJ","£195 pcm","From","","4","86–26,490 sq. ft.","86","26490","8","2461","Flexible coworking in Trident House. Work surrounded by green space, with sleek interiors and a collaborative business vibe.","https://www.rightmove.co.uk/properties/169982033#/?channel=COM_LET","2025-12-04T09:01:00Z","","new","Marketed by IW Group Services (UK) Limited, Regus","","51.61907","-1.25696","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169982033/129853_UKbwp10554_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169982033/129853_UKbwp10554_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169982033/129853_UKbwp10554_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169982033/129853_UKbwp10554_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169982033/129853_UKbwp10554_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169982033/129853_UKbwp10554_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169982033/129853_UKbwp10554_IMG_01_0000_max_476x317.jpeg"
"722869884061344","Oxfordshire","Mixed Use","7 Fenchurch Court, Bobby Fryer Close, Cowley, Oxford, OX4 6ZN","£3,815 pcm","","","","2,289 sq. ft.","2289","2289","213","213","Detached Warehouse/Office Unit","https://www.rightmove.co.uk/properties/722869884061344#/?channel=COM_LET","2025-12-03T12:03:10Z","","new","Marketed by CBRE - Birmingham, Birmingham Office","","51.728611","-1.200254","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869884061344/250754_230890-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869884061344/250754_230890-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869884061344/250754_230890-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869884061344/250754_230890-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869884061344/250754_230890-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869884061344/250754_230890-2_IMG_05_0000_max_476x317.jpeg"
"722869848581841","Oxfordshire","Mixed Use","Unit 7 Nuffield Industrial Estate, Ledgers Close, Oxford, OX4 6JS","POA","","","","3,755 sq. ft.","3755","3755","349","349","Unit 7 Nuffield Industrial Estate Oxford","https://www.rightmove.co.uk/properties/722869848581841#/?channel=COM_LET","2025-12-03T12:02:11Z","","new","Marketed by CBRE - Birmingham, Birmingham Office","","51.72231","-1.214058","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869848581841/250754_224952-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869848581841/250754_224952-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869848581841/250754_224952-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869848581841/250754_224952-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869848581841/250754_224952-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869848581841/250754_224952-2_IMG_05_0000_max_476x317.jpeg"
"169946651","Oxfordshire","Office","Building 7200, ARC Oxford, Garsington Road, Oxford, OX4 2JZ","POA","","","","2,757–5,567 sq. ft.","2757","5567","256","517","Fitted CL2 Labs with modern offices","https://www.rightmove.co.uk/properties/169946651#/?channel=COM_LET","2025-12-03T10:14:09Z","","size_change","Marketed by Bidwells LLP, Oxford","","51.734471","-1.207174","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946651/288026_300507-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946651/288026_300507-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946651/288026_300507-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946651/288026_300507-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946651/288026_300507-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946651/288026_300507-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946651/288026_300507-2_IMG_06_0000_max_476x317.jpeg"
"169946426","Oxfordshire","Office","Jordan Hill Oxford, Banbury Road, Oxford, OX2 8EJ","POA","","","","17,600 sq. ft.","17600","17600","1635","1635","Refurbished Open-Plan Office To Let, North Oxford","https://www.rightmove.co.uk/properties/169946426#/?channel=COM_LET","2025-12-03T10:09:17Z","","size_change","Marketed by Bidwells LLP, Oxford","","51.793255","-1.273282","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946426/288026_71360-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946426/288026_71360-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946426/288026_71360-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169946426/288026_71360-2_IMG_03_0000_max_476x317.jpeg"
"169933958","Oxfordshire","Storage","Unit 26, Nuffield Centrum, Abingdon, OX14 1RL","POA","","","","6,959 sq. ft.","6959","6959","647","647","Industrial / Storage To Let, Abingdon","https://www.rightmove.co.uk/properties/169933958#/?channel=COM_LET","2025-12-02T17:32:32Z","","new","Marketed by Bidwells LLP, Oxford","","51.673553","-1.305478","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169933958/288026_340274-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169933958/288026_340274-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169933958/288026_340274-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169933958/288026_340274-2_IMG_03_0000_max_476x317.jpeg"
"169933886","Oxfordshire","Office","Inventa, Botley Road, Oxford, OX2 0HA","POA","","","","4,075–26,554 sq. ft.","4075","26554","379","2467","Inventa is a brand new purpose built Laboratory and Office building in central Oxford with 65,000 sq ft of accommodation.","https://www.rightmove.co.uk/properties/169933886#/?channel=COM_LET","2025-12-02T17:31:09Z","","new","Marketed by Bidwells LLP, Oxford","","51.751766","-1.286562","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169933886/288026_278822-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169933886/288026_278822-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288026/169933886/288026_278822-2_IMG_02_0000_max_476x317.jpeg"
