id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167715443","Pembrokeshire","Retail Property (high street)","Retail Unit at 63 Charles Street, Milford Haven, Pembrokeshire, South West Wales, SA73","£499 pcm","","","1","Shop to let in Milford. Spacious storefront and signage area. Town centre. Lowest rent guarantee. Self-contained. Flexible terms. ","https://www.rightmove.co.uk/properties/167715443#/?channel=COM_LET","2025-10-02T14:02:31Z","","new","Marketed by Felis Ltd, Camberley","","51.71307","-5.03492","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_04_0000_max_476x317.jpeg"
"169388180","Pembrokeshire","Commercial Property","Pub and 4 Bedroom House","£2,500 pcm","","","","A great opportunity to take on the lease of a large public house/restaurant with a 4 bed house, in the heart of the picturesque village of Penally. On the ground floor is a bar/dining area and on the first floor is a function room and restaurant with a fully fitted commercial kitchen. Outside to ...","https://www.rightmove.co.uk/properties/169388180#/?channel=COM_LET","2025-11-17T09:12:34Z","","new","Marketed by Birt & Co, Tenby","","51.67152","-4.700369","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230744/169388180/230744_33954638_IMG_31_0000_max_476x317.jpeg"
"169046555","Pembrokeshire","Commercial Development","Unit 1, New Packaway Building, The Docks, Milford Haven, Pembrokeshire, South West Wales, SA73","£340 pcm","From","","","The New Packaway Building has been purpose built for the fishing industry at Milford Fish Docks.","https://www.rightmove.co.uk/properties/169046555#/?channel=COM_LET","2025-11-06T10:28:59Z","","new","Marketed by Port Of Milford Haven, Milford Haven","","51.71179","-5.03809","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169046555/285164_D200_IMG_00_0000_max_476x317.jpeg"
"169045649","Pembrokeshire","Office","Ground Floor Office - G3 Captain Superintendent's Building - Pembroke Dock, Pembrokeshire, South West Wales, SA72","POA","","","","Office to let near Pembroke Port and Ferry Terminal in Pembroke Dock. Room G3 in the Captain Superintendent's building is a 152 sq ft ground floor office with a shared kitchen and WC facilities. A car park is situated to the rear of the building.","https://www.rightmove.co.uk/properties/169045649#/?channel=COM_LET","2025-11-06T10:08:35Z","","size_change","Marketed by Port Of Milford Haven, Milford Haven","","51.69432","-4.95259","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169045649/285164_P807A_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169045649/285164_P807A_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169045649/285164_P807A_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169045649/285164_P807A_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169045649/285164_P807A_IMG_04_0000_max_476x317.jpeg"
"169045082","Pembrokeshire","Commercial Property","F2 Sunderland House, The Dockyard, Pembroke Dock, Pembrokeshire, South West Wales, SA72","POA","","","","Situated within the former Royal Dockyard in Pembroke Dock, Sunderland House is full of character.The 141 sq ft office space is on the first floor of Sunderland House and located near Pembroke Port and Ferry Terminal. The office benefits from a shared kitchen and WC.","https://www.rightmove.co.uk/properties/169045082#/?channel=COM_LET","2025-11-06T10:01:50Z","","new","Marketed by Port Of Milford Haven, Milford Haven","","51.69432","-4.95259","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169045082/285164_P805F_IMG_00_0000_max_476x317.jpeg"
"169042481","Pembrokeshire","Heavy Industrial","Building 35B, Pembroke Port Gate 4 - The Dockyard, Pembroke Dock, SA72","£132 pcm","From","","","Building 35B is a storage unit situated within the gated site of Pembroke Port Gate 4, Pembroke Dock. The unit also benefits from being close to Pembroke Dock Ferry Terminal and the nearby town of Pembroke Dock. ","https://www.rightmove.co.uk/properties/169042481#/?channel=COM_LET","2025-11-06T09:15:06Z","","size_change","Marketed by Port Of Milford Haven, Milford Haven","","51.69656","-4.95472","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169042481/285164_M679B_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169042481/285164_M679B_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169042481/285164_M679B_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169042481/285164_M679B_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169042481/285164_M679B_IMG_04_0000_max_476x317.jpeg"
"169042343","Pembrokeshire","Heavy Industrial","Building 35A, Pembroke Port Gate 4 - The Dockyard, Pembroke Dock, SA72","£39 pcm","From","","","Building 35A is a storage unit situated within the gated site of Pembroke Port Gate 4, Pembroke Dock. The unit also benefits from being close to Pembroke Dock Ferry Terminal and the nearby town of Pembroke Dock. ","https://www.rightmove.co.uk/properties/169042343#/?channel=COM_LET","2025-11-06T09:12:35Z","","new","Marketed by Port Of Milford Haven, Milford Haven","","51.69656","-4.95472","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169042343/285164_M679A_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169042343/285164_M679A_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169042343/285164_M679A_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169042343/285164_M679A_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/169042343/285164_M679A_IMG_04_0000_max_476x317.jpeg"
"167715443","Pembrokeshire","Retail Property (high street)","Retail Unit at 63 Charles Street, Milford Haven, Pembrokeshire, South West Wales, SA73","£499 pcm","","","1","Shop to let in Milford. Spacious storefront and signage area. Town centre. Lowest rent guarantee. Self-contained. Flexible terms. ","https://www.rightmove.co.uk/properties/167715443#/?channel=COM_LET","2025-10-02T14:02:31Z","","new","Marketed by Felis Ltd, Camberley","","51.71307","-5.03492","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167715443/293381_Shop63Milford_IMG_04_0000_max_476x317.jpeg"
"167713520","Pembrokeshire","Office","Wellness Studio/Office, 33 High Street, Haverfordwest, Pembrokeshire, South West Wales, SA61","£299 pcm","","","","800 sq ft Wellness Studio/Office unit is available for rent in Haverfordwest. Hight street location, bright and spacious, second floor. Flexible terms, no business rates for small businesses. ","https://www.rightmove.co.uk/properties/167713520#/?channel=COM_LET","2025-10-02T13:45:23Z","","new","Marketed by Felis Ltd, Camberley","","51.80131","-4.97018","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167713520/293381_33HaverfordwestStudio_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167713520/293381_33HaverfordwestStudio_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167713520/293381_33HaverfordwestStudio_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167713520/293381_33HaverfordwestStudio_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167713520/293381_33HaverfordwestStudio_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/294k/293381/167713520/293381_33HaverfordwestStudio_IMG_05_0000_max_476x317.jpeg"
"167413925","Pembrokeshire","Office","Suite 14 Cedar Court - Havens Head Business Park, Milford Haven, Pembrokeshire, South West Wales, SA73","POA","","","","Modern Office Suite Available June 2025 in Cedar Court, Milford Haven. This first-floor suite offers 669 sq ft of well-designed space, featuring access to shared amenities including a kitchen and WCs, ensuring a comfortable working environment.","https://www.rightmove.co.uk/properties/167413925#/?channel=COM_LET","2025-09-25T11:56:12Z","","new","Marketed by Port Of Milford Haven, Milford Haven","","51.71506","-5.04367","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/167413925/285164_D772_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/167413925/285164_D772_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285164/167413925/285164_D772_IMG_02_0000_max_476x317.jpeg"
