id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"166089269","Portsmouth","Office","Harbour Court, Compass Road, Portsmouth, PO6 4ST","£5,317 pcm","","","","2,900–11,600 sq. ft.","2900","11600","269","1078","Headquarters Style Office Building Prominent location on the central south coast Suites Available from 2,900 sq.ft","https://www.rightmove.co.uk/properties/166089269#/?channel=COM_LET","2025-08-22T10:16:04Z","","new","Marketed by Holloway Iliffe & Mitchell, Portsmouth","","50.844056","-1.092782","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/166089269/286838_182402-2_IMG_00_0000_max_476x317.jpeg"
"723052497988928","Portsmouth","Pub","Manor House P/H, 43 Court Lane, Drayton, Portsmouth, PO6 2LJ","POA","","","","7,084 sq. ft.","7084","7084","658","658","Substantial public house benefitting from four-bedroom living accommodation located in built up Portsmouth suburb with car-park and garden","https://www.rightmove.co.uk/properties/723052497988928#/?channel=COM_LET","2025-12-04T14:04:10Z","","new","Marketed by Savills, Southampton - Licensed Leisure","","50.842331","-1.056624","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a0271e6c8/723052497988928/a0271e6c8d2aa9575f156057f2378cbb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a4e5eecc4/723052497988928/a4e5eecc4ba70110334cde238a496f37_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/99c9e9b64/723052497988928/99c9e9b640d8cb434d5532bccb7baf44_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3974f97bb/723052497988928/3974f97bb1f590ba182258873d814b12_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9d1ceb13f/723052497988928/9d1ceb13ff782278ccaa1727fb8db1bf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7a02490e9/723052497988928/7a02490e9ddfc2afd1e67e3f0cc841cb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/638aaaac6/723052497988928/638aaaac6e96a61fe8d6f03989f74f8f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/46c6054cc/723052497988928/46c6054cc1cb96fc4f5775b750d05115_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6f89a571c/723052497988928/6f89a571c73291e4022c57abd9eb462a_max_476x317.jpeg"
"169986683","Portsmouth","Office","3 St Georges Business Centre, St. Georges Square, Portsmouth, PO1 3EY","£4,167 pcm","","","","2,700 sq. ft.","2700","2700","251","251","Self Contained Modern Offices with generous Parking","https://www.rightmove.co.uk/properties/169986683#/?channel=COM_LET","2025-12-04T10:27:35Z","","new","Marketed by Vail Williams, Portsmouth","","50.796384","-1.102984","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/86k/85879/169986683/85879_129866-2_IMG_17_0000_max_476x317.jpeg"
"723058697108273","Portsmouth","Restaurant","Former Pizza Hut, Binnacle Way, Portsmouth, PO6 4FB","£8,333 pcm","","","","3,886 sq. ft.","3886","3886","361","361","Commercial Unit To Let","https://www.rightmove.co.uk/properties/723058697108273#/?channel=COM_LET","2025-12-04T14:55:45Z","","new","Marketed by Savills, Southampton - Licensed Leisure","","50.846093","-1.093409","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058697108273/225509_345491-2_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058697108273/225509_345491-2_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058697108273/225509_345491-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058697108273/225509_345491-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058697108273/225509_345491-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723058697108273/225509_345491-2_IMG_05_0000_max_476x317.jpeg"
"722865421323137","Portsmouth","Light Industrial","Units 3  4 Solent 27, Walton Road, Portsmouth, PO6 1SX","£21,784 pcm","","","","8,551–20,503 sq. ft.","8551","20503","794","1905","INDUSTRIAL/WAREHOUSE - ESTABLISHED INDUSTRIAL/TRADE AREA - WELL LOCATED - TO BE FULLY REFURBISHED - AVAILABLE AS A WHOLE OR INDIVIDUALLY","https://www.rightmove.co.uk/properties/722865421323137#/?channel=COM_LET","2025-12-03T11:02:10Z","","new","Marketed by Realest, Industrial & Logistics","","50.83737","-1.044882","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865421323137/229082_299740-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865421323137/229082_299740-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865421323137/229082_299740-2_IMG_02_0001_max_476x317.jpeg"
"169926074","Portsmouth","Retail Property (high street)","40-42 Palmerston Road, Southsea, Hampshire, PO5 3QH","POA","","","","4,547 sq. ft.","4547","4547","422","422","Unit 40-42 is a well-positioned retail space located in a prominent shopping area in Southsea. Located next to a former department store building, which is currently being converted to a mixed use scheme with commercial space at ground floor level and 134 residential apartments over the upper flo...","https://www.rightmove.co.uk/properties/169926074#/?channel=COM_LET","2025-12-02T15:41:34Z","","new","Marketed by Creative Retail, Birmingham","","50.785992","-1.088501","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169926074/191489_455LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169926074/191489_455LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169926074/191489_455LH_IMG_03_0000_max_476x317.jpeg"
"169914506","Portsmouth","Retail Property (high street)","2-4 Palmerston Road, Southsea, Hampshire, PO5 3QH","POA","","","","172–1,949 sq. ft.","172","1949","16","181","The property is situated in the heart of Southsea in a prime retailing position on the western side of Palmerston Road, which is fully pedestrianised. Prime retailing position in Southsea Public car parking nearby Tenants include Specsavers, Costa, Waitrose, Boots, WH Smiths, and Tesco Express","https://www.rightmove.co.uk/properties/169914506#/?channel=COM_LET","2025-12-02T12:39:51Z","","new","Marketed by Creative Retail, Birmingham","","50.785992","-1.088501","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/192k/191489/169914506/191489_454LH_IMG_15_0000_max_476x317.jpeg"
"169746182","Portsmouth","Retail Property (high street)","Unit 25a , Cascades Shopping Centre, Commercial Road, Portsmouth, Hampshire, PO1 4RJ","£1,667 pcm","","","","675 sq. ft.","675","675","63","63","The subject property comprises a self-contained ground floor retail unit, with ancillary storage and WC's and kitchen to the rear.","https://www.rightmove.co.uk/properties/169746182#/?channel=COM_LET","2025-11-26T15:41:42Z","","new","Marketed by Flude Property Consultants, Portsmouth","","50.801399","-1.090288","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169746182/205205_8155LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169746182/205205_8155LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169746182/205205_8155LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169746182/205205_8155LH_IMG_03_0000_max_476x317.jpeg"
"169739822","Portsmouth","Retail Property (high street)","The Main Centre, Cascades Shopping Centre, Commercial Road, Portsmouth, Hampshire, PO1","£4,167 pcm","From","","","2,157–4,208 sq. ft.","2157","4208","200","391","The property comprises a self-contained retail arranged over three floors. Internally, the ground floor provides open plan sales area which can be accessed externally and from within the shopping centre. The upper floors provide storage, staff facilities and WCs. External entrance fronts one o...","https://www.rightmove.co.uk/properties/169739822#/?channel=COM_LET","2025-11-26T13:59:28Z","","new","Marketed by Flude Property Consultants, Portsmouth","","50.801735","-1.092438","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/169739822/205205_7620LH_IMG_13_0000_max_476x317.jpeg"
"169651604","Portsmouth","Warehouse","Unit 11, Hilsea Industrial Estate, Portsmouth, PO3 5JW","£1,833 pcm","","","","1,361 sq. ft.","1361","1361","126","126","Modern Industrial Unit","https://www.rightmove.co.uk/properties/169651604#/?channel=COM_LET","2025-11-24T13:26:49Z","","new","Marketed by Holloway Iliffe & Mitchell, Portsmouth","","50.831865","-1.062445","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/169651604/286838_291992-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/169651604/286838_291992-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/169651604/286838_291992-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/169651604/286838_291992-2_IMG_03_0000_max_476x317.jpeg"
