id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168161993","Redbridge","Shop","The Broadway, Woodford Green","£4,167 pcm","","","","1,600 sq. ft.","1600","1600","149","149","** SHOP & BASEMENT TO LET ** - Situated on The Broadway, Woodford Green, which is opposite the main entrance to Woodford Underground Station (Central Line). A variety of independent businesses are located in the Broadway, as well as many multiple traders such as Cook, The Co-Op and Sainsburys Loc...","https://www.rightmove.co.uk/properties/168161993#/?channel=COM_LET","2025-10-13T15:07:18Z","","new","Marketed by Clarke Hillyer Limited, Loughton","","51.608047","0.033583","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/168161993/216248_34236157_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/168161993/216248_34236157_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/168161993/216248_34236157_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/168161993/216248_34236157_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/168161993/216248_34236157_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/168161993/216248_34236157_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/168161993/216248_34236157_IMG_05_0000_max_476x317.jpeg"
"169991366","Redbridge","Retail Property (high street)","75 High Road, South Woodford, London, E18 2QP","£2,083 pcm","","","","786 sq. ft.","786","786","73","73","A retail / office unit benefiting from modern fit-out, prominent location and access to a secure parking space.","https://www.rightmove.co.uk/properties/169991366#/?channel=COM_LET","2025-12-04T11:36:02Z","","new","Marketed by Dobbin & Sullivan, London","","51.594344","0.022172","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169991366/97157_345288-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169991366/97157_345288-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169991366/97157_345288-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169991366/97157_345288-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169991366/97157_345288-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169991366/97157_345288-2_IMG_05_0000_max_476x317.jpeg"
"169963706","Redbridge","Shop","Green Lane, Ilford, London, IG3","£833 pcm","","","","250 sq. ft.","250","250","23","23","LOCK UP 'HALF SHOP'To LetSuspended ceiling...Concealed fluorescent lighting...Electric shutter...Modern aluminium shop front...Laminate wood flooring","https://www.rightmove.co.uk/properties/169963706#/?channel=COM_LET","2025-12-03T14:52:06Z","","new","Marketed by Bennett Phillips Luton, Essex","","51.56296","0.11631","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61311/169963706/61311_680GreenLaneGoodmayes_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61311/169963706/61311_680GreenLaneGoodmayes_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61311/169963706/61311_680GreenLaneGoodmayes_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/62k/61311/169963706/61311_680GreenLaneGoodmayes_IMG_03_0000_max_476x317.jpeg"
"169460210","Redbridge","Office","Suite 7 office to let","£300 pcm","","","1","104 sq. ft.","104","104","10","10","Nationwide Residential and Commercial offer this two desk office suite to rent on a flexible Licence Agreement situated on the much sought after Hainault Business Park.","https://www.rightmove.co.uk/properties/169460210#/?channel=COM_LET","2025-11-18T17:06:45Z","","price_reduced","Marketed by Nationwide Residential & Commercial Limited, Commercial","","51.607834","0.118444","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/169460210/220712_477_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/169460210/220712_477_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/169460210/220712_477_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/169460210/220712_477_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/169460210/220712_477_IMG_04_0000_max_476x317.jpeg"
"154170089","Redbridge","Office","Suite 5 office to let","£425 pcm","","","1","129 sq. ft.","129","129","12","12","Nationwide Residential and Commercial offer this office suite of circa 12.02 sq m (129 sq ft) which is situated within the ever popular Hainault Business Park - To Let on a Flexible Licence Agreement.","https://www.rightmove.co.uk/properties/154170089#/?channel=COM_LET","2024-10-24T16:30:56Z","","price_reduced","Marketed by Nationwide Residential & Commercial Limited, Commercial","","51.607834","0.118444","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/154170089/220712_475_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/154170089/220712_475_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/154170089/220712_475_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/154170089/220712_475_IMG_03_0001_max_476x317.jpeg"
"169692557","Redbridge","Office","High Road, Ilford","£500 pcm","","","","","","","","","Nestled on the bustling High Road in Ilford, this office space presents an excellent opportunity for businesses seeking a prime location. The property offers a flexible rental arrangement with all bills included, ensuring a hassle-free experience for tenants. Although the office space i.","https://www.rightmove.co.uk/properties/169692557#/?channel=COM_LET","2025-11-25T13:03:46Z","","new","Marketed by Relm Estates, London","","51.553607","0.072769","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169692557/296867_34324352_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169692557/296867_34324352_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169692557/296867_34324352_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169692557/296867_34324352_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169692557/296867_34324352_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169692557/296867_34324352_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296867/169692557/296867_34324352_IMG_06_0000_max_476x317.jpeg"
"166642079","Redbridge","Workshop","Tomswood Hill, Ilford, London, IG6","£695 pcm","","","","","","","","","Next Home Ltd are pleased to offer this secure workspace located on a gated, well-kept site close to Barkingside's transport links and amenities. This self-contained unit offers flexible accommodation suitable for a range of uses such as storage, light workshop, studio or e-commerce ","https://www.rightmove.co.uk/properties/166642079#/?channel=COM_LET","2025-09-05T15:05:07Z","","price_reduced","Marketed by Next Home Ltd, Leyton","","51.59567","0.0826","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38072/166642079/38072_0000879686_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38072/166642079/38072_0000879686_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38072/166642079/38072_0000879686_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38072/166642079/38072_0000879686_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38072/166642079/38072_0000879686_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38072/166642079/38072_0000879686_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/39k/38072/166642079/38072_0000879686_IMG_06_0000_max_476x317.png"
"169540013","Redbridge","Restaurant","Nightingale Lane, Wanstead, E11","£1,750 pcm","","","","1,710 sq. ft.","1710","1710","159","159","PREMIUM £110,000 - Prime Location In Wanstead Village - Opportunity To Acquire A Well Established Restaurant - Two Bedroom Flat Above - Excellent Transport Links - Reassignment Of Current Lease -","https://www.rightmove.co.uk/properties/169540013#/?channel=COM_LET","2025-11-20T15:00:25Z","","new","Marketed by Durden & Hunt, Wanstead & East London","","51.579326","0.026208","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273152/169540013/273152_34266480_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273152/169540013/273152_34266480_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273152/169540013/273152_34266480_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273152/169540013/273152_34266480_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273152/169540013/273152_34266480_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273152/169540013/273152_34266480_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273152/169540013/273152_34266480_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273152/169540013/273152_34266480_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273152/169540013/273152_34266480_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/274k/273152/169540013/273152_34266480_IMG_09_0000_max_476x317.jpeg"
"167774735","Redbridge","Commercial Property","33 Roebuck Road, Hainault Business Park, Ilford, Essex, IG6","£2,000 pcm","","","1","8,095 sq. ft.","8095","8095","752","752","Nationwide Residential and Commercial are pleased to offer this substantial yard which is situated within the much sought after Hainault Business Park - To Let.","https://www.rightmove.co.uk/properties/167774735#/?channel=COM_LET","2025-10-03T14:51:58Z","","price_reduced","Marketed by Nationwide Residential & Commercial Limited, Commercial","","51.606777","0.119016","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/167774735/220712_741_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/167774735/220712_741_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/167774735/220712_741_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/167774735/220712_741_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/167774735/220712_741_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/167774735/220712_741_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/221k/220712/167774735/220712_741_IMG_06_0000_max_476x317.jpeg"
"169520111","Redbridge","Shop","Cranbrook Road, Ilford","£2,917 pcm","","","","","","","","","** SHOP TO LET ** - The property is situated on Cranbrook Road in Gants Hill, Essex, which is a mixed commercial and residential location. The commercial section of Cranbrook Road comprises a variety of independent businesses as well as several multiple operators such as Tesco, Sainsburys and Ice...","https://www.rightmove.co.uk/properties/169520111#/?channel=COM_LET","2025-11-20T10:07:19Z","","new","Marketed by Clarke Hillyer Limited, Loughton","","51.57949","0.07336","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/217k/216248/169520111/216248_34316057_IMG_11_0000_max_476x317.jpeg"
